wavelength,Back_CyiCyim,Belly_CyiCyim,Breast_CyiCyim,Crissum_CyiCyim,Crown_CyiCyim,DorTail_CyiCyim,Patch10_CyiCyim,Rump_CyiCyim,Throat_CyiCyim,WingTip_CyiCyim
596.83,10.8235,61.9175666667,64.6918333334,58.446,8.19316666667,7.97616666666,9.02366666667,14.2316666667,9.73733333335,8.392
597.17,10.8656666667,62.0053333334,64.8233333334,58.5773333333,8.2205,7.9945,9.06266666667,14.2825,9.80333333334,8.4345
597.51,10.8501666667,62.1201333333,64.9463333333,58.7443333333,8.20233333333,8.03933333333,9.05816666666,14.3201666667,9.82433333335,8.462
597.84,10.8721666666,62.10965,64.8716666667,58.6808333333,8.19466666667,8.055,9.0725,14.2818333334,9.85083333334,8.484
598.18,10.7841666667,61.9281333334,64.7756666667,58.6075,8.18066666666,7.9995,9.03266666667,14.1956666666,9.78466666669,8.47566666667
598.52,10.6971666666,61.8811833334,64.7456666666,58.56625,8.13916666667,7.95583333333,8.96183333333,14.1551666667,9.759,8.39716666667
598.85,10.6498333333,61.86805,64.736,58.5945833334,8.17233333334,7.9865,8.94433333333,14.1403333334,9.73033333335,8.38016666667
599.19,10.6066666667,61.8000166666,64.8131666667,58.5310833333,8.178,8.004,8.91583333333,14.1135,9.74283333333,8.37666666666
599.53,10.648,61.7936333334,64.8701666666,58.6435833334,8.2225,8.04966666667,8.94016666667,14.1526666667,9.80300000002,8.41483333334
599.86,10.6625,61.7593833333,64.9571666667,58.632,8.25066666666,8.09116666667,8.92483333333,14.1821666667,9.77733333335,8.404
600.20,10.5905,61.6605,64.9115,58.5465,8.2,8.053,8.87433333334,14.1463333333,9.69683333331,8.3835
600.53,10.5755,61.5884333333,64.9421666666,58.5640833333,8.20716666666,8.12716666667,8.93316666666,14.1888333333,9.72800000002,8.38566666666
600.87,10.5565,61.74335,64.9038333334,58.58275,8.24483333334,8.19266666667,8.935,14.1801666667,9.78816666669,8.38
601.21,10.5238333333,61.5949,64.7583333334,58.4883333333,8.24833333334,8.201,8.93216666667,14.1715,9.78016666665,8.37933333333
601.54,10.5145,61.6197833334,64.8095,58.5328333333,8.256,8.18716666667,8.92666666666,14.1653333333,9.77366666667,8.323
601.88,10.5591666667,61.8171333334,64.9856666666,58.6915833333,8.26816666667,8.2125,8.89016666667,14.199,9.85666666666,8.32683333333
602.21,10.4501666667,61.8461166667,65.0011666667,58.72275,8.22533333333,8.15683333334,8.81616666666,14.1708333334,9.813,8.33716666667
602.55,10.4688333334,61.9114333333,65.0243333334,58.7500833334,8.24716666666,8.1585,8.85983333333,14.1768333334,9.87066666666,8.34033333333
602.88,10.4853333333,61.9835,65.0803333333,58.8048333333,8.2645,8.18083333333,8.88566666666,14.1851666666,9.87049999999,8.3615
603.22,10.4658333333,62.0482,65.1088333333,58.7739166666,8.2695,8.15483333333,8.88383333333,14.154,9.86716666668,8.37116666667
603.56,10.4603333333,62.1079666667,65.0938333334,58.7763333334,8.2495,8.12733333333,8.8875,14.1285,9.90066666666,8.38
603.89,10.5246666667,62.21255,65.1538333333,58.8644166667,8.30733333334,8.176,8.9375,14.1581666667,9.97800000001,8.4085
604.23,10.5303333334,62.28345,65.2595,58.9046666667,8.3275,8.14583333334,8.92916666667,14.1261666667,9.99733333331,8.41083333333
604.56,10.4846666666,62.2564166666,65.31,58.8924166666,8.3115,8.093,8.93466666667,14.0993333333,9.96383333331,8.415
604.90,10.4916666667,62.40915,65.3976666666,58.9060833333,8.31216666667,8.0815,8.95933333333,14.0793333334,9.96899999998,8.46333333333
605.23,10.3931666666,62.3441166666,65.3708333334,58.86075,8.19416666667,8.00283333333,8.88783333333,14.0036666667,9.87483333335,8.434
605.57,10.3875,62.3807666667,65.4045,58.79925,8.18433333334,8.00016666666,8.93466666667,14.012,9.85483333333,8.47416666666
605.90,10.4551666666,62.3633,65.3876666667,58.7411666667,8.19433333333,8.04883333333,9.015,14.0363333334,9.89516666667,8.50033333333
606.24,10.4341666667,62.3187666667,65.316,58.7310833333,8.16183333334,8.044,8.97233333333,14.029,9.84783333334,8.53666666666
606.58,10.4846666667,62.33755,65.2686666667,58.7354166666,8.18966666667,8.05866666666,8.98933333334,14.0415,9.88016666665,8.5505
606.91,10.4901666666,62.3296333333,65.1888333334,58.8068333333,8.2265,8.12283333333,9.0295,14.0551666667,9.93000000001,8.617
607.25,10.5205,62.4015833334,65.2586666667,58.8866666667,8.27433333333,8.18916666667,9.095,14.1158333334,9.97233333335,8.67966666666
607.58,10.516,62.31695,65.2255,58.8285,8.2665,8.17833333334,9.08866666667,14.1016666666,9.99966666667,8.723
607.92,10.5625,62.4174666667,65.313,58.9155,8.28916666667,8.26066666667,9.11766666666,14.1528333333,10.0465,8.79783333333
608.25,10.6036666666,62.4029,65.3086666666,58.87,8.31316666666,8.36266666666,9.11083333333,14.197,10.0825,8.82383333333
608.59,10.5358333333,62.3367666667,65.3208333333,58.8530833333,8.28483333334,8.3565,9.04733333333,14.1786666666,10.0463333333,8.79316666666
608.92,10.568,62.3904166667,65.3551666667,58.8871666667,8.3975,8.4715,9.08883333333,14.2731666667,10.1445,8.85566666666
609.26,10.5893333333,62.3844333333,65.3025,58.98425,8.44566666667,8.5335,9.04333333333,14.2618333334,10.1135,8.9
609.59,10.5513333333,62.3594666667,65.3008333333,58.9298333334,8.39166666667,8.51366666666,8.96283333333,14.194,10.0163333333,8.8705
609.93,10.5036666667,62.3154333334,65.2821666666,58.9394166667,8.35883333333,8.52383333333,8.88183333333,14.168,10.0211666667,8.76683333334
610.26,10.4365,62.2768333333,65.2835,58.9075,8.29166666667,8.50616666667,8.8075,14.1005,9.966,8.72416666666
610.60,10.4021666667,62.2098833333,65.3656666667,58.9031666667,8.22566666667,8.51066666666,8.766,14.079,9.89533333331,8.64483333333
610.93,10.3786666667,62.13625,65.3078333334,58.9036666666,8.24183333334,8.53166666667,8.67983333333,14.0451666667,9.85633333335,8.62916666667
611.27,10.3581666667,62.2084666666,65.3251666667,58.9505,8.23616666666,8.59066666667,8.62566666667,14.0545,9.77199999999,8.611
611.60,10.3271666667,62.18285,65.2885,58.88825,8.23116666667,8.57966666667,8.5865,13.9946666666,9.72616666668,8.5915
611.93,10.3,62.1331333334,65.2946666667,58.9424166666,8.21533333333,8.587,8.558,13.951,9.65866666665,8.60333333333
612.27,10.3568333333,62.1099666667,65.1608333333,58.8809166667,8.27966666667,8.65466666666,8.60083333334,13.9435,9.70183333331,8.62283333333
612.60,10.3578333333,62.095,65.2213333334,58.9509166667,8.2665,8.6005,8.5515,13.8398333333,9.66016666669,8.61883333334
612.94,10.2743333333,62.0616833334,65.22,58.9259166666,8.21266666667,8.53233333333,8.58283333333,13.8366666667,9.65266666669,8.557
613.27,10.3043333333,62.1099333333,65.2708333333,58.9953333333,8.3545,8.58983333334,8.65833333333,13.9331666667,9.74466666667,8.64683333333
613.61,10.3995,62.22255,65.4658333333,59.03275,8.46283333334,8.656,8.8015,13.9925,9.80783333331,8.8305
613.94,10.3578333333,62.2449166666,65.39,58.9855,8.4435,8.648,8.77366666667,14.0151666666,9.78416666667,8.841
614.28,10.3095,62.4215,65.4331666666,59.0040833333,8.4415,8.6075,8.75033333333,13.9718333333,9.76249999998,8.88116666667
614.61,10.2715,62.3784666666,65.4443333334,58.9373333333,8.38883333334,8.55883333333,8.7645,13.9056666667,9.74849999999,8.892
614.94,10.1941666667,62.3242833334,65.3218333333,58.8050833333,8.32433333333,8.48083333333,8.75833333333,13.8348333333,9.73983333335,8.82333333334
615.28,10.1005,62.1592833333,65.121,58.7544166667,8.21866666666,8.40483333333,8.7245,13.7891666667,9.66616666668,8.74916666667
