wavelength,Back_CyaCaem,Belly_CyaCaem,Breast_CyaCaem,Crissum_CyaCaem,Crown_CyaCaem,DorTail_CyaCaem,Patch10_CyaCaem,Rump_CyaCaem,Throat_CyaCaem,WingTip_CyaCaem
795.16,12.2351333333,11.5011333333,10.6117333333,11.5129333333,10.7013333333,9.51366666667,8.32606666667,13.6556666666,7.28146666667,8.98833333333
795.47,11.9085333333,11.2022,10.1336666667,11.0834666667,10.3532666667,9.04719999999,8.28726666666,13.5351333333,7.2662,8.84533333333
795.78,11.0933333333,10.706,9.3714,10.3245333333,9.55613333333,8.56719999999,7.64966666667,12.7732666667,6.38066666667,7.76886666666
796.09,11.4514666667,11.2258666667,10.187,10.8519333333,9.92573333333,9.02946666668,8.21013333333,13.2325333333,6.8566,8.18633333333
796.40,12.1931333333,12.0725333333,10.7452,11.4209333333,10.4494,9.75566666665,8.77826666667,14.154,7.11306666667,8.83860000001
796.70,12.6805333333,12.5476,11.4534,12.191,11.2118666667,10.541,9.59813333334,15.1224666667,7.6096,9.07233333333
797.01,13.0672,13.0793333334,12.3533333333,12.7284,11.8331333333,11.4278,9.90313333333,15.6200666666,8.02793333333,9.52213333334
797.32,12.2841333333,12.3208,11.7840666667,11.7842666667,10.9546,10.8874666667,8.96013333333,14.7301333333,7.5328,8.81979999999
797.63,11.6217333333,11.6342666667,11.1460666667,10.9853333333,10.3367333333,10.4170666667,8.2978,14.1303333333,6.98806666667,7.99493333333
797.93,11.5774,12.173,11.596,11.5585333333,10.4296,10.668,8.56053333334,14.2115333334,7.206,7.96486666667
798.24,11.9745333333,12.6858,11.8476666667,11.5366666667,10.3365333333,10.8000666667,8.59053333334,13.8857333333,7.42866666667,8.26033333333
798.55,12.4783333333,12.8126666667,11.7260666666,11.4625333333,10.2026666667,10.5754,8.44113333333,13.7446666667,7.5154,8.49886666666
798.85,13.1928666667,13.5695333333,13.1161333333,12.2988,10.8301333333,11.2836666667,8.93353333333,14.3486666667,8.18006666667,9.36153333333
799.16,13.7798666666,13.9610666667,14.136,13.1779333333,11.5081333333,11.9223333333,9.57933333333,15.055,9.27513333335,10.356
799.47,13.4712,13.0052666667,13.1298666667,12.8084666667,10.8989333333,11.4369333333,8.91733333333,14.3504,8.47766666666,9.7702
799.78,12.0928666667,11.4228666667,11.9071333334,11.184,9.90386666666,10.1029333333,7.3036,12.7562,7.03153333333,8.23886666667
800.08,11.6132,10.4886,11.1044,10.2544666667,9.08973333333,8.9558,6.419,11.5262666667,6.10453333333,7.52360000001
800.39,10.7396666667,9.32926666667,9.91406666668,8.88206666666,7.8088,7.1896,5.44206666667,10.7534,4.76093333333,6.24706666667
800.70,12.2442666667,10.6416,11.5364666667,10.614,9.33046666667,8.78253333333,6.847,12.369,5.7162,7.54773333334
801.00,12.3569333333,10.6346666667,12.0153333333,10.8718,9.66526666667,8.96800000001,6.70166666667,12.5104,5.62066666667,7.4198
801.31,11.3118,8.66673333333,10.6881333333,9.12546666667,8.56620000001,7.44786666667,4.75273333333,11.2185333333,3.81373333333,5.9068
801.62,12.1844666667,9.10633333333,11.7519333333,10.5178,9.58866666667,8.65953333334,5.6098,12.468,4.61706666667,6.71626666667
801.92,11.586,8.41386666667,11.5432,10.2040666667,9.31606666667,8.49273333334,5.39913333333,12.3380666667,4.13886666667,6.17966666667
802.23,11.4212,7.70753333333,10.7788,9.69359999999,8.81499999999,8.15066666667,5.18286666667,12.0855333333,3.55106666667,5.5224
802.54,12.0656666667,8.38606666666,11.0818666667,10.2514,9.38446666667,8.34259999999,5.7558,13.0346666667,3.82513333333,6.52826666667
802.84,11.7343333333,8.47026666666,10.7338,9.6896,9.39026666668,7.71826666667,5.81973333333,13.0997333333,3.23466666667,6.338
803.15,13.5039333333,10.3198,12.4662,11.8692,11.0660666667,9.61626666667,8.20173333333,14.8472,5.15993333333,8.47193333333
803.46,12.7981333333,10.314,12.2270666667,11.7417333333,11.3062,9.81439999999,8.12993333333,14.9892666667,5.4462,8.37266666667
803.76,12.9518666667,10.2824666667,12.2316666667,11.935,11.8079333333,10.1765333333,8.50273333333,15.1625333333,6.13713333333,8.85573333332
804.07,12.0214,9.12653333333,10.795,10.6094666667,10.6452666667,8.713,7.14446666667,13.918,5.16226666667,7.39379999999
804.38,13.0091333333,9.80980000001,11.3884,11.4587333334,11.3812,9.28806666668,8.01266666667,14.5456,5.7786,8.28739999999
804.68,13.761,10.5574,11.7910666666,11.9944666667,11.756,9.59693333332,8.51733333334,15.2471333333,6.31613333333,8.76266666667
804.99,12.7246,9.69573333333,10.6910666667,10.5548666667,11.1063333333,8.22773333333,7.53313333333,14.3572666667,5.24893333333,7.73353333334
805.30,13.2625333333,9.73439999999,10.7475333333,10.5279333333,11.2788,8.51566666666,7.58766666666,13.9710666666,5.41273333334,8.10486666667
805.60,12.9587333333,9.6642,10.7247333333,10.5125333333,11.3891333333,8.44120000001,7.31693333333,13.8918666667,5.3446,8.16553333334
805.91,12.3026666667,8.77046666666,10.2772666667,9.9786,10.6538,8.23733333333,6.63106666666,12.8002666667,4.641,7.30640000001
806.21,12.5256666667,8.97633333333,11.1866666667,10.287,11.0449333333,8.94086666665,6.66666666667,12.809,5.6392,7.76466666667
806.52,11.6485333333,7.76813333333,10.0936,9.08546666667,10.0792,7.58806666667,5.34933333334,11.8502666667,4.83086666667,6.60193333333
806.83,12.464,8.42666666667,11.1780666667,9.82766666667,10.3304666667,8.09626666666,5.86933333333,12.3492,5.5316,7.27013333334
807.13,12.7358,9.04319999999,11.8176666667,10.2027333333,10.6936666666,8.70859999999,6.09733333333,12.8852,6.15426666667,7.92613333332
807.44,12.3015333333,8.64360000001,11.4358,9.81246666666,10.3607333333,8.29726666666,5.70706666667,12.8210666667,5.6204,7.95813333333
807.74,10.7516,7.0686,9.91820000001,7.9686,8.6534,6.74853333333,3.86906666667,11.3616666667,4.2262,6.51793333333
808.05,10.0301333333,6.5458,9.31979999999,7.5812,8.10280000001,6.66673333333,3.5072,10.7634,3.70366666667,6.5306
808.35,10.0692666667,6.25866666667,9.01480000001,7.38246666668,7.61353333333,6.58213333333,2.9946,10.5928,3.47186666667,6.28193333333
808.66,10.4391333333,7.61366666667,9.85093333334,8.20920000001,8.55286666667,7.27766666667,4.00153333333,11.5615333333,4.47486666667,7.1096
808.97,11.3086666667,8.33726666666,10.6774666667,8.96853333333,9.11466666667,7.82906666667,4.742,11.886,5.0578,7.56733333333
809.27,11.199,8.42840000001,10.4540666667,8.83980000001,9.2744,7.8152,4.90486666667,12.0604666667,5.3628,7.10906666666
809.58,10.7728666667,7.82986666667,9.78933333335,8.48546666667,8.5714,7.299,4.6214,11.7329333333,4.60586666667,6.64326666667
809.88,9.71153333333,6.883,9.367,7.65213333333,7.61213333334,6.6346,3.79006666667,10.9455333333,3.2532,5.91353333333
810.19,9.78639999999,6.723,9.05286666667,7.37606666667,7.6824,6.5054,3.5952,11.052,3.07133333333,5.54606666667
810.49,9.6924,6.0844,8.159,7.2898,7.2078,6.0844,2.911,10.2582,2.4928,4.797
810.80,11.0007333333,6.98939999999,9.44573333333,8.73440000001,8.08926666667,7.56006666667,4.25146666666,11.2656666667,3.83786666667,5.53353333333
811.10,11.6709333333,7.47266666666,10.1175333333,9.58013333334,8.79093333333,8.46346666667,5.21406666667,12.3090666667,4.28206666667,6.72546666666
811.41,11.9066,7.6178,10.3525333333,9.83426666668,8.90866666666,8.51800000001,5.15493333333,12.3738666667,4.34813333333,6.81106666667
811.71,11.8053333333,7.98966666667,11.0457333333,10.0724666667,9.18473333333,8.60453333334,5.89853333333,12.7871333333,4.38746666667,7.15326666667
812.02,10.7382666667,6.87246666667,10.1475333333,9.217,8.32233333334,7.53459999999,4.519,12.1162666667,2.90813333333,5.888
812.32,9.33506666666,5.54653333333,8.23313333333,7.55913333334,6.83960000001,6.612,2.9964,11.5390666667,1.3206,4.6356
812.63,8.84773333334,4.48546666667,7.47280000001,6.8374,5.51906666667,5.54773333333,1.8682,10.8488,0.019133333334,4.26726666667
812.93,8.63559999999,4.60053333333,7.50479999999,7.4368,5.99419999999,5.59466666667,2.36853333333,11.0331333333,0.350733333333,4.42486666666
813.24,10.0293333333,6.1682,8.48493333333,9.33526666666,7.38986666667,7.11619999999,3.69506666667,11.828,2.25786666667,5.90426666666
813.54,9.54493333333,5.21246666667,7.903,8.6646,6.5876,6.8942,3.32346666667,11.3155333333,1.34513333333,5.83573333334
813.85,9.37126666665,5.4092,8.28353333334,8.45300000001,6.74639999999,6.91613333333,3.52286666667,11.4869333333,1.36713333333,6.53686666666
814.15,7.95053333334,4.67153333333,6.8148,7.28886666667,5.98513333333,5.74826666667,2.0642,9.84686666667,0.207400000001,5.83706666667
814.46,7.21973333333,4.24693333333,5.83706666667,6.706,5.14573333333,4.5828,0.918599999998,8.41480000001,-0.158066666666,4.18753333333
814.76,7.40193333333,4.83333333334,6.147,7.206,5.83333333333,5.23526666667,1.63726666667,9.14700000001,0.803866666665,4.66679999999
815.07,7.09873333334,4.53613333333,5.12506666667,6.49006666667,4.80133333333,5.1056,0.716799999999,8.65973333332,0.5302,4.27093333333
815.37,7.35566666666,4.949,5.32746666667,6.8898,4.493,5.51193333333,1.26153333333,8.93733333333,1.106,4.38626666667
815.68,7.64393333334,5.27333333333,5.8346,7.0828,4.6154,4.98306666667,1.4998,8.71800000001,1.3546,4.2864
815.98,7.15973333333,5.24413333333,5.70893333333,6.5718,4.51393333333,4.86493333333,1.2708,8.15533333333,1.24226666667,3.52766666667
816.29,7.60839999999,4.97906666667,5.63166666667,5.84613333333,4.30766666667,4.82986666667,0.951133333333,8.2424,1.2868,3.22606666667
816.59,6.80266666666,4.1542,4.80726666667,4.5442,3.619,4.2812,0.163333333335,7.88206666667,0.616866666665,2.06813333333
816.89,7.28653333334,5.39986666667,5.62446666667,5.68733333333,4.37566666667,5.04946666667,1.0872,8.60726666666,1.5814,2.58753333334
817.20,8.6352,6.5968,6.6754,6.81526666667,5.18806666667,6.35166666667,2.53713333333,9.99126666666,2.44953333333,3.37713333333
817.50,8.17986666666,6.27746666667,6.79620000001,6.77040000001,4.77306666666,5.70686666667,2.31733333333,10.0734,1.9454,3.31173333333
817.81,9.54346666667,7.59593333333,8.23433333333,7.92726666667,5.8504,6.98186666667,3.6202,11.5232666667,2.92526666667,4.91306666667
818.11,9.84533333334,7.64126666667,8.39913333334,7.81913333334,5.77726666667,6.72086666667,3.58086666667,11.3689333333,3.17093333333,4.95746666667
818.41,10.7236666667,8.1214,9.35666666667,9.11540000001,6.9226,7.58766666667,4.7514,11.9372,4.05693333333,5.9138
818.72,11.1612,8.0096,9.46893333334,9.09220000001,7.27646666666,7.68746666667,4.91253333333,11.9903333333,4.34406666666,5.96093333333
819.02,11.1006,7.745,9.19126666667,8.84873333332,7.2692,7.51666666667,4.80813333333,11.8744,4.18633333333,5.85466666667
819.33,11.4112,8.21573333333,9.35166666667,9.32873333333,7.68213333333,7.5732,5.2726,12.4326,4.54973333333,6.48873333333
819.63,11.3146666667,8.47853333333,9.51813333333,9.58866666667,7.7568,7.81746666667,5.50593333333,12.3844666667,4.6178,6.81813333333
819.93,11.9438666667,9.26406666666,10.1816666667,10.368,8.25113333334,8.3506,6.33753333333,12.8138666667,5.13426666667,7.71866666667
820.24,12.0593333333,9.54033333333,10.1918666667,10.561,8.53773333333,8.55586666667,6.5292,12.8735333333,5.50126666667,7.8718
820.54,11.8204666667,9.48806666667,10.1068,10.4810666667,8.52906666667,8.5166,6.39453333333,12.6002666667,5.3984,7.8546
820.85,12.3656,10.0292666667,10.4944,10.8984666667,8.97406666667,9.16266666667,7.15033333333,12.9718,6.07126666667,8.37860000001
821.15,12.1382,9.81333333334,10.4179333333,10.8358666667,8.96120000001,9.18779999999,7.2456,12.6914666667,6.06213333333,8.35206666667
821.45,11.9975333333,9.69666666665,10.3450666667,10.7221333333,8.957,9.12573333333,7.175,12.5310666667,5.85593333333,8.26506666667
821.76,12.0458,9.88320000002,10.4003333333,10.7826666667,9.14306666667,9.20586666667,7.1744,12.5783333333,5.94586666667,8.34246666667
822.06,12.1572,10.0952,10.556,11.1164666667,9.29986666667,9.39060000001,7.34093333333,12.7336666667,6.06906666667,8.58293333334
822.36,12.1681333333,10.2661333333,10.6362666667,11.2656666667,9.40806666667,9.53246666666,7.43946666666,12.7651333333,6.18226666667,8.6352
