wavelength,Back_SicUrof,Belly_SicUrof,Breast_SicUrof,Crissum_SicUrof,Crown_SicUrof,DorTail_SicUrof,Patch10_SicUrof,Patch11_SicUrof,Rump_SicUrof,Throat_SicUrof,WingTip_SicUrof
183.35,-115.555488889,119.999866667,-2.80699999994,56.1403333333,202.807,53.41695873,153.3334,116.491266667,-3.15813333338,101.578933333,-0.3509333334
183.73,-1091.35811852,340.000133333,-382.222333333,-11.111066666,951.111200001,-89.3121365084,788.888933333,222.222266666,-382.222133334,334.444533333,-417.777733333
184.11,-906.666666666,208.333333333,-388.333333333,-194.999999999,566.666666667,-266.26984127,510.000000001,13.3333333335,-443.333333334,137.5,-465.0
184.49,-4488.14814815,13.3333333346,-2566.66666667,-1940.0,1160.0,-2321.58730159,1286.66666667,-833.333333333,-2840.0,-406.666666665,-2560.0
184.87,-2269.62962963,80.0000000008,-1306.66666667,-910.0,460.0,-1097.77777778,576.666666667,-376.666666667,-1333.33333333,-123.333333333,-1300.0
185.25,-3956.2962963,640.0,-2300.0,-1200.0,1413.33333333,-1781.26984127,1780.0,-360.0,-2206.66666667,186.666666667,-2333.33333333
185.63,511.043800001,89.0909999999,362.424266667,243.636333333,36.9696666669,312.351984127,-5.45446666668,170.909133333,369.696933333,116.666633333,346.0606
186.01,624.592592592,178.666666667,474.666666667,358.0,128.666666667,407.492063492,81.3333333331,244.666666667,462.0,176.333333333,454.666666667
186.39,1158.81481481,289.333333333,892.0,678.666666667,244.000000001,779.619047619,152.0,453.333333334,854.666666666,256.0,785.333333334
186.77,590.041096297,102.222266667,461.481333334,320.7408,90.3704666667,385.890752381,59.9999333335,194.074133333,434.074133333,130.000033333,380.0
187.15,283.37037037,74.6666666667,237.0,155.333333333,50.3333333334,180.047619048,41.6666666668,104.666666667,222.0,77.3333333335,206.0
187.53,175.272296296,55.4901999999,144.117666667,92.7450666667,40.1959999999,112.913060318,37.4509999999,72.7450666667,135.097933333,48.9215333333,134.313733333
187.91,158.932392593,39.0195333334,131.176466667,80.1960666668,33.5294666666,108.151422222,41.1766,51.7647333334,127.6472,41.7646666667,124.1178
188.29,160.314333333,44.0403333333,141.616,76.1614666667,36.5656666667,116.835047619,34.7474666665,58.3838,131.313133333,48.0807666666,132.3232
188.67,199.259362963,45.0,167.777733334,77.7778666667,32.2223333333,148.082073016,35.2777333333,81.3888666667,161.9444,42.6387333333,171.111066667
189.05,235.555555555,71.6666666666,191.666666667,94.9999999999,35.3333333333,184.53968254,34.9999999999,88.3333333333,201.0,51.6666666667,203.0
189.43,219.547266667,54.8148000001,175.185133333,89.6295333334,2.963,172.204619047,22.9630000001,65.1852666667,180.0,17.5925,182.963133333
189.81,251.737925926,35.3845333335,176.410266667,82.5641333334,-52.8206000001,201.904873016,-15.8974666666,43.5897333334,185.128266667,-12.8205333333,184.6154
190.19,185.869044444,-34.872,108.205066667,18.9745333332,-93.3332000001,169.304073016,-48.7178666667,-21.0255999999,143.077,-55.6410333332,101.538333333
190.57,151.296296296,-210.0,51.6666666667,-127.5,-294.166666667,158.214285714,-189.166666667,-178.333333333,115.0,-206.25,70.8333333333
190.95,-1345.18518519,1633.33333333,-633.333333333,726.666666666,2373.33333333,-1575.23809524,1093.33333333,759.999999999,-1773.33333333,1476.66666667,-826.666666666
191.33,-244.656066667,208.571466667,-94.2856,11.4286666668,229.5238,-297.233476191,48.5713333335,89.5238666668,-317.1428,101.904766667,-185.714333333
191.71,-62.3781555555,69.8245333331,-20.3508666666,10.5263333332,105.263266667,-107.986647619,23.5087333335,49.8246,-117.894733333,27.5439000001,-65.6140666667
192.09,-71.8517851851,8.0556,-40.5555999998,-30.2778666665,62.7777999999,-90.5687873016,2.5000666666,14.1665999999,-116.6668,-21.8056333333,-75.5555333333
192.47,-47.1225851851,6.41019999998,-14.3589999999,-19.7435333333,67.4358666667,-64.4811555556,1.53860000006,25.3846,-94.8718,-12.4359666666,-48.2052666667
192.85,2.29898518519,30.1148666667,13.5633333333,6.89666666666,85.0574666667,-17.9528507935,27.1263333333,55.632,-58.6206666666,4.48279999992,-12.6436666667
193.23,42.0289703705,75.3622666667,49.5651999999,35.3622666666,135.942066667,-4.58254603188,55.3623333333,94.7826,-38.2608666665,30.8694999999,13.6233333333
193.61,15.7037259259,42.2856,30.0952666666,20.5713333332,76.5713999999,-17.6235809524,28.0000000001,54.4762000001,-37.7142666667,7.04763333334,-2.09526666672
193.99,30.6754666667,41.0458,38.6928666667,28.7581333333,70.9804666667,0.35479682542,32.6797333333,53.3333333333,-8.75806666667,15.4248999999,7.71240000001
194.37,31.5277333333,40.4167333333,34.9999333333,29.3055333333,74.4445333334,2.2819015873,27.5000666667,53.3333333333,-7.22226666667,13.7500666667,2.08326666666
194.75,10.7672,20.119,21.4284666667,6.07146666666,50.4761333333,-6.81420317462,9.99986666664,28.6905333333,-19.762,-4.04763333334,-10.4762666667
195.13,24.5595037037,31.8390666667,39.6551333333,24.0230666666,60.8046,4.86035555554,31.2644666667,50.5746,5.97693333333,14.3677666667,6.7816
195.51,46.9754148148,51.3888666666,66.3889999999,53.7500666667,93.0556,26.0448825397,57.3611333332,82.7778666667,28.3332666667,34.7221999999,32.0832666667
195.89,40.3009259259,65.4166666666,75.4166666667,55.2083333333,115.416666667,19.3353174604,61.6666666667,96.6666666667,14.7916666666,26.4583333333,37.0833333333
196.27,47.3100296296,80.5264,86.8420666667,63.3334666666,105.7894,24.2691238096,58.9475333334,89.6491333333,22.6316,35.9648666666,45.0878
