wavelength,Back_ParCorm,Belly_ParCorm,Breast_ParCorm,Crissum_ParCorm,Crown_ParCorm,DorTail_ParCorm,Rump_ParCorm,Throat_ParCorm,WingTip_ParCorm
755.67,13.3405333333,57.7974666667,47.1854666667,51.3749333333,53.3496666666,8.94466666667,13.6223333333,46.1228,11.9243333333
755.99,13.1467333333,57.6303333333,47.0597333333,51.2246666667,53.3696666667,8.70646666667,13.2698,46.0326666666,11.7428666667
756.30,13.1714,57.6601333333,47.0705333333,51.2792666667,53.4625333333,8.78653333334,13.357,46.1736666667,11.7286
756.62,13.1632666667,57.7961333333,47.2482666667,51.3233333333,53.6787333333,8.74446666667,13.3186666667,46.2314,11.7749333333
756.93,13.0022,57.5514666667,47.0785333333,51.0458666667,53.6463333333,8.5608,13.0424666667,46.2055333333,11.7282666667
757.24,13.2582666667,57.9848666667,47.3194666667,51.1698,54.0098666667,8.80073333333,13.3041333333,46.5787333333,11.9140666667
757.56,13.4195333333,58.3774666667,47.6110666667,51.4387333333,54.3072666667,8.96913333333,13.5134,46.8449333333,11.9864
757.87,13.772,58.8469333333,47.9646666667,51.6385333333,54.7929333333,9.14526666667,13.8254,47.1845333333,12.3418666667
758.18,13.9918666667,58.9818666667,48.2112666667,51.9243333333,55.1036666667,9.28266666667,14.1148,47.3949333333,12.5592
758.50,14.1514,59.0647333333,48.4418666667,52.2054666667,55.2882666666,9.3938,14.2082,47.6111333333,12.6052
758.81,14.2757333333,59.1435333333,48.6504,52.3744,55.4196,9.43926666667,14.3854666667,47.6805333333,12.6030666667
759.13,14.5773333333,59.3102666667,48.9078,52.4459333333,55.5707333333,9.57560000001,14.5736666667,47.9382,12.6673333333
759.44,14.3391333333,59.2250666667,48.8632,52.2322,55.5316666667,9.28819999999,14.4158666667,47.8795333333,12.3715333333
759.75,14.081,59.2578,48.9737333333,52.2447333333,55.5214,8.98106666667,14.2642,47.812,12.2558
760.07,13.8828,59.2618666666,48.795,52.1685333334,55.4652,8.7656,14.1557333333,47.7344,12.0840666667
760.38,13.88,59.3258666667,48.8749333333,52.1582,55.5379333333,8.7802,14.2807333333,47.7853333333,12.0506
760.69,13.9306666667,59.4044666666,48.8888666667,52.2356,55.5825333333,8.67193333333,14.3018666667,47.7087333333,12.0152
761.01,13.8532666667,59.3069333333,48.9525333333,52.1852,55.5596,8.6094,14.2154666667,47.8358,11.9052666667
761.32,13.7106,59.0084666667,48.8274666667,52.1286,55.3078,8.54313333333,14.0473333333,47.7378,11.7107333333
761.63,13.8095333333,59.3052666667,48.9400666667,52.2553333333,55.4434666667,8.6398,14.1324666667,47.9354,11.7270666667
761.94,13.7093333333,59.2524,48.8982666667,52.1408,55.4160666667,8.54873333333,14.0604666667,47.7950666667,11.7191333333
762.26,13.7901333333,59.4183333333,48.8834,52.1851333333,55.5740666667,8.56333333333,14.1509333333,47.9124666667,11.8242666667
762.57,13.6676666667,59.5494,48.9736666667,52.2996666667,55.7654666667,8.4548,14.1706666667,47.9662666667,11.8418
762.88,14.0892,59.7734,49.2448,52.6522666667,56.0621333333,8.89173333333,14.6998,48.2752,12.3228
763.20,14.4574666667,59.8984666667,49.3541333333,52.7554666667,56.1169333333,9.276,15.034,48.3440666667,12.6468666667
763.51,14.8982666667,60.0244,49.5832666667,52.9245333333,56.2458,9.72213333333,15.4418,48.5471333333,13.0365333333
763.82,14.9996666667,60.074,49.7488,53.1527333333,56.251,9.75673333334,15.4926666667,48.6294,13.0842666667
764.14,14.9406666667,59.9919333334,49.7794,53.2560666667,56.1623333333,9.71140000001,15.5148666666,48.6975333333,13.0958666667
764.45,14.9120666667,59.9792666667,49.6957333333,53.2516666667,56.1339333333,9.62633333333,15.4808,48.5776666667,13.1395333333
764.76,15.0803333333,60.1053333333,49.7966666667,53.3574666667,56.2626666667,9.79653333333,15.7646666667,48.5972,13.3234
765.07,14.9088,59.78,49.5489333333,53.1532666667,55.9970666667,9.65973333334,15.5954666667,48.4474,13.1827333333
765.39,14.9144666667,59.5463333333,49.2522666667,52.9349333333,55.713,9.67993333333,15.6222,48.2647333333,13.1611333333
765.70,14.8054,59.2202666667,49.0302666667,52.6538666666,55.3959333333,9.63686666667,15.5334,47.9284666667,13.1132
766.01,14.8119333333,59.0256666667,48.9559333333,52.5209333333,55.2376666667,9.72919999999,15.5748,47.9033333333,13.3146666667
766.32,14.5608,58.7563333334,48.7214,52.2387333333,54.8604,9.60073333333,15.2515333333,47.5926,13.073
766.64,14.114,58.329,48.3943333333,51.9383333333,54.6432666667,9.21853333333,14.8454666667,47.4434666667,12.6622666667
766.95,13.573,57.8393333333,47.8847333333,51.6161333333,54.2444,8.67506666667,14.2305333333,47.1517333333,12.1330666667
767.26,13.7234666667,57.8662666667,47.7284666667,51.5609333333,54.1276666667,8.86366666667,14.3277333333,47.1485333333,12.2410666667
767.57,13.7280666667,57.4300666667,47.3260666667,51.0193333333,53.8225333333,8.82513333333,14.2068,46.7758,12.1238666667
767.88,13.5912,57.2691333333,47.1608,50.8517333333,53.5978,8.68646666667,14.029,46.7099333333,12.0826666667
768.20,13.3400666667,56.8560666667,46.9808,50.5080666667,53.2621333333,8.4002,13.6742666666,46.6176666667,11.8739333333
768.51,13.1492,56.8589333333,47.0394666667,50.4914666667,53.2230666667,8.13713333333,13.4944666667,46.3950666667,11.7455333333
768.82,12.9619333333,56.753,46.9670666667,50.3821333333,53.3452,7.89246666667,13.3546,46.236,11.568
769.13,12.7610666667,56.6521333333,46.9382,50.3588,53.2993333334,7.79633333333,13.1758,46.2715333334,11.4738666667
769.44,12.4634,56.4064666667,46.5526,50.005,52.7904666667,7.34833333334,12.7732,45.6084666667,10.8698
769.76,12.639,56.5666,46.7782,50.2166,52.8571333333,7.18366666667,12.9456666667,45.757,10.9234
770.07,12.8102,56.8097333333,47.1201333333,50.4213333333,52.9596666667,7.365,13.2431333333,45.9064666666,11.3618666667
770.38,12.9939333333,57.2518,47.666,50.7876666667,53.2018,7.52926666667,13.5148,46.138,11.6186
770.69,12.9209333333,57.2020666667,47.6226,50.5916666667,53.2743333333,7.47526666667,13.4698666667,45.901,11.6278666667
771.00,13.4550666667,57.7100666667,48.1338,51.0569333333,53.7258666667,8.07140000001,14.0180666667,46.4421333333,12.3020666667
