wavelength,Back_HemPiuf,Belly_HemPiuf,Breast_HemPiuf,Crissum_HemPiuf,Crown_HemPiuf,DorTail_HemPiuf,Patch10_HemPiuf,Rump_HemPiuf,Throat_HemPiuf,WingTip_HemPiuf
782.50,10.7106666667,35.5658333333,35.2303333333,31.9664583334,6.65183333333,12.1520833333,32.6290833333,15.8590833333,5.36783333334,13.991
782.81,10.3856666666,34.8435416666,34.5581666667,31.2395416666,6.0905,11.5939166667,32.2409166667,15.6073333333,4.73358333334,13.7703333333
783.12,10.7764166667,35.722125,35.0904166667,31.8231666667,6.28341666667,11.9895416667,32.52175,15.8927916666,5.35474999999,14.58325
783.43,10.9936666667,35.8257916667,35.0033333333,31.8227916667,6.40333333332,11.513875,32.8214166667,15.7980416667,5.51366666668,14.7868333333
783.74,10.42525,35.1646666667,33.4676666667,30.4098333333,5.67891666666,10.4335416667,31.87175,15.46975,4.88074999999,13.9280833333
784.05,10.332,35.0778333334,33.3333333333,30.3142083333,5.16600000001,10.3784583333,32.2324166667,15.6884166666,4.84408333334,13.7195
784.36,9.47316666665,34.8660833333,32.9791666667,29.8013333333,3.84291666667,9.25729166667,31.5285,14.810125,3.73916666666,12.8841666667
784.67,9.59624999999,35.06,32.95525,30.5153333333,4.16675,9.92270833332,31.5549166666,14.8627083333,4.51883333334,13.4794166666
784.98,9.96766666668,35.5380416667,33.2566666667,31.2307916666,4.57958333333,10.5890416667,32.01375,15.59425,5.15816666668,14.1300833333
785.29,10.80075,36.7615,34.1445,32.59925,5.68641666667,11.1338333333,32.5734166667,16.466,5.86591666667,14.7285
785.60,10.9838333333,37.2453333333,34.7435,33.68575,6.30316666667,11.6971666667,32.8746666667,16.760125,6.18416666667,15.333
785.91,11.597,37.1604166667,34.8245,33.731,7.31433333333,12.21425,32.6126666667,17.1967083333,7.08241666667,15.9874166667
786.22,12.02875,38.243875,36.21025,34.6725,8.30024999999,12.6985,33.631,18.1795833333,7.91183333333,16.7576666667
786.53,11.584,37.564875,35.4165833333,34.0912916667,8.33341666667,12.021625,33.0010833333,17.6922083333,7.53883333333,16.383
786.84,12.14775,38.1520416667,36.4835833333,34.6410833333,9.08650000001,12.5282916667,33.5278333333,18.2661666667,8.11483333333,16.5614166667
787.14,13.6016666667,39.511625,38.52975,35.9993333333,10.5204166667,14.3677916667,34.91375,19.6119583333,9.40300000001,17.9198333333
787.45,13.8604166667,39.237375,38.2073333334,35.5449583334,11.05425,14.618375,34.445,19.7370833333,9.67816666666,17.9960833333
787.76,14.4023333334,39.7415833334,38.35775,35.3500416667,11.6346666667,15.3362916667,34.7438333333,20.0365833333,10.0945833333,18.13825
788.07,14.6330833333,40.5007083334,39.27375,35.9825833333,12.026,15.6574166667,35.6345,20.8294166667,10.2905833333,18.5549166667
788.38,13.7075833333,39.688625,38.3473333333,34.6483333333,10.8635,14.8954166667,34.445,19.5565833333,9.12325000001,17.1186666667
788.69,13.0161666667,39.1827083333,37.5385833333,33.7454166667,10.37425,14.5601666667,34.065,18.8346666667,8.42591666666,16.6205
789.00,12.3708333333,39.0298333333,37.4884166667,33.0945833333,9.92949999999,14.2174583334,34.1158333333,18.2277083333,7.59791666666,15.9625
789.31,11.6240833333,38.3444583333,36.962,32.0883333334,9.15808333334,14.3655,33.6946666667,17.8487916667,6.62900000001,15.12725
789.62,11.8245833333,38.2424166667,36.81675,31.65075,9.01275000002,14.6918333333,33.3728333333,17.432875,6.43766666667,14.8104166666
789.92,11.7086666667,38.80225,37.6339166667,31.8688333333,8.76341666665,15.400875,33.7065,17.831,6.03691666666,15.0438333333
790.23,11.5345833333,37.7395,36.8151666667,31.4562083333,8.16816666666,15.4537916666,33.0776666667,17.5784166667,5.3135,14.76075
790.54,9.93641666667,36.5011666667,35.8025,30.7785,6.68725,14.11175,31.7215833333,16.491,3.87508333334,13.7346666667
790.85,10.6715,37.5833333333,36.9814166667,31.5049166667,7.56849999999,14.9041666667,32.70925,17.2730833333,4.70291666666,14.6185833333
791.16,8.81974999999,36.527125,36.21525,30.859875,6.24083333332,13.4224583333,32.0851666666,15.804125,3.38666666667,13.5738333334
791.47,7.60141666667,35.313375,34.8628333333,29.3261666667,4.955,12.0401666667,30.4336666667,14.714875,2.12083333333,12.51875
791.78,9.119,35.9942083334,35.6621666667,30.3776666667,6.36925,13.22025,31.36,15.9090416667,3.76924999999,14.0291666667
792.08,10.1156666667,36.646,36.58075,31.0844166667,7.28816666666,14.3289583333,31.7375833333,16.8672916667,4.98316666668,15.0055
792.39,10.5693333333,36.429,36.5370833333,31.2899166667,7.23424999999,14.3318333333,31.539,17.1881666667,5.27991666666,15.32325
792.70,10.8014166667,37.0452083333,36.7015,32.10425,7.37516666667,13.9808333333,32.1429166667,17.3345,5.01350000001,15.6213333333
793.01,11.1306666667,37.441875,36.42175,32.7167083333,7.84766666666,14.5979166667,32.4494166667,17.6525,4.97283333334,16.2100833333
793.32,10.5424166667,36.666625,35.286,32.2484166667,7.21891666667,13.4172916667,31.5188333333,16.3659166667,4.17158333333,15.138
793.62,10.2924166667,37.4462916667,35.1754166667,32.2905,7.22224999999,13.0555,31.7934166666,16.1695833333,4.61991666667,15.10725
793.93,11.7089166667,38.842375,36.10475,33.069625,8.44849999999,14.293125,33.26625,16.921,5.869,15.9378333333
794.24,11.3123333333,39.1284166666,35.9385833333,33.3618333333,7.60558333333,13.8985833333,32.9598333333,16.64275,5.65141666667,15.5173333333
794.55,14.4285,41.555625,38.4018333333,35.3683333333,10.405,16.9534583333,34.9888333333,19.5892916666,9.03616666667,18.128
794.86,15.3034166667,42.0981666667,38.7949166667,36.2778333333,11.3685,17.9298333334,35.7688333334,20.1018333334,9.69658333332,18.7749166667
795.16,14.3141666667,41.902,38.518,35.5592083333,10.7583333333,17.2095,35.2695833333,19.9284583333,9.00291666666,17.9965
795.47,14.7916666667,42.644875,38.9763333333,36.0054166666,10.779,17.2645416667,35.8514166667,20.3802916667,9.15766666668,18.5144166666
795.78,14.70225,42.8998333333,38.9396666667,36.4009166666,10.7285,17.4470833334,35.8360833333,20.492375,9.311,18.4606666666
796.09,15.6520833333,43.7682083333,39.9065833333,37.1544166667,11.18,18.157375,36.3685833334,21.3945,10.264,19.2259166667
796.40,14.71225,43.711625,39.7485833333,36.884625,10.713,17.6348333333,35.9121666667,21.19975,9.962,18.8200833333
796.70,15.0979166666,43.9304166667,40.0356666667,36.76025,10.9804166667,18.3555833334,36.55975,21.550875,10.47225,19.3136666667
797.01,15.2490833333,44.1900416667,40.57425,37.387,11.1683333333,18.856,36.49325,21.551125,9.88616666666,19.8085
797.32,14.1391666667,43.1455833334,39.45975,36.478875,9.94516666666,17.5458333334,35.1740833333,20.3662916666,8.36999999999,18.5621666667
797.63,13.2335,41.2467916667,37.9936666667,35.2438333334,9.08075,16.7727083333,34.44075,19.39825,7.20741666666,17.5711666667
797.93,12.0015833334,39.7432916667,36.7664166667,34.6409166667,8.18283333334,16.0740416667,33.69075,18.529,5.53050000001,16.4408333333
798.24,12.401,39.7504583333,37.0149166666,34.30775,8.61599999999,16.0967916667,33.8324166667,18.6580416667,5.678,16.6194166667
798.55,12.6285,39.78575,37.238,33.9999583334,8.92391666667,16.438125,33.9618333333,18.5284583333,5.64749999999,17.0095
798.85,11.5978333333,38.1155416667,36.1398333333,32.9372083333,8.3715,15.4830416667,32.6364166666,17.2346666667,4.74408333333,15.4925833333
799.16,11.9130833333,37.5429583333,35.48125,31.8680416667,8.57191666666,15.148875,32.49325,17.038875,5.21200000001,15.063
799.47,11.57675,36.854125,35.4286666667,31.7069583333,8.44808333333,14.868,32.5105833333,16.7623333333,5.15683333334,14.9349166667
799.78,11.6840833333,36.1575416667,35.4866666667,31.397125,8.08216666667,15.2180416667,32.21325,16.0776666667,4.79908333333,14.6678333333
800.08,11.59,35.4092916666,35.35025,31.1293333333,7.89049999999,14.9842083333,31.78875,15.9533333333,4.34866666667,14.3643333333
800.39,12.2796666667,35.40425,35.5759166667,31.2230416667,8.53891666668,16.1819166667,32.2365833333,17.0975,5.77749999999,15.3545
800.70,12.3075833333,34.76725,35.2578333333,30.6822083333,8.57391666668,16.512625,31.6878333333,17.5134583333,6.66858333333,15.6945833333
801.00,12.34875,35.150625,35.8146666667,30.9105416667,8.71441666666,16.7006666667,31.8190833333,17.8829583334,6.67258333333,16.1000833333
801.31,12.2405833334,34.4497916667,35.5463333333,30.0283333333,8.45091666667,15.8685416667,31.0615833333,17.068125,6.68825,15.7559166667
801.62,11.68875,34.1396666667,35.637,30.0027916667,8.13308333334,16.1960416667,30.5489166667,16.9672083333,6.46025000001,15.4748333333
801.92,12.4093333333,34.9235,36.3626666667,31.104,8.90708333334,17.21025,31.089,17.4315833333,7.67925,15.8816666667
802.23,13.2029166667,36.1294583334,36.94775,31.8874583333,9.90958333333,18.1125416667,32.1786666667,18.6144583334,8.69475000001,17.1485
802.54,12.2971666667,36.4647916667,37.87975,32.5113333333,9.63374999999,18.195875,32.2409166667,18.3936666667,7.77141666667,17.062
