wavelength,Back_PinInof,Belly_PinInof,Breast_PinInof,Crissum_PinInof,Crown_PinInof,DorTail_PinInof,Patch10_PinInof,Rump_PinInof,Throat_PinInof,WingTip_PinInof
615.61,11.3026333334,41.0308333333,31.125,32.7495833334,9.04100000001,9.74720833334,9.39258333334,13.9774444445,23.5794166667,11.78975
615.95,11.3648166667,41.38775,31.2731111111,32.9619166666,9.10633333334,9.84316666667,9.44066666667,14.12075,23.6956666667,11.8688333333
616.28,11.4546833333,41.5021666667,31.3982222222,33.0458333333,9.15858333333,9.90966666666,9.50033333333,14.1988888889,23.7529166667,11.8850833333
616.61,11.5160333334,41.628,31.5534444444,33.09375,9.241,9.95570833332,9.54516666667,14.2446388889,23.809,11.8469166667
616.95,11.5365,41.6555,31.5672222222,33.1704166666,9.22475,9.94108333333,9.50083333332,14.1941388889,23.8353333334,11.883
617.28,11.6149833333,41.8299166667,31.7313333333,33.3123333333,9.29108333333,9.98279166667,9.60399999999,14.3195555556,23.926,11.9518333333
617.62,11.6330333333,41.93175,31.8137777778,33.3975833333,9.26233333333,9.94749999999,9.56183333333,14.3658611111,23.9433333334,11.9326666667
617.95,11.5199166667,41.9175833334,31.7257777778,33.3631666667,9.13999999999,9.82154166667,9.43716666666,14.2429444444,23.8684166667,11.8053333333
618.28,11.4889666667,41.8516666667,31.6273333333,33.3018333333,9.05508333334,9.83770833334,9.38583333334,14.2284722222,23.8075,11.7755
618.62,11.4198666667,41.94675,31.6584444444,33.3176666667,8.95749999999,9.78629166667,9.3185,14.2321388889,23.7671666667,11.7774166667
618.95,11.4651166667,42.0569166666,31.7237777778,33.4185,8.97008333333,9.8405,9.35741666666,14.3445,23.8620833334,11.8193333333
619.28,11.4686666667,42.0345,31.7306666666,33.3839166667,8.96600000001,9.76620833333,9.29591666667,14.3111111111,23.8471666667,11.7898333333
619.62,11.49505,41.9451666666,31.7408888889,33.3891666667,8.95741666667,9.68970833333,9.28649999999,14.2517222222,23.7873333333,11.8176666667
619.95,11.4724333333,41.9175,31.7141111111,33.3310833333,8.94550000001,9.6625,9.23641666667,14.1999722222,23.7323333333,11.79675
620.28,11.42385,41.9528333333,31.741,33.31575,8.88666666667,9.63704166667,9.22858333334,14.2285,23.6745,11.756
