wavelength,Back_GeoFulm,Belly_GeoFulm,Breast_GeoFulm,Crissum_GeoFulm,Crown_GeoFulm,DorTail_GeoFulm,Patch10_GeoFulm,Rump_GeoFulm,Throat_GeoFulm,WingTip_GeoFulm
206.50,58.3908,28.1226666667,61.8390666667,58.1608666667,50.8811333333,7.43286666669,46.7432,41.3793333333,22.682,36.4752
206.87,52.5714,25.4603333333,51.8730666666,48.7618,39.1111333333,11.4919333333,42.5396666667,36.5714666667,19.2382,29.2064666667
207.25,58.7272,37.091,58.4849333333,54.1818,44.7878666667,19.5152,47.3938666667,42.0,26.4241333333,35.697
207.63,52.6718,36.9464666667,53.4351333333,47.0738,43.206,19.2367333333,46.4630666667,40.4071333333,24.1222,36.5904
208.01,61.2212666667,42.1883333333,57.9133333333,52.2136666667,49.6691333333,26.7174666667,55.7251333333,50.6870666667,33.3841333333,44.4784
208.39,55.2112666667,39.2017333333,52.5822,49.3427333333,43.8966666667,23.8967333333,51.6900666667,48.5915333333,33.9906666667,37.6525333333
208.77,57.6922666667,43.5469333333,54.4017333333,49.8292,46.3247333333,28.3332,55.3418666667,50.3418666666,37.1367333333,40.3418666667
209.14,56.0082666667,47.1604,55.1028666667,48.8065333333,46.2551333333,30.3703333333,56.6255333333,52.716,39.0534666666,41.5638
209.52,55.0920666666,45.7668666667,56.5236666667,43.7626666667,44.4172,29.8978,56.5234666667,51.9836,36.278,42.0449333333
209.90,50.2475333333,43.8094666667,57.4856666667,40.7618666667,41.1429333333,26.4763333333,52.9142666667,48.7238666667,33.6001333333,39.0476666666
210.28,48.8236,41.0196,55.6471333333,41.8038666667,39.1372666667,23.2941333333,50.6666,47.6469333333,32.5882,36.6666
210.66,47.1734666667,40.8967333334,50.1364666667,40.117,38.7525333333,22.8459333333,50.2533333333,42.924,31.6179333333,37.7388
211.03,53.4874,48.6704666667,55.684,44.9325333333,47.3216666667,26.4738666667,56.4932,49.0558,38.7667333333,44.3158666667
211.41,46.6326666667,41.6666,47.1768666667,38.5034,42.6870666667,24.8299333333,49.2515333333,43.7754,33.6053333333,37.9932
211.79,51.1815333333,45.1851333333,50.6173333333,42.2575333333,45.2204666667,29.9116,51.9224,47.0194666667,36.2963333333,40.4585333333
212.17,50.8246,47.5602,50.4467333333,42.1648666667,47.2852,30.3781333333,51.9588666667,47.732,34.7766,39.4845333333
212.55,49.1472666667,46.8992666667,49.4186,38.1784,45.9302666667,25.6588,49.8449333333,44.8062666667,29.1085333333,37.248
212.92,42.3371333333,42.1455333333,43.7164666667,30.3065333333,39.5019333333,17.4330666667,40.8430666667,40.6130666667,21.7626,31.8008
213.30,43.0465333333,40.1432666667,42.2222666666,28.6378666666,38.1361333333,18.8172666667,36.4874666667,39.2113333333,21.9355333333,29.4982
213.68,48.5,46.2333333333,48.6333333333,36.8,45.6666666667,27.2666666667,42.4666666667,45.4,29.9,34.9
214.06,46.0605333333,45.5184,43.2218,33.7799333333,44.4976666667,29.0591333333,41.0207333333,42.3923333333,28.2298,32.8866666667
214.44,46.1802,47.897,45.0931333333,34.249,45.6366,34.4207333333,43.0616666667,43.1759333333,31.5307333333,34.7353333333
214.81,46.5784666667,47.2835333333,46.5196666667,34.7429333333,45.2568,35.6534666667,43.4654666667,43.8471333333,32.2174,33.0101333333
215.19,42.5329333334,43.8427333333,43.348,31.8196,41.8048666667,34.9927333333,39.9418,41.3974666666,28.3842666667,30.9752666667
215.57,43.7478666667,46.5008666667,46.6999333333,32.7694,41.7578666667,33.1342666667,40.5638666667,42.0232666667,28.3912666667,31.8076666666
215.95,43.9869333333,47.7778,46.8302,33.3334,43.5948666667,34.9346666667,40.3267333333,41.1764666667,31.0784,32.9412666667
216.32,40.3458666667,44.8427333333,44.2453333333,31.3208,40.5345333333,35.7861333333,37.327,37.1384666667,30.1886666667,32.5786
216.70,41.9047333333,45.8034666667,44.4047333333,33.1545333333,40.8928,39.0476,39.375,38.7796666667,30.0892,34.375
217.08,44.0252,46.3836666667,45.3774,33.3648,41.8239333333,43.8678666667,42.5786,39.1822666667,31.4151333333,34.5911333333
217.46,41.9144666667,43.7948666667,43.5555333333,28.8204,40.4102,44.0001333333,41.5043333333,36.9231333333,28.5812666667,34.3930666667
217.83,38.5102,40.8192666667,38.7709333333,24.8044666667,35.0466,40.9311333333,36.4245333333,33.6314,24.6182666667,31.2104
218.21,37.0587333333,36.5491333333,36.4706666667,21.7255333333,31.804,37.4903333333,32.9804,28.2352666667,20.1176666667,28.5097333333
218.59,30.6101333333,27.8873333333,27.1830666667,11.4554,23.9907333333,31.9248,25.8216666667,19.4367333333,7.69953333333,19.7651333333
218.97,31.6229333333,28.2457333333,28.8157333333,13.3772,22.9386,30.4386666667,26.4474,21.3596,10.3509333333,18.5526666667
219.34,34.0351333333,31.3597333333,31.3596,14.5174666667,24.6931333333,33.5526666667,27.7632,21.4912666667,12.1929333333,17.5439333333
219.72,30.9664,29.0336,29.2307333333,11.7554666667,22.7218666667,32.2682666667,25.7199333333,20.2368,12.505,16.8836666667
220.10,23.6644666667,21.2364,22.5165333333,3.97353333333,13.3333333333,25.6954,19.6910666667,13.6865333333,2.47240000001,7.59386666666
220.47,22.1622,17.9280666667,21.2163333333,0.765733333333,9.86479999999,21.4414666667,19.5044666667,11.7568,-1.93700000001,3.33339999998
220.85,22.9724666667,18.9382,20.8068,4.03399999999,11.2526666667,20.5945333333,18.981,12.9087333333,2.92993333333,4.45859999999
221.23,20.8602,17.8925333333,18.2796666667,3.99993333333,10.0215333333,18.1073333333,18.0644666667,12.8172666667,4.51613333333,3.484
221.61,21.0,19.375,20.125,7.29166666667,12.0833333333,16.9583333333,19.9166666667,12.875,6.16666666667,5.625
221.98,16.4331333333,14.1825333333,16.5605333333,0.976733333339,8.28026666666,13.2484,17.2823333333,7.17626666666,1.27386666667,1.27386666667
222.36,21.125,18.4166666667,23.1666666667,10.2083333333,15.1666666667,19.6666666667,24.9583333333,15.9583333333,7.74999999999,3.54166666666
222.74,25.5926,22.9630666667,28.6297333333,17.0000666667,20.5554666667,23.0368666667,26.5926,22.8518666667,15.9629333333,11.9259333333
223.11,27.2631333333,27.7544,29.4386666667,18.8069333333,24.9474,27.1929333333,28.2106,25.0876666667,17.1929333333,13.7894666667
223.49,25.267,25.7459333333,26.7404,19.0424,24.8251333333,25.1196,26.8876666666,24.8618666667,15.8747333333,14.033
223.87,32.0741333333,32.037,32.0,26.0001333334,31.0740666667,32.4444666667,34.3332666667,31.6666,20.5555333333,21.3333333333
224.24,34.3696,34.8531333334,34.3005333333,28.7391333333,33.0570666667,34.0584666667,34.9568666667,33.1605333333,23.0398666667,24.5251333333
224.62,37.1428,38.7192,37.7012,33.9573333333,36.946,37.6682,36.9787333333,37.0444,28.8997333333,28.6042666667
225.00,39.7182666667,39.5618666667,39.8121333333,35.7433333333,40.5320666667,40.2816666667,39.3425333334,40.5946666667,30.8606666667,31.4241333333
225.38,35.3797333333,34.6356,36.5891333333,32.7442666667,35.1628666667,36.093,33.6744666667,35.814,26.0466,27.3178
225.75,37.4312,35.1988,36.6972666667,32.7522,34.526,37.523,34.6177333333,38.5628,27.1558666667,26.5137333333
226.13,37.8512,35.3718666667,36.1708666667,34.0220666667,35.9504,38.5398,35.2342,39.7244666667,29.0908,28.8153333333
226.51,35.8466,33.7830666667,33.4656,29.1799333333,32.4866666667,36.9841333333,32.4867333333,37.2487333333,27.1163333333,27.7512666667
226.88,34.4708666667,32.4868666666,31.4021333333,26.6137333334,30.1587333333,34.8412666667,31.7725333333,34.5238666667,24.3650666667,24.3122666667
227.26,28.9934666667,26.4837333333,27.7647333333,22.013,24.7844666667,29.9606666667,26.2743333333,29.3594,20.6796666667,21.4902
227.64,28.8808666667,24.1362,26.7882666667,19.7322,22.4332,27.8832,24.4768666667,26.3017333333,20.0485333333,21.1678
228.01,22.6290666667,18.2628,21.4788666667,14.648,17.7700666667,22.8404666667,18.7322666667,20.4460666667,15.5868666667,14.3193333333
228.39,19.0507333334,14.8926,18.5084666667,12.0226,15.1187333333,21.3334,17.1524666667,19.0055333333,14.2824666667,12.9490666667
228.76,14.7668666667,10.8077333333,14.1751333333,7.53126666667,12.5369333333,17.7247333333,13.0148666666,14.6302666667,11.2173333333,10.0798666667
229.14,12.072,10.1126,13.4908666667,7.00446666666,11.329,17.7929333333,11.7792666667,12.9954666667,10.7882,11.0586
229.52,11.9453333333,10.4100666667,11.9452666667,7.59200000001,12.1976666667,17.8759333333,12.8706,12.6603333333,11.3142666667,11.4195333333
229.89,11.3960666667,9.56253333333,11.0832666667,7.0834,11.0626,17.1459333333,12.5417333333,11.2918,9.9582,11.3544666667
230.27,8.54586666667,6.3534,7.62873333333,3.10966666666,7.09166666667,14.3624666666,8.38933333334,6.93513333333,6.06260000001,8.07606666667
230.65,4.61353333334,3.29873333333,2.5606,1.24573333333,4.42913333333,9.27340000001,4.40613333333,2.8374,3.5984,5.74386666667
231.02,2.20613333333,1.36699999999,0.311800000001,1.00713333333,3.38120000001,8.82500000001,3.4532,1.391,2.90173333334,5.56360000001
231.40,1.82959999999,1.20319999998,-0.802000000001,0.826933333339,3.08273333332,8.4462,4.1354,2.98253333334,2.83206666668,6.11526666668
231.78,-2.31293333333,-2.47613333334,-3.67346666667,-1.41500000001,0.816333333334,6.17673333333,0.653,1.06113333333,-0.5986,1.98633333333
232.15,-4.98526666667,-5.42766666667,-8.52513333334,-2.44826666667,-1.00300000001,2.86133333333,-1.357,-1.29786666666,-2.71366666665,1.59286666667
232.53,-0.952333333352,-1.33346666666,-5.06133333333,2.36726666666,3.18366666666,6.69393333334,2.1498,2.06793333333,0.245,3.78233333334
232.90,1.83526666667,-0.647666666666,-4.07553333334,4.64233333333,3.58973333333,7.66533333333,2.969,3.85966666667,0.51273333332,5.61406666666
233.28,1.54480000001,-1.89713333333,-5.33873333335,2.60166666666,1.897,6.91059999999,1.51759999999,3.49593333333,6.66666545997e-05,2.60153333334
233.66,1.89200000001,-1.62153333334,-3.84393333334,3.45353333333,2.64273333333,8.07800000001,0.180200000002,3.2132,0.30026666666,3.18320000001
234.03,1.29220000001,-1.674,-3.72973333333,4.96326666666,4.4934,7.66519999999,-0.998533333325,4.28766666667,2.11459999999,2.4376
234.41,0.980333333328,-0.728333333339,-4.34166666666,6.8068,7.2268,6.9748,0.532333333334,6.05033333333,3.86553333334,2.99726666667
234.78,6.58699999999,3.506,2.84180000001,11.846,13.6787333333,14.2362666667,7.25106666667,11.5272666667,8.81813333332,9.98673333334
235.16,5.93500000001,1.59886666667,2.89966666667,9.26833333331,12.6287333333,13.0082,3.95673333333,9.4038,7.29006666665,8.53659999999
235.54,12.1933333333,9.14486666665,8.50073333333,15.4648,18.6369333333,17.8934666667,10.1115333333,12.6890666667,13.0606,13.829
235.91,16.1223333333,14.3990666667,13.424,19.1836,21.8140666667,22.5622666667,14.5806666667,17.3697333333,17.0068,19.4103333333
236.29,19.5238666667,16.4284666667,16.4502666667,20.9524666667,24.394,24.5020666667,16.2338,19.6969333333,19.9568,22.1861333333
236.66,21.4148,17.3619333333,17.4341333333,22.9016666666,26.7146,24.1487333334,17.4101333333,20.6234666667,21.5588,24.5325333334
237.04,18.7198666667,15.3864,14.8067333333,20.2898,24.2271333333,21.4492666666,16.3284666667,18.116,18.9129333333,20.0242
237.41,20.4853333333,16.9348,14.6104666667,22.0946,26.1302666667,20.1276666667,18.3397333333,18.9016666667,19.6168,21.0728
237.79,22.5708666667,19.8257333333,16.8626666667,23.0936666667,26.7755333333,21.9608666667,22.3312,21.8954666667,21.5468,23.2026
238.17,23.2433333333,20.6806666667,17.9379333333,23.8638,27.928,22.8228666667,24.8047333334,21.9018,21.7619333333,25.3654
238.54,21.1698666667,19.2014666667,18.0316,21.9870666667,25.2554,21.7455333333,23.3611333333,19.4614666667,19.9628666667,23.9367333333
