wavelength,Back_HemReym,Belly_HemReym,Breast_HemReym,Crissum_HemReym,Crown_HemReym,DorTail_HemReym,Rump_HemReym,Throat_HemReym,WingTip_HemReym
361.29,4.78,11.0273333333,5.29766666667,8.47866666667,5.913,4.592,3.78833333333,8.05533333333,6.144
361.66,4.779,11.103,5.35,8.38366666667,5.85333333333,4.57766666667,3.701,8.14033333333,6.067
362.02,4.894,11.2436666667,5.433,8.48566666667,5.985,4.74466666667,3.81166666667,8.295,6.072
362.39,4.93133333333,11.405,5.637,8.54166666667,6.043,4.78333333333,4.045,8.46766666667,6.006
362.75,4.953,11.5476666667,5.649,8.59633333333,5.98066666667,4.76866666667,4.118,8.416,5.919
363.11,4.76666666667,11.5196666667,5.66733333333,8.55033333333,5.836,4.62666666667,4.05533333333,8.497,5.577
363.48,4.639,11.4343333333,5.559,8.47,5.809,4.63466666667,4.014,8.507,5.472
363.84,4.54433333333,11.3776666667,5.378,8.46233333333,5.64866666667,4.51066666667,3.83733333333,8.50433333333,5.382
364.20,4.22033333333,11.0006666667,5.10233333333,8.049,5.24433333333,4.259,3.51033333333,8.23433333333,5.046
364.57,4.197,10.9506666667,5.112,8.11433333333,5.25633333333,4.24533333333,3.56266666667,8.294,5.081
364.93,4.251,11.0756666667,5.10733333333,8.04033333333,5.18266666667,4.29966666667,3.563,8.24033333333,5.085
365.29,4.452,11.218,5.282,8.11,5.39,4.42933333333,3.75733333333,8.38966666667,5.453
365.66,4.49233333333,11.217,5.35866666667,8.17666666667,5.49966666667,4.47433333333,3.87033333333,8.26333333333,5.554
366.02,4.531,11.202,5.317,8.25733333333,5.52166666667,4.47166666667,3.908,8.189,5.658
366.38,4.52133333333,11.114,4.98333333333,8.24766666667,5.582,4.43466666667,3.726,8.00066666667,5.788
366.75,4.387,11.0633333333,4.89266666667,8.11166666667,5.463,4.30866666667,3.53166666667,7.89066666667,5.753
367.11,4.44966666667,11.034,4.82766666667,8.12,5.50566666667,4.31566666667,3.49533333333,7.76033333333,5.865
367.47,4.368,10.9136666667,4.76166666667,7.97666666667,5.49366666667,4.132,3.46466666667,7.662,5.628
367.84,4.389,10.947,4.807,7.91866666667,5.54533333333,4.124,3.474,7.57033333333,5.643
368.20,4.454,11.027,4.87766666667,8.12966666667,5.68366666667,4.20233333333,3.47566666667,7.62666666667,5.912
368.56,4.38266666667,11.1563333333,4.83833333333,8.11366666667,5.75033333333,4.26166666667,3.41933333333,7.62966666667,5.932
368.93,4.31866666667,10.9716666667,4.724,8.17166666667,5.71166666667,4.291,3.33066666667,7.51933333333,5.996
369.29,4.28066666667,10.8636666667,4.58633333333,8.089,5.657,4.35033333333,3.206,7.32466666667,5.907
369.65,4.3,10.9326666667,4.642,8.18466666667,5.72733333333,4.47566666667,3.21933333333,7.50566666667,5.903
370.01,4.13966666667,10.832,4.627,8.04,5.66633333333,4.34633333333,3.105,7.585,5.74
370.38,4.13266666667,10.9013333333,4.76166666667,8.128,5.569,4.38333333333,3.07433333333,7.60333333333,5.651
370.74,4.30833333333,10.947,4.83233333333,8.30966666667,5.78533333333,4.53433333333,3.184,7.85366666667,5.894
371.10,4.24966666667,10.9276666667,4.849,8.37333333333,5.82833333333,4.558,3.207,7.80533333333,5.864
371.46,4.30666666667,11.0416666667,4.98466666667,8.48933333333,5.85766666667,4.59033333333,3.33666666667,7.776,5.835
371.83,4.35666666667,11.14,5.05133333333,8.428,5.88233333333,4.638,3.30166666667,7.84766666667,5.856
372.19,4.38333333333,11.171,5.083,8.356,5.87366666667,4.64133333333,3.35666666667,7.91033333333,5.808
