wavelength,Back_CamPaum,Belly_CamPaum,Breast_CamPaum,Crissum_CamPaum,Crown_CamPaum,DorTail_CamPaum,Rump_CamPaum,Throat_CamPaum,WingTip_CamPaum
777.23,17.9710555556,43.3983333333,16.547,37.1436,10.2330666667,14.8182666667,16.11,11.5688,15.2971333333
777.54,17.9799222222,43.3081333333,16.3181333333,36.8472666667,10.0336,15.0609333333,16.3686,11.7968666667,15.3925666667
777.85,17.6415666667,42.8782666667,15.9462,36.8901333333,9.58266666665,14.5829333333,15.9881333333,11.7234666667,14.9935666667
778.16,17.3531555555,42.3372,15.1905333333,36.4120666667,9.23986666666,14.1018,15.3884,11.4803333333,14.3778333333
778.47,17.4457333333,42.2588,15.1574,36.4829333333,9.41953333335,14.3382333333,15.6386,11.6909333333,14.4375333333
778.78,16.3208111111,41.3434,13.9882,35.2503333334,8.17286666666,13.0125,14.5698666667,10.5648666667,13.1193666667
779.09,16.1373444444,41.3768,14.0305333333,35.3724666667,7.86926666666,12.5708333333,14.3223333333,9.89526666665,12.6492666667
779.40,15.2935444445,40.4962,13.2806,34.4707333334,7.00480000001,11.4997333333,13.3114,8.88453333333,11.5964333333
779.71,16.2496444445,41.2734,14.0029333333,35.2235333333,7.98413333334,12.3243666667,14.1881333333,9.77313333333,12.3772666667
780.02,15.8581777778,40.8410666667,13.9884666667,35.1618,7.83093333333,12.2400333333,14.0328,9.99119999999,11.8859666667
780.33,15.5003888889,40.2550666667,13.49,34.5772666667,7.21253333333,11.5122,13.5436666667,9.46313333334,11.3311666667
780.64,15.6164111111,40.2692,13.6710666667,35.0902,7.38766666667,11.3301333333,13.7256666667,9.66906666665,11.3507333333
780.95,15.4748333333,40.2212666666,13.9234,35.099,7.25213333333,11.0397,13.0659333333,9.2116,10.6085
781.26,15.8800222222,40.7957333333,14.6395333333,35.3979333333,7.60299999999,11.4232,13.2959333333,9.4896,11.0791
781.57,16.1173555556,40.7401333334,15.1156666667,35.3088666667,7.87366666667,12.0367666667,13.6068666667,9.71233333333,11.5275333333
781.88,16.1103777778,40.5922,14.9903333333,35.4203333333,7.97520000001,11.8934,13.6054666667,9.87573333333,11.724
782.19,16.9447777778,41.6774,15.8206,36.5672,8.71280000001,12.7467,14.2498,10.7492,12.6133333333
782.50,17.3682,41.4355333333,15.8638666667,36.8418,9.25053333334,13.0706666667,14.764,11.5474666667,13.1679
782.81,17.5268222222,41.2276,15.7742,37.0505333333,9.56239999999,13.6023666667,15.0306,11.8464,13.7491333333
783.12,17.2866555555,41.2838666667,15.6229333333,37.3262,9.2748,13.3180666667,14.7686666667,11.4884666667,13.7553333333
783.43,17.0808666666,41.2246,15.7570666667,37.2125333333,9.00853333334,13.0463666667,14.2094666667,11.0632666667,13.2743666667
783.74,18.7221333334,42.8874666667,17.6516,39.1188666667,10.7828,14.6551666667,16.0136,12.9446666667,15.1428333333
784.05,19.0253888889,43.0191333333,17.9133333333,39.0004666667,11.1488666667,15.443,16.4708,12.8904,15.4765333333
784.36,19.4456777778,42.9651333333,18.0798,39.1302,11.7014666667,15.8816333333,17.4568666667,13.5751333333,16.2934666667
784.67,20.1242888889,43.2082,18.7176666667,39.6321333333,12.3624666667,16.7995333333,18.3806,14.5543333333,17.1878333333
784.98,20.3964222222,43.9228666667,19.2071333333,40.417,12.7668666667,16.7774,18.8260666667,15.2021333333,17.6370666667
785.29,20.3139555555,44.5548,19.358,40.3415333333,12.5725333333,16.7340333333,18.8561333333,15.44,17.4870666667
785.60,20.5271111111,44.0302666667,19.8074666667,39.9342,13.2066,17.0292666667,19.128,15.6704,18.0455666667
785.91,20.7262,44.4377333333,20.2831333333,40.0607333333,13.4141333334,17.3994666667,19.4540666667,15.7089333333,18.5722
786.22,21.8388222222,45.7114666667,21.3553333333,41.2401333333,14.4334666667,18.5770666667,20.7351333333,16.7742666667,19.5798
786.53,21.9919555556,45.3381333333,21.4346666667,40.9518,14.4154666667,18.8887666667,20.8887333333,17.227,19.6448333333
786.84,22.4075555556,45.7980666667,21.6510666667,41.0688666667,15.0273333333,19.4394,21.5794666667,17.5472666667,20.6943333333
787.14,21.8090888889,44.874,20.8683333333,40.1867333333,14.1970666667,19.0242333333,21.0223333333,16.8394,20.0232
787.45,21.7280888889,44.8733333333,20.8850666667,40.5162666667,14.0434,18.7482333333,21.2678666667,17.1,20.3779666667
787.76,21.8606333333,45.2489333333,21.17,41.1699333333,14.2876,18.7933333333,21.4866666667,17.3800666667,20.7616333333
788.07,22.0042111111,45.0510666667,21.3033333333,41.1315333334,14.5553333333,18.7304333333,21.7424666667,17.6284666667,20.8440333333
788.38,21.5190333333,44.6498666667,20.6164,40.8473333333,14.1082666667,18.2731666667,21.4048666667,16.9951333333,20.6320333333
788.69,21.8389888889,44.5188,21.1365333334,41.2834666667,14.6791333333,18.8881666667,21.885,17.2548666667,21.2745
789.00,21.8970555555,44.8048666667,21.4536,41.817,14.6971333333,18.9166666667,22.3328666667,17.1692,21.3907333333
789.31,21.5485888889,44.4084666667,20.8328,41.5976666667,14.1616,18.6150666667,22.3715333333,16.7641333333,21.1111333333
789.62,21.4101333333,44.3220666667,20.7802,41.5094666667,14.2463333333,18.4445666667,21.9958,16.7058,21.0827666667
789.92,21.3927777778,44.4256666667,21.0317333333,41.6900666666,14.4259333333,18.1069,22.0821333333,16.6714,21.1671
