wavelength,Back_PooHism,Belly_PooHism,Breast_PooHism,Crissum_PooHism,Crown_PooHism,DorTail_PooHism,Patch10_PooHism,Patch11_PooHism,Patch12_PooHism,Rump_PooHism,Throat_PooHism,WingTip_PooHism
749.07,14.4228666667,62.4411333333,7.798,35.1246,11.6510666667,13.7976666667,44.371,9.77646666667,51.6442666667,17.183,44.9688,16.3218666667
749.38,14.2882666667,62.3178666667,7.6232,35.0008,11.5586,13.6413333333,44.3469333333,9.73353333334,51.4859333333,17.0869333333,44.9162,16.1252666667
749.70,14.242,62.2338,7.56153333333,35.0143333333,11.5642666667,13.6822666667,44.3188666667,9.82980000001,51.3380666667,17.0700666667,44.7975333333,16.2234666667
750.01,14.392,62.1877333333,7.6926,35.0702,11.8305333333,13.8566666667,44.3532,9.91139999999,51.3952,17.2563333333,44.7886666667,16.4609333333
750.33,14.6525333333,62.4576666667,7.97046666667,35.319,12.1071333333,14.0670666667,44.6775333333,10.2437333333,51.6301333333,17.5906666667,45.0976,16.7794
750.64,14.7071333333,62.5451333333,8.00760000001,35.5308666667,12.2794666667,14.1362666667,44.9086,10.3624,51.8244,17.7403333333,45.4208,16.8768666667
750.96,14.8836,62.7189333333,8.10073333333,35.6562666667,12.2933333333,14.323,45.0278,10.4792666667,51.9374,17.9584,45.658,16.988
751.27,14.8981333333,62.5310666667,8.00933333334,35.5591333333,12.2316666667,14.3100666667,44.9717333333,10.5193333333,51.8467333333,17.9252666667,45.4939333333,16.8983333333
751.59,14.4825333333,62.0139333333,7.6442,35.2066,11.9062666667,13.9739333333,44.4982666667,10.1666666667,51.5086666667,17.5502666667,45.0261333333,16.5677333333
751.90,14.2613333333,61.9938,7.41466666667,35.0966,11.6661333333,13.8156666667,44.3669333333,9.93446666667,51.3830666667,17.2442666667,44.9227333333,16.2988
752.22,14.3666666667,62.0298,7.40973333333,34.9961333333,11.7071333333,13.8088666667,44.3814,9.9048,51.4346,17.276,44.9287333333,16.3897333334
752.53,14.4872,62.1330666667,7.51993333334,35.0607333334,11.7790666667,13.8526666667,44.5248,9.94660000001,51.482,17.2811333333,44.9374666667,16.4227333333
752.85,14.6810666667,62.4231333333,7.75253333333,35.2767333333,12.0013333333,13.9765333333,44.6336666667,10.0772,51.6973333333,17.4468,45.233,16.5893333333
753.16,14.6130666667,62.5118666667,7.69439999999,35.1983333333,11.976,13.8004666667,44.5744,9.8748,51.8015333333,17.3718,45.1894666667,16.4304
753.47,14.3326,62.3120666667,7.46026666667,35.0766,11.684,13.4928666667,44.4645333333,9.62526666667,51.5138666667,17.1334,45.0278666666,16.1821333333
753.79,14.1416,61.8789333333,7.2658,34.7992666667,11.4648666667,13.2624,44.1850666667,9.4178,51.1052666667,16.9281333333,44.6317333333,15.9957333334
754.10,14.4588666667,62.189,7.6376,35.0866666667,11.7505333333,13.5965333333,44.3674666667,9.76986666668,51.4038666667,17.3201333333,44.8244666667,16.287
754.42,14.5567333333,62.4054,7.74853333333,35.2177333333,12.0006666667,13.6539333333,44.5226666667,9.91933333333,51.6136,17.4602,44.9437333334,16.5322666667
754.73,14.5290666667,62.4059333333,7.5536,35.1829333333,11.8776,13.496,44.4288666667,9.77693333333,51.5488,17.3539333333,45.0030666667,16.5104
755.05,14.7076,62.5941333333,7.66253333333,35.2903333333,11.9716666667,13.5426666667,44.564,9.87246666666,51.7239333333,17.5040666667,45.1593333333,16.5992666667
755.36,14.5757333333,62.2964666667,7.5144,35.089,11.8844666667,13.3953333333,44.2405333333,9.72686666667,51.4955333333,17.4587333333,44.8086,16.5013333333
755.67,14.2755333333,62.0446666667,7.21973333333,34.9502,11.593,13.1526666667,43.9933333333,9.45613333333,51.3478,17.1516666667,44.5722666667,16.1983333334
755.99,14.0283333333,61.6771333333,6.8928,34.6548,11.3225333333,12.9163333334,43.7124666667,9.21706666666,51.139,16.9716,44.2850666667,15.9596666667
756.30,13.955,61.4889333334,6.69273333333,34.4556666667,11.0590666667,12.8122666667,43.6367333333,8.9652,50.9548,16.8435333333,44.1465333333,15.8851333333
756.62,13.8625333333,61.4156,6.41413333333,34.2366,10.8574,12.6975333333,43.5437333333,8.80226666667,50.7246666667,16.5985333333,44.0262666667,15.7924666667
756.93,14.1134666667,61.6352666667,6.49413333333,34.4865333333,10.9835333334,12.9358,43.6155333333,9.02386666668,50.8712666667,16.6958666667,44.1125333334,15.9456
757.24,13.9495333333,61.5564,6.3406,34.4451333333,10.7801333333,12.7435333333,43.5368,8.86753333333,50.7519333333,16.5763333333,44.1133333333,15.8016666667
757.56,13.7506,61.3693333333,6.134,34.2002,10.5023333333,12.5496666667,43.4844,8.53253333333,50.4042,16.3134666667,44.0792666667,15.6657333333
757.87,13.6522,61.2206666667,6.0384,34.1030666666,10.4358666667,12.5805333333,43.5445333334,8.36646666666,50.0623333333,16.2914,43.9785333333,15.4800666667
758.18,13.6616666667,61.2813333333,6.0892,34.1296666667,10.4632,12.6332666667,43.6852,8.25166666667,49.8557333333,16.3354,43.9551333333,15.4071333333
758.50,13.7416,61.4541333333,6.27353333333,34.2832,10.6150666667,12.8385333333,43.9579333333,8.36546666667,49.6350666667,16.4221333333,44.1082,15.5380666667
758.81,14.0650666666,62.0727333333,6.56093333334,34.7118,10.9286666667,13.1146,44.5092666667,8.71099999999,49.9538,16.6694666667,44.6298,15.9096
759.13,14.4026666667,62.2602,7.0656,34.8970666667,11.2865333333,13.4363333333,44.706,9.1216,49.8372,17.0075333333,44.8612666667,16.2844666666
759.44,14.7483333333,62.5510666667,7.41906666667,35.1975333333,11.5814666667,13.7508,45.0122,9.3936,50.0000666667,17.2824,45.3378666667,16.6012666667
759.75,14.8634,62.9222,7.60286666666,35.4802,11.8517333334,13.9668666667,45.2615333333,9.65059999999,50.2447333333,17.4757333333,45.4278666667,16.7899333333
760.07,15.0222666667,62.8117333333,7.98739999999,35.6289333333,12.1253333333,14.1436,45.3144666667,9.94446666667,50.0240666667,17.7302666667,45.3088666667,16.9606666667
760.38,14.8582666667,62.5616,8.02266666666,35.4802,12.025,14.0306,45.2593333333,9.81373333333,49.731,17.6952666667,45.1564,16.7648
760.69,15.0385333333,62.6106,8.23566666666,35.5119333333,12.2162666667,14.1456,45.1352666667,9.97126666668,49.5552666667,17.8303333334,45.1156666667,16.8333333333
761.01,14.9422666667,62.363,8.13666666667,35.3122666667,12.1814,14.0370666667,44.9449333333,9.96619999999,49.245,17.7084,44.764,16.7057333334
761.32,14.7994666667,62.2351333333,8.0722,35.1496666667,12.0414666667,13.8424666667,44.5924,9.92199999999,48.957,17.4750666667,44.5974,16.5518666667
761.63,14.9197333333,62.0953333333,8.26260000001,35.1348666667,12.1998,13.9483333333,44.5536,10.1974666667,48.8760666667,17.5884666667,44.6675333333,16.6892666667
761.94,14.9151333333,61.9412,8.18226666667,35.1048,12.1014,13.8082,44.2985333333,10.1204666667,48.7742666667,17.5102,44.4789333333,16.6128
762.26,14.6037333333,61.5216,7.8882,34.6894666667,11.7808,13.4514666667,43.829,9.87366666666,48.4054,17.2242666667,44.0874666667,16.2936666667
762.57,14.3425333333,61.3843333333,7.53573333332,34.4656666667,11.5224,13.1502,43.7034,9.59426666667,48.247,16.9708666667,43.9166666667,16.0360666667
762.88,14.1796666667,61.2251333333,7.2902,34.2340666667,11.333,12.9324,43.5163333333,9.38686666667,48.0184,16.7676,43.6668,15.8251333333
763.20,14.1598,61.1357333333,7.177,34.1571333333,11.1944666667,12.8202,43.4085333333,9.35406666667,47.8790666667,16.7241333333,43.644,15.7622
763.51,14.1216,61.2572666667,7.0608,34.2072,11.1125333333,12.8263333333,43.5473333334,9.26540000001,48.0816666667,16.7298,43.8546,15.7594
763.82,14.2431333333,61.3150666667,7.07073333333,34.2878666667,11.1653333333,12.9334666667,43.5822,9.36073333332,48.2747333333,16.7771333333,43.9563333333,15.9188666667
764.14,14.2847333333,61.2292,7.0444,34.286,11.1362666667,13.0118,43.5702666666,9.37026666667,48.3682,16.7186666667,44.0123333333,15.9384
764.45,14.3396,61.1936666666,7.1362,34.3786666667,11.1894,13.0524666667,43.5681333333,9.42146666667,48.3997333333,16.7533333333,44.0713333333,16.035
764.76,14.2652,61.1224,7.0334,34.3054666667,11.0552666667,13.0169333333,43.5969333333,9.36666666667,48.5531333333,16.6645333334,44.0405333333,15.9798
765.07,14.3691333333,61.3401333333,7.06266666667,34.5030666667,11.1080666667,13.1330666667,43.7308666667,9.41879999999,48.9476,16.7660666667,44.1644,16.0869333333
