wavelength,Back_SalAlbf,Belly_SalAlbf,Breast_SalAlbf,Crissum_SalAlbf,Crown_SalAlbf,DorTail_SalAlbf,Patch10_SalAlbf,Patch11_SalAlbf,Rump_SalAlbf,Throat_SalAlbf,WingTip_SalAlbf
775.67,18.511,53.747,36.0933333333,54.0365333333,16.9053333333,24.7302,19.2292,33.5554,22.2635333333,48.5204,25.6025333333
775.98,18.2351333333,53.3371333333,35.7001333333,53.3670666666,16.8106666667,24.4382,18.9119333333,33.0415333333,22.1836,48.0761333333,25.4290666667
776.30,16.9139333333,52.9718,34.6348,52.7398666667,15.5898,23.379,17.8537333333,32.0624666667,20.9855333333,47.4924,24.5128666667
776.61,15.9728,52.9456666667,34.0698,52.403,14.7596666666,22.5774666667,17.0196,31.7558666667,20.2985333333,47.1200666667,23.8179333333
776.92,15.8002666667,52.9137333333,34.1064666667,52.5408,14.8213333333,22.5914666667,16.9154,31.8104666667,20.2524666667,47.3348,23.8150666667
777.23,15.6572,52.7802666667,33.7858666667,52.2351333333,14.5165333333,22.5174,16.7402,31.6125333333,19.9034666666,46.976,23.7471333333
777.54,15.7055333333,52.6422,33.6478666667,52.0132666667,14.2613333333,22.4383333333,16.4396,31.6676,19.8291333333,46.8375333333,23.7351333333
777.85,16.0032666667,52.8677333333,33.7872666667,52.0488666667,14.5207333333,22.5456666667,16.6782,32.01,20.2367333333,47.1168,24.1288
778.16,16.2542666666,53.5022,34.0597333333,52.4302,14.6446,22.7012666667,16.8119333333,32.5088666667,20.424,47.448,24.4367333333
778.47,15.6509333333,53.4087333333,33.8263333333,52.1884666667,14.0848,22.2698666667,16.4022666667,31.9656,20.0676,47.2192,24.0467333333
778.78,15.4058666667,53.1008666667,33.4577333333,51.8659333333,13.6179333333,22.0204,16.1274666667,31.5014,19.4908666667,46.9713333334,23.8644
779.09,15.6453333333,53.3615333334,33.5947333333,51.8858666667,13.8158666667,22.1834,16.526,31.5600666667,19.7144666667,47.2214666667,24.0329333333
