wavelength,Back_OrcAbef,Belly_OrcAbef,Breast_OrcAbef,Crissum_OrcAbef,Crown_OrcAbef,DorTail_OrcAbef,Patch10_OrcAbef,Patch11_OrcAbef,Rump_OrcAbef,Throat_OrcAbef,WingTip_OrcAbef
368.56,4.57159964727,6.90366666667,5.64988888889,5.58155555555,4.20411111111,6.74372222222,7.19661111111,4.44311111111,4.492,6.05977777778,6.71188888889
368.93,4.66550970018,7.03038888889,5.74155555555,5.766,4.25683333333,6.81022222222,7.33994444445,4.54211111111,4.635,6.16811111111,6.70866666667
369.29,4.57687830688,6.9405,5.66211111111,5.75244444444,4.14961111111,6.7015,7.21183333333,4.42333333333,4.46388888889,5.98344444444,6.51644444444
369.65,4.60600352734,6.93861111111,5.71411111111,5.73177777778,4.2505,6.72644444444,7.24488888889,4.48066666667,4.49022222222,5.95183333333,6.50033333333
370.01,4.49852204586,6.80755555556,5.61233333333,5.61544444445,4.19222222222,6.65905555555,7.12227777778,4.33622222222,4.37766666667,5.7815,6.32622222222
370.38,4.5186313933,6.83205555556,5.68433333333,5.58633333334,4.24355555556,6.73016666667,7.18188888889,4.43622222222,4.43311111111,5.76238888889,6.38566666667
370.74,4.37735273368,6.75322222222,5.54155555556,5.42144444444,4.14061111111,6.6875,7.0735,4.39255555556,4.32211111111,5.75283333333,6.262
371.10,4.46389241623,6.91027777778,5.60644444444,5.58788888889,4.27011111111,6.75888888889,7.23094444444,4.50022222222,4.42788888889,5.86133333333,6.29855555556
371.46,4.65814991182,7.24222222222,5.89188888889,5.86422222222,4.54138888889,7.02616666667,7.60316666667,4.78877777778,4.75511111111,6.25783333333,6.514
371.83,4.69432275132,7.31455555556,5.99444444444,5.93366666667,4.62422222222,7.11483333333,7.58405555555,4.88755555556,4.81455555556,6.26294444444,6.44966666667
372.19,4.75119047619,7.4365,6.02944444444,5.98111111111,4.69,7.12766666667,7.679,4.913,4.86188888889,6.34572222222,6.43166666667
372.55,4.60737037037,7.32005555556,5.94388888889,5.86722222222,4.57655555556,6.98922222222,7.43994444444,4.791,4.74,6.2345,6.29622222222
372.92,4.54353791887,7.32505555556,5.90044444445,5.78077777778,4.59788888889,6.94194444444,7.41283333333,4.74677777778,4.66744444444,6.20194444444,6.24888888889
373.28,4.58823809524,7.47272222222,5.94433333333,5.77133333333,4.66994444445,6.98216666667,7.41733333333,4.78044444444,4.69377777778,6.27388888889,6.34411111111
373.64,4.65106172839,7.56755555556,6.05011111111,5.86711111111,4.77033333333,7.05838888889,7.41472222222,4.88688888889,4.74422222222,6.27088888889,6.40255555556
374.00,4.54399647266,7.53372222222,5.98944444444,5.79711111111,4.68027777778,6.94783333333,7.37433333333,4.85222222222,4.71433333333,6.25916666667,6.44855555556
374.37,4.48725573192,7.4455,5.94033333333,5.69555555555,4.57238888889,6.86888888889,7.28455555556,4.74044444445,4.58866666667,6.13344444444,6.34411111111
374.73,4.56478306878,7.45088888889,6.00788888889,5.79277777778,4.64444444445,6.85661111111,7.37044444444,4.77388888889,4.61288888889,6.18127777778,6.42344444444
375.09,4.47890476191,7.38833333333,5.98277777778,5.72688888889,4.56461111111,6.86227777778,7.36733333333,4.68744444445,4.53577777778,6.10688888889,6.37711111111
375.45,4.5035308642,7.41372222222,6.06344444444,5.77033333333,4.55955555556,6.92422222222,7.36372222222,4.69466666667,4.54411111111,6.20422222222,6.43044444444
375.81,4.65022751322,7.46627777778,6.20022222222,5.87955555555,4.67933333334,7.00755555556,7.51844444444,4.76911111111,4.60244444444,6.35888888889,6.59622222222
376.18,4.74503880071,7.56177777778,6.28522222222,5.99233333333,4.7415,7.1,7.59305555555,4.82044444445,4.64477777778,6.43438888889,6.68844444444
376.54,4.91659435626,7.75255555555,6.40522222222,6.20755555556,4.80533333333,7.25322222222,7.81377777778,4.888,4.78122222222,6.598,6.84333333333
376.90,4.99609347443,7.79427777778,6.40411111111,6.26688888889,4.75933333333,7.29572222222,7.8015,4.942,4.85344444445,6.63561111111,6.91311111111
377.26,5.13697530864,7.84883333333,6.52088888889,6.39311111111,4.78111111111,7.38622222222,7.96483333333,5.021,5.02611111111,6.76927777778,7.04088888889
