wavelength,Back_RamCosf,Belly_RamCosf,Breast_RamCosf,Crissum_RamCosf,Crown_RamCosf,DorTail_RamCosf,Rump_RamCosf,Throat_RamCosf,WingTip_RamCosf
389.19,4.54658333333,8.20641666667,4.15441666667,6.06933333333,4.1485,4.03866666667,3.81575,14.1324166666,3.78483333333
389.55,4.56358333333,8.23791666667,4.19533333333,6.10908333333,4.18325,4.04333333333,3.86041666666,14.2063333334,3.81558333334
389.91,4.58583333334,8.3005,4.2285,6.14816666667,4.23866666666,4.08125,3.914,14.2524166667,3.85116666667
390.27,4.65583333333,8.37658333333,4.317,6.21608333333,4.30608333333,4.12658333333,3.97516666667,14.3259166667,3.93616666667
390.63,4.66758333333,8.39075,4.325,6.25883333333,4.29783333333,4.142,3.96641666666,14.3239166666,3.90983333333
391.00,4.66025,8.38366666667,4.308,6.27925,4.28116666667,4.16108333334,3.952,14.3533333333,3.92091666667
391.36,4.60433333333,8.33633333333,4.27191666667,6.22858333334,4.22425,4.09591666667,3.90791666667,14.3103333334,3.86658333333
391.72,4.57191666667,8.304,4.23791666667,6.21833333333,4.1865,4.05616666666,3.89275,14.31475,3.81491666666
392.08,4.5275,8.31183333334,4.24,6.196,4.19391666667,4.02491666667,3.88708333333,14.28375,3.7775
392.44,4.44883333334,8.25758333333,4.19158333333,6.12133333333,4.13566666667,3.95408333333,3.82816666667,14.2611666667,3.71608333333
392.80,4.45908333333,8.28208333333,4.2045,6.15058333333,4.15833333334,3.954,3.831,14.30075,3.71091666667
393.16,4.47025,8.31033333334,4.21725,6.14225,4.17425,3.97583333333,3.83591666666,14.3116666667,3.72716666667
393.52,4.46183333333,8.28766666667,4.20433333333,6.116,4.16125,3.96891666666,3.81358333333,14.2958333333,3.72208333333
393.88,4.39558333333,8.21183333333,4.13341666667,6.05108333333,4.083,3.89808333333,3.72258333333,14.2619166667,3.65775
394.24,4.345,8.13483333333,4.05283333333,5.98966666667,4.0305,3.84225,3.67366666667,14.2133333333,3.59316666666
394.60,4.28883333333,8.068,4.01641666667,5.90608333333,4.00958333333,3.7995,3.64916666667,14.202,3.57225
394.96,4.27166666667,8.03258333333,4.02208333333,5.8735,4.00758333333,3.78,3.65533333334,14.1915,3.55208333334
395.32,4.29766666667,8.02866666666,4.02566666666,5.86383333333,4.03175,3.78408333333,3.63941666667,14.2079166667,3.557
395.68,4.30208333333,8.00108333333,4.02083333334,5.81716666667,4.02791666667,3.76625,3.60833333333,14.177,3.551
396.04,4.31066666667,7.97308333333,4.00491666667,5.80175,4.02516666667,3.76666666667,3.61133333333,14.17925,3.56891666667
396.40,4.28266666666,7.93316666667,3.943,5.74408333333,3.99066666667,3.7205,3.55308333333,14.1315833333,3.54116666667
396.76,4.27475,7.90366666666,3.91833333334,5.72025,3.98741666667,3.70041666667,3.543,14.0903333333,3.55133333333
397.12,4.32358333333,7.90508333333,3.95741666667,5.75558333333,4.04891666667,3.73691666667,3.58158333333,14.1235,3.58666666667
397.48,4.33358333334,7.88058333333,3.94383333333,5.74058333333,4.03641666666,3.74008333333,3.58866666667,14.1141666667,3.57858333333
397.84,4.37391666667,7.88716666666,3.96158333333,5.74775,4.09158333333,3.77158333333,3.61208333333,14.1415,3.60183333333
398.20,4.34858333333,7.85641666666,3.93558333333,5.68691666667,4.07125,3.75383333333,3.55941666667,14.1204166667,3.58133333333
398.56,4.38225,7.88016666666,3.93433333333,5.70233333333,4.09316666666,3.795,3.58,14.1565,3.594
398.92,4.32208333333,7.80733333333,3.84441666666,5.614,4.04508333333,3.72216666667,3.48833333333,14.1075,3.5365
399.28,4.247,7.73575,3.775,5.52908333333,3.98908333333,3.68658333333,3.44225,14.0923333333,3.48733333333
399.64,4.23341666666,7.72108333334,3.74666666667,5.51091666667,4.00658333333,3.714,3.451,14.0903333333,3.498
400.00,4.19208333333,7.68741666667,3.71016666667,5.44591666667,3.99425,3.69416666667,3.39783333333,14.0885,3.45391666667
400.36,4.189,7.67,3.7085,5.42983333333,4.01441666667,3.71658333333,3.39441666667,14.0705833333,3.46491666667
400.72,4.15675,7.59333333333,3.66791666667,5.37983333333,3.97633333333,3.72191666666,3.35491666667,14.08825,3.44833333333
401.08,4.06041666666,7.4765,3.528,5.271,3.88375,3.63233333334,3.23633333333,14.0316666666,3.36091666667
401.44,4.02975,7.41291666667,3.48875,5.22875,3.88908333333,3.61366666666,3.19208333333,14.001,3.348
401.80,3.9825,7.3565,3.44875,5.15783333333,3.86266666667,3.59116666666,3.18566666666,14.00975,3.33741666667
402.16,3.99375,7.33483333333,3.44533333334,5.15175,3.8905,3.61308333333,3.19858333333,14.03,3.37383333333
402.52,3.9795,7.2755,3.41433333333,5.12041666667,3.89725,3.61608333334,3.16458333333,14.0178333333,3.37916666667
402.88,3.98175,7.28041666667,3.42658333333,5.12166666666,3.91283333333,3.64016666667,3.17883333333,14.022,3.41325
403.24,4.00766666667,7.28066666666,3.44541666667,5.13316666666,3.94233333334,3.6535,3.194,14.043,3.46841666667
403.60,3.98341666667,7.23141666667,3.41525,5.10641666667,3.91825,3.61908333333,3.16308333333,14.0200833333,3.45
403.95,3.98816666667,7.20275,3.3975,5.12033333333,3.92591666667,3.6255,3.17316666667,14.01125,3.46041666667
404.31,3.968,7.15166666667,3.37408333334,5.09341666667,3.91891666667,3.595,3.15083333333,14.0036666667,3.45108333333
404.67,3.96908333333,7.16833333333,3.37075,5.06716666667,3.93316666667,3.59266666667,3.15316666667,14.0035833333,3.468
405.03,3.95566666666,7.15491666666,3.38458333333,5.03525,3.92975,3.5825,3.15741666667,13.97575,3.474
405.39,3.9215,7.11391666667,3.34175,4.9815,3.90375,3.55191666667,3.11383333333,13.947,3.44991666667
405.75,3.93575,7.11375,3.35683333334,5.00958333333,3.901,3.56416666666,3.1045,13.9235,3.47675
406.11,3.90966666667,7.085,3.33316666667,4.98091666667,3.88741666667,3.52708333333,3.084,13.9156666666,3.44658333333
406.47,3.84341666667,7.04466666666,3.282,4.91966666666,3.84216666666,3.46766666667,3.037,13.8705,3.40158333333
406.83,3.81675,6.99308333333,3.25516666667,4.88883333333,3.82316666667,3.43925,3.01625,13.86525,3.37408333334
407.19,3.7865,6.96175,3.24366666667,4.87483333334,3.81333333333,3.42541666667,3.00158333334,13.8363333333,3.34725
407.55,3.79941666666,6.97866666667,3.25833333333,4.8765,3.8245,3.44525,3.00208333333,13.8749166667,3.35591666667
407.90,3.82808333333,7.019,3.30225,4.88333333333,3.84875,3.46691666667,3.01991666667,13.9173333333,3.40366666667
408.26,3.86783333334,7.07925,3.33475,4.92275,3.88975,3.51483333333,3.06766666667,13.9845833334,3.43033333333
408.62,3.8415,7.04091666667,3.33391666666,4.90866666666,3.86216666667,3.47875,3.04866666667,13.9716666667,3.39883333334
