wavelength,Back_HemVerf,Belly_HemVerf,Breast_HemVerf,Crissum_HemVerf,Crown_HemVerf,DorTail_HemVerf,Rump_HemVerf,Throat_HemVerf,WingTip_HemVerf
366.02,8.41083333334,23.68425,15.9505833334,11.613,7.91133333334,6.88666666667,9.20501666667,5.71225,7.83808333333
366.38,8.26716666666,23.5923333333,15.8256666667,11.5775833333,7.83708333334,6.74266666667,9.09582499999,5.63483333333,7.70775
366.75,8.20841666667,23.64975,15.83175,11.6465833333,7.818,6.67841666667,9.08810000001,5.563,7.68791666667
367.11,8.24616666667,23.7243333334,15.8681666667,11.7160833333,7.90708333334,6.71525,9.124375,5.58441666667,7.7315
367.47,8.43449999999,23.9216666667,16.093,11.8875,8.08541666667,6.8645,9.34765833333,5.70533333334,7.91408333334
367.84,8.55908333333,24.10475,16.258,12.0630833333,8.24233333332,7.03908333333,9.52234166668,5.83691666667,8.05091666666
368.20,8.77641666667,24.23925,16.4815833333,12.2496666667,8.39849999999,7.1915,9.70376666665,5.98466666667,8.22625
368.56,8.95833333334,24.4489166667,16.7351666667,12.445,8.61691666666,7.42691666667,9.91890833332,6.22075,8.4095
368.93,9.07183333334,24.5716666667,16.8104166667,12.6305,8.72774999999,7.51716666667,10.022625,6.31533333333,8.46225
369.29,8.92750000001,24.46975,16.6869166666,12.524,8.57474999999,7.37675,9.855325,6.14816666667,8.3015
369.65,8.93516666666,24.4923333333,16.7291666667,12.544,8.53208333332,7.29475,9.80950833335,6.12275,8.27525
370.01,8.88641666666,24.4501666667,16.7224166667,12.4731666667,8.47833333334,7.17266666667,9.70999999999,6.00158333333,8.15783333333
370.38,9.02416666666,24.67275,16.872,12.548,8.57608333333,7.27575,9.800475,6.10775,8.21033333333
370.74,9.06941666667,24.6293333333,16.8745833333,12.49575,8.60608333334,7.29783333333,9.75992499999,6.1735,8.19966666666
371.10,9.07175,24.71975,16.8905,12.5096666667,8.58291666666,7.24716666667,9.77728333333,6.16333333333,8.19008333333
371.46,9.03208333334,24.6140833333,16.8956666667,12.47175,8.59858333333,7.18783333333,9.73990000001,6.18116666667,8.11658333334
371.83,8.95841666667,24.6215,16.8719166667,12.4315,8.57683333333,7.1075,9.64926666666,6.13241666666,8.06166666667
372.19,8.91475000001,24.6695,16.8433333333,12.3881666667,8.59008333332,7.10883333333,9.59694999999,6.17008333333,8.03941666667
372.55,8.92941666667,24.782,16.8865833333,12.4845833333,8.57925,7.10358333333,9.60464166666,6.195,8.02691666667
372.92,8.93733333333,24.8698333333,16.916,12.44775,8.57583333333,7.11725,9.64072499999,6.21091666667,8.0105
373.28,9.02850000001,24.927,17.02375,12.4786666667,8.70408333334,7.19125,9.7287,6.33283333333,8.08408333333
373.64,9.02016666666,24.98425,17.1195833334,12.4609166667,8.76666666666,7.24108333333,9.70373333334,6.35875,8.07866666667
374.00,9.10149999998,25.1731666667,17.2254166666,12.5698333334,8.90283333333,7.32108333334,9.83258333333,6.47616666666,8.14733333333
374.37,9.166,25.2334166667,17.2913333333,12.6264166667,8.96474999998,7.35466666667,9.90736666665,6.47491666667,8.14016666667
374.73,9.17241666667,25.4859166667,17.4315,12.7365833333,9.01333333333,7.36158333333,9.94598333334,6.47966666667,8.1705
375.09,9.10216666666,25.4640833333,17.3989166666,12.7104166667,8.96200000001,7.34058333333,9.85716666668,6.3825,8.08933333334
375.45,9.08175000001,25.6924166667,17.4104166667,12.7659166667,8.87975,7.28691666667,9.83271666667,6.31183333333,8.10875
375.81,8.98916666668,25.7023333333,17.31975,12.6758333333,8.76075,7.17108333333,9.7453,6.18125,8.02925
376.18,8.91241666666,25.6925,17.2823333333,12.62175,8.67775000001,7.04258333334,9.68093333334,6.04383333333,7.95841666667
376.54,8.82283333334,25.6848333333,17.2435833333,12.5445833333,8.63116666667,6.96341666667,9.62461666668,5.95016666667,7.93375
376.90,8.78749999999,25.6940833334,17.2538333333,12.5645833334,8.61316666666,6.91575,9.57411666667,5.87183333333,7.9305
377.26,8.84383333334,25.7741666667,17.32125,12.6091666667,8.62258333333,6.94216666666,9.61835000001,5.84808333333,7.95408333333
377.63,8.83633333334,25.8739166667,17.2931666666,12.6460833333,8.60208333332,6.91333333333,9.68806666666,5.82958333333,7.96425
377.99,8.75158333333,25.8611666667,17.2883333333,12.5933333333,8.47366666666,6.77441666667,9.61255,5.75141666667,7.90491666666
378.35,8.81049999999,25.9213333333,17.4111666667,12.6574166667,8.53558333333,6.80041666667,9.68978333332,5.83591666667,8.00925
378.71,8.84683333332,25.9004166667,17.431,12.6175833333,8.51533333334,6.77775,9.72028333334,5.82716666667,7.99266666667
379.07,8.96291666667,26.03775,17.56225,12.7025833333,8.62741666667,6.84416666667,9.79727500001,5.97558333333,8.09166666667
379.44,8.95991666666,25.9980833333,17.5315,12.6811666667,8.67741666666,6.8305,9.77169999999,5.9715,8.01183333333
379.80,9.00741666667,26.0555,17.6019166666,12.7053333333,8.68891666666,6.84591666666,9.78312500001,6.00183333333,7.99175
380.16,9.02,26.2205833333,17.67175,12.8013333333,8.79300000001,6.92325,9.83280833335,6.02866666666,7.98491666667
380.52,9.04591666667,26.3024166667,17.714,12.8086666666,8.81583333334,6.943,9.81769166667,6.0225,7.99608333333
380.88,9.12091666667,26.451,17.82925,12.88125,8.92583333332,7.0005,9.89374166666,6.10808333334,8.05658333334
381.24,9.12675000001,26.6246666667,17.9056666667,12.9246666667,8.96408333334,6.98166666667,9.90068333333,6.14541666667,8.07358333333
381.61,9.22741666667,26.7111666667,18.0018333333,12.9946666666,9.11033333334,7.05116666667,9.96800000001,6.21308333333,8.13308333333
381.97,9.25225,26.7183333333,17.9993333333,13.0019166667,9.15191666666,7.0915,9.96006666666,6.19658333333,8.14541666667
382.33,9.14150000001,26.7208333333,17.9216666667,12.89525,9.10033333335,6.98483333333,9.85270000001,6.09483333333,8.05125
382.69,9.02116666666,26.70325,17.8601666667,12.8381666667,9.03299999999,6.90666666667,9.71328333333,5.98908333333,7.94025
383.05,9.019,26.7925833333,17.9339166667,12.87125,9.05199999999,6.91291666667,9.72371666665,5.99,7.91975
383.41,9.08441666668,26.9115833333,18.0305,12.9205,9.11541666667,7.0165,9.81965833334,6.07266666667,8.01625
383.77,9.08083333335,26.98225,18.089,12.94825,9.17816666666,7.05191666667,9.85915,6.08433333333,8.02091666667
384.14,9.14191666667,26.9903333334,18.1379166667,12.96975,9.17150000001,7.05475,9.87635,6.11866666666,8.04875
384.50,9.08816666666,26.9653333333,18.1316666667,12.90125,9.12874999999,7.00075,9.83019166667,6.0685,7.93975
384.86,9.06183333334,27.0138333333,18.13875,12.9074166667,9.08541666665,6.95816666667,9.78885833333,6.01983333333,7.92383333333
385.22,9.11458333332,27.0781666667,18.2171666667,12.9839166666,9.1525,7.02291666667,9.83339166667,6.0685,7.96458333333
385.58,9.06358333333,27.09225,18.2475,12.9540833333,9.06850000001,6.97558333333,9.80789999999,6.03616666667,7.91216666667
385.94,9.09266666667,27.1931666667,18.3235,13.02125,9.107,7.00525,9.85304166667,6.08108333333,7.89366666667
386.30,9.16150000002,27.3455833333,18.4155833333,13.1240833333,9.189,7.0925,9.9311,6.152,7.93075
386.66,9.26225,27.4533333333,18.5124166667,13.2338333334,9.29433333334,7.17641666667,10.0664583333,6.24808333333,8.02308333333
387.03,9.21941666668,27.48875,18.446,13.1940833334,9.26399999998,7.13441666667,10.0643666667,6.21116666667,8.00958333333
387.39,9.27908333334,27.5800833334,18.5908333333,13.28575,9.35575,7.20116666667,10.1225666667,6.27166666667,8.06658333333
387.75,9.39866666666,27.7515833333,18.7669166667,13.4671666667,9.47449999999,7.29641666667,10.249675,6.36558333333,8.21308333333
388.11,9.33783333335,27.7710833333,18.7525,13.4460833333,9.4535,7.242,10.2347166667,6.30641666666,8.18575
388.47,9.36924999999,27.8355,18.81,13.5113333333,9.50125,7.23141666667,10.2718666667,6.32933333333,8.23608333333
388.83,9.39575,27.9256666667,18.90425,13.5456666666,9.57474999998,7.31075,10.3026,6.37075,8.25641666667
389.19,9.36533333333,27.9905,18.945,13.5716666666,9.55008333333,7.287,10.2821083333,6.33075,8.23075
389.55,9.3295,28.0121666667,18.8936666667,13.5751666667,9.53741666666,7.2345,10.2297416667,6.26316666667,8.18133333333
389.91,9.29849999999,28.02925,18.8825,13.5489166667,9.52575000001,7.21333333333,10.1968583333,6.2105,8.15883333333
390.27,9.26775000001,28.014,18.8663333333,13.5250833333,9.49325000001,7.174,10.1510916667,6.14691666666,8.13633333333
390.63,9.25691666667,28.1144166667,18.9253333334,13.5659166667,9.50741666667,7.16666666667,10.1598583333,6.16241666666,8.14283333333
391.00,9.29458333331,28.1493333334,19.0473333334,13.6331666667,9.54375000001,7.21341666667,10.1763,6.18891666667,8.16041666667
391.36,9.22999999999,28.1945833333,19.052,13.5943333333,9.50983333333,7.17016666667,10.1548333333,6.15933333333,8.10808333333
391.72,9.21324999999,28.2286666667,19.03,13.54125,9.46933333335,7.12716666667,10.1218166667,6.14583333334,8.05441666667
392.08,9.23716666667,28.3045,19.0739166667,13.5510833334,9.49708333332,7.16966666667,10.1382166666,6.18716666667,8.081
392.44,9.24766666666,28.3824166667,19.0916666667,13.5566666667,9.48000000001,7.19325,10.1754833333,6.21066666667,8.0975
392.80,9.27408333334,28.4371666667,19.0955833333,13.5405,9.49599999999,7.16908333334,10.2099583333,6.20766666667,8.1015
393.16,9.24750000001,28.4755833334,19.0575,13.4976666666,9.45133333334,7.12991666667,10.2208916667,6.20025,8.05283333334
393.52,9.30191666667,28.6241666667,19.15425,13.558,9.51583333334,7.198,10.2751,6.26375,8.088
393.88,9.39699999999,28.73225,19.3103333333,13.67025,9.62383333335,7.24258333333,10.3501083333,6.35766666667,8.175
394.24,9.45333333335,28.8608333333,19.44725,13.7815,9.69300000001,7.32991666667,10.4326083333,6.4445,8.21358333334
394.60,9.51441666666,28.9149166667,19.5006666666,13.7971666667,9.71716666665,7.37666666667,10.4571083333,6.47241666667,8.22025
