wavelength,Back_HemMelf,Belly_HemMelf,Breast_HemMelf,Crissum_HemMelf,Crown_HemMelf,DorTail_HemMelf,Patch10_HemMelf,Patch11_HemMelf,Rump_HemMelf,Throat_HemMelf,WingTip_HemMelf
780.64,15.8911666667,44.13225,39.9985833333,35.6453333333,14.684,20.3685833333,6.81891666667,26.9609166667,15.1886666667,39.0109166667,17.6105
780.95,16.07675,44.8028333333,40.1135,35.902,15.28525,20.557,7.08649999999,27.4418333333,15.8155,39.7026666666,17.8988333334
781.26,16.5989166667,45.423,40.3343333334,36.5100833333,15.9289166667,21.1006666667,7.61816666666,27.5744166667,16.39575,39.9275833333,18.4733333333
781.57,16.9664166667,45.67175,40.9134166667,36.6004166667,16.2515,21.502,7.71816666666,27.3755,16.85875,40.3444166667,18.6423333333
781.88,16.0600833334,45.0615,40.4065,35.5151666667,15.5955,20.4315833333,6.68708333334,27.1345833334,15.60325,39.4690833333,17.58025
782.19,16.3220833333,45.2165,40.8333333333,35.697,15.82525,21.162,6.64266666666,27.1635,15.9455833333,39.5674166667,17.9006666667
782.50,16.4485833333,44.6008333333,40.8584166667,35.4025,15.8261666667,21.22525,6.69258333333,27.4329166667,15.74525,39.4035,17.94375
782.81,16.5779166667,43.2479166667,39.94025,34.8015833333,15.497,20.9663333333,6.51816666668,27.4605,14.87575,38.5930833333,18.0138333334
783.12,16.4863333333,42.6006666667,39.2331666667,34.6773333333,14.9868333333,21.01775,5.68658333332,27.26975,14.15925,38.2661666667,17.5679166667
783.43,14.7199166667,41.1695833333,37.6988333334,32.6705833333,13.1626666667,19.7895833333,3.92624999999,25.6214166667,12.119,36.7461666667,15.8798333333
783.74,14.8529166667,41.054,37.4264166667,32.5406666666,13.2353333333,19.8693333333,4.10958333332,25.6535,12.026,36.0784166666,15.866
784.05,15.9030833334,42.1783333333,37.833,33.715,14.1975,20.80075,5.385,26.6731666667,13.296,36.7770833333,16.8453333333
784.36,16.6425,41.9228333333,37.9523333333,34.1259166667,14.8735833334,21.4538333334,6.19599999999,27.2415,14.049,36.9036666666,17.091
784.67,15.7138333333,40.6571666667,37.3224166667,33.2445,14.1068333333,20.82525,5.10325,26.3,13.33175,36.0144166667,15.746
