wavelength,Back_EmbDuif,Belly_EmbDuif,Breast_EmbDuif,Crissum_EmbDuif,Crown_EmbDuif,DorTail_EmbDuif,Patch10_EmbDuif,Patch11_EmbDuif,Rump_EmbDuif,Throat_EmbDuif,WingTip_EmbDuif
205.74,66.228,122.368333333,103.070333333,97.8073333333,106.578666667,65.7893333333,85.5263333333,97.807,39.1229333333,25.4386666667,101.316
206.12,65.58,101.811666667,92.3913333333,90.942,104.71,63.4056666667,80.797,93.1156666667,42.2463333333,25.3623333333,91.304
206.50,73.835,103.584333333,99.2833333333,101.075333333,114.695333333,63.0826666667,82.4373333333,105.734666667,55.1969333333,42.294,92.473
206.87,75.6016666667,96.9076666667,95.8763333333,97.251,111.683666667,63.9173333333,93.127,113.402333333,64.536,41.9246666667,94.8453333333
207.25,76.8626666667,102.745,97.647,98.4313333333,127.843,56.4706666667,100.0,123.137,63.6864,34.902,85.098
207.63,72.868,105.426333333,100.000333333,96.5116666667,130.232666667,58.1396666667,105.039,123.256,64.8835333333,42.248,80.6203333333
208.01,80.6306666667,120.720666667,102.252,111.711666667,152.252333333,57.2073333333,109.459333333,136.486666667,68.7389333333,43.2433333333,75.2253333333
208.39,74.627,141.293666667,108.955333333,140.298666667,165.174,57.214,122.388,147.263666667,77.2139333333,37.811,88.0596666667
208.77,76.9233333333,171.794666667,130.128333333,187.820666667,206.41,54.4873333333,149.359,198.077,105.641133333,40.3843333333,107.051333333
209.14,56.4103333333,173.504333333,129.914666667,198.290666667,203.418666667,11.9656666667,174.359,216.239333333,99.4874666667,-1.70966666667,95.7266666667
209.52,94.0473333333,265.476,170.238,280.952333333,289.285666667,13.0953333333,278.571666667,321.428333333,150.238133333,4.762,133.333333333
209.90,66.6666666667,245.097666667,157.843,232.352666667,251.960666667,36.2746666667,261.764666667,272.549,150.784533333,37.2546666667,124.51
210.28,700.0,6566.66666667,3966.66666667,7333.33333333,6433.33333333,-566.666666667,7766.66666667,7200.0,3766.66666667,-600.0,3033.33333333
210.66,358.333333333,-1316.66666667,-633.333333333,-1350.0,-1141.66666667,516.666666667,-1675.0,-1191.66666667,-408.333333333,633.333333333,-516.666666667
211.03,214.285666667,-304.761666667,-107.142666667,-333.333333333,-223.809666667,247.619333333,-383.333333333,-192.857,-34.7618666667,302.380666667,-85.7143333333
211.41,1733.33333333,-1766.66666667,-683.333333333,-2050.0,-616.666666667,1450.0,-2100.0,-1050.0,-356.666666667,2266.66666667,-583.333333333
211.79,-323.333333333,386.666666667,46.6666666667,420.0,13.3333333333,-243.333333333,363.333333333,173.333333333,98.6666666667,-463.333333333,146.666666667
212.17,-451.851666667,296.296333333,33.3336666667,396.296333333,-59.2593333333,-192.592666667,414.815,162.963,92.5924666667,-562.963,74.074
212.55,1208.33333333,-208.333333333,391.666666667,-333.333333333,600.0,750.0,-633.333333333,83.3333333333,168.333333333,1466.66666667,308.333333333
212.92,-2600.0,500.0,-1083.33333333,266.666666667,-1300.0,-1500.0,1233.33333333,-450.0,-326.666666667,-2950.0,-600.0
213.30,-241.176666667,131.372666667,1.961,135.294,-92.1566666667,-82.353,192.156666667,-1.42108547152e-14,48.6275333333,-286.274666667,27.451
213.68,-115.151333333,79.798,33.3333333333,81.8183333333,-44.4446666667,-3.03033333333,121.212,1.01,47.2727333333,-131.313,15.1513333333
214.06,-243.859666667,57.8946666667,-5.26333333333,122.807,-156.140333333,-82.4563333333,147.368333333,-28.07,53.3332,-289.473666667,-28.07
214.44,-215.942,31.884,-60.8693333333,60.8693333333,-160.869666667,-105.797,113.043666667,-7.246,23.4783333333,-262.318666667,-26.0866666667
214.81,-708.333333333,-58.3333333333,-358.333333333,4.16666666667,-645.833333333,-554.166666667,183.333333333,-116.666666667,-47.5,-991.666666667,-283.333333333
215.19,6033.33333333,1100.0,3666.66666667,1166.66666667,6333.33333333,5666.66666667,-566.666666667,1600.0,533.333333333,8533.33333333,3633.33333333
215.57,690.476333333,-80.9523333333,400.0,47.619,690.476,799.999666667,-395.238333333,109.524,-127.618866667,947.619,433.333666667
215.95,566.666666667,37.5,333.333333333,104.166666667,666.666666667,745.833333333,-300.0,95.8333333333,-70.8333333333,875.0,500.0
216.32,402.564,35.8973333333,328.205,120.512666667,484.615333333,569.231,-97.436,107.692333333,27.1794,551.282,276.923
216.70,493.333333333,10.0,323.333333333,180.0,553.333333333,766.666666667,-123.333333333,156.666666667,60.6666666667,683.333333333,383.333333333
217.08,193.333333333,-10.0,110.0,90.0,246.666666667,351.666666667,-50.0,91.6666666667,33.6666666667,350.0,198.333333333
217.46,134.375,-9.375,121.875,75.0,148.958333333,231.25,-21.875,69.7916666667,38.9583333333,214.583333333,157.291666667
217.83,102.963,6.66666666667,105.185,67.4076666667,102.962666667,181.481666667,-2.22233333333,62.2223333333,37.6293333333,154.074,121.481666667
218.21,116.666333333,17.544,126.316,93.8596666667,102.631666667,241.228,11.4036666667,97.3683333333,63.3334666667,179.824666667,164.912333333
218.59,92.1053333333,-6.14033333333,100.877,87.7196666667,78.9476666667,235.965,21.0526666667,108.772,48.5965333333,162.281,207.895
218.97,78.2606666667,7.24633333333,71.739,76.087,55.0723333333,193.478,31.884,93.478,31.0143333333,115.942333333,160.869666667
219.34,87.097,-12.9033333333,95.699,86.0216666667,51.613,255.914,25.8066666667,109.677333333,47.0969333333,139.785,208.602333333
219.72,130.864333333,49.3826666667,139.506,108.642,76.5433333333,316.049333333,80.247,148.148,113.827333333,225.926,253.086333333
220.10,93.3333333333,25.0,91.6666666667,81.6666666667,30.8333333333,229.166666667,32.5,105.0,82.5,153.333333333,160.833333333
220.47,100.0,30.9526666667,70.635,90.476,52.381,220.635,27.7776666667,108.73,86.6668,153.968,164.285666667
220.85,100.0,33.3333333333,67.3076666667,79.4873333333,47.436,175.641,19.2306666667,88.4616666667,62.5641333333,131.410333333,125.0
221.23,112.5,49.4046666667,84.5236666667,91.6666666667,79.7616666667,195.238,31.5476666667,99.4046666667,83.5716,128.571666667,130.357333333
221.61,122.222,70.1756666667,88.304,115.789666667,108.772,212.280666667,38.0116666667,115.789666667,97.7777333333,150.292333333,143.86
221.98,133.333333333,81.4816666667,99.3826666667,121.605,124.691333333,238.271666667,53.0863333333,119.753,109.5062,174.691333333,150.0
222.36,130.845666667,86.0696666667,96.5176666667,110.447666667,138.806,193.035,60.199,113.433,108.258933333,164.676666667,137.811
222.74,182.716,119.753,120.370666667,150.617333333,186.42,230.864333333,78.3953333333,144.444,144.197533333,211.111,146.296
223.11,272.916666667,161.458333333,178.125,232.291666667,319.791666667,347.916666667,97.9166666667,233.333333333,241.666666667,340.625,211.458333333
223.49,238.095333333,132.381,126.666666667,203.809666667,274.286,290.476,59.0476666667,217.143,182.6668,280.000333333,180.0
223.87,174.83,102.040666667,102.041,164.626,227.891333333,227.211,63.2653333333,182.313,140.952533333,206.802666667,165.306333333
224.24,162.345666667,109.259333333,103.086666667,164.814666667,218.518666667,204.938,75.926,185.802333333,120.123133333,185.185333333,172.839333333
224.62,147.916333333,113.541666667,106.25,154.166666667,197.395666667,194.270666667,83.8536666667,185.416666667,124.687266667,178.645666667,168.229333333
225.00,152.873666667,130.46,104.597666667,164.368,219.540333333,217.816,97.1263333333,212.069,133.5632,197.126333333,193.678
225.38,164.0,126.0,102.666666667,198.666666667,233.333333333,222.666666667,99.3333333333,239.333333333,139.866666667,229.333333333,209.333333333
225.75,205.714333333,142.857333333,139.047666667,256.190666667,295.238,281.905,138.095333333,328.571333333,170.0954,272.381,284.761666667
226.13,162.499666667,127.083333333,115.278,206.944333333,238.889,207.639,113.194333333,268.75,141.1112,201.388666667,231.944333333
226.51,147.101666667,97.1013333333,106.521666667,212.319,220.289666667,207.246,96.3766666667,265.942,126.521466667,181.159333333,218.841
226.88,104.166333333,66.1453333333,76.0413333333,161.458,151.041666667,161.458,65.104,190.625,97.1874666667,132.291333333,163.541333333
227.26,90.991,62.6123333333,70.2703333333,136.486666667,116.667,136.937,49.099,158.558666667,74.7748666667,105.405333333,145.495666667
227.64,95.926,67.4073333333,87.778,132.592666667,115.555333333,127.407333333,66.6666666667,143.333333333,85.3332,107.037,138.518666667
228.01,93.3993333333,57.4256666667,75.5776666667,116.171333333,94.7193333333,112.871333333,64.0263333333,127.722666667,73.7953333333,93.0693333333,117.821666667
228.39,83.9866666667,54.2483333333,64.3793333333,97.3853333333,91.83,106.862666667,60.4573333333,117.973666667,73.7253333333,86.928,109.477
228.76,68.1546666667,42.262,49.1073333333,84.2263333333,71.726,94.6426666667,52.381,97.024,55.4762,65.1786666667,89.5833333333
229.14,65.3543333333,40.9446666667,47.769,82.1523333333,68.2413333333,87.139,55.9056666667,94.7503333333,59.1603333333,61.155,89.239
229.52,61.68,46.9816666667,44.357,75.328,65.8793333333,85.302,55.3806666667,91.3386666667,56.0105333333,57.7426666667,90.2886666667
229.89,54.398,39.5833333333,26.6206666667,57.4073333333,44.676,60.648,42.3613333333,67.1296666667,45.3704,43.287,71.065
230.27,50.376,30.0753333333,21.303,52.6316666667,37.093,56.391,36.09,64.6616666667,37.2429333333,29.3233333333,65.9146666667
230.65,52.0323333333,31.9783333333,19.512,53.6583333333,37.1273333333,59.0786666667,40.1083333333,71.8156666667,37.6692,33.8753333333,70.4606666667
231.02,56.7566666667,39.3393333333,17.7176666667,53.1533333333,40.841,54.9546666667,48.3483333333,79.5796666667,42.6426666667,34.234,79.88
