wavelength,Back_TanGyrf,Belly_TanGyrf,Breast_TanGyrf,Crissum_TanGyrf,Crown_TanGyrf,DorTail_TanGyrf,Patch10_TanGyrf,Patch11_TanGyrf,Patch12_TanGyrf,Patch13_TanGyrf,Rump_TanGyrf,Throat_TanGyrf,WingTip_TanGyrf
611.93,22.2128333333,31.0255833333,24.34725,28.5550833334,22.3488333334,7.70804166667,17.6434166666,60.9269166667,44.9736666667,27.9777083334,20.54275,24.88575,10.8225833333
612.27,22.0839166667,30.8696666667,24.23,28.4586666667,22.3660833333,7.75066666666,17.5805833333,60.8766666666,45.0299166667,28.046,20.4621666666,24.8214166667,10.8354166667
612.60,21.9893333333,30.73175,24.1623333333,28.3789166667,22.3989166667,7.7865,17.53675,60.8685,45.1385,28.1717083334,20.4068333333,24.7531666667,10.902
612.94,21.81125,30.6075,24.0578333334,28.293,22.3975833333,7.8145,17.4705,60.8030833333,45.1884166666,28.23875,20.30175,24.7198333333,10.9536666667
613.27,21.6463333333,30.54275,23.95475,28.19725,22.4510833333,7.777625,17.3892916666,60.812,45.2995833333,28.3872916667,20.2331666666,24.6596666667,10.95225
613.61,21.4890833333,30.41375,23.8673333333,28.0995833333,22.4358333334,7.753875,17.244375,60.8255,45.3711666667,28.451625,20.1335833333,24.5568333333,10.9405
613.94,21.27575,30.2318333334,23.7119166667,27.9521666667,22.4135833333,7.71154166667,17.11925,60.72625,45.3530833333,28.4907083333,19.9896666667,24.4508333333,10.9595833333
614.28,21.0605833333,30.0729166667,23.575,27.80375,22.3939166667,7.717875,17.012,60.6625,45.3864166666,28.5434583333,19.9016666667,24.3111666667,10.94875
614.61,20.9525833333,29.9698333333,23.5025,27.7231666667,22.39825,7.74554166666,16.92825,60.63675,45.50475,28.6842916667,19.8706666667,24.2755833333,11.02875
614.94,20.7798333333,29.876,23.3605833333,27.5803333333,22.3933333333,7.778375,16.8568333333,60.5824166667,45.5549166667,28.818125,19.7975,24.2125,11.0684166667
615.28,20.73225,29.8060833333,23.26075,27.5646666667,22.458,7.80033333333,16.7952083333,60.6140833333,45.6935,28.9032083334,19.7783333333,24.2461666667,11.12525
615.61,20.6008333333,29.7081666667,23.1559166667,27.4891666667,22.42,7.82308333333,16.7004166667,60.4741666666,45.7419166667,28.9795416667,19.7250833333,24.15425,11.1621666667
615.95,20.4084166667,29.6035,23.0543333333,27.38675,22.3731666667,7.74866666667,16.5770416667,60.4881666667,45.8613333334,29.1013333333,19.5771666667,24.0773333333,11.1221666667
