wavelength,Back_CisLevf,Belly_CisLevf,Breast_CisLevf,Crissum_CisLevf,Crown_CisLevf,DorTail_CisLevf,Patch10_CisLevf,Patch11_CisLevf,Rump_CisLevf,Throat_CisLevf,WingTip_CisLevf
771.63,55.7879333333,71.0546,7.83173333334,57.4327666667,6.99839999999,7.7726,35.0672,36.6192,60.7194333333,7.23933333333,10.7818666667
771.94,55.7901333333,71.0011333333,7.69993333333,57.5431666667,6.89586666667,7.483,35.1831333333,36.3893333333,61.0340888889,7.1612,10.7238
772.25,55.3433666667,70.4451333333,7.92753333333,57.17,6.97693333333,7.48426666667,34.9486666667,35.9436,60.5470444444,7.31106666667,10.7794666667
772.56,55.2889,70.293,8.10339999999,57.2996666667,7.08193333333,7.43573333333,35.0713333333,35.8119333334,60.5325555556,7.6068,10.7732
772.87,54.9523666667,69.9669333333,7.41293333333,57.4213333333,6.57553333334,7.02333333333,34.8755333333,35.3151333333,60.0795333333,7.11046666667,10.1244666667
773.18,54.1828333333,68.9802666667,7.20666666667,56.4652666667,6.22206666666,6.5878,34.0852,34.7787333333,59.6233444444,6.68746666666,9.50366666665
773.50,53.6169666667,68.3478666667,7.33413333333,56.0137,6.02,6.5248,33.9381333333,34.5348,59.1161666667,6.64993333333,9.49506666667
773.81,53.7006666667,68.2413333333,7.16466666666,56.2042,6.02093333333,6.51873333333,33.8864666667,34.3847333333,58.9410333333,6.53993333333,9.65153333334
774.12,52.9285,67.545,6.13113333333,55.4862,4.9486,5.4756,32.6435333333,33.6117333333,58.0540666667,5.29573333333,8.33333333333
774.43,52.3337666667,66.945,5.51053333333,54.9413666667,4.17200000001,4.79786666667,31.9817333333,33.0421333333,57.6835666666,4.68506666667,7.82286666667
774.74,52.3582,67.3328666667,5.2064,54.7407666667,3.74146666666,4.3238,32.0538,33.1435333334,57.5704888889,4.38133333333,7.14760000001
775.05,52.6058666666,67.2422,5.12273333333,54.6341333333,3.37346666667,3.93133333333,32.2536666666,33.1502666667,57.8483888889,4.14553333333,7.16646666666
775.36,52.3988,67.1206,5.40266666667,54.2790666667,3.48913333333,4.20553333333,32.0249333333,33.1152666667,57.3231111111,4.2724,7.34320000001
775.67,53.6127,68.2346,5.54413333333,55.1783333333,3.72186666666,4.2716,32.7653333333,34.0149333333,58.3270111111,4.53973333333,7.52999999999
775.98,53.7373,68.1451333333,5.16973333333,54.7796333333,3.49866666666,3.7742,32.5298666667,34.0678,58.3486444444,4.10933333333,7.12573333333
