wavelength,Back_HetRubm,Belly_HetRubm,Breast_HetRubm,Crissum_HetRubm,Crown_HetRubm,DorTail_HetRubm,Patch10_HetRubm,Rump_HetRubm,Throat_HetRubm,WingTip_HetRubm
812.32,4.104,25.0416666667,18.97,4.02,4.439,2.13566666667,76.4656666667,61.097,19.0956666667,12.5206666667
812.63,3.83266666667,27.304,20.5856666667,5.34033333333,4.048,2.75633333333,79.285,62.705,20.4993333333,13.7813333333
812.93,2.272,27.6536666667,20.1836666667,5.94133333333,4.01933333333,2.14066666667,79.8603333333,62.4726666667,19.834,13.0186666667
813.24,1.81566666667,27.7563333333,21.1413333333,7.739,3.93433333333,3.156,79.68,62.5593333333,20.19,13.2296666667
813.54,1.38166666667,26.1656666667,20.423,8.07433333333,4.318,3.368,79.5336666667,63.0396666667,20.078,12.2626666667
813.85,0.935,26.0203333333,20.1106666667,7.398,4.379,2.126,78.1886666667,62.713,20.2806666667,12.5423333333
814.15,1.43466666667,25.0213333333,20.8016666667,7.97466666667,4.64133333333,2.65833333333,77.7216666667,63.671,20.0843333333,13.1223333333
814.46,1.68333333333,26.1783333333,21.3806666667,7.99666666667,5.55566666667,3.325,78.6196666667,63.6786666667,20.4543333333,13.2156666667
814.76,0.722666666667,25.8076666667,20.791,7.653,6.12233333333,2.50833333333,77.806,63.01,19.2603333333,14.201
815.07,-0.000333333333333,25.0956666667,20.0423333333,6.624,5.43533333333,0.976666666667,77.5796666667,63.015,18.641,13.8426666667
815.37,0.173333333333,24.8483333333,20.1733333333,6.32033333333,5.541,0.129666666667,78.961,64.4156666667,17.5756666667,13.853
815.68,-0.472,23.5093333333,18.5326666667,5.01933333333,4.676,-1.45866666667,77.263,63.4063333333,16.1306666667,12.1836666667
815.98,1.21,23.1123333333,18.273,4.96466666667,5.79866666667,-1.08466666667,75.3023333333,62.453,15.436,13.0163333333
816.29,2.05,23.001,18.204,4.469,6.396,-0.41,74.539,62.034,15.58,13.325
816.59,3.13733333333,23.3903333333,18.704,4.15666666667,7.74233333333,-0.407333333333,74.7756666667,62.51,16.259,13.529
816.89,4.32166666667,24.2093333333,20.008,4.842,8.24333333333,2.22044604925e-16,75.87,63.2253333333,16.5666666667,14.526
817.20,5.211,25.3776666667,20.4453333333,4.972,8.27366666667,0.517333333333,76.6506666667,64.0413333333,17.8203333333,13.8423333333
817.50,5.46366666667,25.8646666667,20.165,5.03166666667,9.316,0.746666666667,76.8866666667,64.2296666667,18.5143333333,13.3256666667
817.81,5.00766666667,25.1526666667,18.8836666667,4.58733333333,8.75366666667,0.153,76.2616666667,63.341,17.6223333333,12.7676666667
818.11,6.29133333333,25.754,19.4263333333,5.07733333333,9.08733333333,0.736,77.52,65.011,18.9106666667,12.1413333333
818.41,8.25466666667,26.2626666667,20.5503333333,6.86166666667,10.728,2.57733333333,77.4293333333,65.134,20.0976666667,12.7833333333
