wavelength,Back_ConBicm,Belly_ConBicm,Breast_ConBicm,Crissum_ConBicm,Crown_ConBicm,DorTail_ConBicm,Patch10_ConBicm,Rump_ConBicm,Throat_ConBicm,WingTip_ConBicm
767.57,6.92733333333,60.3201111111,41.7245555555,58.4235555555,8.30788888888,11.8815555556,27.1051111111,11.0342222222,48.4265555555,12.7346666667
767.88,6.63833333333,60.5326666667,41.4914444444,58.4166666667,7.81344444445,11.265,26.978,10.8158888889,48.2463333333,12.2676666667
768.20,6.14677777778,60.0813333333,41.0882222222,58.0726666667,7.28444444444,10.6088888889,26.6907777778,10.4054444444,47.8134444444,11.8164444445
768.51,6.08022222222,60.0683333333,40.909,57.7265555556,6.99855555555,10.6455555556,26.7742222222,10.4157777778,47.7043333333,11.4784444444
768.82,5.92588888889,59.771,40.5858888889,57.8854444444,7.03022222222,10.2827777778,26.7541111111,10.2894444444,47.7508888889,11.2862222222
769.13,5.79133333333,59.0633333333,40.4307777778,57.1075555556,6.74866666667,10.4547777778,26.7214444444,9.96922222223,47.077,11.1452222222
769.44,6.45911111111,58.6957777778,40.6926666667,56.7581111111,7.39366666668,11.1111111111,26.9015555556,10.3826666666,47.248,11.9424444445
769.76,6.92611111111,58.4708888889,41.0127777778,56.6855555556,7.7771111111,11.6204444444,27.0071111111,10.8041111111,47.5134444444,11.941
770.07,6.90433333333,58.1392222222,40.8141111111,56.4881111111,7.29588888888,11.1752222222,26.7991111111,10.3566666667,47.0068888889,11.6235555556
770.38,6.79066666667,57.3125555556,39.9871111111,55.613,6.89133333335,10.8732222222,26.0602222222,9.79333333333,46.5326666667,10.9598888889
770.69,6.37633333333,56.4237777778,39.0967777778,54.7822222222,6.30344444446,10.0022222222,25.2352222222,9.032,45.9034444445,10.4543333333
771.00,5.95233333334,56.1397777778,38.6116666667,54.7694444444,5.84744444444,9.12700000002,24.4084444444,8.64766666668,45.8521111111,10.0704444444
771.32,6.33744444445,56.0441111111,38.5657777778,54.27,6.67566666668,9.6452222222,24.7181111111,9.08877777779,46.0682222222,10.6602222222
771.63,6.62266666666,55.8734444444,38.4045555556,53.7994444445,6.66066666666,9.60500000001,24.7805555555,8.87077777779,45.5874444444,10.7932222222
