wavelength,Back_TanParf,Belly_TanParf,Breast_TanParf,Crissum_TanParf,Crown_TanParf,DorTail_TanParf,Patch10_TanParf,Patch11_TanParf,Patch12_TanParf,Patch13_TanParf,Rump_TanParf,Throat_TanParf,WingTip_TanParf
539.34,8.61935000001,32.8666,74.7957333333,20.9139333333,23.3090666667,9.48780000001,51.4225333334,121.341333333,3.29453333333,72.1985333333,136.245,11.8402,7.69453333333
539.69,8.60800000001,32.9078,74.7294666667,20.9141333333,23.4471333333,9.4896,51.4018,121.2044,3.28026666667,72.3529333333,136.323466667,11.8197333333,7.6862
540.03,8.63781666667,33.0153333333,74.7430666667,20.967,23.6168,9.52146666666,51.4504,121.237733333,3.29706666667,72.5855333333,136.529666667,11.8481333333,7.7004
540.37,8.62385000001,33.0422,74.7048,20.9857333334,23.733,9.50933333334,51.4076,121.1846,3.27553333333,72.7300666667,136.604066667,11.8466666667,7.68946666667
540.72,8.60855,33.0602666667,74.5892666667,20.9988666667,23.8416666667,9.51626666667,51.3373333333,120.992733333,3.2618,72.7614666667,136.5648,11.8400666667,7.6828
541.06,8.5926,33.0787333333,74.4758666667,21.0101333333,23.9260666667,9.50326666667,51.2345333333,120.8204,3.24493333333,72.7888,136.501666667,11.8179333333,7.66713333333
541.40,8.57688333334,33.0877333333,74.3642666667,20.9968666667,24.0101333333,9.49646666666,51.0991333333,120.598533333,3.23213333333,72.7959333334,136.418866667,11.7962666667,7.6568
541.75,8.57046666666,33.1145333333,74.2414666667,21.0096,24.102,9.49933333333,50.9648666667,120.398733333,3.22946666667,72.7816666667,136.326,11.7806,7.652
542.09,8.56470000001,33.1427333333,74.08,21.0135333333,24.1954666667,9.49920000001,50.7873333333,120.126,3.2322,72.7548,136.178533333,11.7688,7.65686666667
542.43,8.56839999999,33.1882666667,73.9417333333,21.0525333333,24.3128666667,9.51766666667,50.5946666667,119.878266667,3.25306666667,72.7162,136.055133333,11.7668,7.67006666667
542.78,8.57391666667,33.2286,73.7718666667,21.0863333333,24.4384,9.5358,50.3603333333,119.596333333,3.282,72.6544,135.917666667,11.7736666667,7.67706666667
543.12,8.58043333333,33.2786666667,73.6040666667,21.1274,24.5762666667,9.54606666667,50.1529333333,119.358533333,3.31193333334,72.607,135.8322,11.7706,7.69653333333
543.46,8.59855000001,33.3370666667,73.4072,21.1931333333,24.727,9.58526666667,49.9386,119.0874,3.33806666667,72.5567333333,135.7118,11.7924666667,7.7248
543.81,8.60453333333,33.3525333333,73.1284,21.2312666667,24.8756666667,9.60513333333,49.6647333333,118.707066667,3.355,72.4503333333,135.512866667,11.7922666667,7.7394
544.15,8.62445000001,33.4120666667,72.9002666667,21.2754,25.0470666667,9.61926666666,49.4445333333,118.365533333,3.3776,72.3915333333,135.432866667,11.8058,7.75766666667
544.49,8.65058333333,33.5133333333,72.7388666667,21.3377333333,25.2272,9.63559999999,49.2716666667,118.181266667,3.40993333333,72.4339333333,135.427333333,11.821,7.78326666667
544.84,8.65166666666,33.5578666667,72.5056666667,21.3670666667,25.3879333333,9.65446666667,49.0785333333,117.845333333,3.42233333333,72.3923333333,135.330666666,11.8074,7.78373333333
545.18,8.68944999999,33.6572,72.3372,21.4619333333,25.5829333333,9.69586666666,48.9483333333,117.612933333,3.4676,72.4049333334,135.310933333,11.8434666667,7.8282
545.52,8.71728333334,33.7534666667,72.2294666667,21.545,25.7860666667,9.71700000001,48.8692,117.481933333,3.50906666667,72.4896666667,135.3542,11.88,7.8604
545.87,8.7209,33.7915333333,72.0705333333,21.5878666667,25.9556666667,9.72446666666,48.7418666667,117.228133333,3.53533333333,72.4791333333,135.287266667,11.8946666667,7.863
546.21,8.73050000001,33.8751333333,71.9274666667,21.6502,26.1414,9.74960000001,48.6546666667,117.0146,3.5532,72.5389333333,135.276733333,11.9151333333,7.87633333334
546.55,8.72223333333,33.9392666667,71.7516,21.6882666667,26.2837333333,9.73499999999,48.5356,116.765333333,3.543,72.5580666667,135.207666667,11.898,7.875
546.90,8.73051666666,34.0170666667,71.6149333333,21.7450666667,26.4431333333,9.75986666666,48.4195333333,116.539066667,3.556,72.5837333333,135.1136,11.9018666667,7.8718
547.24,8.75824999999,34.1026,71.4887333333,21.8029333333,26.6294666667,9.77466666666,48.3162,116.310533333,3.59326666667,72.5977333333,135.0324,11.9242,7.87686666667
547.58,8.75511666666,34.1724,71.3046,21.8304,26.7715333333,9.76533333334,48.1542,115.9282,3.61,72.5511333333,134.795133333,11.9144666667,7.88066666667
547.92,8.74895000001,34.222,71.0934666667,21.8683333333,26.9140666667,9.77753333333,47.9537333333,115.5532,3.6332,72.4966,134.495333333,11.898,7.88353333333
548.27,8.74923333334,34.284,70.8890666667,21.9217333333,27.0734,9.79286666666,47.7718666667,115.133133333,3.65906666667,72.4262666667,134.266066667,11.9041333333,7.9014
548.61,8.78915,34.3977333333,70.7913333333,22.0148666666,27.2913333333,9.82626666667,47.6628666667,114.932466667,3.70513333333,72.4846666667,134.193266666,11.9646,7.95726666667
548.95,8.78935000001,34.4562666667,70.61,22.0623333333,27.4784,9.8296,47.4974,114.657466667,3.71753333333,72.5006666666,134.041066667,11.9502,7.96566666667
549.29,8.7988,34.4904666667,70.3414,22.1117333333,27.6372,9.85513333333,47.278,114.164533333,3.7306,72.4197333333,133.705133333,11.9414,7.96886666667
549.64,8.8421,34.6804,70.2132,22.2334666667,27.8784666667,9.92066666667,47.1793333333,113.9204,3.7912,72.5078,133.657666667,11.9958,8.02173333333
549.98,8.83963333333,34.7299333333,69.9131333333,22.2461333333,28.0144,9.91986666666,46.9604,113.443733333,3.81633333333,72.4038666666,133.297866667,12.0011333333,8.01186666667
550.32,8.85373333334,34.8124666667,69.7593333333,22.3114666667,28.2133333333,9.95466666666,46.8596,113.1364,3.8388,72.4127333333,133.2078,12.0028,8.01413333334
550.66,8.85688333334,34.8619333333,69.5346666667,22.3598666667,28.3660666667,9.95626666667,46.7332,112.743666667,3.85906666667,72.3629333333,133.015,12.0052,8.0238
551.01,8.85946666667,34.9122666667,69.2898666667,22.4155333333,28.4940666667,9.97420000001,46.5806666667,112.377333333,3.88046666667,72.3132666667,132.8124,12.0093333333,8.04053333333
551.35,8.87503333333,35.0202666667,69.2042666667,22.5190666667,28.6967333333,10.0030666667,46.5282666667,112.269733333,3.91086666667,72.4228,132.871933333,12.048,8.06986666667
551.69,8.87479999999,35.1159333333,69.1190666667,22.5838,28.8937333333,10.0173333333,46.4876,112.168933333,3.913,72.5222666667,132.9836,12.0632,8.07553333333
552.03,8.85873333333,35.1392666667,68.9166,22.598,29.0144666667,10.0006,46.3417333333,111.903133333,3.89933333333,72.5200666667,132.802933333,12.0536,8.05666666667
552.38,8.8461,35.1774,68.6836,22.6216666667,29.1386666667,9.99780000001,46.1726,111.523066667,3.91173333333,72.4372666667,132.533066666,12.0364666667,8.04046666666
552.72,8.82606666667,35.2200666667,68.4695333333,22.653,29.2356666667,10.0023333333,45.9982666667,111.1796,3.92373333333,72.3984666667,132.264533333,12.0535333333,8.02493333333
553.06,8.8092,35.2708666667,68.2964,22.6633333333,29.3474,9.973,45.8216,110.901333333,3.91906666667,72.3711333333,132.109866667,12.0411333333,8.00026666667
553.40,8.80689999999,35.2530666667,68.0494666667,22.6943333333,29.4497333333,9.93813333334,45.616,110.556466667,3.9108,72.29,131.799533333,12.0086666667,7.96666666667
553.74,8.85041666667,35.3378,67.9588666667,22.8239333333,29.6560666667,9.96813333334,45.5311333333,110.385866667,3.96013333333,72.336,131.682733334,12.0566,8.03406666667
554.09,8.87853333333,35.3774666667,67.7478666667,22.8786666667,29.7858,9.98673333333,45.325,109.962133333,4.03026666667,72.2461333333,131.2918,12.1011333333,8.092
554.43,8.91566666666,35.5031333333,67.6113333333,22.9604666667,29.9924,10.0248,45.1753333333,109.710266667,4.07873333333,72.2752666667,131.121133333,12.1398666667,8.1292
554.77,8.93523333333,35.5931333333,67.5084666667,23.022,30.2066,10.0476,45.0289333333,109.461066667,4.11126666667,72.3143333333,130.964,12.1596666667,8.1666
555.11,8.95038333334,35.5978,67.2766666667,23.0632666667,30.3392,10.0656,44.8226,109.023333333,4.15933333333,72.1987333333,130.573533334,12.1584666667,8.1792
555.45,8.98604999999,35.6241333333,66.9937333333,23.1046666667,30.4804,10.0899333333,44.5836666667,108.477333333,4.23033333333,72.0391333333,130.0352,12.1750666667,8.2192
555.80,8.99476666666,35.6526666667,66.8167333333,23.1669333333,30.6360666667,10.1004,44.4042,108.099533333,4.282,71.9339333333,129.750066667,12.1803333333,8.23653333333
556.14,9.00511666666,35.6935333333,66.5993333333,23.2186,30.7744,10.1002666667,44.2051333333,107.658733333,4.32113333333,71.8285333333,129.3754,12.1802666667,8.2452
556.48,9.03891666667,35.808,66.4950666667,23.3039333333,30.9957333333,10.1244,44.1178,107.370866667,4.36633333333,71.8351333333,129.23,12.2004,8.2884
556.82,9.04889999999,35.8411333333,66.2805333333,23.3566,31.1305333333,10.1422,43.9368666667,106.963733333,4.39726666667,71.7306,128.910133333,12.2035333333,8.30093333333
557.16,9.03349999999,35.8792,66.0728,23.3633333333,31.2676,10.1396,43.7860666667,106.553266667,4.41206666667,71.6276666667,128.5774,12.1763333333,8.3198
557.50,9.00196666667,35.907,65.8452,23.3384,31.372,10.1198666667,43.5623333333,106.149133333,4.4004,71.5072666667,128.250066667,12.1276666667,8.29693333333
557.85,8.98348333333,35.9744,65.6802,23.3898666667,31.5192666667,10.1319333333,43.4259333333,105.876933333,4.40246666667,71.4817333333,128.055866667,12.1100666667,8.29093333333
558.19,8.95791666666,35.9471333334,65.4116,23.3864,31.6204,10.1212666667,43.2115333333,105.458066667,4.41186666667,71.327,127.676866667,12.0770666667,8.29426666667
558.53,8.91771666666,35.9280666667,65.0957333333,23.3705333333,31.7164,10.0884,42.9916,104.993933333,4.41613333333,71.1514666667,127.2266,12.0298666667,8.24033333333
558.87,8.89960000001,35.9718,64.8717333333,23.4071333333,31.8514,10.077,42.8118,104.5934,4.41993333333,71.0293333333,126.9218,12.0005333333,8.24546666667
559.21,8.85778333333,36.0005333333,64.652,23.4282666667,31.9710666667,10.0587333333,42.6568,104.266733333,4.4034,70.9452666667,126.672133333,11.9702666667,8.21973333333
559.55,8.83738333333,36.0656,64.4422666666,23.4552666667,32.1144666667,10.0480666667,42.4722666667,103.9506,4.40006666667,70.8260666667,126.409,11.9160666667,8.20193333333
559.89,8.83518333334,36.1536666666,64.3400666667,23.5078666667,32.2806666667,10.0856,42.3604666667,103.7668,4.4206,70.8122666667,126.304466667,11.9026,8.21873333333
560.23,8.78201666666,36.1016,64.023,23.4819333334,32.3492666667,10.0342666667,42.0973333333,103.278,4.4042,70.5764,125.8328,11.8361333333,8.18953333333
560.58,8.73943333333,36.0799333333,63.7712,23.4815333333,32.4541333333,9.9924,41.8844666667,102.8588,4.39326666666,70.4156,125.418733333,11.7773333333,8.1772
560.92,8.74440000001,36.1494,63.6164666667,23.5471333333,32.6146666667,10.0194,41.6977333333,102.542466667,4.4374,70.323,125.147533334,11.7854,8.19353333333
561.26,8.76533333333,36.2094,63.416,23.5971333333,32.7674666667,10.0440666667,41.5383333333,102.130266667,4.49293333333,70.1856666667,124.737933333,11.7923333333,8.211
561.60,8.77831666667,36.2508666667,63.1766666667,23.6390666667,32.9209333333,10.0498666667,41.3664,101.754,4.53926666667,70.0361333333,124.341466667,11.7955333333,8.23
561.94,8.78048333334,36.3306666667,63.0529333333,23.7094666667,33.1007333333,10.0656,41.2198,101.424866667,4.582,69.9648666667,124.0486,11.8128666667,8.25413333333
562.28,8.75193333334,36.3740666667,62.8773333333,23.7497333333,33.2111333333,10.0331333333,41.0154666667,101.0726,4.59293333333,69.8242666667,123.755866667,11.7865333333,8.25013333333
562.62,8.7234,36.3924666667,62.656,23.7402,33.3233333333,10.018,40.7864,100.684133333,4.6044,69.6484,123.316933333,11.7540666667,8.22446666666
562.96,8.74631666667,36.4038,62.4340666667,23.7845333333,33.4539333333,10.0462,40.5754,100.198333333,4.66713333333,69.4158,122.839533333,11.7544666667,8.26386666667
563.30,8.73214999999,36.4182,62.2122666667,23.8390666667,33.5876666667,10.0442,40.3848,99.806,4.6936,69.2757333333,122.4332,11.759,8.27546666667
563.64,8.71903333333,36.4544666667,61.95,23.8607333333,33.7004,10.0174,40.1552666667,99.398,4.71026666667,69.0666666667,121.967733333,11.7356666667,8.27453333333
563.99,8.73908333334,36.5140666667,61.8152,23.9171333333,33.8605333333,10.0571333333,40.0117333333,99.1515333333,4.7588,68.982,121.7338,11.7346666667,8.28373333333
564.33,8.74853333333,36.6089333333,61.6354666667,23.9692,34.0153333333,10.0944,39.8552,98.8528000001,4.8066,68.8423333333,121.4616,11.7312666667,8.29846666667
564.67,8.68696666667,36.5606666667,61.3357333333,23.9416,34.0656,10.0292,39.6366666667,98.3959333333,4.7884,68.576,120.9704,11.661,8.2726
565.01,8.66450000001,36.5972,61.1722,23.9880666667,34.1892666667,10.0116,39.4832666667,98.1132000001,4.80526666667,68.4662,120.6826,11.6432666667,8.27426666667
565.35,8.64655,36.5941333333,60.9621333333,23.9848,34.2858666667,9.99293333334,39.2886666666,97.7698666666,4.80513333333,68.2743333333,120.3268,11.5872,8.25493333333
