wavelength,Back_DigLaff,Belly_DigLaff,Breast_DigLaff,Crissum_DigLaff,Crown_DigLaff,DorTail_DigLaff,Patch10_DigLaff,Rump_DigLaff,Throat_DigLaff,WingTip_DigLaff
797.01,7.83070666667,9.4864,7.00226666667,8.3316,9.07013333333,12.4338,19.8388666667,10.1643333333,7.47226666666,15.3607333333
797.32,6.22961333334,8.06006666667,5.13646666665,6.65293333333,7.32923333333,10.8402666667,17.9576666667,8.62039999999,5.68326666667,13.8252
797.63,5.69649333334,7.59893333334,4.64073333332,6.42833333333,6.59303333334,10.7256,17.4344,7.55000000001,5.13839999999,13.3404
797.93,5.86454666667,7.863,4.68186666666,6.62526666667,6.6112,11.2032666667,17.4966,7.67633333333,5.36646666667,13.2228
798.24,5.14090666666,7.42466666667,4.14733333334,6.0,5.81409999999,11.3613333333,17.4526,7.25613333334,5.08066666666,12.8912666667
798.55,6.69734666667,8.79793333333,5.46466666667,7.38646666667,7.13129999999,12.8651333333,18.7352,8.4066,6.19846666667,14.0390666667
798.85,7.52985333333,9.52786666666,6.63113333333,8.0654,7.72093333333,13.8444666667,20.0994,9.34326666667,6.979,14.8455333333
799.16,7.54850666666,9.95666666667,7.417,8.4054,7.73806666666,13.5497333333,20.5122666667,9.68239999999,7.04186666665,15.0288666667
799.47,7.51230666667,9.78473333333,7.49173333333,8.03206666667,7.69620000001,13.3846,20.3944,9.60933333333,6.966,14.9252666667
799.78,7.05404,9.46646666669,7.44153333334,8.28953333334,7.61333333333,13.7501333333,20.4825333333,9.33473333334,6.30106666666,15.0438
800.08,7.04657333334,9.23359999999,7.59806666667,8.34613333334,7.45146666667,14.1254666667,20.8433333333,9.34353333335,6.27793333333,14.8588
800.39,7.16074666665,9.58333333333,8.02073333333,8.72020000001,7.38853333333,14.6727333333,21.1086666667,9.51639999999,6.6816,14.948
800.70,7.17298666667,9.3766,8.18213333335,8.80186666666,7.35726666666,14.7294,21.5453333333,9.77233333335,7.18933333333,14.916
801.00,7.91626666667,10.0972,8.84893333333,9.58133333334,8.03456666667,15.4709333333,22.5188,11.0239333333,8.31100000001,16.024
801.31,6.55780000001,9.07046666668,7.72459999999,8.75146666667,6.68223333334,14.298,21.9136,10.6107333333,7.04773333334,15.6047333333
801.62,6.53918666667,8.80126666666,7.35166666666,8.78540000002,6.6587,13.9226666667,22.0629333333,10.6650666667,7.23213333333,15.7228
801.92,4.98670666667,6.87726666666,5.75133333333,7.78460000001,4.66593333333,12.2722666667,20.5588666667,9.67213333332,5.69466666667,14.3864
802.23,4.18783999999,5.92493333333,4.49106666667,6.914,4.16979999999,11.2319333333,19.456,8.79273333334,4.95266666667,13.9184666667
