wavelength,Back_IncLaem,Belly_IncLaem,Breast_IncLaem,Crissum_IncLaem,Crown_IncLaem,DorTail_IncLaem,Patch10_IncLaem,Patch11_IncLaem,Rump_IncLaem,Throat_IncLaem,WingTip_IncLaem
822.97,35.4913333333,76.1243333333,37.6395,59.656,18.9104166667,13.59625,56.3825833333,57.84175,25.3480833333,13.13425,24.7530833333
823.27,35.7474166666,76.482,37.9278333334,59.968,19.1371666667,13.8661666667,56.5953333333,58.2058333333,25.57025,13.4415833333,24.9305
823.58,35.77625,76.2848333333,37.9325,59.9676666667,19.3025833333,14.055,56.5784166667,58.1406666666,25.622,13.5005,24.9405833333
823.88,35.75975,76.3566666667,37.96975,60.0365,19.2045,13.96975,56.5533333333,58.07825,25.6223333333,13.4264166667,24.8251666667
824.18,35.61025,76.06475,37.8656666667,60.0205833333,18.9623333333,13.8865833333,56.3729166666,57.8863333333,25.4645,13.2885,24.6104166667
824.49,35.7454166667,76.2374166667,38.11175,60.21475,18.9313333334,14.0666666667,56.4556666667,58.0396666666,25.5986666667,13.4249166666,24.7659166666
824.79,35.5215833334,75.8125833334,37.74375,59.8954166667,18.5295833334,13.8566666666,55.9844166666,57.7645833333,25.2859166667,12.9680833334,24.3870833333
825.09,35.853,76.05375,37.9186666667,60.2109166667,18.7191666667,13.994,56.2565,57.9365833333,25.2978333333,12.9268333334,24.7185833333
825.39,35.633,76.085,37.6144166667,59.9888333334,18.42175,13.9126666667,56.20925,57.8660833334,25.01575,12.3956666667,24.60825
825.70,35.8250833333,75.9344166667,37.61275,60.0365,18.49825,14.2074166667,56.2129166667,58.0189166667,25.18775,12.1638333333,24.6570833334
826.00,35.9445,75.9400833334,37.513,59.8699166667,18.6241666667,14.2716666667,56.1473333333,57.9781666667,25.2146666667,12.1313333334,24.6885
826.30,35.5845,75.9666666666,37.01275,59.70175,18.1125833333,13.7559166667,55.8886666667,57.5804166667,24.83775,11.5604166667,24.3479166667
826.61,35.8248333333,76.332,37.2326666666,60.1283333333,18.2664166667,13.6593333333,56.2945833333,57.6666666667,24.9045833334,11.3995833333,24.4649166667
826.91,35.691,76.17775,36.9824166666,59.90125,18.22725,13.3209166666,56.1605,57.436,24.69875,11.1656666667,24.2995833333
827.21,35.7685833333,75.9850833333,37.0479166667,59.8550833333,18.2769166667,13.2361666667,56.1584166666,57.4870833333,24.7625833333,11.2321666667,24.3265833333
827.51,36.1836666667,76.3779166667,37.4286666667,60.0433333333,18.7150833333,13.58075,56.7244166667,57.54825,25.1093333334,11.4896666667,24.783
827.82,35.89275,75.672,37.2935,59.3585,18.7604166667,13.5161666667,56.49425,57.0774166667,24.9725833333,11.5338333333,24.5048333333
828.12,36.1759166667,76.1009166667,37.696,59.8516666667,19.16075,13.7001666666,56.8915,57.5008333333,25.35025,11.9209166667,24.7760833333
