wavelength,Back_DacVenf,Belly_DacVenf,Breast_DacVenf,Crissum_DacVenf,Crown_DacVenf,DorTail_DacVenf,Patch10_DacVenf,Patch11_DacVenf,Rump_DacVenf,Throat_DacVenf,WingTip_DacVenf
775.67,16.6104166667,39.4551666667,30.4605519231,42.2665,18.372,18.853,17.32875,38.8055,21.3955,31.1656666667,18.4469166666
775.98,16.6791666667,38.829,30.3403128205,41.7224166667,18.3458333333,19.0335,17.5091666667,38.6431666667,21.5428333333,31.0874583333,18.4977083333
776.30,16.1736666667,38.5269166667,29.8258724359,41.3106666667,17.6904583333,18.3958333333,17.0911666667,38.3959166667,20.9363333333,30.958125,17.818375
776.61,16.3629166667,38.6674166667,30.1752076923,41.3249166667,17.7771666667,17.97025,16.9893333333,38.78125,20.83025,31.0395833333,17.4925
776.92,16.0723333333,38.1710833333,29.7162858974,40.9254166667,17.1810416666,17.45275,16.82,38.0943333333,20.4626666667,30.725875,17.098
777.23,15.75075,38.4353333333,29.6549519231,40.6475833333,16.5375833333,16.8150833333,16.6214166667,37.4936666667,20.3366666667,30.6146666667,16.7892083334
777.54,16.0119166667,38.296,29.9405897436,40.6844166667,16.6602916667,17.4370833333,17.193,37.5065,21.0324166667,31.1280833333,17.421
777.85,15.4853333333,37.9879166667,29.4965416666,40.2221666667,16.2685833333,16.9491666667,16.731,36.88375,21.03875,30.3640416667,16.9875833333
778.16,15.1750833333,37.8923333333,29.5810698718,40.467,16.254875,16.9455,16.7314166666,36.6730833334,21.07,30.5935,17.1597083334
778.47,14.0059166667,37.5199166667,28.6440576923,39.1851666667,15.2766666667,15.4325833333,15.7844166667,35.921,19.47325,29.9429583333,16.4045833334
778.78,13.5968333334,37.3194166666,28.2606217949,39.0246666667,15.03825,14.7004166667,15.2688333333,36.1958333334,18.6864166667,29.46425,15.8939166667
779.09,12.7010833333,36.6108333334,27.3230179487,38.2258333333,13.8935833333,13.72325,14.6226666666,35.7728333334,17.4501666666,28.31825,15.044875
779.40,12.4555,36.6336666667,27.2323628205,38.5168333333,13.83175,13.4140833333,14.3931666666,35.73,17.2075,27.7799166667,14.3454166667
779.71,13.3415833333,37.4965,28.2672923077,39.3875833333,14.7236666667,14.60925,15.0941666667,36.42275,18.1351666667,28.5085416667,15.2015416666
780.02,12.4858333333,37.3870833333,27.6831980769,39.5160833333,14.41775,14.3753333333,14.6293333334,35.6598333333,17.9499166667,28.3665,14.8158333333
780.33,12.09725,36.9475,27.620525641,39.5066666667,14.2750416667,14.14325,14.51375,35.35775,17.6431666667,28.33975,14.8205416667
780.64,11.602,36.32175,26.9434826923,39.34625,14.0372916667,14.0084166667,13.9655,35.0433333333,17.0618333333,28.3010416667,14.5724166667
780.95,12.4383333334,37.0249166667,27.2851538462,39.7376666667,14.6867916667,14.41825,14.4255,35.6033333333,17.15275,28.6951666667,14.6795833333
781.26,13.1161666667,37.1246666667,28.3710865385,40.0555833333,15.339875,15.223,15.1720833333,36.0526666666,17.5560833333,29.5423333334,15.2412083333
781.57,13.0649166666,36.7443333333,28.0953435897,39.3265,15.0455,14.7006666667,14.6126666667,35.6806666666,17.4149166667,28.9575416667,14.3044166667
781.88,14.03275,36.86025,28.593276282,40.53575,15.4501666667,15.372,15.27525,36.1680833333,18.0209166667,29.356375,14.5274166666
782.19,15.13575,37.4133333334,29.3710173077,41.2969166667,15.97675,16.3800833334,16.28975,37.0213333334,18.79325,30.445,15.083125
782.50,15.4083333333,37.85425,29.4214064102,41.35025,16.3050416666,16.59875,16.2899166667,36.79175,19.0401666667,30.58325,15.5968333334
782.81,16.7575833333,39.0506666667,30.461225641,42.061,17.4478333334,17.6825833333,17.37175,37.716,19.9801666667,31.8812916667,17.269375
783.12,16.5139166667,39.1154166666,30.3241519231,41.8348333333,17.732125,17.3005833333,17.1859166666,37.5495833333,19.8289166666,31.8056666667,17.407625
783.43,17.0798333333,39.5545833333,30.556300641,41.97275,18.1015,17.4855,17.90625,38.399,20.2403333334,32.0209166667,18.132
783.74,18.2176666667,40.6249166667,31.3662179487,43.148,19.1204166667,18.4104166667,18.5804166667,39.56025,21.0879166666,33.1211666667,19.0741666667
784.05,19.1573333333,41.1823333333,32.1493596154,43.34275,19.8415416667,19.2881666667,19.5955833333,39.9214166667,21.825,33.902375,19.922375
784.36,18.6093333334,40.80325,32.0028474359,42.7535833334,19.3995416667,19.10275,19.2953333333,39.701,21.454,33.4642083333,20.1744166666
784.67,18.2044166667,40.33075,30.8241474359,42.754,18.5889166667,18.7869166667,18.4219166667,39.2358333334,21.0935,33.22475,19.8432916666
784.98,17.9565,40.18125,30.6312314102,43.1596666667,18.3513333333,18.69925,18.6289166667,39.5011666667,21.0366666666,32.9541666667,20.4347083333
785.29,16.3729166667,39.3940833333,29.8268775641,41.7825,17.6020416667,17.9654166667,17.8726666667,38.76775,20.2226666667,31.930125,20.0874166667
785.60,15.17125,39.11225,29.174075,41.6978333333,16.954875,17.0715833333,17.10275,38.0375833333,19.8363333334,30.92675,19.746875
785.91,15.27775,39.3415,29.4194801282,41.7525833333,16.928125,17.4079166666,17.2440833333,38.2334166667,20.1465833333,31.1798333333,19.5343333333
786.22,13.7741666667,38.2113333333,27.7772128205,40.8851666667,15.560625,16.2993333333,16.2835833333,36.7964166667,19.3793333333,30.2455833333,18.3394166667
786.53,13.0795833333,37.7193333333,27.1436576923,40.6954166666,14.3092916667,15.49975,15.7580833333,36.4426666667,18.7421666667,29.8246666667,17.1796666667
786.84,13.5808333334,37.6108333333,27.4856301282,40.8035,14.81825,16.42225,15.8415833333,36.1135833333,19.0956666667,30.3008333333,17.5754583333
787.14,12.81875,37.02375,27.0108570513,39.874,14.603875,15.7440833334,15.8040833333,35.3586666667,18.90925,29.5604166667,16.933
787.45,12.6004166667,36.93775,26.8049320513,39.5963333334,14.3615833333,15.4008333333,15.31125,35.0314166667,18.6923333333,28.4330833333,16.4730416666
787.76,12.94825,37.2,27.4270647436,39.8073333334,14.8630833333,15.7629166666,15.6590833333,35.4518333334,18.9333333333,28.7036666667,16.35175
788.07,12.3695833334,36.893,27.6084294872,39.3135833333,14.4584166667,15.0954166667,15.4081666667,35.7089166667,18.1934166667,28.2731666667,15.527125
788.38,12.5108333333,36.8451666667,27.4405833333,38.87175,14.8668333333,15.2620833333,15.3205,35.5428333333,18.225,28.40575,15.1522083333
788.69,12.6544166667,36.7136666666,27.4007814103,39.3004166667,14.7117916667,15.219,15.1456666667,35.7215833333,18.2098333333,28.5309583333,14.8295416667
789.00,12.7445833333,37.248,27.2428461538,39.12375,14.6612916667,15.3913333333,15.1319166667,35.7578333333,17.9936666667,29.088875,15.1319583333
789.31,13.5846666667,37.1820833334,27.7097044872,39.4319166666,15.2277916667,15.5930833334,15.62225,35.90425,18.37575,29.1300833333,15.5054583333
789.62,13.8283333333,36.7703333333,27.8073096154,39.1856666667,15.2144166667,15.4554166667,15.5210833333,35.8141666667,18.1408333333,28.80175,15.3094166667
789.92,14.423,36.95575,27.9692467949,40.0715,15.5859583333,15.84675,15.6603333333,36.2700833333,18.5225833333,29.0696666667,15.7946666667
790.23,14.6923333333,37.3966666667,28.229824359,40.38125,15.8900416667,15.9320833333,15.7331666667,36.8383333334,18.6715833333,29.0404583334,15.8402916667
790.54,14.8613333333,37.4408333333,28.4602141026,40.7048333334,15.6142083333,16.2884166667,15.618,37.1413333334,18.961,29.28475,16.2526666667
790.85,14.3554166667,36.5404166667,27.7513346154,40.3311666666,14.891375,15.899,15.0751666667,36.8600833334,18.55425,29.21075,16.2387083333
791.16,13.9433333333,36.5964166667,27.3560185898,40.3828333333,14.7651666666,15.7589166667,14.67125,36.0650833333,18.82575,29.694,16.0000833333
791.47,15.7183333333,37.81625,28.2892307692,41.6583333333,16.399125,17.1044166666,16.0181666666,36.5920833333,20.63075,30.8042083334,17.6192083333
791.78,16.54475,37.8619166667,28.7707583333,41.73975,16.7723333333,18.0000833333,16.6341666666,36.7155833333,21.4065,30.825125,18.223625
792.08,17.788,38.9981666667,29.7025942308,42.3461666667,18.226125,19.0731666667,17.3789166667,37.3773333334,22.5278333333,31.59375,19.2861666667
792.39,18.5148333333,38.3755,30.2102519231,41.8449166667,18.6810833333,19.5364166667,17.7448333334,37.1676666667,22.9653333333,31.6917916667,19.3255
