wavelength,Back_TanFlom,Belly_TanFlom,Breast_TanFlom,Crissum_TanFlom,Crown_TanFlom,DorTail_TanFlom,Patch10_TanFlom,Patch11_TanFlom,Patch12_TanFlom,Rump_TanFlom,Throat_TanFlom,WingTip_TanFlom
803.76,7.36485185184,34.9471111111,14.8727777778,36.0268888889,56.3216666667,10.3316038647,9.81077777779,9.60166666668,4.41188888889,33.3681111111,15.3023333334,12.069
804.07,9.32937037037,37.0214444445,16.2464444444,38.0718888889,57.9247777778,12.3417149758,11.2511111111,11.4262222222,6.02233333334,35.294,16.9934444445,13.4336666667
804.38,10.1138148148,37.5806666667,16.5786666667,38.5895555555,58.4067777778,12.5246086957,11.5453333333,11.7446666667,6.23033333333,35.68,17.8575555555,13.7393888889
804.68,10.1397037037,37.2543333333,16.5601111111,38.6162222222,58.1733333333,12.1967584541,11.2652222222,11.5967777778,5.70955555555,35.4537777778,17.9578888889,13.5156666667
804.99,10.1484074074,37.2787777778,16.3516666667,38.0035555556,57.8965555556,11.8732318841,11.2416666667,11.4675555555,5.57355555555,35.5436666667,17.7303333333,13.155
805.30,9.88548148147,36.247,16.1058888889,36.9985555555,56.966,12.0335072464,11.2265555555,11.6314444445,5.31844444445,34.9753333333,17.5743333333,13.0708888889
805.60,9.82392592591,36.1918888889,15.6984444445,37.1598888889,55.7054444444,11.7635700483,11.0535555556,11.4106666667,5.42888888889,35.1431111111,17.4502222222,12.8631111111
805.91,10.4805925926,36.4331111111,16.1253333333,37.2308888889,55.1567777778,12.1173043478,10.9514444444,11.5441111111,5.85733333333,35.3732222222,18.1311111111,13.2364444445
806.21,10.6556666666,36.464,16.0518888889,37.1926666667,55.2254444445,12.3984782609,11.1908888889,11.3616666667,5.73777777778,35.9744444444,18.067,13.3537222222
806.52,10.2529259259,36.0797777778,15.7912222222,36.5145555556,54.56,11.7807681159,11.3971111111,10.9508888889,5.34388888889,35.5875555556,17.3933333333,12.6901111111
806.83,9.12507407408,34.84,14.8722222222,35.8063333333,53.5657777778,11.068705314,10.8004444444,9.94955555557,4.55488888889,34.9781111111,16.6092222222,11.761
807.13,9.15411111111,34.5166666667,14.6157777778,35.7693333334,52.6255555556,11.9384830918,10.8583333333,9.66333333333,4.67666666667,35.2982222222,16.8676666667,11.7087222222
807.44,9.25533333334,35.0221111111,14.5818888889,35.8957777778,52.865,12.000821256,11.0062222222,9.64344444444,4.81,35.2083333333,17.0276666667,11.7809444444
807.74,8.71114814815,34.1907777778,13.7421111111,35.6001111111,52.5134444444,11.5012270532,10.3006666667,9.6781111111,4.39277777778,34.7663333333,16.2555555556,12.3384444444
808.05,8.32551851852,33.5224444444,13.6523333333,35.3193333333,52.1394444444,11.2874202898,9.65711111112,9.53877777777,4.27877777778,34.4445555556,15.7093333333,11.7317222222
808.35,9.36477777776,33.8724444444,14.5453333334,35.8766666667,52.6018888889,12.1894685991,10.115,10.2788888889,5.34455555556,34.8805555555,16.5258888889,12.4942777778
808.66,9.72511111112,34.5653333333,15.0437777778,36.1526666667,52.4521111111,12.3945072464,10.5306666667,10.4713333333,5.62677777778,35.205,16.7377777778,13.0242777778
808.97,9.1931851852,33.7055555556,14.5705555556,35.4715555556,52.4082222222,12.07352657,9.68166666669,10.6547777778,4.39644444445,34.6426666667,16.2885555555,12.8947777778
809.27,8.18737037037,33.4334444444,13.6512222222,35.16,53.2907777778,11.0714927536,9.28444444447,10.6982222222,2.84011111111,34.4468888889,15.7532222222,12.3374444444
809.58,8.05481481481,33.6738888889,13.6082222222,35.1494444445,53.3864444445,11.2448695652,9.03022222223,11.2246666667,2.85044444444,34.2918888889,16.118,12.4731111111
