wavelength,Back_DigPluf,Belly_DigPluf,Breast_DigPluf,Crissum_DigPluf,Crown_DigPluf,DorTail_DigPluf,Rump_DigPluf,Throat_DigPluf,WingTip_DigPluf
202.33,322.222166667,-70.0000833332,-72.22225,88.8888333334,198.333416667,149.444416666,121.666666667,51.6667499998,-125.5555
202.71,190.53025,-61.7423333333,-91.2878333333,35.9848333333,110.984916667,90.1514166667,62.87875,17.0454166668,-95.8334166665
203.09,195.635,-52.7778333335,-87.3015833332,44.8413333334,124.603166667,93.6506666667,96.0318333334,43.6506666665,-63.09525
203.47,158.79625,24.0740000002,-9.25941666643,82.1758333333,125.231583333,101.620416667,111.574,81.4815833333,13.1944166665
203.85,119.565166667,27.1740000001,-16.3043333333,58.6958333333,94.203,73.9130833334,88.2245,64.3116666666,12.1377499999
204.22,136.90475,54.932,-2.72108333332,73.4695000001,117.517083333,89.6259166667,120.068,92.1769166669,39.1156666668
204.60,119.125583333,57.9235,5.05466666668,69.5355833334,109.016333334,83.3333333333,106.96725,82.9234166666,47.8143333334
204.98,113.172083333,59.1399166666,3.49458333343,63.3065000001,101.344083333,75.5375833333,96.1021666668,78.7634166667,38.8441666667
205.36,103.73575,45.1149166666,-8.90808333333,44.2530000001,97.4135833334,67.385,84.7701666666,66.3793333335,24.1379999999
205.74,95.5645833333,37.5000000001,-16.5322500001,36.9624166666,82.3924999998,54.3011666666,68.8171666666,53.8979166667,20.0270000001
206.12,96.2561666667,39.0096666667,-13.285,38.2850833333,82.1254166667,64.4928333333,70.5314166666,49.8790833333,25.2415000001
206.50,113.575166667,50.1345,-9.67741666667,43.4139166667,95.9678333333,75.4031666666,82.1236666667,56.4516666666,29.9730833333
206.87,113.738833333,59.5719166667,10.13525,52.4775833333,96.2837499999,79.2794166666,91.2160833332,63.4009166667,39.6396666665
207.25,113.675166667,61.4317500001,13.0340833334,47.4358333333,93.4828333334,81.9443333333,83.8675,55.9828333333,30.983
207.63,114.947,46.8253333334,-7.14283333335,21.9576666665,83.4655,73.8095833335,71.03175,35.8465833333,12.1693333333
208.01,134.469666667,24.8105833334,-49.8105833334,-16.2878333332,88.8258333333,64.3939166667,62.3105833333,8.52274999993,-23.6742500001
208.39,124.999916667,-18.0950833334,-91.6666666664,-67.619,80.4761666666,31.9047500001,33.0951666667,-47.8573333333,-85.7141666668
208.77,186.574166667,-120.370333333,-247.222166667,-203.703666666,94.9074999999,-25.9260000002,-6.94433333333,-164.352,-248.148083333
209.14,371.874999999,-331.25,-645.833333332,-543.75,158.333333334,-144.791666667,-48.9583333333,-495.833333334,-634.375000001
209.52,-2.20168873829e+15,1.11950274828e+15,2.75077818149e+15,2.30297708218e+15,-1.01288343892e+15,5.01110753993e+14,-2.1323861872e+14,2.24433646203e+15,2.96934776568e+15
209.90,-382.291666666,207.291666667,510.416666666,413.541666667,-222.916666667,107.291666666,-54.1666666666,468.750000001,557.291666667
210.28,-141.6665,86.4034166667,205.263166667,195.614,-96.4912499997,61.8421666669,3.07016666667,188.5965,228.508833333
210.66,3500.0,-933.333333335,-3175.0,-3241.66666666,2808.33333333,-183.333333332,591.666666667,-3016.66666667,-3741.66666668
211.03,494.047500001,-177.381,-473.809583332,-515.476333333,373.809583332,-88.0952500002,-7.14291666675,-501.190499999,-579.761750001
211.41,1133.33333333,-1037.5,-2262.5,-2270.83333333,870.833333333,-841.666666668,-470.833333333,-2237.5,-2529.16666667
211.79,852.777833333,-525.000083335,-1397.22225,-1211.11108333,805.555583331,-366.666749999,-180.555583333,-1311.11125,-1577.77791667
212.17,236.979166667,-4.16666666682,-161.458333333,-119.791666667,234.375,35.9375000003,28.1250000001,-158.333333333,-208.333333333
212.55,175.694416667,31.2500000002,-93.0556666667,-58.6804166666,167.013916667,47.5694166664,38.1945000001,-66.6667500002,-106.9445
212.92,176.2345,60.4936666666,-53.08625,-30.2470833332,157.716166667,62.3458333334,69.4445,-22.22225,-75.6174166667
213.30,245.833333333,110.0,-56.25,-27.9166666666,233.333333333,100.0,101.666666667,10.4166666667,-87.0833333332
213.68,148.373916667,80.6910833333,-14.2276666666,15.8535833332,146.95125,73.3740000002,75.2032500001,31.7072499997,-11.17875
214.06,124.652666667,70.6598333332,-13.8889166667,10.4165833332,132.291666666,65.9721666667,61.1110833334,33.6805833333,-10.2431666668
214.44,111.96975,66.66675,-16.8181666667,16.2119999999,107.72725,55.6061666666,61.0604166666,33.7879999999,-12.1213333334
214.81,106.570666667,71.1538333333,-19.3911666666,18.58975,108.97425,52.0833333333,62.33975,36.37825,-13.7818333334
215.19,122.560916667,85.9757500002,-30.0813333334,25.8130833333,136.382083333,66.8699166668,77.6421666668,42.6829166668,-19.3088333332
215.57,122.77775,89.9998333335,-12.7778333333,39.4443333333,134.629666667,74.0740833333,82.7777499999,52.9630833334,12.4074999999
215.95,117.037,91.2964166667,-11.2960833332,34.8148333333,127.036916667,72.2221666667,89.4445,47.9629166666,15.7406666667
216.32,126.620333333,99.9999166665,-30.3239999998,29.6295833333,145.370416667,66.6669166667,106.944416667,39.3519166665,6.71291666675
