wavelength,Back_ParGulf,Belly_ParGulf,Breast_ParGulf,Crissum_ParGulf,Crown_ParGulf,DorTail_ParGulf,Rump_ParGulf,Throat_ParGulf,WingTip_ParGulf
243.42,14.2972,17.9487,12.6921666667,14.7530666667,12.1464666667,18.9172666667,14.9002666667,14.5964,20.4177666667
243.80,14.2357666667,18.2321666667,13.0985666667,15.0369,12.0256666667,19.4568,14.9817333333,15.2717,20.6353
244.17,13.8859,17.5228333333,12.5180666667,15.0860666667,11.2501333333,18.6684,14.0762,14.8823,19.7782
244.55,14.4592333333,17.9565333333,13.0895333333,16.2057,11.906,19.6808,14.3617333333,14.8937,20.4430666667
244.92,14.1288666667,17.8240666667,12.5083666667,15.7238666667,11.0942,18.7709333334,13.9394666667,13.4849,19.7644333333
245.30,13.7878,16.8350333333,11.6333,14.9312333333,10.2075333333,18.4253333333,13.1768,12.1935333333,18.7035333333
245.67,12.9993,15.6643666667,10.2397,13.3623666667,8.88159999999,17.0661333333,11.8590666667,10.7263,17.6508333333
246.05,12.2857,14.3908333333,9.27746666668,12.0886666667,7.81606666667,15.9212666667,10.5551333333,9.77013333333,16.4695666667
246.42,11.2713333333,13.8078666667,8.75916666666,11.8523,6.92826666667,15.8696666667,9.91493333333,8.90813333333,15.2343
246.79,11.1603,13.6142666667,8.70916666666,11.4638333333,6.51346666667,15.8466666667,9.86099999999,8.57583333334,15.1402666667
247.17,11.4736,13.9032333333,8.99663333333,11.6391333333,6.7086,16.0651333333,9.85013333333,8.95723333333,15.5634666667
247.54,11.8496333333,13.9298333333,9.0402,11.7569666667,6.88213333333,16.3458,9.63913333335,8.85213333333,15.624
247.92,10.9565666667,12.8501,8.15813333333,10.4955333333,5.96026666667,15.4378666667,8.6682,7.54476666666,14.8932
248.29,10.8954333333,12.7532666667,8.15386666667,10.2022,6.3682,15.8749333333,8.9194,7.6824,14.9866333333
248.67,10.6442,12.5206666667,7.8843,9.65096666667,5.82226666667,15.4464666667,8.55053333333,7.40600000001,14.7243666667
249.04,10.7215666667,12.7438666667,8.29263333334,9.95686666667,6.1484,15.8282666667,8.70426666667,8.15536666667,15.1701666667
249.42,10.1674333333,12.1934333333,7.8228,9.39223333333,5.49973333333,15.4457333333,7.95773333333,7.82813333334,14.8245
249.79,8.79176666667,10.8910666667,6.65796666667,8.52929999999,4.0658,14.5156666667,6.8338,6.33503333333,13.4398333333
250.17,7.62286666667,9.89870000001,5.47653333333,7.68913333333,2.6274,13.3524666667,5.64726666667,4.18486666667,12.4945333333
250.54,8.56723333333,10.3064,6.11,7.78016666667,3.43213333333,13.6099333333,6.30446666667,4.5751,13.3301333333
250.92,7.48963333333,9.2084,5.04176666667,6.5451,2.25006666667,12.396,4.75006666667,3.38543333333,12.4235333333
251.29,6.57596666666,8.30416666667,4.25576666667,6.0858,1.5832,11.0530666667,3.8926,2.17123333333,11.5214333333
251.66,5.47293333334,7.67656666667,3.52486666667,5.00743333333,0.503000000002,9.81226666666,3.521,1.57276666667,10.3977333333
252.04,5.50996666667,7.57996666667,3.35986666667,5.4377,0.646866666666,9.74126666667,3.5312,1.77703333333,9.58906666667
