wavelength,Back_SpoHycm,Belly_SpoHycm,Breast_SpoHycm,Crissum_SpoHycm,Crown_SpoHycm,DorTail_SpoHycm,Patch10_SpoHycm,Rump_SpoHycm,Throat_SpoHycm,WingTip_SpoHycm
223.49,2750.0,5066.66666667,4250.0,2766.66666666,4300.0,2700.0,4316.66666666,1833.33333333,5675.0,3216.66666666
223.87,293.939333334,545.4545,486.3635,327.272833333,442.424166667,259.091166666,416.6665,169.696833333,499.99975,334.8485
224.24,190.625,341.666666666,438.541666666,251.041666666,381.25,171.875,312.5,156.25,393.75,269.791666667
224.62,136.842333333,267.543666667,392.1055,229.386,309.649,142.9825,236.842,106.140166667,294.73675,235.0875
225.00,187.8785,392.424333334,722.727333333,374.242583333,434.8485,174.242666666,289.394,103.0305,456.818,345.454333333
225.38,-183.333333333,-716.666666665,-1758.33333334,-606.25,-866.666666667,-200.0,-458.333333335,-8.3333333335,-968.75,-650.0
225.75,22.5,-84.1666666665,-261.666666667,-73.3333333335,-112.5,0.8333333335,-10.833333333,65.0,-113.75,-49.1666666665
226.13,58.5713333333,-20.0,-106.1905,-2.38125,-37.6191666667,50.0,33.8095000002,68.5713333333,-30.0,1.4285
226.51,65.0,10.6666666667,-46.6666666667,22.5,-8.00000000001,65.0,37.3333333333,68.6666666665,-3.5,20.3333333333
226.88,82.598,40.9315,-0.73533333335,51.9606666666,32.1078333334,79.6566666666,63.9706666668,83.5784999998,26.4705,42.157
227.26,83.8461666666,48.9741666666,-3.3335,42.1795,31.7948333333,96.4105,72.8205,95.6411666667,21.53875,51.282
227.64,77.5555,42.0001666667,8.222,45.4443333334,24.889,83.3333333333,60.2221666666,80.2221666667,15.33325,46.6666666667
228.01,59.8171666666,25.7993333333,1.59816666665,34.1324166667,5.023,64.3836666667,45.6621666667,60.959,-7.1915,37.2145
228.39,52.3471666666,11.7368333333,-5.39916666665,24.061,10.094,58.6855,40.1406666666,58.4508333333,-10.9155,32.629
228.76,47.701,13.7928333333,9.5785,27.3945833333,13.0268333333,50.9576666666,38.889,48.2758333334,-12.3565,28.5441666667
