wavelength,Back_HemAtrm,Belly_HemAtrm,Breast_HemAtrm,Crissum_HemAtrm,Crown_HemAtrm,DorTail_HemAtrm,Patch10_HemAtrm,Rump_HemAtrm,Throat_HemAtrm,WingTip_HemAtrm
207.63,-44.388,-23.1293333333,-45.7483333333,-45.068,-39.2857499999,-47.9165833333,-38.4355,-48.5544166667,-42.3468333333,-31.2923333333
208.01,-62.3148333333,-35.2776666667,-64.9073333332,-58.5185,-53.7037500001,-66.6204583333,-54.4444166666,-64.72225,-61.2963333333,-44.815
208.39,-94.5237500001,-57.262,-96.4286666667,-85.8331666666,-87.3810833334,-97.0238749999,-82.1427500001,-93.4524166666,-92.8570000001,-76.6666666667
208.77,-87.38425,-54.2825,-93.6343333332,-81.5972499999,-84.7223333334,-95.5440833333,-84.8380000001,-91.4351666666,-91.551,-78.1249166668
209.14,-97.22225,-55.68775,-107.40725,-96.8254166666,-94.8411666666,-111.90475,-96.9575833332,-107.672166667,-104.365083333,-90.3440833333
209.52,-110.863083333,-64.732,-130.357,-115.327333333,-110.119,-134.300541667,-106.696416667,-130.0595,-120.833416667,-105.208166667
209.90,-135.145,-83.15225,-159.782666667,-139.855083334,-135.144916667,-166.485458333,-121.73925,-147.826,-148.188333333,-130.978333333
210.28,-177.380916667,-122.381,-220.714166667,-189.761833334,-185.238,-234.523916667,-175.476333333,-207.142916666,-201.90475,-182.857166667
210.66,-112.681083333,-70.8333333333,-158.514416667,-118.29725,-115.942083333,-161.594125,-113.405666667,-136.231833333,-127.717416667,-123.3695
211.03,-74.468,-50.35475,-126.418416667,-86.5248333334,-92.0213333333,-129.787166667,-81.9149166667,-107.624083333,-93.9715833333,-102.127666667
211.41,-79.7872500002,-57.8014166666,-131.383,-94.8580833335,-97.5177500001,-135.638291667,-82.8015,-110.99275,-96.8085833332,-110.815583333
211.79,-96.9203333334,-69.5653333332,-142.39125,-109.782583333,-111.05075,-150.090708333,-101.992666667,-117.028916667,-107.24625,-122.282583333
212.17,-74.4681666667,-50.8865833333,-118.616916667,-97.1629999999,-95.922,-128.102875,-87.0565833333,-105.4965,-85.28375,-104.964666667
212.55,-74.3464166667,-50.817,-112.418166667,-94.6078333334,-86.2744999999,-127.287625,-78.5947499999,-103.59475,-76.1439166668,-92.3203333333
212.92,-95.07575,-69.5076666667,-131.25,-113.82575,-105.871416667,-147.064416667,-85.9849166667,-123.674083333,-94.6969999999,-105.681916667
213.30,-65.5171666666,-45.1148333333,-89.22425,-72.701,-71.1208333333,-99.7843333333,-54.7413333334,-82.3275833333,-59.4826666667,-70.6897500001
213.68,-75.4545,-53.9393333333,-96.0605833334,-83.7880833335,-80.6059999999,-111.439375,-61.8181666667,-88.6362499999,-61.0605,-88.18175
214.06,-93.7908333333,-63.2351666666,-114.379083333,-104.084833333,-97.7124166666,-132.84325,-77.6143333333,-107.679833333,-82.0262499999,-105.22875
214.44,-74.5453333333,-40.9090833334,-90.9090833334,-79.8485833333,-78.7878333333,-105.151375,-52.7274166668,-83.3334166665,-65.1514166667,-83.1818333334
214.81,-108.876833333,-59.2391666667,-125.362416667,-99.6377499999,-108.333333333,-133.695625,-70.6522499999,-116.485583333,-93.1159166667,-113.40575
215.19,-100.166666667,-48.8333333333,-114.5,-81.3333333334,-87.3333333332,-112.083333333,-58.1666666666,-103.166666667,-84.6666666667,-102.333333333
215.57,-72.9508333333,-25.95625,-87.7049166667,-56.5573333333,-63.2515000001,-79.0300833333,-32.9234999999,-69.2623333334,-59.97275,-71.8579166668
215.95,-38.786,-1.54316666666,-50.61725,-24.3825833333,-36.111,-44.341625,-3.08641666666,-33.2304166667,-32.8189166667,-38.9919166666
216.32,-39.4445833333,-5.83341666667,-56.0185,-25.1850833333,-39.9073333334,-44.3054166667,-4.35183333335,-30.463,-33.3333333333,-40.6480833334
216.70,-23.0529166667,3.11533333332,-40.4984166667,-14.7195833333,-25.6230833333,-24.571625,1.47966666665,-16.2773333334,-21.4953333334,-28.4266666667
217.08,-31.8729166667,-2.57733333332,-55.1546666666,-24.4845,-39.4329166667,-37.3710416667,-10.567,-31.1855833333,-27.9210833333,-40.7214166667
217.46,-29.8968333333,-0.0859166666825,-57.2165833333,-24.0549166667,-35.8246666666,-35.30925,-8.33341666668,-31.6151666667,-24.3988333334,-40.3779166667
217.83,-31.1404166667,8.33333174994e-05,-55.0000833333,-18.5965,-31.9298333333,-33.7280833333,-6.49116666665,-31.1404166667,-28.85975,-36.6665833333
218.21,-21.8253333333,4.76191666667,-40.15875,-8.96833333333,-24.6824166666,-23.6507083333,-0.714333333343,-26.4285,-19.0474166667,-24.52375
218.59,-19.3750833333,6.45850000001,-30.4166666667,-6.25008333334,-18.1251666666,-19.375,-2.15258333334,-18.75,-15.41675,-16.1111666666
218.97,-17.0635,7.93658333332,-22.8835,-6.28308333334,-15.5424166667,-18.0225,-4.76175,-14.2195,-13.6905,-11.64025
219.34,-12.3263333333,11.0533333333,-13.42575,-4.919,-11.5743333333,-16.7534583333,-2.60408333334,-7.63883333332,-8.50691666667,-5.09258333332
219.72,-19.5706666667,2.65150000001,-19.63375,-10.6691666667,-18.1818333334,-26.4205416667,-14.3308333333,-16.8560833333,-14.01525,-11.2374166667
220.10,-26.9281666667,-6.47374999999,-26.4463333333,-18.18175,-24.7244166667,-35.020625,-23.8291666666,-24.6555833333,-21.0055,-17.0110833333
220.47,-28.2051666667,-8.83166666667,-21.7236666667,-16.738,-23.50425,-36.8235,-24.5013333333,-27.9204166666,-23.9316666667,-15.8831666667
220.85,-27.9320833333,-6.09566666667,-14.7378333333,-10.4939166667,-20.9105833333,-41.049375,-19.3673333333,-24.8456666667,-16.3579166667,-10.1850833334
221.23,-30.105,-9.08408333333,-13.6638333333,-11.937,-21.6214166667,-40.8785,-17.8678333334,-23.2734166667,-20.4955833333,-9.23408333335
221.61,-43.26925,-24.359,-26.9231666667,-25.8014166667,-36.6185833333,-54.366875,-35.0161666667,-37.0994166667,-38.0609166667,-22.5161666667
221.98,-33.8540833333,-19.79175,-24.85125,-22.4703333333,-34.59825,-48.9211666667,-30.9525,-30.8779166667,-27.753,-17.8570833334
222.36,-34.1121666667,-21.3396666667,-28.5826666666,-27.4920833333,-35.2804166667,-52.4922083333,-35.2025833333,-29.9065,-28.8161666667,-19.3924166667
222.74,-43.6633333334,-32.552,-40.2778333334,-37.3263333333,-45.3125833333,-64.887125,-43.4029166667,-42.7950833334,-32.2048333334,-31.2500833333
223.11,-50.463,-40.0925,-45.0924166667,-44.4445,-49.62975,-71.7592083333,-45.5556666666,-51.66675,-36.20375,-36.0185
223.49,-51.4533333333,-45.3489166666,-50.3875833333,-47.4805833333,-52.81,-70.6880416667,-47.5774166666,-55.2326666667,-37.9845,-35.1743333333
223.87,-31.4285833333,-27.6189166667,-26.6666666666,-31.6666666666,-32.1429166667,-44.2855833333,-25.0796666666,-34.4444166666,-21.4285833333,-18.8095
224.24,-33.8588333333,-28.22825,-27.1771666667,-33.4084166667,-32.8078333333,-45.0075833333,-29.1291666667,-38.9639166667,-22.29725,-23.4235
224.62,-35.3423333333,-27.753,-29.83625,-40.1041666667,-37.6486666667,-44.1220833333,-33.4821666667,-41.59225,-20.0893333333,-26.1904166667
225.00,-53.1345833334,-41.66675,-48.8533333334,-56.422,-54.1283333333,-57.072,-50.5351666666,-59.4801666667,-39.2965833333,-42.5076666667
225.38,-48.1321666667,-34.1235833333,-45.3305833333,-51.4368333333,-49.7846666667,-47.5217083333,-46.12075,-53.87925,-32.974,-37.2845
225.75,-42.3175833333,-26.302,-36.4584166667,-42.4479166667,-42.1225,-40.136875,-36.6536666667,-46.09375,-22.2005,-30.3384166667
226.13,-54.53925,-36.5175833334,-46.1380833333,-52.1003333334,-52.1680833333,-48.5774166666,-48.7805833333,-58.3333333333,-31.7751666667,-38.4145
226.51,-49.7065833333,-32.1594166667,-40.7863333333,-43.7205833333,-47.0658333333,-41.7547916667,-44.0140833333,-50.9388333334,-29.1665833333,-34.683
226.88,-35.25625,-20.8085833333,-25.2466666667,-30.1283333333,-32.5936666667,-27.86,-30.47325,-34.9606666667,-19.428,-21.2030833333
227.26,-23.2200833333,-11.1650833333,-15.8981666667,-20.1051666666,-23.5031666666,-15.55425,-19.2556666667,-23.4223333333,-10.1134166667,-11.00325
227.64,-20.76025,-8.95475000001,-13.6695,-16.9224166667,-20.614,-13.8888333333,-17.03225,-21.7471666667,-9.24708333333,-11.0744166667
228.01,-17.9461666667,-5.15083333333,-12.0079166667,-13.2546666666,-18.11025,-11.67975,-14.92775,-18.73375,-6.92258333332,-8.79275
228.39,-10.5499166667,-1.066,-6.70591666667,-6.734,-11.5039166667,-5.37325,-6.98641666667,-11.6161666667,-1.68349999999,-2.49724999999
228.76,-8.71325000001,1.08583333334,-3.44741666667,-3.04016666667,-8.55041666667,-2.80945833333,-4.45175000001,-9.09333333333,-0.760083333317,0.05425
229.14,-1.48808333334,6.39883333333,2.65391666667,2.08333333333,-2.00891666666,3.65820833334,1.11608333333,-2.43066666667,4.71241666666,5.95241666667
229.52,-0.578833333325,5.76391666667,4.1435,3.33333333333,-0.416499999999,3.43741666667,2.82408333333,-0.185083333335,4.51391666666,5.8565
