wavelength,Back_SpoColm,Belly_SpoColm,Breast_SpoColm,Crissum_SpoColm,Crown_SpoColm,DorTail_SpoColm,Patch10_SpoColm,Patch11_SpoColm,Patch12_SpoColm,Rump_SpoColm,Throat_SpoColm,WingTip_SpoColm
199.30,32.9218,44.2797333333,55.0617333333,34.4031999999,33.004,23.2097333333,50.9463999999,49.3828666667,37.6131333334,43.155162963,69.7942,45.5142666666
199.68,48.6447333334,53.3332666667,63.8828666667,46.9598000001,41.1722,35.4578666667,58.6080666667,57.0696,50.9158666667,55.4986,81.2453999999,60.3665333333
200.06,52.2727333333,55.9848,60.2272,51.6667333334,44.4696,37.7273333333,56.4394,58.4092,52.0454666667,56.0521555556,87.8787999999,61.8939333333
200.44,57.4485333333,67.9012,67.0781333333,64.5269333334,55.391,40.0822666667,64.0328666667,65.6789999999,62.3869333334,62.9172444445,102.469066667,70.9465333334
200.82,65.6704,84.3678666667,77.0116000001,81.2261333333,67.4328666667,56.0153999999,80.0766,77.0114666667,76.3985333334,77.6500444444,116.245133333,82.6819333333
201.19,60.0724666667,82.5361333333,71.0144,79.0578666667,65.942,55.7246666667,79.9275333333,70.0724000001,70.4348000001,77.3509407407,111.739133333,77.6087333333
201.57,70.7692,88.3974666667,73.6538,84.3588666666,76.0896,67.3077999999,86.6666,73.6538666667,76.7307333333,82.2721259259,110.705133333,83.3333333332
201.95,67.7663333333,92.3024000002,70.9278666667,86.9416000001,72.7148,66.4604,86.8041333334,73.7457333333,75.8762000001,80.4582148147,116.495,81.5120666665
202.33,67.6984666666,90.8729999998,71.7460666667,89.6031999999,74.127,67.5396,93.0951333334,71.1904666667,78.7300666667,83.439311111,124.047466667,84.2857333333
202.71,73.2489333334,94.4304,74.4304,94.8523999999,79.5780000001,71.3080666666,97.1308666668,70.8017333332,80.4220000001,88.8983185184,127.6792,82.5316666667
203.09,83.3334000001,99.6031333331,81.9840666666,103.968266667,87.0635333334,81.5079333333,103.809466667,76.7460000001,92.6192,99.4532518519,132.142933333,87.3808666667
203.47,87.5293999999,104.235266667,83.1371333335,104.862733333,94.4314000001,86.4314000001,107.372533333,79.8430666665,96.3920666667,101.542377778,134.117533333,83.8430666666
203.85,76.2281333335,100.350733333,77.8946,101.4912,92.5439333335,84.2105999999,107.894733333,75.6140000001,92.3684000001,96.179437037,131.578866667,76.579
204.22,74.9253333333,100.099533333,82.4875999999,100.796066667,92.4378666668,84.3779333333,114.427933333,72.2388,96.0199333333,100.630274074,141.2936,78.4079333334
204.60,60.8081333334,83.8383333334,74.4443999999,84.3433999999,74.1414000001,73.4342666667,97.8787999999,58.9898666666,85.0505333334,91.5601777779,129.1918,68.7879333333
204.98,44.7272,64.8484000001,55.1514666666,66.6666000001,58.0605333333,51.8787333333,78.0606666665,39.5151333333,66.7878000001,72.5522370369,115.1514,43.7576666667
205.36,14.9333333333,48.5333333335,50.9333333333,65.6,33.8666666668,23.7333333334,79.4666666664,12.8000000001,72.2666666667,73.9851851852,171.733333333,10.1333333333
205.74,-63.8889333334,3.88893333326,29.4444666666,37.7779333333,-51.1111333333,-64.4444666666,48.3332666666,-77.7778,88.3334666667,45.4320666667,286.6666,-81.1111333336
206.12,-14.6030000001,11.7459999999,33.0160000001,39.3651333334,-18.4126,-14.9204666666,57.1428666666,-28.2538666665,72.3808666666,46.1022814815,179.682466667,-31.1110666665
206.50,-52.9629333331,9.25926666674,-13.7037333335,9.25919999992,-57.4074000001,-44.8148,38.5184666667,-45.1851999999,72.9629999999,27.4897703705,192.5926,-69.2593333335
206.87,-101.666666667,-10.8333333335,-57.5,-11.6666666665,-117.5,-75.0,-4.1666666666,-86.6666666667,50.8333333334,-9.9074074074,195.416666667,-102.5
207.25,-68.7179333333,-15.6411333333,-44.8718666667,-24.3590000001,-93.3333999999,-61.2820666666,-25.8973999999,-80.0000666667,11.2820666667,-40.1993333333,99.2307333333,-77.9487333332
207.63,-96.2221333334,-53.1111333333,-85.5555333334,-50.4444666667,-134.222266667,-97.3334666666,-70.6666,-117.777666667,-37.7776666668,-80.0492740739,41.7776666667,-106.444466667
208.01,-135.072466667,-82.0289999999,-135.072533333,-86.9565333334,-191.594266667,-154.492733333,-121.739133333,-168.405866667,-76.5217999998,-116.779362963,31.0145333333,-171.5942
208.39,-88.2758666667,-41.6091999999,-85.0574666667,-38.3908,-126.896533333,-111.953933333,-71.0344666667,-112.184,-47.3562666666,-63.7802518518,36.7816666667,-114.252866667
208.77,-91.1112000002,-47.6542666667,-105.679,-31.358,-124.9382,-121.234533333,-70.1233333334,-119.753066667,-62.2220666666,-81.2070962963,26.4197333333,-125.925866667
209.14,-46.3158666667,-14.0350666667,-49.8245999999,0.35086666668,-70.3508666667,-67.1929999999,-26.6665333333,-64.7367333333,-23.1579333333,-41.2475481481,40.3508666667,-61.5789999999
209.52,-0.3449333334,20.2297333333,-9.19540000008,26.8966,-17.1264666667,-20.5747333333,5.40226666666,-16.7816,7.58619999994,-1.8518148149,48.5058666667,-8.046
209.90,6.33880000006,19.9999333333,0.327866666726,33.8798,-10.6010666667,-16.7212666667,13.4425333333,-8.08746666666,8.19680000006,5.79235555556,50.0546666666,1.63933333331
210.28,-28.0808666665,-10.1010666666,-38.1817333333,19.7978666667,-55.9595333334,-77.9798,-27.6768666667,-57.3737333334,-30.1011999999,-33.8721999999,45.2525999999,-31.9191333333
210.66,-68.8889333334,-62.5925999999,-83.7038,22.963,-129.6296,-162.222266667,-78.5186666667,-144.074133333,-96.6666666667,-103.1276,58.8888666668,-81.4815333333
211.03,-421.666666667,-460.000000001,-480.000000001,-31.6666666665,-676.666666667,-821.666666667,-380.0,-711.666666667,-508.333333335,-572.962962964,189.999999999,-468.333333333
211.41,509.333333334,594.666666667,589.333333333,161.333333333,710.666666667,871.999999999,456.0,694.666666667,569.333333333,571.25925926,3.9999999998,568.0
211.79,245.833333333,252.5,279.166666667,50.0,310.000000001,462.5,194.166666667,289.166666667,236.666666667,254.537037037,-95.8333333332,275.0
212.17,-205.555533333,-114.444466667,-198.889066666,98.8887999999,-234.444466667,-457.777800001,-66.6668,-282.222133333,-97.7776666664,-212.469140741,315.555533333,-198.8888
212.55,1886.66666667,1273.33333333,2113.33333333,166.666666667,2533.33333333,3220.0,1320.0,2553.33333333,1286.66666667,2609.62962963,-1180.0,2380.0
212.92,-1006.66666667,-80.0,-1080.0,559.999999999,-1853.33333333,-2226.66666667,-499.999999999,-1566.66666667,-293.333333333,-1679.25925926,2486.66666667,-1613.33333333
213.30,231.666666667,4.99999999994,271.666666666,-136.666666667,461.666666666,461.666666666,148.333333333,331.666666667,3.3333333326,322.592592593,-708.333333332,351.666666667
213.68,217.7778,124.444466667,223.7038,27.4074666667,334.074,319.259266667,156.296333333,236.296266667,102.963,224.691533333,-232.592533333,288.888866667
214.06,675.0,366.666666667,701.666666667,158.333333333,901.666666667,740.000000001,486.666666667,686.666666667,361.666666667,663.703703704,-418.333333333,758.333333333
214.44,-545.0,-278.333333333,-613.333333334,-29.9999999999,-773.333333334,-528.333333333,-365.0,-595.0,-303.333333333,-509.074074074,528.333333333,-678.333333333
214.81,-174.999933333,-84.4444000001,-202.7778,-14.9999333333,-233.888866667,-158.333333333,-116.666666667,-173.3334,-100.0,-152.037096296,166.666666667,-241.111066667
215.19,-14.6154666667,27.6922,-44.6153333332,42.0512666667,-59.4872000001,-25.3846000002,0.25633333334,-21.7949333333,11.0255333334,-20.7123481482,128.974266667,-61.5384666667
215.57,19.6970666666,86.6666000001,-4.8484666666,104.545466667,-26.9698000001,24.2423333333,53.9393333335,20.9090666667,63.9395333333,22.9629259259,189.090733333,-30.6061333333
215.95,22.2989333333,69.4253333333,15.1724666666,95.1724000001,-23.9080666666,37.7011333333,58.8504666667,11.0345333333,56.5516666667,26.8454296297,156.321733333,-6.89646666668
216.32,10.2855333333,37.3333333334,4.57140000002,67.4286,-36.1903999999,21.1427999999,34.4761333334,-1.90480000008,28.9522666667,10.7513703704,111.809533333,-15.0474666667
216.70,22.4,39.7333333333,19.8666666667,57.7333333333,-0.66666666668,28.1333333334,35.7333333334,12.4,32.4,23.0518518519,95.1999999999,12.2666666667
217.08,15.2777333334,30.4168,18.7500666667,52.639,-8.47226666664,22.0834,33.4722666667,3.47220000001,24.7222,16.6202592593,87.3611333332,8.0556
217.46,6.08706666667,26.3766666667,4.34766666668,43.6232,-23.9131333333,9.85506666674,31.8840666666,-14.3478000001,9.71020000001,7.23042962961,72.7534666667,-7.68113333333
217.83,8.59653333332,34.2104666667,0.000133333319999,51.2281333332,-24.035,18.2455333333,43.3333333333,-24.0350666667,10.1754,0.175407407394,78.9475333335,-16.842
