wavelength,Back_SpoPlum,Belly_SpoPlum,Breast_SpoPlum,Crissum_SpoPlum,Crown_SpoPlum,DorTail_SpoPlum,Patch10_SpoPlum,Rump_SpoPlum,Throat_SpoPlum,WingTip_SpoPlum
234.41,24.99743,27.6344,15.9677333333,32.4732666667,15.6183333333,10.0537333333,21.1559333333,18.0644,17.3118,25.5915333333
234.78,32.464,35.36,24.5866666667,38.08,21.12,19.52,28.8,20.7466666667,22.4,34.5066666667
235.16,34.6638033333,34.9708,19.6491333333,34.3274,18.5379333333,16.4914,28.5378666667,16.9980444445,21.8714,36.4035
235.54,36.9052133333,39.5718666667,20.4282,36.6972666666,20.3669333333,26.2385333333,35.3210666667,24.3220888889,31.4983333333,37.6757666667
235.91,41.9519766667,45.2526666667,28.5352,43.7878,25.3029333333,36.7676,44.3181666667,36.1111111111,37.1213333333,42.5505666667
236.29,33.3587266667,32.4682,18.1172,31.9083333333,14.5037666667,24.8345333333,34.5038333333,29.8049111111,27.7860666667,34.6819
236.66,38.0617433333,36.4608,24.4032666667,37.4486,22.5104,29.8353333333,39.4032333333,35.8024,32.0988,38.5599
237.04,33.8678766667,34.0243333334,20.6098,35.0405333333,19.4715666667,26.4228666667,36.3211666667,32.8725777778,30.2844,36.7886
237.41,32.76309,33.3697333333,19.5265333334,32.7869333333,20.0909666667,27.6138666667,35.9015666667,31.1110666667,29.4716666667,33.9162666667
237.79,28.4699733333,31.5482666667,17.5592666667,28.9253333333,17.7049,25.428,32.5684666667,28.0752444444,26.3024666667,27.9051333333
238.17,25.20833,28.3712666667,13.1817333333,24.659,15.4547666667,23.9395333333,29.3560333333,24.4950222222,23.2195333333,23.447
238.54,16.4756633333,21.5446666667,5.4472,14.9999333333,7.41866666667,17.0324,20.5284,18.4012,16.9105333333,15.7113666667
238.92,15.12769,19.1999333333,3.65706666667,12.3808666667,6.68589999999,13.1809333333,17.6953,17.7142444445,16.8380666667,11.9618666667
239.29,16.2847266667,20.2344666667,7.77226666667,13.3334,9.74883333331,17.6548666667,18.3753333333,18.5260444444,17.9564,14.0034666667
239.67,14.8373866667,16.8116666667,7.665,12.4315333333,11.0145,13.9452666667,16.9565,15.3943555556,14.525,13.2690333333
240.04,12.8775833333,15.9380666667,7.69006666668,11.2867333333,11.2557666667,11.2556666667,14.7286666667,13.2713333333,12.9924,13.5815666667
240.42,12.1637233333,15.7895333333,8.36259999999,11.1402666667,11.5644333333,13.2163333333,13.5819333333,11.2475555556,12.6316,13.2456666667
240.79,6.89228999999,9.59786666666,4.5654,5.31773333333,6.10893333333,9.90913333333,7.9768,6.70131111111,8.04153333333,7.27623333334
241.17,7.89422,8.18286666666,6.46606666667,5.37346666665,7.30213333333,10.7023333333,8.50616666667,6.68886666667,9.00779999999,7.4471
241.54,10.7028633333,9.51799999999,9.19666666668,7.55013333335,8.80503333333,12.0883333333,10.3411333333,8.44035555555,10.7832,8.65436666668
241.92,12.2627866666,11.0935333333,10.5996666667,9.77080000001,9.83229999999,12.8041333333,12.4162,10.3644666667,11.8166,11.1464333333
242.29,12.3291933333,10.3702666667,10.9500666667,9.48473333332,9.43646666666,12.9628666667,11.8437,10.4348666667,11.7392666667,11.3125
242.67,14.3842333333,12.1605333333,12.2685333333,11.7284,11.3348666667,14.5834,13.5416666666,11.4711555555,13.4721333333,13.0478666667
243.05,16.5269266667,14.1106666667,14.2451333333,14.1404666667,13.4455333333,16.9807333333,15.9940666667,13.4578888889,14.828,14.6786666667
243.42,15.6940233333,13.1258,13.4075333333,13.0223333333,12.6666333333,15.7482,15.4594,12.9382666667,13.911,12.8593333333
243.80,15.3115133333,12.2416666667,12.1251333333,11.5138,11.0991333333,15.4293333333,14.4614333334,12.6588444445,12.9695333333,13.0568333333
244.17,15.00561,11.5833333333,11.5416,11.2916,11.0832,15.4861333333,14.3610333333,12.4906888889,13.2777333333,11.7708
244.55,16.06179,13.3197333333,12.8763333333,13.2258,12.0564,16.9353333333,15.7794333333,14.0546,14.6236,13.0107333333
244.92,15.6295266667,13.2305333333,11.8948,12.9608666667,12.0873,16.0180666667,15.2602333333,13.7916666667,14.2710666667,12.8837
245.30,15.3254466667,13.8166666667,11.0146,13.0435333333,11.8237333333,15.5676,15.8333666667,14.7544444444,13.9492666667,12.6268666667
245.67,12.95222,12.1182,8.97639999999,11.2206666667,9.86866666666,13.8695333333,14.2364333333,13.1982444444,11.4942666667,11.6200333333
246.05,12.37047,11.7354,8.59020000001,11.0332,9.25196666667,12.9567333333,13.9338333333,12.6072222222,11.2061333333,11.4046
246.42,11.49319,11.4086666667,7.86620000001,10.5902666667,8.40069999999,12.106,13.0170666667,12.2423555555,10.0976666667,10.8834
246.79,10.38674,10.3714,6.3766,9.15060000001,6.61966666667,11.2335333333,11.3914,11.3871111111,8.32253333333,9.50916666666
247.17,8.79864999999,8.78026666667,4.6404,7.4454,4.8192,9.91653333334,9.49533333333,9.97211111111,6.3248,8.0971
247.54,7.97476333334,8.13799999999,3.6632,7.099,3.90216666667,9.72306666667,8.58913333333,9.24277777777,5.4532,7.31136666667
247.92,8.01770999999,8.16533333332,3.91286666667,7.06526666667,4.14543333333,9.76013333333,8.49376666667,8.9355777778,5.36726666667,7.1133
248.29,7.97001666667,7.9754,3.75273333333,6.73166666667,3.78156666667,9.86993333333,8.43103333333,8.82148888888,4.67826666667,7.08593333333
