wavelength,Back_LanFulf,Belly_LanFulf,Breast_LanFulf,Crissum_LanFulf,Crown_LanFulf,DorTail_LanFulf,Patch10_LanFulf,Rump_LanFulf,Throat_LanFulf,WingTip_LanFulf
785.29,11.5217777778,38.7496666667,23.8584444445,33.556,8.56322222222,22.9531111111,12.8794444444,21.7487777778,30.4161111111,14.3206666667
785.60,11.4162222222,38.3132222222,23.6025555556,33.3333333333,8.32988888889,22.4997777778,12.6162222222,21.3066666667,30.0734444444,13.9407777778
785.91,11.8356666667,38.8612222222,24.0373333333,33.775,8.73033333334,22.9537777778,13.1056666667,21.7527777778,30.8004444444,14.534
786.22,12.1752222222,39.2067777778,24.53,34.2867777778,8.84466666667,23.086,13.1771111111,22.0147777778,31.4606666667,14.5936666667
786.53,12.3937777778,39.3825555555,24.5473333333,34.52,8.594,23.3607777778,13.114,22.0371111111,31.3648888889,14.7873333333
786.84,12.4332222222,39.333,24.3778888889,34.4857777778,8.291,23.578,12.9891111111,21.6393333334,31.1707777778,14.9347777778
787.14,12.9954444445,39.851,24.4485555556,34.6877777778,8.402,23.8985555555,12.9953333333,21.5651111111,31.5162222222,15.6237777778
787.45,12.9385555556,39.7894444445,24.3875555556,34.8033333333,8.28355555556,23.7651111111,12.9187777778,21.229,31.5784444445,15.8323333334
787.76,13.1014444445,40.0903333333,24.6184444444,35.0816666667,8.76066666667,23.9835555556,13.2521111111,21.6852222222,31.9715555556,16.2902222222
788.07,13.6452222222,40.6565555555,25.3412222222,35.3541111111,9.10333333333,24.3728888889,13.8077777778,22.1441111111,32.6122222222,16.933
788.38,13.8127777778,41.108,25.6171111111,35.4713333333,9.23866666666,24.5804444445,14.1561111111,22.2804444444,32.7306666667,16.8383333334
788.69,14.3644444445,41.4984444444,26.1735555556,35.9268888889,9.77888888889,25.1936666667,14.8766666667,22.9716666667,32.9297777778,17.2526666667
789.00,13.8937777778,41.4224444444,25.9561111111,35.7922222222,9.52555555556,25.1407777778,14.6831111111,23.1087777778,32.6407777778,16.7411111111
789.31,13.8824444445,41.124,25.7105555555,35.4007777778,9.69633333334,25.4006666667,14.8061111111,23.1266666667,32.3772222222,16.3437777778
789.62,13.7364444445,40.8661111111,25.4698888889,35.1031111111,9.87922222221,25.4052222222,14.7737777778,23.065,31.9653333333,16.4528888889
789.92,13.8412222222,40.9875555556,25.4941111111,35.3692222222,9.99399999999,25.3883333333,15.0438888889,23.2202222222,32.2362222222,16.5841111111
790.23,13.7695555556,41.043,25.6236666667,35.5894444445,9.77511111111,25.0305555556,14.7784444444,23.2993333333,32.5765555555,16.4281111111
790.54,14.0457777778,41.1753333333,25.9515555556,35.7521111111,10.0028888889,25.1148888889,15.0913333333,23.7,32.8942222222,16.4714444444
790.85,13.8797777778,41.0404444444,25.7262222222,35.5526666667,9.8621111111,24.8768888889,14.7576666667,23.6352222222,32.6338888889,15.771
791.16,13.7242222222,40.3041111111,25.4507777778,35.172,9.64177777777,24.5457777778,14.6434444444,23.2717777778,32.2041111111,15.1864444444
791.47,13.2327777778,39.6836666667,24.706,34.8341111111,9.25577777777,23.9743333333,13.9423333333,22.7616666667,31.8992222222,14.2973333333
791.78,12.7656666667,38.6117777778,23.787,34.2393333333,8.61033333335,23.1581111111,13.1776666667,22.0573333333,31.327,13.8963333334
792.08,13.0937777778,38.5952222222,23.816,34.4086666667,8.80033333333,22.9314444444,13.0404444444,22.3441111111,31.3506666667,14.0776666666
792.39,14.1304444445,39.4782222222,24.268,34.9912222222,9.66600000001,23.6214444444,13.7653333333,22.96,31.9872222222,15.1874444445
792.70,14.6836666667,39.8224444445,24.5911111111,35.7253333334,9.66822222222,23.804,13.8888888889,23.5185555555,32.4846666667,16.1033333333
793.01,15.3472222222,40.4476666667,25.1156666667,36.3658888889,10.3317777778,24.3594444444,14.4444444444,24.02,33.1017777778,16.7901111111
793.32,15.5891111111,40.9138888889,25.3553333333,36.4664444444,11.2334444444,24.8358888889,14.6493333333,24.2244444444,32.9742222222,17.301
793.62,16.0962222222,41.3891111111,25.5932222222,36.6967777778,12.0945555556,25.3753333333,15.2927777778,24.8423333333,33.2132222222,18.0554444445
793.93,16.0168888889,41.7548888889,25.6553333333,36.5413333333,11.8022222222,25.4225555555,15.1453333333,24.7687777778,33.1606666667,18.2031111111
794.24,16.6405555555,42.304,26.5626666667,37.1237777778,12.4786666667,26.0647777778,15.786,25.5295555556,33.7495555556,19.0337777778
794.55,16.0757777778,42.1615555555,26.2485555555,36.68,11.8571111111,25.6132222222,15.5364444445,25.0813333333,33.3555555556,18.7278888889
794.86,15.6684444445,41.7317777778,26.0922222222,36.046,11.4222222222,25.3615555555,15.0825555555,24.6383333333,32.5882222222,18.5982222222
795.16,16.1072222222,42.0853333333,26.762,36.2911111111,11.8665555556,26.0707777778,15.7223333333,25.1515555556,33.0982222222,19.2858888889
795.47,15.5755555556,41.9412222222,26.9505555555,36.2788888889,11.5603333333,26.066,15.4828888889,24.5898888889,33.2692222222,19.12
795.78,14.9325555556,41.0892222222,26.8558888889,35.4736666667,11.097,25.6057777778,15.0667777778,24.1012222222,33.0507777778,18.8175555556
796.09,14.2576666667,40.8534444445,26.4973333333,34.9418888889,10.596,25.0443333333,14.7512222222,23.5555555555,32.7688888889,18.0318888889
796.40,13.6766666667,40.7194444444,26.2441111111,34.443,9.77522222223,24.272,14.3836666667,23.0563333333,32.2024444444,17.5076666667
