wavelength,Back_CyaCysm,Belly_CyaCysm,Breast_CyaCysm,Crissum_CyaCysm,Crown_CyaCysm,DorTail_CyaCysm,Patch10_CyaCysm,Rump_CyaCysm,Throat_CyaCysm,WingTip_CyaCysm
413.64,3.2306,61.5605333333,59.2323333333,5.92153333333,75.1354,4.26966666667,16.2502666667,68.7887666667,68.6421333333,3.51693333333
414.00,3.29786666667,61.5201333333,59.2328,5.97313333333,75.0108666667,4.32153333333,16.2128,68.909,68.5656,3.56446666667
414.36,3.3666,61.4069333334,59.1103333333,6.03033333333,74.8134,4.41146666667,16.1602666666,68.9199,68.4075333333,3.58986666667
414.72,3.39933333333,61.2982,59.0304666667,6.0754,74.5572666667,4.4612,16.1344,68.9097666667,68.2183333333,3.63046666667
415.07,3.40486666667,61.1659333333,58.8855333333,6.09946666667,74.3600666666,4.48226666667,16.0604,68.9203,68.0210666667,3.67453333333
415.43,3.38306666667,61.02,58.7420666667,6.0672,74.1358,4.44206666667,15.9348666667,68.9204666667,67.8678666667,3.65833333333
415.79,3.4056,60.9087333333,58.6001333333,6.0984,73.9893333333,4.4946,15.8394666667,68.8999,67.721,3.6886
416.15,3.3906,60.8076,58.4936,6.101,73.8355333333,4.51333333333,15.7278,68.9607666667,67.5961333333,3.67046666667
416.51,3.40013333333,60.5971333333,58.2957333333,6.12206666667,73.5443333333,4.5412,15.6113333333,68.832,67.3169333334,3.68626666667
416.86,3.36246666667,60.4624,58.1198666667,6.12693333333,73.3823333333,4.5332,15.4782,68.8241333333,67.1308,3.67966666667
417.22,3.3414,60.2526666667,57.9171333333,6.11506666667,73.1443333333,4.51846666667,15.334,68.7473666667,66.8645333333,3.65126666666
417.58,3.31353333333,60.0876,57.7668666667,6.07333333333,72.964,4.5086,15.1884,68.7166,66.6742666667,3.60953333333
417.94,3.28306666667,59.7898666667,57.4704,6.04,72.6299333333,4.4736,15.0477333333,68.5318333333,66.3320666667,3.586
418.29,3.24186666667,59.5094666667,57.2034,5.99406666667,72.3538666667,4.4206,14.9024,68.385,66.0024,3.54173333333
418.65,3.2466,59.3405333333,57.0317333333,5.98646666667,72.2087333333,4.4256,14.7919333333,68.3389666667,65.8110666667,3.53413333333
419.01,3.20486666667,59.1084,56.817,5.93473333333,72.0053333333,4.389,14.6648,68.2546,65.575,3.4818
419.37,3.17613333333,58.843,56.5362666667,5.90546666667,71.7238,4.36333333333,14.5428666666,68.1192666667,65.2467333333,3.4568
419.73,3.11553333333,58.5573333333,56.3024666667,5.8216,71.4714,4.29426666667,14.3998666667,67.9747333333,64.916,3.3896
420.08,3.11546666667,58.3253333333,56.1067333333,5.8246,71.2633333333,4.30406666667,14.3203333333,67.8297666667,64.6199333333,3.4112
420.44,3.1298,58.1184666667,55.8970666667,5.828,71.1143333333,4.30766666667,14.2424666667,67.7393666667,64.3892666666,3.41666666666
420.80,3.13146666667,57.8882666667,55.6894666667,5.799,70.9253333333,4.30693333333,14.1553333333,67.5929333333,64.1167333333,3.41046666667
421.16,3.138,57.6448,55.4530666667,5.7986,70.6966,4.31293333333,14.0824666667,67.4173333333,63.8294,3.4232
421.51,3.12473333333,57.4382,55.2588666667,5.79573333333,70.5574,4.30453333333,14.0099333333,67.3132666667,63.5740666667,3.42666666667
421.87,3.10993333333,57.1997333334,55.0334666667,5.7898,70.4069333333,4.287,13.9227333333,67.1796,63.2937333333,3.4058
422.23,3.10393333333,56.9633333333,54.8048666667,5.79113333333,70.249,4.29066666666,13.8493333333,67.0466666667,63.0228,3.4176
422.58,3.11366666667,56.7017333333,54.5601333333,5.78713333333,70.0510666667,4.28806666667,13.772,66.8667333333,62.6968,3.43006666667
422.94,3.1346,56.4806,54.3285333333,5.8034,69.8724666667,4.29413333333,13.704,66.6994,62.3886666667,3.45153333333
423.30,3.12993333333,56.2359333333,54.0832,5.8022,69.727,4.30013333333,13.6380666667,66.5499,62.0767333334,3.44866666667
423.66,3.12886666666,56.0368666667,53.8336666667,5.8188,69.5777333333,4.30606666667,13.5762666667,66.4152666667,61.7994,3.45786666667
424.01,3.11046666667,55.7611333333,53.5384666667,5.79113333333,69.3849333333,4.2738,13.4872666666,66.2113,61.4581333333,3.42946666667
424.37,3.09006666667,55.5108666667,53.2946666667,5.766,69.195,4.25573333333,13.4205333333,66.0343333333,61.1251333333,3.41353333333
