wavelength,Back_CatAnam,Belly_CatAnam,Breast_CatAnam,Crissum_CatAnam,Crown_CatAnam,DorTail_CatAnam,Patch10_CatAnam,Patch11_CatAnam,Rump_CatAnam,Throat_CatAnam,WingTip_CatAnam
812.63,15.7258309524,27.4478,20.9619333333,24.3048,11.081,7.78576666667,56.7047333333,19.7904,15.7256533333,14.4714,7.11433333333
812.93,16.1017452381,27.7634666667,21.2588666667,24.2062666667,11.3352666667,8.31673333333,56.8764,20.4196,16.1163466667,15.2314,7.34386666667
813.24,16.9114226191,28.4866,21.4942666667,24.521,12.2317333333,9.2528,57.8018,21.7145333333,16.5632266667,16.2835,8.07486666667
813.54,16.0460238095,27.2862,19.8622,23.2843333333,11.0030333333,7.82696666667,58.0876,21.2291333333,15.52208,15.9342,7.16826666667
813.85,15.54345,26.6062,19.4755333333,22.6826666667,10.4034666667,7.0095,58.4871333333,20.9279333333,15.3868533333,15.6630333333,6.67686666667
814.15,16.7438035714,27.1688,20.1204666667,23.6346,11.255,8.77013333333,59.4478,21.6165333333,16.6867733333,16.9880333333,7.36933333333
814.46,17.7502654762,27.3242666667,20.8372666667,24.4544,12.3417333333,9.39226666667,59.9400666667,22.6506666667,17.52872,17.9024,8.0816
814.76,18.8349202381,28.2816,21.6446,25.1600666667,13.2545666667,10.3497333333,60.2067,23.9488666667,18.15464,18.9610333333,9.30566666666
815.07,18.3598928572,27.4118,20.8224666667,24.2865333333,12.3948,10.0241,59.0615,23.5122666667,17.6700533333,18.5002333333,8.33079999999
815.37,17.9160369047,26.581,19.9619333333,22.4061333333,11.5263333333,9.88603333334,57.4227666667,22.4630666667,17.0405466667,17.8840666667,7.48446666667
815.68,18.3239559524,26.9252,19.617,23.1801333334,12.1216,10.1484333333,58.1704666667,22.5287333334,16.9675466667,18.0748333333,7.7492
815.98,18.3495119048,26.6478,19.1760666667,23.0019333333,12.4433,10.677,57.6656,22.2444,16.8617466667,17.6325,7.65139999999
816.29,17.4875535714,25.8511333333,18.1697333333,22.238,11.228,9.76283333333,56.6998333333,21.0241333333,16.091,16.88,6.8658
816.59,17.4561238095,26.3849333333,18.5069333333,22.1502666667,11.0376666667,9.30993333334,56.4413666667,20.385,16.30244,17.0235333333,6.97653333333
816.89,18.6709047619,27.3,19.9277333333,23.2836,12.1846333333,10.5879333333,56.0651333333,21.0764666667,16.9860533333,17.5259666667,8.52106666667
817.20,19.1312095238,27.3518666667,20.1932,23.4782666667,12.6262,11.6512333333,56.2890666666,21.5458,17.4141733333,18.0895666667,9.26646666668
817.50,17.6874321429,26.1824,19.1896666667,22.6420666667,11.4707,10.0969,55.7508,20.7748666667,16.2818,17.1422666667,7.9436
817.81,17.6801464286,26.8550666667,19.4173333333,22.9305333333,11.5595333333,10.6298333333,56.1439666667,20.7626,16.1782,17.3736333333,8.24346666667
818.11,17.1565619048,27.1435333333,19.4574,23.3456,11.5536666667,10.6287333333,55.9226333333,20.5754,16.37976,16.7777,7.96533333335
818.41,18.5726464286,28.2131333333,20.8836,24.1812666667,12.7771,11.8145333333,57.3058333333,21.8618,17.82564,17.7908666667,9.35713333334
