wavelength,Back_ThrAbbm,Belly_ThrAbbm,Breast_ThrAbbm,Crissum_ThrAbbm,Crown_ThrAbbm,DorTail_ThrAbbm,Patch10_ThrAbbm,Patch11_ThrAbbm,Patch12_ThrAbbm,Rump_ThrAbbm,Throat_ThrAbbm,WingTip_ThrAbbm
622.62,11.8726666667,28.4139333333,24.9516,27.0818666667,14.9474666667,9.62826666667,50.201,20.7844,4.95156666667,19.7337333333,22.4574666667,11.2983
622.95,11.8569333333,28.3706,24.8576,27.0094666667,14.9338,9.60093333332,50.1009333333,20.7333333333,4.94993333333,19.6759333333,22.3896,11.2295333333
623.28,11.8086666667,28.3301333333,24.7678666667,26.9446,14.8483333333,9.55840000001,49.9944666667,20.6655333333,4.90623333333,19.6484666667,22.3266,11.1155
623.62,11.8019333333,28.3746666667,24.8169333333,26.9280666667,14.8528666667,9.53500000001,49.9600666667,20.6466666667,4.88336666667,19.6282666667,22.3319666667,11.1050666667
623.95,11.7982,28.3408666667,24.8128666667,26.9262,14.8487333334,9.52886666665,49.9577333333,20.6444,4.8688,19.6415333333,22.3258,11.1128666667
624.28,11.7266666667,28.2757333333,24.7359333333,26.8335333333,14.7841333333,9.44573333334,49.915,20.5658666667,4.77866666667,19.5747333333,22.277,11.037
624.62,11.6981333333,28.2487333333,24.7141333333,26.7674,14.753,9.44760000001,49.8252666667,20.5036,4.7489,19.5746666667,22.2447333333,11.0059
624.95,11.6624,28.2424,24.7026666667,26.7654666667,14.6791333333,9.38739999999,49.7993333333,20.4988,4.70346666667,19.5585333333,22.2582666667,10.9262
625.28,11.6142666667,28.2640666667,24.707,26.8083333334,14.6172,9.37840000001,49.8241333333,20.505,4.6717,19.5588,22.2646333333,10.8934333333
625.61,11.6542666667,28.2652,24.7587333333,26.8291333333,14.6299333333,9.40366666668,49.8424666667,20.5318666667,4.70406666667,19.5774,22.3301333333,10.9357666667
625.95,11.5642,28.2211333333,24.6970666667,26.8107333334,14.5707333333,9.35593333334,49.8218666667,20.5012,4.63063333333,19.5042666667,22.2620666667,10.8743
