wavelength,Back_SalAurm,Belly_SalAurm,Breast_SalAurm,Crissum_SalAurm,Crown_SalAurm,DorTail_SalAurm,Patch10_SalAurm,Patch11_SalAurm,Patch12_SalAurm,Rump_SalAurm,Throat_SalAurm,WingTip_SalAurm
218.97,77.2630666667,62.4560666667,80.5612666665,86.5263333333,95.4385333334,82.4275242424,64.1403333333,67.7193333333,76.3859333333,74.1053333334,85.4034666667,91.4230074074
219.34,76.9369333333,50.5406666667,73.6937999999,87.4774666667,94.5946666665,83.5422636364,60.5406,62.9731333333,75.4954333333,67.0269333333,82.2522666665,94.7546666666
219.72,78.8058666667,45.8706666667,69.2537333334,93.4329333333,94.9253333333,86.444890909,62.6863999999,64.3780666667,76.4179666667,65.1741333333,82.4876666668,97.9878074073
220.10,89.2235999999,58.0822666667,80.8219999999,102.922266667,106.484,95.8819787879,76.4385333333,78.2648666667,85.4337666667,79.1780666667,94.1553333334,109.041096296
220.47,89.8591333333,60.0939333333,86.1972666667,107.0422,107.887333333,99.2319303031,77.6526000001,84.1315333333,89.5774333333,82.1596,97.7464,109.264555555
220.85,91.5982,60.274,88.5844666669,107.306066667,110.6852,104.022433333,79.8173333333,85.1139333334,87.9451666668,89.0410666667,100.0,112.359103704
221.23,91.1456666666,58.7498666667,91.6665333333,109.7914,110.937466667,115.719484848,77.3954666667,86.1456666667,85.2602666666,93.5414666667,104.8956,118.009081482
221.61,74.8525333333,51.3080666667,77.0464666668,86.5822,89.3670666665,96.9467969698,65.8228,72.3207333333,67.9746666667,80.4219333333,86.4133999999,96.9057851852
221.98,90.6482,61.7591333333,92.1295999999,96.6667333333,101.7592,112.352593939,76.0185333333,87.5926666665,79.4906333335,91.6667333334,98.2406666664,109.413592593
222.36,96.1904666667,62.7512,95.2381333334,96.8253333332,101.375733333,115.6949,74.2856666667,89.1004666667,82.2220666665,91.9576000001,96.7196000001,108.300888889
222.74,99.0804666667,61.3794,103.448333333,95.9770666667,100.229933333,124.305106061,71.3794000001,90.8045333335,89.5401666667,88.1609333333,98.0460666668,112.171148148
223.11,86.6666,49.5384666667,94.5641333333,77.846,85.0255999999,113.1329,60.7178666666,77.3336,80.6153,74.9742666667,87.1794666666,95.7036962964
223.49,103.452466667,69.6428666667,118.928733333,93.0953333333,106.547466667,142.083269697,76.7856666667,93.2141999999,99.1072666666,96.5476666666,111.547666667,118.955140741
223.87,95.8209333333,65.6717333333,106.766066667,81.3930666667,100.0996,124.242366667,66.8656666666,82.9849333333,87.4129666666,90.1490666667,101.691533333,106.722014815
224.24,97.7082666667,71.1459333334,116.562266667,79.8958000001,98.9582666666,131.354193939,66.8750000001,82.0834000001,86.2501333332,89.2707999999,106.562466667,107.650511111
224.62,102.882866667,75.4052666666,115.946,83.1530666667,96.0359999999,124.819772727,70.9008666667,81.4414,87.5224333333,90.0900666667,104.324266667,108.328333333
225.00,115.868466667,85.9155333333,125.8216,91.9249999999,107.511666667,130.418290909,77.7465333334,90.7980666665,98.6386666666,95.5868000001,112.8638,112.780288889
225.38,121.286533333,85.9648666667,137.777733333,95.3215333333,118.011733333,132.259369697,78.7133999999,88.6550666667,100.8773,95.9063333333,121.637466667,116.387274074
225.75,137.006866667,101.224466667,155.918466667,107.755066667,137.6872,150.661869697,88.5712666667,95.6464000001,114.625833333,108.1634,137.415,126.001496296
226.13,167.026933333,122.3424,182.342266667,130.810733333,178.198066667,182.940212121,101.081133333,114.054,129.5495,138.919,163.4234,149.769651852
226.51,206.236666667,146.0214,226.666666666,163.441,224.946266666,224.995069697,129.4624,135.698733333,154.6236,182.365533333,200.430066667,191.54117037
226.88,265.507266666,198.840666667,302.608666667,215.072266667,296.811666666,291.646939394,178.550666666,187.826066666,155.6522,252.4638,259.999933333,253.172207407
227.26,5973.33333333,5053.33333333,7153.33333333,5100.0,7033.33333333,6473.93939394,4080.0,4900.0,3190.0,6073.33333333,5853.33333333,5733.33333333
