wavelength,Back_HemVerm,Belly_HemVerm,Breast_HemVerm,Crissum_HemVerm,Crown_HemVerm,DorTail_HemVerm,Rump_HemVerm,Throat_HemVerm,WingTip_HemVerm
211.79,69.2424166666,48.7878333333,41.6668333334,92.7273333333,75.0,28.93925,19.0909166667,73.4847499999,44.8485
212.17,71.6666666667,34.7916666667,30.2083333333,105.833333333,75.0,4.79166666666,-3.95833333334,66.25,24.1666666666
212.55,38.7820833334,-8.65375000007,-19.8716666666,89.74375,51.9230833332,-62.5000833333,-73.7180833333,48.0768333334,-19.2306666667
212.92,-27.7778333333,-64.6825833333,-105.5555,17.4604166666,-26.1904166666,-159.92075,-177.77775,-34.9206666666,-92.0634999999
213.30,-1.00000000001,-40.9999999999,-68.6666666665,28.3333333332,7.3333333335,-110.0,-136.0,-15.6666666667,-52.6666666667
213.68,-2.22216666642,-87.7778333334,-146.66675,34.9999999999,1.6666666666,-159.444416667,-257.777666667,-69.4443333333,-106.111166667
214.06,47.9166666657,356.25,554.166666668,-85.4166666667,62.4999999992,622.916666666,1137.5,391.666666667,454.166666667
214.44,97.5000000002,251.666666667,316.666666667,106.666666667,120.0,339.166666667,565.0,239.166666667,296.666666667
214.81,79.92425,151.51525,184.090916667,92.0455833332,100.0,207.196916667,296.212166667,154.166583333,170.075666667
215.19,122.777916667,241.66675,284.444416667,142.222166667,172.777833334,300.5555,436.666583334,243.33325,248.888833334
215.57,272.22225,459.259166666,575.925999999,294.444333333,395.370333333,603.7035,792.592500001,492.592666667,473.14825
215.95,235.8975,332.69225,441.666666666,256.410333333,317.948666667,457.05125,567.30775,393.58975,393.58975
216.32,269.444416667,379.861083333,499.3055,265.97225,363.888833333,485.416666667,602.77775,421.52775,429.861083333
216.70,1141.66666667,1958.33333333,2737.5,1254.16666667,1700.0,2404.16666667,3075.0,2120.83333333,2170.83333333
217.08,355.5555,643.05575,895.833416667,348.611083334,561.111083333,825.000249999,979.166666667,670.83325,681.944416668
217.46,92.36125,172.916583333,218.402916667,97.5694166668,156.25,233.680583333,256.59725,192.013916667,176.041666667
217.83,163.194333333,297.222333333,383.333416667,145.138833333,271.527833334,461.111166667,461.8055,331.944416667,286.8055
