wavelength,Back_NemPilf,Belly_NemPilf,Breast_NemPilf,Crissum_NemPilf,Crown_NemPilf,DorTail_NemPilf,Patch10_NemPilf,Rump_NemPilf,Throat_NemPilf,WingTip_NemPilf
559.55,20.4587333333,57.8509333333,45.2919333333,44.1502666667,18.7433333333,17.2306666667,22.0685333333,21.8016666667,45.5058666667,10.5902666667
559.89,20.3626,57.8931333333,45.3153333333,44.1266,18.6932666667,17.167,21.9792,21.7804666667,45.4998,10.5366666667
560.23,20.3938666667,57.9079333333,45.3560666667,44.1706666667,18.6902666667,17.1935333333,21.9963333333,21.795,45.5396,10.5643333333
560.58,20.2997333333,57.8142666667,45.2971333333,44.1066,18.5639333333,17.0886666667,21.8722,21.7371333333,45.4450666667,10.484
560.92,20.3170666667,57.9042666667,45.414,44.1412,18.596,17.1045333333,21.8950666667,21.786,45.5478666667,10.5168666667
561.26,20.2859333333,57.8314666667,45.3968,44.0628666667,18.5532666667,17.079,21.8463333333,21.7318666667,45.5162666667,10.5088666667
561.60,20.2952,57.8147333333,45.453,44.0806666667,18.5326666667,17.0669333333,21.8186666667,21.7266,45.5413333334,10.5339333333
561.94,20.2157333334,57.7568666667,45.4029333333,44.0493333333,18.4443333333,16.9717333333,21.7000666667,21.6494,45.5164666667,10.4565333333
562.28,20.1308,57.7087333333,45.37,43.9685333333,18.3905333334,16.9642,21.6368666667,21.6124666667,45.5311333333,10.4342
562.62,20.1478666667,57.6522666667,45.3829333334,43.9528666666,18.3956666667,16.9974,21.6252,21.6227333333,45.5272666667,10.4766
562.96,20.0888666667,57.6098,45.3904,43.9447333333,18.3476666667,16.9544666667,21.5652666667,21.597,45.4984666666,10.4448
563.30,20.1952666666,57.7026,45.5051333333,44.0324,18.4404666667,17.0572,21.6329333333,21.7087333333,45.6173333333,10.5358
563.64,20.1572666667,57.6501333333,45.5154,43.9959333333,18.4022,17.0460666667,21.5713333333,21.6606,45.5806666667,10.494
