wavelength,Back_CyaCaef,Belly_CyaCaef,Breast_CyaCaef,Crissum_CyaCaef,Crown_CyaCaef,DorTail_CyaCaef,Patch10_CyaCaef,Rump_CyaCaef,Throat_CyaCaef,WingTip_CyaCaef
200.82,-184.999999999,-186.666666667,-635.000000001,-261.666666667,1.42108547152e-15,-83.3333333336,-184.999999999,-176.666666667,-576.666666667,-164.999999999
201.19,-7.17953333334,5.89746666666,-73.5897333334,-39.7434666667,26.2820666666,8.2050000002,-8.46153333332,-1.02573333328,-46.4104000001,2.82059999992
201.57,1.96073333314,39.2157333335,-118.8236,-52.9410666666,72.1567666667,39.2156666665,11.3724666666,20.3921333331,-36.0783999999,8.23533333334
201.95,38.0952,90.476,-56.1904666667,6.9842666666,97.7777999999,74.2856666667,44.4445333334,47.6189333333,4.12693333332,60.9523999999
202.33,27.1666666666,44.8333333333,-31.3333333333,11.3333333333,62.9166666666,44.0,23.6666666667,28.5,-8.00000000002,35.8333333333
202.71,19.0124000001,54.5677333334,-65.4321999999,2.71593333332,64.0740333333,39.0123333333,9.62953333334,25.9259333333,-51.1112000001,31.6050666666
203.09,-15.2778000001,20.8333333333,-117.499933333,-39.1667333333,21.5277666666,-0.555533333274,-13.6110666666,5.83326666668,-86.9443333333,-7.77780000012
203.47,-65.2173333333,-7.82600000006,-171.304333333,-93.9130666666,-27.6812666667,-35.3623333334,-37.1014000002,-45.5071333334,-140.869466667,-63.4784
203.85,-72.6666666667,-24.6666,-157.5554,-89.5556000001,-43.1112333333,-40.8889333333,-50.8889333333,-61.5554666667,-141.999866667,-74.2222000002
204.22,-70.4445333335,-12.0000666666,-145.111133333,-86.4444666667,-30.3334666666,-26.4443999999,-39.5555333333,-46.2221333334,-150.444333333,-70.8889333333
204.60,-508.333333333,-262.5,-779.166666667,-534.166666667,-275.833333333,-300.0,-358.333333334,-415.0,-791.666666667,-425.0
204.98,-418.0,-200.0,-657.333333333,-434.666666666,-252.0,-223.333333333,-308.666666667,-344.0,-662.0,-344.0
205.36,2156.66666667,1020.0,3293.33333333,2260.0,1436.66666667,976.666666667,1536.66666667,1706.66666667,3540.0,1763.33333333
205.74,606.666666667,357.037,814.815,630.370333333,479.259333333,329.6296,477.037000001,505.925933333,941.481533333,515.555533333
