wavelength,Back_SpoColf,Belly_SpoColf,Breast_SpoColf,Crissum_SpoColf,Crown_SpoColf,DorTail_SpoColf,Patch10_SpoColf,Patch11_SpoColf,Patch12_SpoColf,Rump_SpoColf,Throat_SpoColf,WingTip_SpoColf
370.38,6.77413333333,13.0166,10.101,7.71226666667,4.97793333333,6.76426666667,16.0498666667,5.40646666667,5.81433333333,4.4638,23.8909333333,5.79433333333
370.74,6.66206666667,12.9404,10.0898,7.6618,4.9298,6.72393333333,16.0433333333,5.33573333333,5.72206666667,4.4094,23.8745333333,5.71193333333
371.10,6.89966666667,13.2398,10.3351333333,7.91446666666,5.20846666667,7.01066666667,16.3178666667,5.62233333333,5.96913333333,4.66406666667,24.1959333333,5.9684
371.46,6.85833333333,13.2281333333,10.2961333333,7.89306666666,5.1924,6.97653333333,16.2285333333,5.5814,5.89066666667,4.60806666667,24.136,5.94953333333
371.83,6.82746666667,13.2638666667,10.313,7.9228,5.1652,6.9844,16.3004666667,5.59626666667,5.92126666667,4.56746666667,24.2326,5.93353333333
372.19,6.82673333333,13.3212666667,10.3706,7.89693333333,5.13406666667,6.9554,16.3255333333,5.61573333333,5.90866666667,4.5432,24.3562666667,5.9016
372.55,6.88673333333,13.4281333333,10.3986666667,7.9762,5.16633333333,7.02773333334,16.4551333333,5.74446666667,5.9824,4.58673333334,24.4919333333,5.97593333333
372.92,6.8082,13.4136666667,10.2932666667,7.88586666667,5.0792,6.95973333333,16.4194,5.6816,5.93986666667,4.47106666667,24.5001333333,5.9156
373.28,6.7906,13.4338666667,10.2890666667,7.89033333333,5.04926666666,6.95613333333,16.411,5.72546666667,5.97753333333,4.46413333333,24.4621333333,5.93013333333
373.64,6.81933333333,13.4678,10.2962666667,7.89066666667,5.0256,6.93466666667,16.4446,5.76793333333,5.99133333333,4.49793333333,24.4937333333,5.91993333334
374.00,6.8974,13.6043333333,10.3835333333,7.94393333333,5.10306666667,6.99053333333,16.5725333333,5.85446666667,6.06213333333,4.61006666667,24.6812,5.9738
374.37,6.94526666667,13.6774,10.4125333333,7.93646666667,5.11486666667,7.01566666667,16.6839333333,5.93506666667,6.0534,4.68426666667,24.8237333333,5.98286666667
374.73,7.07046666667,13.8032666667,10.4915333333,8.027,5.19286666667,7.117,16.79,6.0168,6.14433333333,4.76526666667,25.0303333333,6.06633333333
375.09,6.97533333333,13.7375333333,10.3781333333,7.9254,5.05326666667,7.00893333333,16.7312,5.88506666667,6.0692,4.6622,24.9702,5.94613333333
375.45,7.00093333333,13.8160666667,10.4214,7.937,5.0202,7.0416,16.857,5.8988,6.11366666667,4.70893333333,25.1121333333,5.9388
375.81,7.0166,13.8354666667,10.4472666667,7.94613333333,5.0254,7.012,16.8804,5.89733333333,6.12286666666,4.69333333333,25.187,5.92986666667
376.18,6.99493333333,13.853,10.4624,7.96266666667,5.01586666667,6.99873333333,16.8982666667,5.90133333333,6.10953333334,4.70173333333,25.2273333333,5.92786666667
376.54,6.93873333333,13.8675333333,10.4726666667,7.92106666667,5.02093333333,6.9452,16.8958666667,5.8324,6.0478,4.65626666667,25.2917333333,5.91126666667
376.90,7.00606666667,13.972,10.5737333333,8.03233333334,5.12,6.98926666667,17.0633333333,5.92586666667,6.10373333333,4.765,25.4268,6.00493333333
377.26,7.0504,14.0228,10.6372666667,8.07546666667,5.19226666667,6.99906666667,17.1633333333,5.9084,6.13253333333,4.79686666667,25.6262,6.018
377.63,6.98986666667,14.0376666667,10.6397333334,8.09873333333,5.17593333333,6.97766666667,17.1835333333,5.87113333333,6.12166666667,4.7512,25.6366666667,6.00506666666
377.99,7.01446666667,14.0743333333,10.6912,8.1354,5.1876,6.97886666667,17.2111333334,5.9022,6.15506666667,4.76073333334,25.7256,6.03753333333
378.35,7.0732,14.131,10.8137333333,8.229,5.27413333333,7.03153333333,17.2753333333,5.96406666667,6.24046666667,4.7804,25.8093333333,6.10453333333
378.71,7.00146666667,14.0484666667,10.7699333333,8.17046666666,5.21206666667,6.95566666667,17.2189333333,5.92186666667,6.20026666667,4.70473333333,25.7634,6.02033333333
379.07,6.86006666667,13.9091333333,10.6787333333,8.02893333333,5.08873333333,6.7938,17.0963333333,5.7622,6.0222,4.55773333333,25.7165333333,5.87206666667
379.44,6.83026666667,13.8905333333,10.6973333333,8.03106666666,5.0984,6.74833333333,17.1316,5.71286666667,5.9736,4.491,25.7455333334,5.82993333333
379.80,6.859,13.9650666667,10.7280666667,8.08106666667,5.1474,6.77106666667,17.1883333333,5.73186666667,5.99673333333,4.5162,25.8426666667,5.85526666667
380.16,6.976,14.0431333333,10.7752666667,8.20066666666,5.25613333333,6.8668,17.2961333333,5.79553333333,6.0848,4.5892,25.9132666667,5.9232
380.52,6.9304,13.9988666667,10.7403333333,8.14606666666,5.15153333333,6.8194,17.2355333333,5.69573333333,6.02406666667,4.49953333333,25.9184666666,5.84793333333
380.88,6.95393333333,13.964,10.7728666667,8.12646666667,5.13253333333,6.82606666667,17.2248,5.65633333333,6.02406666667,4.47306666667,25.9951333333,5.83913333333
381.24,6.93306666667,13.9258666667,10.7571333333,8.12426666667,5.08273333333,6.79053333333,17.1908,5.66913333333,6.0062,4.467,25.9239333333,5.81333333333
381.61,6.91606666667,13.9114,10.7386,8.11053333333,5.0634,6.76973333333,17.1484,5.6374,5.97673333333,4.42673333333,25.9682666667,5.80266666667
