wavelength,Back_DubTaef,Belly_DubTaef,Breast_DubTaef,Crissum_DubTaef,Crown_DubTaef,DorTail_DubTaef,Patch10_DubTaef,Patch11_DubTaef,Rump_DubTaef,Throat_DubTaef,WingTip_DubTaef
404.67,11.9440666667,11.8131333333,9.78280000001,13.6370666667,21.9845333333,6.5984,32.5288666667,11.7298,13.4642,4.0518,6.65306666667
405.03,12.0252,11.8511666667,9.83586666667,13.7162,22.0517333333,6.67113333333,32.6240666667,11.8085333333,13.535,4.11733333333,6.72413333333
405.39,12.0098,11.8100666667,9.84860000001,13.7343333334,22.0668666667,6.72046666666,32.5938666667,11.8099333333,13.5361333333,4.1376,6.71846666667
405.75,11.9528,11.7219,9.77246666668,13.6940666667,22.0440666667,6.6572,32.5576,11.789,13.5014,4.09116666667,6.64633333333
406.11,11.966,11.7043666667,9.78353333335,13.7342,22.1188,6.65133333333,32.6182,11.8124666667,13.5248666667,4.10836666667,6.65333333333
406.47,12.0262666667,11.6966666667,9.8146,13.7837333333,22.1314666667,6.66193333333,32.6068,11.859,13.5482666667,4.12393333333,6.6664
406.83,12.0644666667,11.6394666667,9.81173333333,13.7914666667,22.1462666667,6.65046666667,32.5608666667,11.9080666667,13.5616,4.13583333333,6.66793333333
407.19,12.1092666667,11.6087333333,9.82553333333,13.8142,22.1808666667,6.64326666667,32.5746666667,11.9702,13.5636666667,4.12646666667,6.64553333333
407.55,12.1524666667,11.6144,9.81593333334,13.8628666667,22.2118,6.649,32.5922666667,12.0296666667,13.6003333333,4.16126666667,6.64626666666
407.90,12.1582666667,11.5989333333,9.81473333333,13.9032666667,22.2121333333,6.67053333333,32.5810666667,12.0637333333,13.6124666666,4.15893333333,6.65306666667
408.26,12.1908,11.5944,9.83746666666,13.9752666667,22.2300666667,6.68166666667,32.6012666667,12.1368666667,13.6658,4.16976666667,6.67486666667
408.62,12.1391333333,11.5389,9.7594,13.965,22.2548666667,6.62773333333,32.6576,12.1226666667,13.6552,4.10003333333,6.619
408.98,12.149,11.5519,9.76026666667,14.0281333334,22.2547333333,6.64346666667,32.6446666667,12.1980666667,13.6777333333,4.13576666667,6.6262
