wavelength,Back_DigSitf,Belly_DigSitf,Breast_DigSitf,Crissum_DigSitf,Crown_DigSitf,DorTail_DigSitf,Rump_DigSitf,Throat_DigSitf,WingTip_DigSitf
774.12,16.7496666667,41.3146666666,43.7311666666,44.1059047619,19.7321666667,22.1760833334,18.296,37.8486666667,20.7816666666
774.43,16.6805,41.1166666666,44.0268333333,43.9947857142,19.9805,22.403,18.8388333333,37.9281666667,21.5818333333
774.74,16.9046666667,41.4143333333,43.7255,44.3337857143,20.3923333333,22.8638333334,19.0336666666,37.9131666666,21.9466666666
775.05,17.4411666667,41.8533333333,44.1633333333,44.1712142857,21.7011666667,22.6968333333,19.9998333334,37.9391666666,23.5963333333
775.36,17.1728333333,41.3656666667,44.116,43.0604047619,21.3738333333,21.67475,19.7181666667,37.8218333333,23.3855
775.67,17.0805,41.8046666667,44.2051666667,43.0719523809,21.7438333334,21.5715,19.633,37.7758333334,23.6201666667
775.98,16.8321666667,41.8458333334,43.4741666667,42.9911428571,21.1643333333,21.7369166666,19.3158333333,37.3206666666,23.5236666667
776.30,17.9073333333,42.4216666666,42.9613333333,43.7316666667,21.4266666667,23.08525,20.5906666667,38.1471666667,24.1776666667
776.61,18.3008333333,42.3825,42.8686666667,43.6113571428,21.4341666667,24.5405,21.0021666667,38.425,24.7433333334
776.92,18.2063333334,41.8288333334,42.7201666667,43.7736666667,21.4345,23.73025,21.259,38.0196666666,24.9191666666
777.23,18.8516666667,41.2736666667,42.6726666667,43.3083571428,21.303,23.9474166666,21.8225,38.5558333334,25.2331666666
777.54,20.4533333334,43.04,43.1066666666,44.4571428572,23.0666666667,25.38,23.6133333333,39.8933333334,27.0933333333
777.85,20.986,43.3678333333,42.8628333333,44.9039285714,23.0726666667,26.0896666667,23.671,40.1781666667,26.9935
778.16,21.3776666667,43.5736666666,42.8611666667,44.6935238095,23.159,26.5703333333,24.4653333333,40.4988333333,26.9728333333
778.47,21.2206666667,43.3308333333,42.509,44.7876428572,22.2581666666,26.92,23.7671666666,40.6225,26.0441666666
