wavelength,Back_HemFlaf,Belly_HemFlaf,Breast_HemFlaf,Crissum_HemFlaf,Crown_HemFlaf,DorTail_HemFlaf,Patch10_HemFlaf,Rump_HemFlaf,Throat_HemFlaf,WingTip_HemFlaf
200.44,86.728222222,-13.2717777778,166.975222222,22.8394444444,68.5186666667,85.1852222223,79.0122222221,48.4567777779,71.2962222221,57.7161111111
200.82,78.4946666668,-44.8028888889,175.268888889,8.2437777778,52.3297777778,87.0966666667,70.9677777778,35.8422222221,64.5160000001,53.4050000001
201.19,50.5554444445,-4.44455555557,97.963,17.2223333333,38.8888888889,57.5926666668,47.037,36.4815555556,46.2961111111,48.7036666667
201.57,35.9261111111,-15.1851111111,82.0368888888,9.81488888887,31.8517777778,53.7038888889,36.2962222222,26.1111111111,37.4073333333,37.2221111111
201.95,52.4073333333,-4.62977777777,83.1481111111,11.6667777778,41.1112222222,70.5554444444,37.2222222222,29.2592222222,47.7776666667,50.9258888889
202.33,47.2727777778,-12.3232222222,75.5556666667,1.4142222222,41.4141111111,77.7779999999,31.9192222222,26.4645555556,49.0908888889,46.8687777778
202.71,47.6851111111,-26.389,76.3887777778,-3.00933333337,40.5093333333,77.3147777778,27.0834444445,17.5927777778,46.5276666667,49.537
203.09,61.4813333333,-41.4814444444,114.444444444,5.18522222223,49.2592222222,108.888777778,25.5556666666,4.44444444453,61.1111111111,69.6295555556
203.47,61.9657777778,-70.0855555556,118.376222222,2.99155555567,51.7094444444,125.213555556,41.8802222222,-5.12822222223,67.5215555557,80.3417777778
203.85,49.4252222221,-78.161,111.494444444,8.81222222223,29.5018888889,98.8506666667,44.0613333333,-13.4101111111,64.7510000001,75.4787777778
204.22,77.7776666667,-108.585666667,165.656555555,43.4344444442,49.4951111111,118.686888889,75.2525555557,-17.6766666667,108.080888889,111.111111111
204.60,111.111111111,-120.0,217.777777778,48.3333333333,45.0000000001,123.888888889,82.2222222223,-35.5555555553,142.777777778,135.555555556
204.98,184.127,-173.809555556,318.253777778,65.0793333333,60.3174444444,150.0,124.603333333,-41.2698888889,222.222333333,203.968333333
205.36,520.370333334,-414.815,812.962999999,242.592555556,212.962888889,390.740555556,324.074222222,-107.407444445,642.592444443,500.0
205.74,318.518555556,-338.271666667,503.703777778,102.469,40.7406666666,166.666777778,143.209666667,-155.555444445,320.987666667,290.123555555
206.12,163.889,-308.333333333,317.592555556,83.3333333334,-20.3702222221,53.7036666667,83.3333333333,-144.444555556,187.037111111,151.851777778
206.50,583.333333332,-866.666666666,1111.11111111,394.444444443,-25.0,138.888888889,416.666666667,-388.888888889,583.333333332,555.555555556
206.87,479.365000001,-320.634777778,861.904555554,376.190444444,225.396777778,250.793555555,428.571444444,-87.3015555557,479.36511111,479.365222222
207.25,205.050444444,-54.0404444445,329.293,156.565666667,123.737222222,132.828222222,185.858555556,44.4444444446,214.646555556,203.030333334
207.63,110.826111111,-26.2108888889,185.755,96.0114444444,70.940111111,80.9115555554,96.2962222222,29.0597777778,122.222333333,115.099888889
208.01,85.8973333332,-14.3161111111,137.393111111,75.8547777779,55.983,67.3075555556,74.7864444445,18.5895555555,95.5128888888,82.2648888888
208.39,72.6631111111,-11.6403333333,111.463888889,59.082888889,44.7974444445,50.6173333333,51.4991111111,13.5803333333,85.1852222221,58.73
208.77,54.5585555556,-16.9514444444,77.9203333333,47.0084444444,30.627,37.037,32.4785555556,11.8233333333,67.3787777777,41.3104444444
209.14,52.4023333333,-15.4654444444,79.7295555557,47.2972222222,31.081,40.991,34.2342222222,15.7656666667,66.5165555557,34.8347777778
209.52,45.8781111112,-34.0501111111,78.6738888889,44.2652222222,19.3548888889,28.4947777778,23.2974444444,6.45166666667,52.5091111111,25.0895555556
209.90,52.6494444446,-28.547,82.3931111112,48.376,24.6152222222,23.9315555555,30.2564444444,11.2821111111,56.2393333332,29.5726666667
210.28,64.6295555556,-23.7036666667,97.7776666668,54.0741111111,26.6666666667,24.8148888889,43.1483333333,14.4444444444,63.1482222221,40.0001111111
210.66,60.888888889,-9.48155555557,85.6295555557,52.5925555555,30.8147777778,28.0,41.037,23.2593333333,56.2962222221,40.5925555556
211.03,54.2733333333,-20.6554444444,68.2335555555,46.4388888889,15.9543333333,18.0912222222,26.4956666667,19.3732222222,49.7151111111,26.2106666667
211.41,58.6666666667,-23.1111111111,66.2223333335,46.0738888889,15.5556666667,19.7037777778,25.6295555555,13.0371111111,48.8887777777,21.3332222222
211.79,72.2224444446,-37.4485555556,78.3951111112,55.7612222222,15.638,13.5803333333,24.6913333333,2.26322222223,59.6706666667,13.5801111111
212.17,61.6403333335,-76.4552222222,66.1376666666,49.2063333333,-6.34933333337,-21.4286666667,2.91,-16.9313333334,43.3863333333,-7.93666666663
212.55,68.3333333332,-221.666666667,86.1111111112,60.5555555557,-71.111111111,-95.5555555557,-30.0,-81.1111111109,14.9999999999,-49.9999999999
212.92,35.5555555556,1091.11111111,-148.888888889,-62.2222222223,506.666666667,631.111111111,382.222222222,546.666666667,235.555555555,482.222222222
213.30,151.852,1959.25922222,-44.4443333322,77.7775555567,959.259222222,1107.40744444,948.14811111,1125.926,451.85188889,940.740777779
213.68,-337.036888889,-1937.037,-137.037111111,-266.666777779,-977.777777778,-1070.37044444,-999.999999999,-1262.96288889,-418.518444442,-903.703777778
214.06,195.370555556,568.518666666,168.518333333,181.481444445,332.407444445,358.333,323.148111111,424.074111111,195.370333333,358.333333333
214.44,144.444444444,382.222222222,153.888888889,140.0,216.111111111,235.555555556,222.777777778,272.777777778,148.888888889,240.555555555
214.81,152.314666667,353.703555555,165.277777778,158.796333333,216.666555556,219.444444444,231.018666667,251.389111111,150.000111111,241.203777778
215.19,145.977,286.59,142.911888889,144.827666667,184.674333333,197.701222222,186.973222222,221.456,133.716333333,184.291111111
215.57,164.583333333,267.708333333,147.916666667,153.819444445,185.763888889,207.291666667,189.930555555,210.763888889,146.875,168.055555556
215.95,177.777777778,282.963,168.518444445,177.777777778,207.407333333,237.037,197.407444444,208.889,175.185111111,165.185222222
216.32,218.333333333,366.111111111,202.777777778,235.0,256.111111111,299.444444444,256.666666667,274.444444445,205.555555555,204.444444445
216.70,365.740888889,574.074111111,363.888777778,417.592666667,396.296444444,480.555666667,467.592444445,454.629666667,342.592444444,343.518444445
217.08,-741.666666667,-1302.77777778,-788.888888889,-986.111111112,-750.0,-1077.77777778,-966.666666667,-980.555555556,-611.11111111,-547.222222222
217.46,-157.037111111,-340.0,-174.074,-244.444444444,-148.889,-288.148333333,-206.666666667,-211.111111111,-143.703666667,-85.1851111111
217.83,-273.333333333,-571.111111111,-328.888888889,-420.0,-306.666666667,-523.333333333,-391.111111111,-354.444444444,-292.222222222,-208.888888889
218.21,-45.1851111111,-143.333333333,-65.5554444443,-94.8148888889,-71.1112222221,-135.925888889,-112.962888889,-75.5555555557,-65.9258888889,-14.0741111111
218.59,-13.6054444444,-64.625888889,-11.3378888889,-35.8276666667,-20.6348888889,-71.6554444446,-55.3290000001,-27.4375555555,-26.3040000001,4.30844444444
218.97,-18.2716666667,-59.2593333335,-3.20966666667,-30.1236666667,-10.1234444444,-79.999888889,-57.5307777777,-24.4443333333,-24.1973333333,14.8147777778
219.34,-36.6366666667,-96.0962222222,-25.8256666668,-48.0480000001,-26.7267777778,-107.507555556,-93.0932222222,-41.4414444443,-40.5405555556,-3.90366666666
219.72,-55.5555555556,-107.31,-34.2104444443,-58.4795555554,-45.614111111,-117.836333333,-98.8304444446,-51.462,-52.6313333333,-17.5437777778
220.10,-50.8771111111,-101.461888889,-26.3157777778,-60.2341111111,-38.889,-117.543777778,-102.046666667,-56.7251111112,-42.3975555555,-27.193
220.47,-94.2527777778,-159.003777778,-68.9655555557,-101.915666667,-85.8237777779,-200.766333333,-152.873555556,-96.9347777778,-87.7395555556,-68.9654444446
220.85,-142.328111111,-240.740666667,-104.232777778,-177.248555556,-143.386333333,-302.645555555,-207.407333333,-158.201111111,-125.396888889,-112.698444445
221.23,-437.037,-680.247,-312.345777778,-476.543222222,-441.975333334,-745.679,-558.024777778,-470.370444444,-365.432111111,-366.666777778
221.61,596.825444444,863.492111112,439.682666667,606.349111111,623.809555556,965.079333332,831.746,685.714333333,496.825444444,609.523777778
221.98,379.012333333,571.604888889,234.567888889,355.555555556,385.185222222,641.975333333,549.382555556,456.790111111,269.135777778,438.271666667
222.36,122.493444444,157.181333333,89.1597777777,111.382222222,105.149222222,169.105555556,155.555444445,138.211333333,80.4877777779,147.154444444
222.74,98.4615555554,117.265111111,73.1625555556,85.812111111,91.4531111112,121.196555556,121.025777778,112.820444444,61.5384444443,112.820444444
223.11,90.7407777778,109.686888889,73.6466666667,83.7607777779,93.1624444443,110.256444444,110.683777778,109.544222222,56.1254444444,108.974333333
223.49,79.8104444444,88.346888889,63.0081111111,74.7967777779,84.9593333335,98.3737777779,98.9159999999,97.9673333334,48.7802222222,99.8644444444
223.87,68.8887777778,78.6243333334,61.0581111111,66.9841111111,72.5925555556,86.4551111113,85.6085555555,87.1957777778,46.7725555555,90.3702222222
224.24,62.9311111111,71.1686666666,56.4175555556,60.9193333333,67.9118888889,77.6818888888,78.0652222222,81.2258888888,44.0613333334,77.8734444444
224.62,58.9333333333,64.5333333333,50.4888888889,56.9777777778,61.7777777778,66.2222222222,75.5555555555,77.6888888889,43.8222222222,69.2444444444
225.00,53.5768888889,55.8598888889,45.2814444444,47.5647777778,55.3272222222,56.697,67.1993333333,66.2101111111,42.3134444444,61.72
225.38,55.7108888889,53.3798888889,45.2991111111,51.5927777778,58.8966666666,62.626,70.9401111111,68.376,45.7653333333,63.8695555555
225.75,54.6165555555,52.8952222222,46.9483333334,52.1127777778,60.5633333333,63.3021111111,67.4492222222,68.936,47.0265555556,58.2941111111
226.13,52.4731111111,51.8996666667,43.8708888889,49.9643333333,56.5592222222,61.5768888889,63.2973333333,65.8781111111,46.8816666667,54.1935555556
226.51,42.774,42.3384444444,32.6797777778,41.2491111111,49.2375555556,53.3042222222,53.4494444444,55.7006666667,40.8135555556,41.9753333333
226.88,29.2865555556,28.875,25.6516666667,33.0591111111,34.4992222222,42.6611111111,42.1125555555,42.3182222222,31.6185555556,28.5323333333
227.26,23.0538888889,22.757,22.1628888889,28.2234444444,26.7973333333,34.3435555555,34.9376666667,34.1652222222,27.3322222222,22.6381111111
227.64,23.1995555556,22.7367777778,21.605,27.1091111111,23.9195555555,34.002,33.282,31.8415555556,26.4403333333,22.0678888889
228.01,15.631,16.3842222222,15.7721111111,19.9152222222,16.6194444445,26.6478888889,26.5065555555,23.776,19.3503333334,15.2542222222
228.39,15.0256666667,17.2797777778,14.9465555556,19.3356666666,15.263,24.2388888889,23.9621111111,20.3637777778,16.8052222222,17.3191111111
228.76,14.7091111111,17.4954444444,14.215,18.8007777778,15.485,23.7741111111,22.7865555556,16.8958888889,15.3085555556,17.531
229.14,13.1012222222,16.7495555556,13.6317777778,18.0097777778,15.0248888889,23.2172222222,21.3598888889,15.7875555556,14.5936666667,16.7827777778
229.52,11.8094444444,17.3042222222,13.6306666667,16.3023333333,13.6006666667,22.4347777778,20.4007777778,15.0575555555,14.4505555556,15.9076666667
229.89,11.7818888889,17.4102222222,11.9862222222,14.9605555556,12.8317777778,22.164,19.6267777778,14.2025555556,13.3566666667,15.923
230.27,10.173,16.7692222222,9.93855555556,14.4825555555,11.4921111111,21.372,17.8832222222,11.6682222222,12.3423333333,14.7756666667
230.65,11.9067777778,19.1531111111,10.5997777778,15.6576666667,14.1801111111,22.7336666667,19.4656666667,13.3276666667,13.8961111111,16.3114444444
231.02,15.3555555556,22.898,13.7875555555,18.5726666667,18.7618888889,25.5205555555,22.5195555556,16.8153333333,17.5723333333,20.7354444444
231.40,15.1747777778,22.9042222222,12.9867777778,18.045,19.2953333333,26.4847777778,22.2791111111,16.4536666667,18.471,21.9665555555
231.78,13.9334444444,21.628,11.1111111111,16.8746666667,19.1918888889,25.6385555556,21.0933333333,14.706,17.1716666667,21.7172222222
232.15,12.5228888889,18.539,7.94966666666,14.3338888889,17.4034444444,23.3885555556,19.3676666667,13.1982222222,15.3774444444,19.951
232.53,13.1722222222,18.2287777778,7.66488888889,14.3962222222,18.2285555556,24.5733333333,20.483,13.6233333333,17.1335555555,20.934
232.90,11.1111111111,16.1585555555,5.17855555556,12.3893333333,16.0603333333,22.3204444444,17.6007777778,12.7171111111,14.2248888889,19.4362222222
233.28,10.976,14.5557777778,3.00577777778,11.3475555555,15.2651111111,21.6482222222,17.055,12.5971111111,12.2593333334,19.2501111111
233.66,9.38344444443,12.771,0.846999999999,10.874,14.7695555556,19.2071111111,15.989,11.7886666667,10.3318888889,18.7332222222
234.03,9.21477777777,10.8781111111,-0.0998888888867,9.38111111112,12.3086666667,16.6998888889,14.8702222222,10.9778888889,8.34977777778,17.3984444444
234.41,10.1183333333,11.1751111111,2.14533333333,10.6627777778,12.8723333333,16.7785555556,15.5301111111,13.6087777778,8.67744444445,18.1875555555
234.78,11.1421111111,10.434,3.50877777778,10.157,12.1573333333,16.6512222222,14.6505555555,12.5885555556,8.31022222223,18.0053333333
235.16,10.5055555556,9.59722222221,1.54388888889,8.78,10.5056666667,15.0165555556,12.6246666667,10.778,6.08544444445,16.4093333333
235.54,10.3257777778,9.91855555555,2.32711111111,9.51133333333,9.22044444446,15.5032222222,13.06,10.9074444445,5.67188888889,15.1252222222
235.91,11.8073333333,12.5591111111,5.12388888889,11.6124444445,10.1364444445,16.792,14.6198888889,12.1972222222,8.29855555557,15.0652222222
236.29,13.6545555555,15.609,8.24633333333,15.2075555555,12.8246666667,19.0628888889,16.5462222222,14.1364444445,9.90633333334,17.296
236.66,12.3661111111,15.6862222222,7.81711111111,15.085,12.1566666667,17.9083333333,15.5293333333,13.8823333333,8.209,15.2943333333
237.04,12.1887777778,15.7813333333,9.13533333334,15.7044444444,11.804,17.6033333333,15.5247777778,13.8823333333,8.80177777777,14.9858888889
237.41,12.7125555555,17.3423333333,10.7856666667,16.3664444444,12.2622222222,18.4184444444,16.141,14.0392222222,10.8608888889,15.6906666667
237.79,13.2696666667,17.7335555556,11.9451111111,16.0658888889,11.3564444444,18.1508888889,15.3544444445,13.5885555555,11.4056666667,15.4525555555
238.17,14.0647777778,19.081,14.2755555556,18.3544444445,13.2913333333,20.4174444445,16.4792222222,14.1586666666,13.6193333333,16.479
238.54,15.2724444445,20.1416666667,15.8945555555,18.7257777778,14.393,21.9648888889,18.1466666667,14.7791111111,15.1223333333,17.7392222222
238.92,13.5622222222,18.893,15.2368888889,17.7287777778,12.9085555555,20.7925555556,17.7083333333,13.1128888889,13.9501111111,16.2785555556
239.29,14.109,19.4118888889,16.6761111111,18.3623333333,13.3782222222,21.5664444444,18.5872222222,13.7156666667,15.3083333333,16.9008888889
239.67,13.1655555555,18.0961111111,14.6378888889,16.5553333334,12.6691111111,20.0823333334,17.2572222222,12.7031111111,13.816,15.9561111111
240.04,9.92788888891,14.7842222222,11.434,13.1243333333,10.0354444445,16.9972222222,13.8005555556,10.4812222222,10.4347777778,13.5853333333
240.42,9.31733333333,13.842,10.348,11.8876666667,9.1968888889,15.8366666667,12.8113333333,9.98677777779,10.2676666667,12.9717777778
240.79,8.00377777777,12.3941111111,9.13377777778,10.5462222222,7.86255555556,14.9128888889,11.6171111111,8.86300000001,9.45133333333,12.0882222222
241.17,7.27011111111,11.2965555555,8.21744444444,9.37077777779,7.03311111111,14.5402222222,11.1421111111,8.09388888889,8.80422222223,11.3582222222
241.54,6.05155555555,9.7981111111,7.09822222222,8.00722222222,5.61988888889,13.3424444444,9.90811111112,6.87788888889,7.3368888889,9.97244444443
241.92,5.59266666667,9.20277777779,6.56755555556,7.534,5.41922222222,12.9531111111,9.66533333332,6.67511111111,7.14588888889,9.94633333332
242.29,5.46844444445,8.86622222223,6.34811111111,7.43288888889,5.40766666667,12.3323333333,9.43500000001,6.83355555556,7.12922222222,10.1252222222
242.67,4.564,7.83766666667,5.43888888889,6.64933333334,4.564,11.1184444445,8.3478888889,5.90555555555,6.13155555555,9.32477777778
243.05,3.97833333333,7.61577777778,4.80244444444,6.35122222222,4.12766666667,10.7488888889,7.59444444444,5.72611111111,5.57677777778,9.23566666667
243.42,3.61577777778,7.176,4.12955555555,6.13511111111,3.68533333333,10.3616666667,7.22466666667,5.441,5.00377777778,8.84855555556
243.80,3.80577777778,7.35966666667,4.55466666667,6.39277777778,3.71055555556,10.7844444444,7.24388888889,5.66455555555,5.43977777778,8.94588888888
244.17,4.68722222222,8.23433333333,5.58577777778,7.34255555556,4.59988888889,11.7817777778,8.174,6.60477777778,6.52455555555,9.94422222222
244.55,4.32455555556,8.11611111111,5.56222222222,7.14855555556,4.57477777778,11.842,7.95155555554,6.20055555556,6.45066666667,9.6432222222
244.92,4.71322222222,8.24033333333,5.969,7.23088888889,4.87088888889,11.8998888889,7.92477777778,6.13277777778,6.65644444444,9.63477777778
245.30,4.80633333333,8.35511111111,5.94044444445,7.35655555556,5.17644444444,11.4815555556,7.756,6.29877777778,6.569,9.40122222223
