wavelength,Back_DigGlaf,Belly_DigGlaf,Breast_DigGlaf,Crissum_DigGlaf,Crown_DigGlaf,DorTail_DigGlaf,Patch10_DigGlaf,Rump_DigGlaf,Throat_DigGlaf,WingTip_DigGlaf
186.77,180.888888889,222.222222222,199.111111111,125.777777778,125.333333333,182.666666667,-38.2222222223,123.111111111,300.0,161.777777778
187.15,403.030555556,535.353444444,500.0,295.959666667,275.757555555,466.666666666,-39.3939999999,274.747666667,710.101222223,360.606111111
187.53,1247.22222222,1702.77777778,1669.44444445,922.222222221,947.222222223,1566.66666666,150.0,925.000000001,2211.11111111,1191.66666667
187.91,-888.888888888,-1257.40755556,-1216.66666667,-662.962888889,-692.592555556,-1194.44433333,-281.481555556,-711.111111112,-1577.77788889,-870.370333335
188.29,-1120.37055556,-1542.59255556,-1533.33333333,-885.185222221,-1014.81477778,-1509.25922222,-601.851666667,-937.037111112,-1840.74066667,-1107.40733333
188.67,-804.166666665,-1187.5,-1219.44444445,-677.777777777,-776.38888889,-1215.27777778,-529.166666667,-744.444444443,-1426.38888889,-836.111111112
189.05,-2300.00011111,-3337.03711111,-3470.37033333,-2033.33333334,-2233.33333333,-3444.44444444,-1840.74066667,-2185.18511111,-3929.62955555,-2481.48144444
189.43,-901.388888888,-1336.11111111,-1369.44444444,-825.000000001,-891.666666666,-1345.83333333,-811.111111111,-856.944444443,-1530.55555556,-977.777777777
189.81,-230.555666667,-338.888777778,-362.301555556,-199.603111111,-217.857111111,-364.682666667,-207.539888889,-198.016,-405.555555555,-250.396888889
190.19,-159.259222222,-224.216555556,-249.857555556,-141.025555556,-137.037,-243.305,-147.008444445,-108.262111111,-278.632333334,-160.683666667
190.57,-109.555555555,-144.666666667,-177.333333333,-92.6666666668,-89.5555555557,-175.333333333,-105.777777778,-51.7777777778,-192.888888889,-105.555555556
190.95,-127.777777778,-142.666666666,-187.333333333,-105.777777778,-101.555555555,-185.111111111,-113.111111111,-66.6666666668,-193.777777778,-119.111111111
191.33,-157.919555555,-167.139333333,-209.456222222,-124.349777778,-121.276666667,-206.383,-135.461111111,-88.6524444443,-212.529666666,-140.425555555
191.71,-120.582666666,-125.683111111,-152.458888889,-90.7103333333,-88.3424444443,-147.176666667,-102.55,-62.6593333332,-153.916111111,-99.4535555555
192.09,-109.764333333,-115.32,-138.720555556,-86.532111111,-81.1447777778,-126.767777778,-92.7610000001,-55.8923333332,-137.879,-87.542111111
192.47,-131.111111111,-128.148111111,-155.0,-103.333333333,-92.2223333332,-142.963,-101.296222222,-66.4813333332,-150.740777778,-102.037111111
