wavelength,Back_TanPalf,Belly_TanPalf,Breast_TanPalf,Crissum_TanPalf,Crown_TanPalf,DorTail_TanPalf,Patch10_TanPalf,Patch11_TanPalf,Patch12_TanPalf,Rump_TanPalf,Throat_TanPalf,WingTip_TanPalf
366.38,10.5105555555,39.7012777778,20.4041111111,24.7176666667,18.5752222222,6.86266666667,24.7404444444,4.94722222222,29.1442222222,23.5294444444,34.6938888889,6.865
366.75,10.4825555556,39.7793395062,20.471,24.7406666667,18.572,6.82833333333,24.8087777778,4.91033333333,29.1391111111,23.5976666667,34.7421111111,6.77966666667
367.11,10.6515555556,40.0979753087,20.5808888889,24.8962222222,18.7575555556,7.01166666667,24.9633333333,5.03911111111,29.2680555555,23.7994444444,34.9968888889,6.93466666667
367.47,10.7812222222,40.2718950617,20.6325555555,24.9852222222,18.8791111111,7.06544444444,24.9864444444,5.13655555556,29.2598333333,23.8685555555,35.1344444444,7.06277777778
367.84,10.8038888889,40.4508641975,20.7097777778,24.9984444445,18.9485555556,7.01411111111,24.9957777778,5.14922222222,29.3483888889,23.9706666667,35.2086666667,6.99877777778
368.20,10.849,40.6797716049,20.7858888889,25.0948888889,19.0146666667,7.00944444444,24.962,5.07,29.3945,24.0207777778,35.3171111111,6.95088888889
368.56,10.7786666667,40.6568950617,20.7503333333,24.9461111111,19.0095555556,6.95977777778,24.8726666667,4.97033333333,29.2583888889,23.9354444444,35.2772222222,6.89455555556
368.93,10.7674444444,40.6636790124,20.6586666667,24.7644444445,18.9637777778,6.957,24.8127777778,4.93411111111,29.1870555556,23.9563333333,35.2587777778,6.82811111111
369.29,10.5791111111,40.5642962963,20.4055555556,24.4736666667,18.7563333333,6.69811111111,24.6163333333,4.65811111111,28.9916111111,23.7352222222,35.0384444444,6.52155555555
369.65,10.5718888889,40.5982716049,20.4044444445,24.4153333333,18.712,6.66844444445,24.5456666666,4.64266666666,28.9744444444,23.7045555555,34.9857777778,6.41522222222
370.01,10.6305555556,40.6563765432,20.4225555556,24.3861111111,18.7482222222,6.59244444445,24.5987777778,4.60955555556,29.0090555555,23.6322222222,34.997,6.37466666667
370.38,10.6724444444,40.8386790123,20.5284444444,24.3737777778,18.846,6.55622222222,24.6522222222,4.59022222222,29.1022777778,23.6983333333,35.1235555555,6.363
370.74,10.6444444445,40.7716481481,20.4358888889,24.2062222222,18.7286666667,6.50922222222,24.4423333333,4.593,28.9893333333,23.543,34.9006666667,6.34666666667
371.10,10.6466666667,40.6696049382,20.4966666667,24.157,18.7031111111,6.41777777778,24.4096666667,4.63633333333,28.9589444444,23.5427777778,34.8742222222,6.27133333333
371.46,10.6105555556,40.6719567901,20.4945555555,24.1032222222,18.5535555555,6.32211111111,24.3504444444,4.55544444444,28.9162777778,23.4368888889,34.794,6.22377777778
371.83,10.67,40.7637345679,20.5543333333,24.1968888889,18.5323333333,6.33633333333,24.3774444445,4.54744444445,28.9585555556,23.4328888889,34.8786666666,6.27766666667
372.19,10.7941111111,40.8667098765,20.721,24.3028888889,18.6583333333,6.47544444444,24.482,4.68888888889,28.9953888889,23.5734444444,34.9943333334,6.50577777778
372.55,10.9073333334,41.0091419753,20.8972222222,24.3342222222,18.748,6.53155555556,24.5234444444,4.74844444444,29.0652777778,23.6435555556,35.0716666667,6.48322222222
372.92,10.9658888889,41.1482222222,21.0076666667,24.4353333333,18.7488888889,6.53,24.5744444444,4.76233333333,29.1052222222,23.6696666667,35.0676666667,6.55655555556
373.28,11.1337777778,41.4151049383,21.2248888889,24.6557777778,18.8582222222,6.66222222222,24.6738888889,4.91988888889,29.2719444444,23.759,35.29,6.79611111111
