wavelength,Back_EmbYpim,Belly_EmbYpim,Breast_EmbYpim,Crissum_EmbYpim,Crown_EmbYpim,DorTail_EmbYpim,Patch10_EmbYpim,Patch11_EmbYpim,Rump_EmbYpim,Throat_EmbYpim,WingTip_EmbYpim
747.49,17.9565777778,41.631,36.4280333333,30.1750666667,13.0978,13.9522222222,27.0388666667,9.95836666667,18.521,44.8511666667,22.191875
747.81,17.9331111111,41.6404,36.265,30.1712666667,13.1294,14.2046777778,27.1578,9.99996666667,18.5048,44.8054333333,22.17125
748.12,18.0576222222,41.8153333333,36.3412,30.1967333333,13.0700666667,14.18718,27.0508,9.86853333335,18.6369333333,45.0199666667,21.917625
748.44,18.757,42.2560666667,37.0396666667,30.4483666667,13.6046,14.7097422222,27.5697333333,10.3777,19.2079333333,45.6111666667,22.5804166667
748.75,18.4353555556,42.3284666667,36.8631666667,30.1669333333,13.2220666667,14.3710155556,27.2665333333,9.80833333333,18.9208666667,45.3572333333,22.219
749.07,18.5660444444,42.1524666667,36.4948,29.8465,13.0538,14.3210511111,27.287,9.7065,18.956,45.1973,21.7699166667
749.38,18.0776888889,41.8978,35.9542666667,29.3228,12.54,13.8680288889,26.8436,9.36693333334,18.5324,44.7018,21.397875
749.70,17.9369777778,41.567,36.0352666667,29.0217,12.3840666666,13.7804666667,26.6971333333,9.18766666666,18.427,44.6508333333,21.3849583333
750.01,18.43,42.0808,36.4244333333,29.5184,12.9578,14.2940044445,27.0906666666,9.78043333333,18.9156666667,44.8554666667,22.0505
750.33,18.6821333333,42.3591333333,36.7544,29.6625,13.27,14.7115688889,27.3563333333,10.1997333333,19.0895333333,45.0785333333,22.4837083333
750.64,18.6255777778,42.0387333333,36.3948666667,29.2403,13.2118,14.3358311111,26.9400666667,9.87243333333,18.7206666667,44.9103333333,22.3335833333
750.96,19.2059333333,42.5832,36.799,29.5619333333,13.659,14.6475333333,27.2661333333,10.1688,19.3793333333,45.4008666667,22.788375
751.27,19.5023333333,42.9769333333,37.2105333333,29.6664333333,13.9001333333,14.7757133333,27.6478666667,10.4449333333,19.61,45.5894666667,22.8290833333
751.59,19.6698,42.9693333333,37.375,29.9335333333,14.3754666667,15.0648155555,27.8993333333,11.0873,19.9033333333,45.5368666667,23.0781666667
751.90,19.3843555555,42.7016666667,36.9118666667,29.7999666667,14.1695333333,14.8637733333,27.4458,10.8272666667,19.5819333334,45.0676666667,22.5275833333
752.22,19.9900666667,42.9412666667,37.3952,30.2238,14.6013333333,15.2038088889,27.8624,11.3144333333,20.0840666667,45.4033,22.8762916667
752.53,20.3239555556,43.3378666667,37.9681333333,30.6595333333,15.1536666667,15.5012555556,28.0432,11.7092666667,20.3778666667,45.5660333333,23.4460416667
752.85,20.4973777778,43.1126,37.9021333333,30.6027666667,15.3775333333,15.6675022222,28.0097333333,11.8576333333,20.4416666667,45.3463,23.5545833333
753.16,20.9884444445,43.6063333333,38.1272666667,31.0625333333,15.6603333334,16.0647977778,28.5306666666,12.4057333333,20.9112,45.3607666667,23.7865833333
753.47,20.5346,43.1002666667,37.9910666667,30.6251,15.4091333333,15.9487288889,28.2107333333,12.0876333334,20.4988,44.986,23.565375
753.79,21.1230666667,43.625,38.4092333333,31.1757,15.9731333333,16.4933511111,28.6726666667,12.7023333333,20.9196,45.5118333333,24.192875
754.10,21.5604444444,44.1046666667,38.9122,31.7433,16.3946666667,17.2390622222,29.0622,13.2517,21.5752666667,45.9175333333,24.7678333334
754.42,21.0274,43.7552666666,38.5773333333,31.3539333333,15.8616666667,16.8826844445,28.6176,12.6600333333,20.9784666667,45.5371,24.45575
754.73,20.6231333333,43.2456666667,38.0836333333,30.9966666667,15.3477333333,16.5127644444,28.1032666667,12.0492,20.5565333333,45.4856,24.2417916667
755.05,20.6814666666,43.0632,38.174,30.8679666667,15.283,16.6446644445,28.1036666667,11.8931666667,20.4759333334,45.5149333333,24.2430833333
755.36,20.5624888889,43.1772,38.147,30.7449333333,15.1538666667,16.6513933333,28.2737333333,11.8482666667,20.4574666667,45.7533666667,24.6714583333
755.67,20.7870444445,43.3443333334,38.4401666667,31.1152666667,15.3548666667,16.8356,28.6444,12.2338666667,20.7393333333,46.1066666667,25.1638333333
755.99,20.5549333333,43.2638666667,38.2339,31.0122,14.8597333333,16.6857644444,28.6503333333,12.0308666667,20.5581333333,46.0847666667,24.846125
756.30,20.4902888889,43.5968666666,38.4086666667,31.0837333333,14.788,16.4973,28.6448666667,11.9896,20.6358,46.4786666667,24.722875
756.62,20.3165555555,43.3640666667,38.3082,30.9237333333,14.6912666666,16.2907711111,28.4847333334,11.6951666667,20.3047333333,46.6846333333,24.430625
756.93,20.5335333333,43.3738666667,38.3599,31.2420666667,14.7004,16.2861288889,28.6703333333,11.8216666666,20.5975333333,46.8338666667,24.3627083333
757.24,19.9238888889,42.9287333333,37.8271333333,30.4929666667,14.2344666667,15.60638,28.2337333333,11.2064,20.1958,46.6257333333,23.571625
757.56,19.8390444445,43.0478666667,37.7032666667,30.2331666667,14.2558666667,15.2843733333,28.4334666667,11.2176,19.912,46.5166333333,23.5921666667
757.87,20.9100444445,44.0208,38.6331666667,30.9971333333,15.3829333333,16.1459177778,29.5211333333,12.2058666667,20.8145333333,47.4323333333,24.6293333333
758.18,21.1854666667,44.3259333333,38.8975,31.1785,15.9394,16.3412933333,29.5602,12.6059,21.2608,47.4232333333,24.9252083333
758.50,21.0794222222,44.6432666667,38.7047,31.0617666667,15.8336,16.1951022222,29.486,12.4471333333,21.2954666667,47.4141,24.814625
758.81,21.2721777778,44.6849333333,38.9113666667,31.3724333333,16.1264,16.3104977778,29.5174666667,12.6952,21.4077333333,47.3881333333,24.7634166667
759.13,20.9252222222,44.4464666667,38.1493,31.0928333333,15.9008,16.2002422222,29.1963333333,12.4600666667,21.0958,46.7455666667,24.2599583333
759.44,20.8544666667,44.3616666667,38.1010666667,31.0282333333,15.9219333333,16.2786733333,29.0692666667,12.4720333333,21.1369333333,46.6115666667,24.265875
759.75,21.3869777778,44.7718666667,38.7992,31.4998333333,16.2072,16.7545533333,29.5247333333,12.7919,21.6870666667,47.0381333333,24.6930416667
760.07,21.2613333333,44.6310666667,38.5269333333,31.5284333333,15.995,16.5732955555,29.1859333333,12.6046,21.7132666667,46.8151666667,24.6345833333
760.38,21.499,45.0315333333,38.8128666667,31.5660666667,16.1665333333,16.7102711111,29.3270666667,12.8443,21.871,47.1432,24.9410416667
760.69,21.8825555556,45.0616,38.8964333333,31.9215333333,16.5347333333,17.1999311111,29.6900666667,13.0984,22.2774666667,46.9597,25.422125
761.01,21.5355555555,44.7001333333,38.612,31.6599333333,16.1062666667,16.8280088889,29.2616,12.5433666667,22.1688,46.6486,25.0187916667
761.32,20.8240444445,43.7434666667,37.9525,31.0119333333,15.3075333333,16.2266688889,28.4681333333,11.9918333333,21.5554,46.1278333333,24.2330833333
761.63,20.7485777778,43.5440666667,37.9282666667,31.2105666667,15.0614,16.2782755555,28.6182666667,11.8851333333,21.5245333333,45.9495333333,24.137375
761.94,20.8077555555,43.5537333333,37.8553,31.4025666667,15.0570666667,16.3782911111,28.7118,11.9321,21.6612666667,46.107,24.3515
762.26,20.7615333334,43.5873333333,37.9389333333,31.3273,14.9030666667,16.2794333333,28.8234,11.7491,21.5461333333,46.1229333333,24.3235833334
762.57,20.7574666667,43.5408,38.292,31.3284333333,15.1012666667,16.3488466667,28.9288666666,11.7858,21.5743333334,46.3177,24.5270416667
762.88,21.2083777778,43.6201333333,38.4753666667,31.5888,15.5506666667,16.6455488889,29.1951333333,12.3839,22.0205333333,46.3128,24.7432083333
763.20,21.4452444445,43.737,38.4819666667,31.7336333333,15.8208,16.8081377778,29.2910666667,12.6033666667,22.1654666667,46.3744333333,24.992625
763.51,21.6457333333,43.7173333333,38.7293333333,31.8862666667,16.1465333333,17.1333688889,29.5652666667,12.8859666667,22.2552666667,46.5837,25.1886666667
763.82,21.9816222222,43.9255333333,38.9616333333,32.3318,16.5737333333,17.47296,29.9598,13.1717666667,22.6241333333,46.8638,25.3694583333
764.14,21.6322444445,43.5768,38.8565,32.0789666667,16.1694666667,16.9901466667,29.6158666667,12.8545666667,22.2153333333,46.6494,24.9437083333
764.45,21.7340888889,43.6855333333,38.9013333333,32.3647,16.3403333333,17.1477244445,29.9379333333,13.0713,22.333,46.8748666667,25.114
764.76,21.9644888889,43.9901333333,39.1145666667,32.6969,16.5,17.1768222222,30.1546666667,13.0204666667,22.5145333333,47.0917333333,25.3017916667
765.07,22.2021333333,44.441,39.3446,32.7655,16.7394,17.24406,30.3058,13.198,22.6792666667,47.4911,25.57325
765.39,22.0637333333,44.2598666667,39.3571,32.5322666667,16.5739333333,17.1407422222,30.1711333333,13.1583666667,22.4565333333,47.3358666667,25.3770833333
765.70,21.7260444444,43.9575333333,38.9546333333,32.2673666667,16.1695333333,16.8135355556,29.8895333333,12.8997333333,22.3142,47.0437,24.9377083333
766.01,22.0162666667,44.2139333333,39.1774666667,32.6028333333,16.1153333333,16.8777333333,30.0963333333,13.0446666667,22.6277333333,47.3447333333,24.8488333334
766.32,22.173,44.6842,39.3151,32.7897,16.1609333333,16.8982577778,30.5875333333,12.8557,22.7270666667,48.1840666667,25.0531666667
766.64,21.6457333333,44.0561333333,38.6915333333,32.2820333333,15.7327333333,16.5655622222,30.2045333333,12.5017333333,22.2442,47.7014,24.5027916667
766.95,21.4390444444,44.4538,38.4839333333,32.0308333333,15.3783333333,16.2560177778,30.1820666667,12.2655666667,22.1078666667,47.6996333333,24.1007083333
767.26,20.7412,44.033,38.1044333333,31.2325666667,14.6118,15.6700066667,29.6411333333,11.4799,21.4396,47.2050666667,23.5462083333
767.57,20.8161111111,44.4291333333,38.1444333333,31.2799333333,14.6191333333,15.8853044444,29.6104,11.5427666667,21.4776666667,47.5436666667,23.6232083333
767.88,20.6792222222,44.1628,37.9863333333,30.9370666667,14.3659333333,15.7287377778,29.4138,11.5011666667,21.4156,47.5678666667,23.0935416667
768.20,20.8546444444,44.3274666667,37.9524333333,31.1796666667,14.7336666667,15.8940288889,29.8142,12.0555666667,21.6370666666,47.4667,22.9714166667
768.51,20.6278444445,43.9301333333,37.9468,31.3660333333,14.7247333333,15.8078844444,30.0421333333,12.0765333333,21.6392,47.1941,22.7694583334
768.82,20.2326,43.1868,37.4053,30.9452666667,14.4788666667,15.1929,29.5262666667,11.7894,21.2403333333,46.4643,22.4835
769.13,20.1838888889,43.2177333333,37.7280666667,31.0012,14.7084666667,15.0283666666,29.6306666667,11.6333333333,21.2684,46.8804,22.5049583334
769.44,20.2171555556,43.1433333333,37.6051,30.6331333333,14.7400666667,15.2586,29.5476666667,11.4677,20.9994,46.4430333333,22.6369583333
769.76,20.3008,43.4241333333,37.981,30.6979,14.5662,15.2766422222,29.3232,11.4375333333,20.7443333333,46.5084,22.886125
770.07,20.1120444445,43.5795333333,38.2173666667,31.0416666667,14.5927333333,15.3216088889,29.3655333333,11.5672333333,20.8332666667,46.5814333333,23.011375
770.38,20.0494888889,43.3787333333,38.3704666667,30.9835666667,14.6016,15.0937222222,29.3274666667,11.3472,20.7990666667,46.5567333333,23.2353333333
770.69,20.1694,43.6803333333,38.2234666667,31.4197666667,14.5748666667,15.0735822222,29.2277333333,11.4956333333,21.0361333333,46.9037333333,23.7445833333
771.00,20.1362444444,43.4268666667,38.0033333333,31.2211,14.4806,15.0916622222,28.9661333333,11.5362,21.1126,46.7873,23.8677916666
771.32,20.4470222222,43.88,38.3953333333,31.4456,14.8634666667,15.4180777778,28.8624666666,11.56,21.1426,46.8430666667,24.1616666667
771.63,20.5298888889,43.9465333333,38.1353,31.403,14.4738,15.4144777778,28.327,11.0977333333,21.0445333333,46.8810666667,24.1515
771.94,20.4692666667,43.9072666667,37.641,30.9615666667,14.2564666666,15.2294288889,27.7429333333,10.7371,20.7753333334,46.5672,23.8202916667
772.25,21.2405111111,45.0154666667,38.1781333333,31.9385,14.6946,15.7691488889,28.6180666667,11.2475,21.4336666667,47.2127,24.4403333333
772.56,21.9094888889,44.9531333333,38.1468333333,32.1140333333,15.1584666667,16.6815933333,28.8619333333,12.2509333333,21.9924,47.1104,24.9080416667
772.87,21.9134,45.1914,38.3255333333,32.5594333333,15.3728,16.5068088889,28.9957333333,12.5051,22.5051333333,47.8338,25.359
773.18,21.4992666667,44.4048666667,37.8830333333,32.0394,15.2638,16.0560622222,28.4006,12.4352,22.4068,46.8659666667,24.9225833333
773.50,21.4156444444,44.2105333333,37.5332333333,31.4218333333,14.9096666667,15.86348,28.5938,12.1630333333,22.1264,46.7765,24.7545416667
773.81,21.8788666667,44.5583333333,37.7022,32.0123333333,15.3242,16.4192911111,28.8444666667,12.7303333333,22.6155333333,47.1070333333,25.3137083333
774.12,21.7734444444,44.1033333333,37.5281666667,31.5454333333,15.0027333333,16.24816,28.74,12.3504333333,22.0894,46.6263666667,24.7342083334
774.43,21.4585555556,43.6428,37.1471,31.1564,14.6362,15.7860066667,28.4636,11.9354,21.5689333333,45.7844333333,24.029625
774.74,21.1679777778,43.6133333333,37.0181,31.1970666667,14.5635333333,15.7021222222,28.4348666667,12.1608333333,21.3892666667,45.961,23.8400416667
775.05,20.7091111111,42.8204666667,36.6612333333,30.7663,14.9154,15.8064022222,28.3744,12.7551,21.3148,45.6029,23.7419166667
775.36,20.3947333333,42.5172,36.3376333333,30.3652333333,14.6278666667,15.6419333333,28.1826,12.5172,21.0069333333,45.6488666667,23.4924583333
775.67,20.4618666667,42.7716666667,37.1473333333,30.1564,14.9426666667,16.0615777778,28.3487333333,12.6096333333,21.3802,46.0827333333,23.6168333333
775.98,20.0291111111,43.2254,37.2848333333,30.1749666667,14.5873333333,15.3681311111,28.0258,11.8838666667,21.3357333333,46.4770333333,23.9319166667
776.30,20.3279333334,43.1848666667,37.1994,30.2155333333,14.9986,15.7922822222,28.4658,12.1369333333,21.6128666667,46.3144333333,23.6026666667
776.61,19.8804888889,42.7926666667,36.6198333333,30.1939666667,14.7914666667,15.81234,28.3304,11.6050333333,21.3814666667,46.3815666667,23.3760416666
776.92,20.2495777778,43.4758,36.9221333333,30.6417333333,15.2526,15.7618488889,28.4670666667,11.8628,21.9014666667,46.6399,23.693
777.23,20.4232666667,43.0882,36.959,30.3808666667,15.4177333333,15.7122622222,28.568,11.8452,21.8008666667,46.333,23.542125
777.54,21.5042888889,43.9918666667,38.0274,31.2672666667,16.9798666667,16.9306311111,29.6634666667,13.1636,23.266,46.9594666667,24.5831666667
777.85,22.0683777778,44.7796666667,38.7547333333,31.47,17.3914,17.3958533333,30.2986666667,13.4279,23.5907333333,47.5864333333,25.0663333333
778.16,21.6305777778,44.3454666667,38.3973333333,31.1309666667,16.8891333333,16.6493644444,29.7890666667,12.4191666667,23.2117333333,46.7736,24.8739583333
778.47,21.8961777778,44.976,39.0762333333,31.3888666667,16.5700666667,16.6336111111,29.7706,12.0682,23.4419333333,46.9715333333,25.2151666667
778.78,22.1512666667,45.505,39.7141,31.9920333333,17.0682,16.8509288889,30.3651333333,12.3541666667,23.8929333333,47.1351333333,25.8363333333
779.09,22.3277777778,45.5414,39.2549,32.2202,17.3601333333,16.7585022222,30.0912666667,12.4452,23.7530666667,46.9221333333,26.0074166667
779.40,21.9824888889,44.7662666667,38.7259666667,31.8436333333,17.3981333334,16.9205644444,29.844,12.434,23.1055333333,46.1150666667,25.3597916667
779.71,21.8751555556,44.5961333333,38.7641333333,31.6815,17.1633333333,16.9230733333,29.3178666667,12.4954,23.052,46.1727666667,26.0135833333
780.02,22.1386888889,44.7108,39.359,31.5147,17.3108,17.2621,29.5468,12.7310333333,23.1305333334,46.2761333333,26.2150416667
780.33,22.0370444444,44.0862666667,39.5610666667,31.5203,17.1564,17.6142355556,29.5996666667,12.8164666667,22.9033333333,46.1021666667,26.37775
780.64,22.4319777778,45.003,40.3509,31.7543666667,17.5743333334,18.2995177778,30.1210666666,13.3031,23.4725333333,46.6394333333,27.0794166666
780.95,21.5328,44.1788666667,39.4982,30.4074333333,16.7092666667,17.4609044444,28.8807333333,12.6399333333,22.2689333334,46.0461333333,26.30025
781.26,21.622,44.2273333333,39.2398,30.7177666667,17.0073333333,17.6551933333,28.8565333333,12.8133333333,22.4574,46.3929666667,26.7790416667
781.57,23.2974444444,45.7248666667,40.4587,31.7543666667,18.1347333333,19.0013688889,30.1079333333,14.3920333333,23.7734,47.6764333333,28.2048333333
781.88,23.5255777778,46.0992,40.5488333333,32.3604333333,18.1353333333,19.2306044445,30.2836666667,14.4932333333,23.8416666667,47.8672333333,28.3404583333
782.19,24.6644222222,46.457,41.1440333333,33.2963666667,18.9145333333,20.3381177778,30.9589333333,15.5412,24.5759333333,48.5938666667,28.7154583333
782.50,24.3507111111,45.8114,41.1390333333,32.8089333333,18.3707333333,19.9386711111,31.2108,15.2403666667,24.3384,48.2335333333,28.2812083334
782.81,25.652,46.8828666667,42.6056333333,34.4295333333,19.3264,20.6669,32.52,16.0629666667,25.4847333333,49.4122,29.492375
783.12,24.8162888889,46.1379333333,41.944,34.0263333333,18.6525333333,20.0120844444,32.1081333333,15.2192,24.4680666667,48.559,28.3970833333
783.43,24.8781333333,45.9676666667,41.2752333333,33.8546,18.4336666667,19.3255555556,32.039,15.2557666667,24.3624666667,47.8187666667,27.8357916667
783.74,24.6708666667,46.164,40.6693666667,33.7675,18.4784666667,19.4076377778,31.7989333333,15.0571333333,24.2834,47.7277666667,27.7423333334
784.05,23.9820222222,45.3122666667,40.0626333333,33.2905666667,17.791,18.6077266667,31.2493333333,14.4773666667,23.7606666667,46.9889,27.0342083334
784.36,24.1162444444,45.1697333333,39.9301333333,33.9156,17.9042666667,18.71872,31.9628666667,14.3912,23.9587333333,47.1690333333,27.403375
784.67,24.625,45.6029333333,40.0957666667,34.4732333333,18.7844666667,19.5133288889,32.2432,15.4046666667,24.7439333334,47.0961666667,27.940125
784.98,23.3256222222,44.7534666667,38.9108666667,33.3432666667,17.9939333333,18.5419022222,31.2083333333,14.6606333333,23.9720666667,45.9052666667,26.597125
785.29,22.7306666667,44.3155333333,38.8545333333,32.5873333333,17.9222,17.8273822222,30.9890666667,14.1425333333,23.5364,45.5512,26.2489166667
785.60,22.0474444444,43.9932666667,38.4693,32.0340666667,17.0747333333,16.6589377778,30.3878,13.2448,22.8640666667,45.2551666667,25.7015416667
785.91,21.4357555556,43.8136,37.6953333333,31.9066666667,16.8313333333,16.2190377778,29.5954,12.7468,22.2976666667,45.5006333333,25.2829583333
786.22,20.9849777778,43.5362,36.7848333333,30.8452333333,16.43,15.7817133333,28.9316,12.5016666667,21.7646666667,45.3583666667,24.759
786.53,21.7256444444,44.4356,37.1486,31.1291333333,16.7104,15.8901644444,29.5045333333,12.7840333333,22.4401333333,46.2555666667,25.3245
786.84,21.7502,45.3708,37.8526,31.7335333333,17.2410666667,16.5870022222,29.8129333333,13.1128333333,22.5250666667,47.0341333333,25.7014166666
