wavelength,Back_CalCocf,Belly_CalCocf,Breast_CalCocf,Crissum_CalCocf,Crown_CalCocf,DorTail_CalCocf,Rump_CalCocf,Throat_CalCocf,WingTip_CalCocf
362.02,3.89316666667,8.26808333333,6.38674999999,8.80266666667,3.52591666667,3.57091666667,5.95016666667,3.98291666667,2.13033333333
362.39,4.13225,8.51125,6.60508333333,8.94458333334,3.74366666666,3.8205,6.13575,4.11608333333,2.25433333333
362.75,4.36591666667,8.74391666666,6.95116666666,9.10983333333,3.94308333333,4.05291666667,6.374,4.35375,2.49175
363.11,4.50666666666,8.75125000001,7.05933333333,9.12408333333,4.04383333333,4.179,6.35441666667,4.37141666666,2.49916666667
363.48,4.73566666666,8.89633333332,7.24100000001,9.22541666668,4.35216666667,4.28133333333,6.57408333333,4.50633333333,2.57641666667
363.84,4.65091666667,8.79633333334,7.20774999999,9.00858333334,4.19216666667,4.18783333333,6.58758333333,4.4725,2.56116666667
364.20,4.604,8.79458333334,7.21491666667,8.99049999999,4.32975,4.12966666666,6.67091666667,4.50383333333,2.52825
364.57,4.6625,8.83575,7.36816666668,9.13100000001,4.41125,4.23941666666,6.83508333333,4.59633333334,2.622
364.93,4.74791666667,8.97283333334,7.46158333333,9.28108333333,4.47516666667,4.36783333333,6.88933333333,4.65408333333,2.67791666667
365.29,4.98358333333,9.20691666667,7.74491666667,9.53733333333,4.76191666666,4.54466666666,6.98908333333,4.81608333333,2.89241666666
365.66,5.20475,9.15858333334,7.90266666666,9.72975,5.0145,4.67891666667,7.12283333334,5.04616666667,3.0695
366.02,5.38183333333,9.45133333333,8.09808333334,9.92658333333,5.13325,4.8615,7.31941666667,5.23733333333,3.28633333333
366.38,5.61491666667,9.86541666667,8.41525,10.211,5.46008333333,5.04658333333,7.64233333334,5.62375,3.63241666667
366.75,5.54958333333,9.77558333333,8.26033333333,10.07675,5.37141666667,4.96075,7.5665,5.49016666667,3.6145
367.11,5.73875,10.10725,8.49383333334,10.4601666667,5.528,5.12008333333,7.91641666667,5.75733333333,3.873
367.47,5.54166666666,9.99833333333,8.43899999999,10.412,5.31641666667,4.96241666667,7.81833333333,5.67066666667,3.87691666667
367.84,5.73983333333,10.2773333333,8.64208333333,10.6458333333,5.64308333333,5.10408333333,7.96925,5.88725,4.05366666667
368.20,6.1605,10.6624166667,9.004,11.0436666667,5.99516666667,5.54483333333,8.28741666667,6.20641666666,4.37808333333
