wavelength,Back_TanPref,Belly_TanPref,Breast_TanPref,Crissum_TanPref,Crown_TanPref,DorTail_TanPref,Patch10_TanPref,Patch11_TanPref,Rump_TanPref,Throat_TanPref,WingTip_TanPref
427.23,6.803,27.9511333333,17.9866,9.65306666667,4.8922,6.4006,8.4946,4.6048,8.03786666667,20.2620666667,7.90853333333
427.58,6.86813333333,27.963,18.0445333333,9.72826666667,4.963,6.47046666666,8.5586,4.67846666667,8.08793333333,20.3125333334,7.96819999999
427.94,6.86166666667,27.9474,18.0701333333,9.72113333333,4.952,6.47133333333,8.57213333333,4.6784,8.0844,20.3146,7.96766666667
428.30,6.85653333333,27.9130666667,18.0961333333,9.71699999999,4.95793333333,6.4602,8.55546666666,4.6792,8.0652,20.3224,7.95066666667
428.65,6.85386666667,27.9324666667,18.1226,9.74706666667,4.9778,6.49313333333,8.56973333333,4.69033333333,8.086,20.3558666667,7.96646666667
429.01,6.83573333333,27.8934666667,18.0975333333,9.75286666667,4.96433333333,6.46526666667,8.53886666667,4.67093333333,8.04033333333,20.3276,7.95286666667
429.37,6.8776,27.9114666667,18.1446666667,9.80446666667,5.004,6.4868,8.59393333335,4.69466666667,8.05353333333,20.3686666667,7.98059999999
429.72,6.8518,27.8580666667,18.0937333333,9.77653333333,4.96766666667,6.45453333333,8.57300000001,4.6746,8.02293333333,20.321,7.92499999999
430.08,6.89486666667,27.9140666667,18.1432666666,9.82840000001,5.0258,6.4962,8.65333333333,4.7084,8.05353333333,20.3626,7.97586666667
430.44,6.91186666667,27.9362666667,18.1472,9.84313333333,4.9988,6.48286666667,8.67126666667,4.68733333333,8.05233333333,20.3546666667,7.9694
430.79,6.90853333334,27.9750666667,18.1682,9.877,5.00993333333,6.48706666667,8.69966666667,4.67553333333,8.04706666667,20.3843333333,7.95766666667
431.15,6.89946666667,28.0036,18.1493333333,9.87826666667,4.99386666667,6.45986666667,8.69006666667,4.6322,8.033,20.3836666667,7.9256
431.50,6.88486666667,28.0443333333,18.1702,9.86193333333,4.9736,6.43426666667,8.69746666668,4.59886666667,8.02946666666,20.3756,7.89820000001
431.86,6.84593333333,28.0073333333,18.1310666667,9.83626666666,4.9486,6.39213333333,8.66886666667,4.5712,8.00593333333,20.3174666667,7.84046666667
432.22,6.85546666667,28.077,18.1427333333,9.8648,4.94093333333,6.3958,8.7064,4.56626666667,8.0192,20.3188666667,7.84406666667
432.57,6.88753333333,28.0926666667,18.1496666667,9.89286666666,4.9406,6.40953333333,8.74486666667,4.57073333333,8.0408,20.3175333333,7.87013333334
432.93,6.89506666667,28.1523333333,18.1764,9.89873333334,4.95113333333,6.42313333333,8.78206666665,4.56873333333,8.0744,20.3125333333,7.86919999999
433.29,6.87013333333,28.1697333333,18.1675333333,9.90473333333,4.92133333333,6.40713333333,8.78453333334,4.55046666667,8.06806666667,20.2674666667,7.84613333333
433.64,6.9008,28.2396666667,18.2037333333,9.95093333333,4.94626666667,6.43786666667,8.84193333334,4.56126666667,8.09886666667,20.2976,7.89353333333
434.00,6.88933333333,28.2536666666,18.2151333333,9.94206666667,4.92226666667,6.4266,8.83886666667,4.5454,8.0846,20.2974,7.85013333334
434.35,6.91406666667,28.3000666667,18.2528666667,9.98473333333,4.96573333333,6.46033333333,8.88353333333,4.58253333333,8.12273333333,20.335,7.88020000001
434.71,6.9056,28.3141333334,18.2516666667,9.97340000001,4.9534,6.45366666667,8.88286666667,4.5724,8.1256,20.3112666667,7.86833333334
435.07,6.95133333333,28.3248666667,18.2760666667,10.0184,4.98433333333,6.48293333333,8.92846666667,4.6098,8.15793333333,20.315,7.8998
435.42,6.96573333333,28.3084666667,18.2602,10.0268666667,4.98286666667,6.49586666667,8.93800000001,4.61993333333,8.16966666667,20.3001333333,7.91066666667
435.78,7.02273333333,28.3992666667,18.3342666667,10.0854666667,5.0384,6.5396,9.0042,4.6532,8.22013333333,20.3484,7.97399999999
436.13,7.04053333333,28.3906666666,18.3227333333,10.1103333333,5.06913333333,6.56326666667,9.03306666668,4.66486666667,8.2512,20.335,7.98006666667
436.49,7.05566666667,28.4133333333,18.335,10.1409333333,5.0924,6.56606666667,9.05966666667,4.6852,8.2702,20.3383333333,7.97806666667
436.84,7.06953333333,28.4539333333,18.3428,10.204,5.12266666666,6.58653333333,9.09446666667,4.71566666667,8.28946666666,20.3692666667,8.00466666666
437.20,7.0804,28.4792666667,18.3386,10.2066,5.1376,6.5758,9.10739999999,4.7062,8.30133333333,20.4049333333,8.00879999999
437.56,7.062,28.5013333333,18.336,10.2264,5.14753333333,6.56026666666,9.1184,4.68506666667,8.30766666666,20.4222666667,7.99179999999
437.91,7.03946666667,28.4842666667,18.3085333334,10.2518,5.13753333333,6.541,9.12440000001,4.65946666667,8.3016,20.4011333333,7.99713333333
438.27,7.06913333333,28.5287333333,18.3314,10.2842,5.1628,6.55833333333,9.16299999999,4.6598,8.34153333333,20.4292,8.00726666667
438.62,7.1148,28.5614,18.3654666667,10.3500666667,5.22213333333,6.59493333333,9.23666666667,4.69646666667,8.38873333333,20.4759333333,8.06006666667
438.98,7.11373333333,28.6204,18.3835333333,10.3862,5.24906666667,6.60906666667,9.27213333333,4.69973333333,8.427,20.5226666667,8.08066666667
439.33,7.08806666667,28.6397333333,18.3718,10.3932,5.24733333333,6.59653333333,9.27766666667,4.68293333333,8.41226666667,20.5268,8.05866666666
439.69,7.071,28.6255333333,18.3438,10.3947333333,5.2304,6.5824,9.27453333332,4.66246666667,8.4016,20.5340666667,8.03653333333
440.04,7.09506666667,28.6724,18.3986666666,10.4306666667,5.25626666667,6.61293333333,9.31213333333,4.68833333334,8.41673333333,20.6019333333,8.06266666667
440.40,7.09766666667,28.7,18.4265333333,10.4546,5.28653333333,6.61933333333,9.35273333333,4.69706666667,8.4176,20.6256,8.07946666667
440.75,7.10993333333,28.6646666666,18.4377333333,10.4641333333,5.291,6.63613333333,9.37720000001,4.6828,8.4202,20.6332666667,8.07893333334
441.11,7.10533333333,28.6348666667,18.4491333333,10.4688,5.2856,6.63586666666,9.36713333332,4.6794,8.4082,20.6164,8.06333333333
441.47,7.11786666667,28.5780666667,18.4628666667,10.4891333333,5.29153333333,6.64546666667,9.37533333333,4.6794,8.41153333333,20.6045333334,8.067
441.82,7.20186666667,28.6260666666,18.5347333333,10.5514,5.38186666667,6.71753333333,9.44813333332,4.75733333333,8.48806666667,20.6784666667,8.13186666667
442.18,7.1578,28.5456,18.5134,10.5365333334,5.34873333333,6.6838,9.42533333333,4.73593333333,8.43846666667,20.6341333333,8.09673333334
442.53,7.14853333334,28.5002,18.4888666667,10.5421333333,5.34546666667,6.6658,9.42393333332,4.74113333333,8.42353333333,20.6291333334,8.06793333333
442.89,7.15313333333,28.4576666667,18.5168666667,10.5712666667,5.35706666667,6.661,9.43246666667,4.75086666667,8.40806666667,20.6612,8.06126666666
443.24,7.1766,28.4270666666,18.5504666667,10.6188666667,5.38506666667,6.67453333334,9.46173333333,4.7662,8.418,20.6923333333,8.08086666667
443.60,7.21413333333,28.4565333333,18.598,10.6800666667,5.4412,6.7058,9.51240000001,4.80353333333,8.44966666667,20.7472,8.11633333334
443.95,7.18513333334,28.4060666667,18.5896666667,10.6848666667,5.43166666667,6.67966666667,9.49526666665,4.7802,8.434,20.7458,8.09886666667
444.31,7.12873333333,28.2822666667,18.5323333333,10.6408666666,5.36886666667,6.61046666667,9.43719999999,4.7204,8.38033333333,20.7133333333,8.03580000001
