wavelength,Back_ThlPecm,Belly_ThlPecm,Breast_ThlPecm,Crissum_ThlPecm,Crown_ThlPecm,DorTail_ThlPecm,Patch10_ThlPecm,Rump_ThlPecm,Throat_ThlPecm,WingTip_ThlPecm
330.61,4.69988888889,17.845,4.62066666667,6.71755555555,3.80844444445,7.93411111111,5.50088888889,5.93011111111,8.55755555557,8.686
330.98,4.90066666667,18.2465555556,4.85977777778,6.97155555556,4.01655555555,8.22144444444,5.68633333333,6.175,8.86811111112,8.99911111111
331.34,4.68511111111,18.2797777778,4.82911111111,6.83277777778,4.03188888889,8.17477777778,5.53122222222,6.12488888889,8.93666666667,8.82833333333
331.71,4.31788888889,17.9692222222,4.49566666667,6.47566666667,3.48822222222,7.84922222222,5.05311111111,5.651,8.5628888889,8.33666666667
332.08,4.60511111111,18.2135555556,4.78,6.73666666667,3.76722222222,8.03577777778,5.29977777778,5.71333333333,8.75422222222,8.51555555556
332.44,4.36455555555,18.1746666667,4.58933333333,6.46088888889,3.56622222222,7.81711111111,5.11277777778,5.49866666667,8.64988888889,8.33255555556
332.81,4.39344444445,18.3055555556,4.53677777778,6.38933333333,3.47088888889,7.78088888889,5.12822222222,5.50066666667,8.63044444444,8.24466666667
333.18,4.69522222222,18.7143333333,4.878,6.57544444445,3.69866666667,8.06422222222,5.226,5.56077777778,8.80088888888,8.50455555555
333.54,4.753,18.9078888889,5.07388888889,6.66166666667,3.85022222222,8.181,5.33955555556,5.60477777778,8.975,8.60055555556
333.91,4.63577777778,18.9535555556,5.11311111111,6.62433333333,3.808,8.10355555556,5.26944444445,5.47088888889,8.84666666668,8.511
334.28,4.96622222222,19.4571111111,5.53244444444,6.99911111111,4.28277777778,8.51711111111,5.72522222222,5.86422222222,9.34922222223,9.01477777778
334.64,5.11444444445,19.8655555556,5.77188888889,7.29711111111,4.62144444444,8.82688888889,5.95311111111,6.103,9.57166666667,9.33222222222
335.01,5.28455555556,19.9195555556,5.83355555556,7.33166666667,4.70011111111,8.82977777778,6.02544444444,6.20277777778,9.72666666668,9.29111111111
335.38,5.24533333333,19.891,5.70411111111,7.23266666667,4.583,8.712,5.90555555556,6.05533333333,9.54755555555,9.07700000001
335.74,5.446,20.1716666666,5.87722222222,7.54266666667,4.81611111111,8.96355555556,6.10566666667,6.36633333334,9.82155555555,9.35355555557
336.11,5.27611111111,20.1594444445,5.72044444444,7.42355555556,4.65711111111,8.858,5.89255555556,6.25688888889,9.78644444445,9.22955555555
336.47,5.34833333334,20.1226666666,5.69066666667,7.51088888889,4.562,8.74577777778,5.934,6.218,9.74366666665,9.24566666668
336.84,5.42711111111,20.1961111111,5.83122222222,7.66533333333,4.66644444445,8.68988888889,5.95833333333,6.31311111111,9.7721111111,9.47311111111
337.21,5.35533333333,20.2241111111,5.82866666667,7.72311111111,4.63822222222,8.63255555556,6.02133333333,6.45944444444,9.77888888889,9.56222222223
337.57,5.18277777778,20.0696666667,5.67088888889,7.61511111111,4.41544444444,8.52311111111,5.86677777778,6.32188888889,9.58511111112,9.39377777777
337.94,5.24133333334,20.0757777778,5.64422222222,7.62,4.341,8.44766666667,5.79088888889,6.31666666667,9.65255555555,9.33911111111
338.31,5.02211111111,19.7887777778,5.33477777778,7.272,3.95288888889,8.01522222222,5.363,5.92066666667,9.29411111111,8.927
338.67,4.75288888889,19.4711111111,4.95111111111,6.90922222222,3.55722222222,7.62588888889,4.97077777778,5.56955555555,8.96977777778,8.54944444445
339.04,4.417,19.3045555556,4.65233333333,6.70066666667,3.21644444444,7.37177777778,4.73955555556,5.27122222222,8.6531111111,8.28044444444
339.40,4.52066666667,19.5511111111,4.85933333333,6.875,3.45144444444,7.56266666667,5.00588888889,5.51455555556,8.80877777777,8.55433333333
339.77,4.55944444445,19.6375555556,4.98322222222,6.89811111111,3.54111111111,7.60011111111,5.07088888889,5.54588888889,8.84744444444,8.50288888889
340.14,4.30688888889,19.5257777778,4.78855555556,6.72555555556,3.36688888889,7.40455555555,5.00488888889,5.38677777778,8.63500000001,8.29144444445
340.50,4.13511111111,19.5665555556,4.71033333333,6.54622222222,3.35533333333,7.30911111111,4.898,5.36588888889,8.55244444443,8.19
340.87,3.93933333333,19.3917777778,4.41011111111,6.26155555556,3.15877777778,7.12977777778,4.70922222222,5.109,8.32644444443,7.89766666667
341.23,3.935,19.5381111111,4.44033333333,6.28377777778,3.22433333333,7.174,4.74055555555,5.14855555556,8.34188888888,7.94666666667
341.60,3.97477777778,19.8147777778,4.507,6.292,3.35233333334,7.14233333333,4.856,5.234,8.46944444443,8.00522222222
341.96,3.839,19.6634444444,4.41133333333,6.18855555555,3.33177777778,7.02877777778,4.78244444445,5.091,8.34966666666,7.92344444445
342.33,4.04155555556,19.901,4.62844444444,6.51455555556,3.63844444444,7.30088888889,5.06566666667,5.39288888889,8.53444444444,8.13933333333
342.70,4.17577777778,20.2791111111,4.92366666667,6.81344444444,3.9,7.534,5.35077777778,5.65977777778,8.84111111111,8.40033333333
343.06,4.47733333334,20.5015555556,5.216,7.08533333333,4.22077777778,7.81622222222,5.57488888889,5.93744444445,9.11433333332,8.59955555555
343.43,4.34622222222,20.4316666667,5.00677777778,6.96911111111,3.97211111111,7.66766666667,5.42288888889,5.70155555555,9.00777777778,8.38155555555
343.79,4.44788888889,20.6094444444,5.07477777778,7.07088888889,4.09277777778,7.73155555556,5.67777777778,5.75266666667,9.18655555557,8.49377777778
344.16,4.68255555556,20.852,5.30577777778,7.25322222222,4.28688888889,7.93188888889,5.83122222222,5.92544444444,9.39499999999,8.66611111111
