wavelength,Back_OreFram,Belly_OreFram,Breast_OreFram,Crissum_OreFram,Crown_OreFram,DorTail_OreFram,Patch10_OreFram,Rump_OreFram,Throat_OreFram,WingTip_OreFram
596.83,10.2153333333,10.8344166667,10.5244166667,10.2833333333,9.14824999999,10.7091342592,40.259,14.3514166667,10.5429166667,10.54075
597.17,10.1756666667,10.8423333333,10.5139166667,10.285,9.10808333333,10.6877175926,40.2344166667,14.33425,10.5385,10.51925
597.51,10.12775,10.8135833333,10.499625,10.256,9.05375000001,10.6531944444,40.2340833333,14.2906666667,10.5121666667,10.45675
597.84,10.1025,10.8155833333,10.5065,10.2715,9.03208333333,10.6355509259,40.21525,14.2578333333,10.5205,10.4426666667
598.18,10.0545833333,10.7954166666,10.4747083333,10.2529166667,8.99574999999,10.5985787037,40.189,14.2233333333,10.4913333333,10.39575
598.52,10.0400833333,10.8119166667,10.4831666667,10.2745,8.96091666666,10.5997546296,40.2090833333,14.2011666666,10.4755833333,10.3885833333
598.85,10.0184166667,10.7835,10.469625,10.2701666667,8.92449999999,10.5553425926,40.1473333333,14.1418333333,10.4823333333,10.3605
599.19,10.0436666667,10.8370833334,10.51075,10.32125,8.971,10.5676851852,40.1920833333,14.1745,10.5460833333,10.4255833333
599.53,10.03725,10.84825,10.5646666667,10.34375,8.97849999999,10.5643287037,40.1876666667,14.1745833333,10.5623333333,10.42725
599.86,10.0543333333,10.9004166667,10.6335,10.3980833333,9.01533333332,10.5891157407,40.2205,14.18775,10.6188333333,10.4520833333
600.20,10.0565,10.93,10.624875,10.43875,9.00041666667,10.5680879629,40.2133333334,14.1748333333,10.65275,10.4411666667
600.53,10.0706666667,11.0039166667,10.6712083333,10.4900833333,9.03691666668,10.5953009259,40.2875,14.2203333333,10.7210833333,10.4759166667
600.87,10.084,11.0415833333,10.7116666667,10.5393333333,9.06025,10.5975046296,40.2991666667,14.2154166667,10.7485833333,10.4646666667
601.21,10.1115833333,11.13975,10.7925833333,10.6200833333,9.09316666667,10.6335740741,40.353,14.2441666667,10.8270833333,10.53475
601.54,10.12575,11.1929166667,10.825,10.6670833333,9.09058333333,10.649712963,40.32225,14.2376666667,10.8755,10.5379166667
601.88,10.205,11.3100833333,10.9554583333,10.7804166667,9.16616666666,10.7387962963,40.3644166667,14.31025,10.9721666667,10.6364166667
602.21,10.2415,11.3760833333,10.98975,10.8488333333,9.20849999999,10.7642777778,40.3851666667,14.3381666667,11.04325,10.6714166667
602.55,10.2293333333,11.418,11.0005,10.87375,9.18441666667,10.770212963,40.40275,14.3269166667,11.05875,10.66925
602.88,10.21125,11.4161666667,11.0128333333,10.8749166667,9.14874999999,10.7718935185,40.3895833334,14.3104166667,11.05675,10.6565
603.22,10.20575,11.4690833333,11.042125,10.9086666666,9.15716666666,10.8029537037,40.3964166666,14.3129166667,11.11325,10.672
