wavelength,Back_DelCasf,Belly_DelCasf,Breast_DelCasf,Crissum_DelCasf,Crown_DelCasf,DorTail_DelCasf,Patch10_DelCasf,Patch11_DelCasf,Rump_DelCasf,Throat_DelCasf,WingTip_DelCasf
760.38,11.4426,48.8440666667,42.8330666667,44.7666666667,16.3188666667,12.6288,5.9836,12.2445333333,10.674,41.3236666667,16.0232
760.69,11.7095333333,49.0481333333,42.971,45.1782666667,16.6170666667,12.9484,6.1254,12.3981333333,10.9969333333,41.6146666667,16.3345333333
761.01,11.8729333333,48.9198666667,42.8014,45.0606,16.6272666667,13.0273333333,6.20606666667,12.517,11.2053333333,41.5798,16.5484666667
761.32,11.637,48.888,42.7067333333,44.9308,16.4128,13.0341333333,6.11066666667,12.3539333333,10.9342,41.2278,16.3221333333
761.63,11.6688,49.1854666667,42.9228,45.1221333333,16.417,13.1612,6.1728,12.4600666667,11.0711333333,41.2743333333,16.507
761.94,11.7524666667,49.6621333333,43.1617333334,45.4578666666,16.4689333333,13.3174666667,6.31573333333,12.5626666667,11.3064,41.6310666667,16.8196
762.26,11.6629333333,49.4440666667,42.7144666667,45.3107333333,16.4628,13.3559333333,6.44773333333,12.4754666667,11.3509333333,41.2678666667,16.8704666667
762.57,11.6792666667,49.2888,42.6149333333,45.1745333333,16.5568,13.4951333333,6.53626666667,12.4423333333,11.5417333334,41.1566,17.0252666667
762.88,11.8204666667,49.438,42.8466,45.3375333333,16.5523333333,13.5431333333,6.62893333333,12.3223333333,11.5564666667,41.3432666667,17.2027333333
763.20,11.7361333333,49.3657333334,42.6388666667,45.1296,16.4422,13.4677333333,6.51853333333,12.2684666667,11.4258666667,41.2176,17.1342
763.51,11.6798,49.4423333333,42.6244666667,45.1918666667,16.3540666667,13.3608666666,6.45366666667,12.0622666667,11.2928,41.1908,17.1648
763.82,11.8678666666,49.8429333333,42.9308,45.5224,16.6196666667,13.4914666667,6.65066666667,12.2211333333,11.3862666667,41.5366,17.4201333333
764.14,11.8400666667,49.725,42.7646666667,45.356,16.4656,13.5667333333,6.6484,12.0850666667,11.3522666667,41.4724666667,17.2976666667
764.45,11.9038,50.0332,43.1199333333,45.7254666666,16.6050666667,13.6843333333,6.66913333333,11.9630666667,11.4248,41.6050666667,17.3114
764.76,12.0845333333,49.8834,42.9908,45.7094,16.7444,13.7634,6.71053333334,11.9580666667,11.6205333333,41.6859333333,17.4926
765.07,12.1337333333,49.7396,42.8995333333,45.6533333333,16.7786,13.7784666667,6.73713333333,11.8972666667,11.681,41.7074666667,17.4650666667
765.39,12.0568,49.0688,42.501,45.2208,16.6498666667,13.6693333333,6.6744,11.7180666667,11.5070666667,41.2244,17.3141333333
765.70,11.9316666667,48.93,42.6354,44.965,16.4863333333,13.3938666667,6.49886666667,11.5076,11.2184666667,41.1647333334,17.1030666667
766.01,12.0298,49.0755333333,42.75,45.1619333333,16.4858666666,13.3391333333,6.43046666667,11.5310666667,11.0674,41.3006666667,17.0923333333
766.32,11.6503333333,48.9558,42.6914,45.1694,16.1330666667,13.0703333333,6.09126666667,11.4153333333,10.6574666667,41.355,16.7888
766.64,11.4327333333,49.0088,42.9112666667,45.211,16.068,12.8590666667,5.79333333333,11.181,10.2126666666,41.3314,16.4703333333
766.95,11.6343333333,49.1828666667,43.1392666667,45.3114,16.2920666667,13.1257333333,6.17646666667,11.6513333333,10.4529333334,41.5934,16.6496
767.26,11.4882,48.6974666667,42.7030666667,44.8984666667,16.2429333333,12.9096666667,6.1382,11.6912666667,10.3360666667,40.9489333333,16.3516
767.57,11.7046666667,49.2274666667,43.3078666667,45.437,16.6775333333,13.0178,6.47813333333,12.1509333333,10.7254666667,41.1897333333,16.6957333333
767.88,11.9077333334,49.2574,43.3313333333,45.4645333333,16.7317333333,13.1919333333,6.7188,12.641,10.8802666667,41.4665333333,16.9590666667
768.20,11.7418666667,49.4798666667,43.499,45.5298666667,16.4779333333,12.9287333333,6.5704,12.5972,10.5318666667,41.4720666667,16.7591333333
768.51,10.9952666667,48.9806666667,42.9524,44.9113333333,15.6433333333,12.1004666667,5.813,11.8851333333,9.53520000001,40.8618,16.0980666667
768.82,10.4274666667,48.9026,42.5624,44.6414666667,15.0898,11.5062666667,5.1708,11.4442,8.69173333334,40.4629333333,15.4494
769.13,10.3085333333,49.1645333333,42.7592666667,45.0685333333,15.2271333334,11.551,5.17566666667,11.3496666667,8.64173333333,40.904,15.617
769.44,10.4053333333,49.4060666667,43.0726666667,45.0318,15.2618666667,11.7247333333,5.36053333333,11.5712666667,8.8494,40.9467333333,15.7134
769.76,10.2709333333,49.0021333333,42.7231333333,44.6706,15.2898,11.6854666667,5.46373333334,11.7205333334,8.98886666667,40.3789333333,15.4395333333
770.07,10.9841333333,49.1755333333,43.1116,45.1507333333,15.7845333333,12.4069333333,6.3962,12.5398666667,10.0531333333,40.86,16.1346666667
770.38,10.809,49.0008,42.8735333333,44.9489333333,15.332,11.7651333333,5.8782,11.9919333333,9.75299999999,40.4578666666,15.9211333333
770.69,11.2811333333,49.0816666667,42.9613333333,44.9356,15.3582,11.6666,6.11573333333,12.2176666667,9.97246666667,40.6794666667,16.2900666667
771.00,11.3637333333,48.9872,42.6759333333,44.8748,15.0221333333,11.4526,5.93213333333,12.028,9.51099999999,40.9824666667,16.1544666667
771.32,11.0417333333,48.7878,42.3295333333,44.6638666667,14.7065333333,11.1646666667,5.74813333333,11.6382666667,9.30393333333,40.6676,15.7055333333
771.63,11.1574,48.5892666667,42.3816,44.5096666667,14.8828666667,11.3246666667,6.0114,11.7695333334,9.61246666667,40.8368666667,15.7579333333
771.94,11.8454,48.8072,42.9661333333,44.9964,15.6902,12.1094,6.8058,12.455,10.5447333333,41.2046666667,16.1556
772.25,12.1190666667,48.7954666666,43.4348,45.2443333333,15.8152666667,12.3464666666,7.20853333333,12.6704666667,11.1271333333,41.5577333333,16.3135333333
772.56,12.0627333333,48.4734,43.0725333333,44.7969333333,15.5411333333,12.4493333333,7.1594,12.8646,10.9662,40.5940666667,16.0434666667
772.87,12.0477333333,48.4830666667,42.8828666667,44.6652666667,15.6122666667,12.4470666667,7.178,12.8512,11.1078,40.4626,16.26
773.18,12.9940666667,49.1396666667,43.3874,45.2654666667,16.4258,13.5397333333,7.9744,13.5448666667,12.0354666667,41.3618,17.3354
773.50,12.8986666667,49.0124,42.9926,45.0026,16.2914,13.4568666667,7.99013333333,13.4123333333,11.8814666667,40.9629333333,17.3334
773.81,13.2485333334,49.6960666667,43.6471333333,45.4708,16.826,14.0756666667,8.58000000001,13.9262666667,12.3119333333,41.6792,17.6432666667
774.12,13.4238666667,50.1006,44.1944666667,46.0524,17.0442,14.6524666667,8.80153333334,14.1138,12.6234666667,42.0392666666,17.8851333333
774.43,13.6997333333,50.3512,44.6310666667,46.1220666667,17.3486666667,14.9262,9.01273333333,14.3308,12.8294666667,41.9542,18.1984666667
774.74,13.3798666667,50.0775333333,44.6202666667,45.7570666667,17.2299333333,14.7390666667,8.78026666667,14.2378,12.5013333333,41.6278666667,18.2479333333
775.05,13.8188666667,50.7281333333,45.0692,46.2594,17.8020666667,15.1187333333,9.24560000001,14.6646,12.8582666667,41.9212666667,18.9454
775.36,13.8980666667,50.9438666667,44.8105333333,46.1229333333,17.7568,14.9908,9.33860000001,14.7816666666,12.5907333333,42.1282,19.2470666667
775.67,13.8206666667,51.4043333333,44.9709333333,46.4492666667,17.8643333333,15.0768666667,9.33746666667,14.9125333333,12.5597333333,42.3952666667,19.3956666667
775.98,13.5170666667,51.7611333334,44.9594666667,46.6558666666,17.7256666667,14.5921333333,9.01139999999,14.5974666667,12.2527333333,42.8525333333,19.0113333333
776.30,13.0870666667,51.6639333333,44.8274666667,46.9404666667,17.6026,14.4060666666,8.52206666667,14.3132,11.7844,42.9938666667,18.5058
776.61,12.3305333333,51.8486,44.8403333333,46.6946666667,17.2269333333,13.7759333333,7.57986666666,13.6134666667,10.8066,42.6218,17.9497333333
776.92,12.2638,51.9808666667,45.0536,46.6442,17.1024,13.7916666667,7.0742,13.4410666667,10.7075333333,42.8523333333,17.8607333333
777.23,11.1262666667,50.5334666667,43.7368666667,45.4416666667,16.1388,12.8874666667,5.84806666666,12.7462,9.70926666665,41.4677333333,16.8219333333
777.54,9.81920000001,49.8362666667,42.8940666667,44.6282,14.8664,11.8347333333,4.26646666667,11.5935333333,8.36626666667,40.7924,15.5554
777.85,9.43046666667,49.5451333333,42.2661333333,44.2633333333,14.5235333333,11.6682,4.0172,11.4563333333,8.14313333333,40.4578666667,15.2217333333
