wavelength,Back_SalSimm,Belly_SalSimm,Breast_SalSimm,Crissum_SalSimm,Crown_SalSimm,DorTail_SalSimm,Patch10_SalSimm,Patch11_SalSimm,Patch12_SalSimm,Patch13_SalSimm,Rump_SalSimm,Throat_SalSimm,WingTip_SalSimm
212.92,941.666666667,930.833333332,559.583333333,957.5,1102.5,1182.5,1251.66666667,1052.5,908.333333333,923.333333334,1238.33333333,845.833333334,747.5
213.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213.68,-403.555533333,-436.888933333,-172.666666667,-424.444333333,-492.444333333,-507.555533333,-580.0,-443.555533333,-420.4444,-402.6666,-549.777733333,-315.999933333,-287.777733333
214.06,-311.9298,-333.684266667,-126.666766667,-327.368333333,-386.3158,-388.771866667,-447.017533333,-339.999866667,-310.175333333,-307.0176,-418.947333333,-250.1754,-205.6142
214.44,-967.619066666,-1023.8094,-472.380833333,-973.333399999,-1182.85706667,-1182.85713333,-1289.52386667,-1054.2858,-999.047533334,-960.952399999,-1289.52386667,-789.523800001,-672.8571
214.81,-522.424333333,-578.181733333,-245.454566667,-544.848466667,-683.030266667,-679.394133333,-707.878733333,-601.212133333,-558.181733333,-543.030333333,-750.9092,-419.394,-336.363633333
215.19,-155.476333333,-184.762,-52.2619666667,-169.285666667,-217.142866667,-227.381066667,-223.095133333,-184.7618,-168.571266667,-162.142866667,-250.7144,-126.666733333,-90.7143333333
215.57,-153.118333333,-191.828,-67.9570333333,-176.559133333,-204.731066667,-224.946133333,-226.8816,-179.999866667,-162.3658,-161.505333333,-242.150533333,-139.785133333,-101.720333333
215.95,-300.666666667,-353.0,-171.5,-335.666666667,-360.666666667,-402.666666667,-414.666666667,-334.333333333,-325.666666667,-306.333333333,-435.666666667,-265.0,-229.166666667
216.32,-244.6378,-298.8406,-148.985533333,-286.086933333,-307.826133333,-337.3914,-340.2898,-287.536266667,-276.8116,-251.304466667,-357.1014,-205.507266667,-180.0001
216.70,-223.466666667,-274.933333333,-140.533333333,-256.8,-273.333333333,-301.6,-307.466666667,-250.4,-244.533333333,-228.266666667,-312.533333333,-186.933333333,-180.4
217.08,-126.2962,-160.7408,-71.8518333333,-146.8518,-152.7778,-176.666666667,-186.666666667,-142.592466667,-133.148,-134.074066667,-188.333333333,-103.703733333,-99.6297333333
217.46,-88.9923333334,-108.062133333,-51.3178333333,-113.3334,-105.116266667,-130.6976,-133.9536,-107.441866667,-86.0463333333,-98.1395333333,-143.875733333,-75.5038666667,-59.3798
217.83,-128.8288,-147.3874,-92.7027333332,-155.1352,-144.864733333,-176.576666667,-174.054133333,-153.333333333,-119.8198,-135.675666667,-187.027066667,-115.855933334,-89.9999666666
218.21,-92.5925333334,-114.5186,-65.3334,-120.592666667,-104.7408,-130.5186,-131.851733333,-111.851933333,-86.8146666667,-105.037066667,-141.481533333,-80.1480666667,-65.2593000001
218.59,-105.9092,-130.0,-81.7423666666,-143.7878,-115.909,-140.454533333,-149.848533333,-123.333333333,-90.6062,-112.4242,-151.9696,-90.4546,-80.3787
218.97,-288.3334,-324.1666,-232.7778,-346.1112,-292.500133333,-348.333333333,-376.1112,-311.944466667,-255.2776,-286.6666,-366.388933333,-255.0,-249.1666
219.34,-367.368533334,-412.280666666,-294.5614,-440.350866667,-383.8596,-441.7544,-485.2632,-388.771933333,-328.0702,-368.771933333,-458.2456,-323.157866667,-339.4737
