wavelength,Back_AniLacf,Belly_AniLacf,Breast_AniLacf,Crissum_AniLacf,Crown_AniLacf,DorTail_AniLacf,Patch10_AniLacf,Patch11_AniLacf,Patch12_AniLacf,Patch13_AniLacf,Rump_AniLacf,Throat_AniLacf,WingTip_AniLacf
392.08,13.3009333333,10.145375,7.64153333333,9.33613333334,13.1882,8.69646666667,10.4164666667,10.6954666667,27.1757333333,12.7922333333,27.6701333333,8.13186666666,9.70773333334
392.44,13.2692666667,10.0855,7.61086666667,9.25979999999,13.1528666667,8.65393333333,10.3996,10.6844666667,27.2008,12.7361,27.6966666667,8.0998,9.68513333333
392.80,13.2778,10.0422916667,7.60413333334,9.19993333333,13.1754666667,8.64346666666,10.4044,10.6853333333,27.1678,12.7099333333,27.6726,8.07653333333,9.69473333333
393.16,13.2616,9.97179166665,7.5562,9.13033333333,13.1581333333,8.5882,10.3689333333,10.6554,27.1520666667,12.6593666667,27.664,8.01279999999,9.65886666667
393.52,13.2290666667,9.93341666666,7.53133333333,9.07653333333,13.1503333333,8.5688,10.3384,10.6464666667,27.1358,12.6064333333,27.7153333333,7.96886666667,9.6556
393.88,13.2632666667,9.91324999999,7.55933333333,9.05246666666,13.192,8.60333333333,10.3774,10.7121333333,27.1481333334,12.6231333333,27.7776666666,7.97453333333,9.69246666667
394.24,13.2196666667,9.84100000002,7.49213333333,8.96933333333,13.1733333333,8.57106666667,10.3548,10.6950666667,27.1122666667,12.5898,27.8005333333,7.93573333334,9.67846666667
394.60,13.1839333333,9.75204166666,7.4208,8.89546666667,13.1287333333,8.5306,10.298,10.6285333333,27.0499333333,12.5034666667,27.7508,7.89913333333,9.65746666666
394.96,13.1439333333,9.66683333333,7.36913333333,8.82139999999,13.0988,8.47246666667,10.277,10.6062666667,26.9969333333,12.4406,27.7432666667,7.87079999999,9.64673333333
395.32,13.1124,9.58245833333,7.34540000001,8.7256,13.0708,8.46426666667,10.2636,10.5903333333,26.962,12.4016,27.7217333333,7.82346666666,9.63513333333
