wavelength,Back_TanCyom,Belly_TanCyom,Breast_TanCyom,Crissum_TanCyom,Crown_TanCyom,DorTail_TanCyom,Patch10_TanCyom,Patch11_TanCyom,Patch12_TanCyom,Patch13_TanCyom,Rump_TanCyom,Throat_TanCyom,WingTip_TanCyom
226.13,-57.8525833334,-38.30125,-48.5576666667,-46.6345,-46.2684166667,-40.3847083333,-59.4550833334,-72.1153333334,-58.3333333333,-38.3014166668,-1.92316666668,-62.98075,-34.77575
226.51,-41.5384166667,-22.0513333333,-35.833375,-29.6153333333,-32.509297619,-30.1282083333,-50.8973333333,-50.7690833333,-40.2564166666,-28.3334166666,3.58983333332,-41.9229166667,-21.0897083333
226.88,-51.2710833334,-34.7456666667,-43.9975,-40.5366666667,-50.565,-46.32775,-66.2429166667,-61.2995000001,-54.0960000001,-48.1639166667,-4.37858333334,-53.38975,-35.3108333333
227.26,-21.7055,-17.4418333333,-17.1510833333,-18.7014166667,-27.6438214285,-22.965125,-32.3643333333,-30.8140833333,-21.4146666667,-26.25975,11.24025,-20.4459166667,-19.0407916666
227.64,-36.5118333333,-35.9106666667,-32.3884166667,-36.5120833333,-44.0108571429,-42.1390416667,-46.99325,-46.9930833333,-34.794,-41.75275,-8.763,-35.7388333334,-42.2680416667
228.01,-42.9011666667,-44.9845833333,-40.817875,-44.9074166667,-45.3150952381,-49.4599166667,-52.6234166667,-51.0802500001,-40.9721666667,-47.8393333334,-16.1264166667,-45.679,-49.7686666667
228.39,-34.0686666667,-35.3554166667,-33.517,-35.1103333333,-35.4077261905,-36.0293333334,-39.8285,-38.9093333334,-32.9658333333,-37.8675833333,-11.0905833333,-36.7646666667,-38.66425
228.76,-24.6986666667,-24.6989166667,-21.9126666667,-25.9538333333,-24.0462857143,-24.2219166667,-27.4095833333,-29.016,-21.7369166667,-28.1124166666,-5.82316666666,-24.8494166667,-27.660625
229.14,-20.4054166667,-22.56775,-15.7882083333,-20.0000833333,-17.8185595238,-19.7522916667,-21.9369166667,-22.6576666667,-19.18925,-25.18025,-2.88283333333,-20.6755833333,-22.2297083334
229.52,-16.627,-17.6984166667,-9.56366666665,-14.3254166667,-14.1155833333,-13.9285833333,-17.22225,-17.1826666667,-15.3966666666,-21.70625,0.0397500000075,-16.9445833333,-16.9642083334
229.89,-17.0489166667,-16.0550833333,-10.0154583333,-14.4878333333,-15.5471785714,-15.6728333333,-16.8195833333,-16.59025,-15.7874166667,-22.8210833333,-1.18491666667,-18.1575,-18.310375
230.27,-16.895,-15.25875,-11.0920833333,-15.25875,-15.0358571428,-15.4299583333,-16.32425,-15.60125,-13.39425,-23.8205,-0.837083333332,-17.618,-19.0451666667
