wavelength,Back_EmbPlaf,Belly_EmbPlaf,Breast_EmbPlaf,Crissum_EmbPlaf,Crown_EmbPlaf,DorTail_EmbPlaf,Patch10_EmbPlaf,Patch11_EmbPlaf,Rump_EmbPlaf,Throat_EmbPlaf,WingTip_EmbPlaf
336.47,4.3854,16.7283333333,6.52393333333,6.23986666667,4.1884,5.6988,7.1656,3.60393333333,4.61246666667,9.23206666667,4.90226666667
336.84,4.41853333333,16.7268,6.60286666667,6.41253333334,4.2108,5.634,7.16873333333,3.6654,4.67553333333,9.24893333334,4.93866666667
337.21,4.62326666666,17.0296,6.884,6.7094,4.42193333333,5.744,7.41586666667,3.90926666667,4.86846666667,9.47699999999,5.23733333333
337.57,4.65573333334,17.0698666667,6.94926666667,6.7618,4.3732,5.76953333333,7.4702,3.90926666667,4.9132,9.39186666667,5.2792
337.94,4.66606666667,17.2159333333,6.96546666667,6.781,4.313,5.769,7.393,3.9308,4.836,9.34826666667,5.35453333333
338.31,4.9062,17.4489333333,7.2058,6.937,4.48973333333,5.9332,7.56813333333,3.99873333334,4.94846666667,9.56386666667,5.54893333333
338.67,5.06726666667,17.6532,7.31666666667,7.0302,4.60786666667,5.95566666667,7.6554,4.0436,5.08026666667,9.74773333332,5.7652
339.04,5.2416,17.8798,7.6056,7.27973333333,4.89393333333,6.15326666667,7.89706666667,4.28966666667,5.40753333333,10.0707333333,5.97573333333
339.40,5.0278,17.8215333333,7.4572,7.11813333333,4.76813333333,6.01886666667,7.69093333333,4.17226666667,5.27006666667,9.91413333333,5.73893333333
339.77,4.86953333333,17.7078666667,7.38826666667,7.02906666666,4.67986666667,5.90213333333,7.57533333333,4.04513333333,5.17033333333,9.82886666666,5.58266666667
340.14,4.8684,17.7999333333,7.4108,7.05986666667,4.6632,5.938,7.5312,4.10573333333,5.18526666667,9.85573333333,5.56026666667
340.50,5.0148,17.962,7.5614,7.1806,4.7908,6.1628,7.7826,4.2728,5.3522,10.0632,5.747
340.87,5.13373333333,18.1686,7.70453333333,7.2438,4.91006666667,6.2712,7.98346666667,4.4356,5.49013333333,10.2809333333,5.94533333333
341.23,5.0896,18.0824666667,7.6522,7.1822,4.83173333333,6.24893333333,7.95973333333,4.35906666667,5.43553333333,10.2936666666,5.8672
341.60,5.06566666667,18.1825333334,7.65226666667,7.2724,4.84106666667,6.32773333333,8.01173333333,4.39993333333,5.52313333333,10.4239333333,5.93166666667
341.96,5.05353333333,18.2643333333,7.71686666667,7.30366666667,4.83133333333,6.33946666667,8.03606666667,4.34386666666,5.59613333333,10.4531333333,5.90846666667
342.33,5.0182,18.3782666667,7.735,7.33313333333,4.82546666667,6.33693333333,8.04226666667,4.4116,5.6542,10.4582,5.899
342.70,5.1012,18.5378,7.88953333333,7.48153333333,4.9428,6.45873333333,8.14473333333,4.57126666667,5.819,10.6415333333,5.9106
343.06,5.2866,18.7328,8.0838,7.677,5.148,6.60886666667,8.2574,4.73453333333,5.91953333333,10.8428,6.05306666667
343.43,5.352,18.8602666667,8.19286666667,7.76353333333,5.24626666667,6.66793333333,8.34286666667,4.80793333334,6.03946666667,10.9344,6.16293333333
343.79,5.31233333333,19.0123333333,8.1736,7.70293333333,5.26366666667,6.65293333333,8.3552,4.8266,6.00346666667,10.9864,6.09953333333
344.16,5.06266666667,18.8694,7.9798,7.54206666667,5.0688,6.4892,8.1844,4.58906666667,5.77026666666,10.7859333333,5.89973333333
344.52,4.96973333333,18.7867333333,7.90666666667,7.41546666667,4.98166666667,6.32013333333,8.02586666667,4.5198,5.69413333333,10.6759333333,5.78526666667
344.89,5.09206666667,18.913,8.04386666667,7.52126666667,5.07533333333,6.43913333334,8.04026666667,4.5816,5.78186666667,10.6813333334,5.8288
345.25,5.0286,18.9624666667,8.04506666667,7.52426666667,5.069,6.45806666667,8.03913333333,4.5986,5.78386666667,10.6825333334,5.80526666667
345.62,5.067,19.0609333333,8.13113333333,7.5584,5.06233333333,6.46753333333,7.9948,4.62593333333,5.7656,10.7697333333,5.82106666667
345.99,5.0744,19.1632,8.1812,7.66026666667,5.132,6.52393333333,8.04693333333,4.6996,5.77206666667,10.8579333333,5.90053333333
