wavelength,Back_RamSanf,Belly_RamSanf,Breast_RamSanf,Crissum_RamSanf,Crown_RamSanf,DorTail_RamSanf,Rump_RamSanf,Throat_RamSanf,WingTip_RamSanf
751.27,4.8466,5.81713333333,34.4059333334,29.0442666667,28.9960666667,9.15626666666,35.5810066667,7.07006666667,7.6612
751.59,4.57053333333,5.75253333333,34.3336,28.8414666667,28.9726,8.91579166666,35.5965333333,6.81646666667,7.47966666667
751.90,4.60313333333,5.78813333333,34.4545333333,28.875,29.0500666667,8.81027916667,35.6356533333,6.81713333333,7.44366666667
752.22,5.08233333333,6.26406666667,34.8800666667,29.2577333333,29.5662,9.2500375,36.0609866667,7.3028,7.93306666667
752.53,5.05486666667,6.29993333333,34.8322666667,29.3239333333,29.7058,9.24128333333,36.14602,7.27973333334,7.95866666667
752.85,4.90693333333,6.22833333333,34.6998666667,29.2317333333,29.7212666667,9.17031249999,35.9955066667,7.23173333333,7.99733333333
753.16,4.7252,6.27306666667,34.4388,29.1035333333,29.5895333333,9.11947083333,35.8389,7.04326666667,8.0168
753.47,4.8794,6.51026666667,34.5608,29.2892,29.6984,9.31732083334,36.10924,7.24926666667,8.19186666667
753.79,4.9208,6.56866666667,34.6795333333,29.3364666666,29.6964666667,9.50375416667,36.1288333333,7.40946666667,8.26546666667
754.10,4.84846666667,6.45326666667,34.6417333333,29.2022666667,29.593,9.39791666667,36.0197333333,7.32173333333,8.17513333334
754.42,4.93973333333,6.59266666667,34.8323333333,29.3018,29.7083333333,9.60457083333,36.2043866667,7.44,8.35566666667
754.73,4.96186666667,6.6648,34.8205333333,29.4540666667,29.7976,9.61445833333,36.23806,7.55446666666,8.35246666667
755.05,5.07793333333,6.778,34.9336,29.6445333333,29.8426,9.79077916667,36.3077666667,7.64453333333,8.4304
755.36,5.28706666667,7.18,35.0931333333,29.8542666666,30.0858666667,10.0187916667,36.5375333333,7.9402,8.70426666666
755.67,5.01406666667,7.02126666667,35.017,29.7886666667,29.9113333333,9.81777916667,36.3652533333,7.7364,8.49066666667
755.99,5.04066666667,7.00126666667,35.0045333333,29.7838666667,29.8149333333,9.83418749999,36.3325666667,7.84093333334,8.553
756.30,5.2006,7.15086666666,35.3521333333,30.0590666667,29.9705333333,10.0086208333,36.5298333333,8.07366666666,8.66973333334
756.62,5.27633333333,7.09786666666,35.483,29.9891333333,29.9238666666,10.0441375,36.5102733333,8.14593333334,8.58500000001
756.93,4.89806666667,6.76613333333,35.4386,29.8733333333,29.75,9.72408333333,36.3405066667,7.82006666667,8.26206666667
757.24,4.9526,6.87613333333,35.4704666667,29.9651333333,29.9511333333,9.763275,36.4374333333,7.97973333333,8.38273333333
757.56,4.9552,6.96913333333,35.3889333333,29.8647333333,29.9065333334,9.81022499999,36.3748133333,8.0856,8.39986666667
757.87,4.6686,6.5908,35.2395333333,29.6428,29.7324666667,9.54212916667,36.2,7.79646666667,8.0738
758.18,4.4842,6.356,35.0976,29.4147333333,29.4465333333,9.40480416667,36.0252866667,7.515,7.88926666667
758.50,4.35646666667,6.13833333334,35.0338,29.3206,29.3762666667,9.34950416667,35.88114,7.45333333333,7.7454
758.81,4.27506666667,5.89273333333,34.9865333333,29.3302,29.2806,9.2277625,35.8089133333,7.31566666667,7.71666666667
759.13,4.3206,5.8338,34.9634666667,29.3571333333,29.2897333333,9.25288333333,35.9040533333,7.35906666667,7.73293333333
759.44,4.6754,6.09833333333,35.2970666666,29.5994,29.6012666667,9.44226666667,36.1052,7.67113333333,7.94953333333
759.75,4.8156,6.33786666667,35.294,29.6193333333,29.6429333333,9.58537916667,36.19146,7.78186666667,8.18500000001
760.07,4.97746666667,6.54986666667,35.392,29.7742,29.8169333333,9.86511666667,36.3649333333,7.94519999999,8.40626666666
760.38,5.19166666667,6.65126666667,35.4049333333,29.7500666667,29.8929333333,10.0072583333,36.3620733333,7.98140000001,8.57600000001
760.69,5.18713333333,6.5556,35.157,29.4295333333,29.601,10.0274708333,36.0834066667,7.91073333334,8.54513333333
761.01,5.1718,6.4794,35.372,29.4801333333,29.763,10.0879,36.1696333333,7.86593333334,8.6538
761.32,5.49926666667,6.8116,35.5637333333,29.7407333333,30.0256,10.2431291667,36.35012,8.14366666666,8.93426666666
761.63,5.48946666667,6.84573333333,35.6691333333,29.8219333333,30.0946,10.2327416667,36.44142,8.20166666666,9.06559999999
761.94,5.73893333333,7.1338,35.8402666667,30.0212666667,30.2776666667,10.4658458333,36.7042533333,8.44200000001,9.41533333332
762.26,5.65133333333,7.16026666667,35.7216666667,29.8921333333,30.2266,10.5218958333,36.5602866667,8.33806666666,9.27826666668
762.57,5.581,7.10793333333,35.6132666667,29.7705333333,30.2040666667,10.4574625,36.39964,8.30820000001,9.24486666667
762.88,5.3212,6.88433333333,35.5579333333,29.6191333334,30.0529333333,10.24965,36.31496,8.0194,9.00313333334
763.20,5.15406666667,6.70573333333,35.4626,29.4834666667,29.8764,10.1308,36.1272133333,7.84833333333,8.81186666667
763.51,4.87526666667,6.44146666667,35.1346,29.1306,29.5724666667,9.82073333332,35.8898933333,7.59439999999,8.63186666667
763.82,4.86793333333,6.53453333333,35.2030666667,29.2463333333,29.6876,9.79191250001,35.9922,7.70733333333,8.67819999999
764.14,5.04626666667,6.74853333333,35.5153333333,29.6444666667,29.9347333333,10.0025166667,36.3096,7.93373333333,8.817
764.45,4.98153333333,6.7488,35.4726,29.6922,29.8182666666,9.95363333334,36.2213733333,7.97213333334,8.66960000001
764.76,4.7636,6.60753333333,35.5049333334,29.6350666667,29.7625333333,9.85143749999,36.23346,7.79720000001,8.46193333334
765.07,4.74653333333,6.63513333333,35.5102666667,29.5183333333,29.7044,9.85068749999,36.1411533333,7.74639999999,8.34253333333
765.39,4.51666666667,6.4098,35.4020666667,29.3399333333,29.5104,9.55940416666,35.8815333333,7.51633333333,8.06620000001
765.70,4.42993333333,6.18506666667,35.6550666667,29.4028666667,29.4928666667,9.3663125,36.0719333333,7.47466666667,7.97573333334
766.01,4.28486666667,6.03106666667,35.7654666667,29.355,29.3530666667,9.24860833333,36.1086066667,7.27239999999,7.79966666667
766.32,4.49073333333,6.1374,35.7502666667,29.3875333333,29.4345333333,9.38397083333,36.13266,7.38206666666,8.0114
766.64,4.2206,5.75246666667,35.6922666666,29.2350666667,29.3533333333,9.03987083334,36.0308266667,7.1104,7.68653333333
766.95,4.73246666667,6.2488,36.1465333333,29.8611333333,29.8933333333,9.5675125,36.3147933333,7.539,8.0798
767.26,4.72173333333,6.1594,35.9946666666,29.7662666667,29.6973333333,9.65956666667,36.1360133333,7.53006666666,8.03293333333
767.57,4.7162,6.0702,35.8573333333,29.6558,29.6741333334,9.52897083333,36.10268,7.36893333334,8.0646
767.88,4.85666666667,6.10306666667,35.9090666667,29.7561333333,29.8942,9.64077083333,36.2621533333,7.28986666667,8.2746
768.20,5.05293333333,6.18293333333,35.6227333333,29.7048,29.9015333333,9.74600833333,36.0885,7.40553333334,8.41419999999
768.51,5.3552,6.21133333334,35.5928,29.857,30.0411333333,9.955825,36.2189,7.69193333334,8.72953333333
768.82,5.16373333334,6.05273333333,35.5113333333,29.772,29.9936666667,9.92197083333,36.0463533333,7.45893333333,8.54173333333
769.13,5.1142,6.1188,35.244,29.6054,29.8363333333,9.8540375,35.7721066667,7.30786666666,8.52546666667
769.44,5.301,6.43600000001,35.4177333333,29.7718666667,30.0716,10.0777416667,35.9484333333,7.47026666667,8.65813333334
769.76,4.9824,6.255,35.2316,29.6155333333,29.8754,9.93306666665,35.6949133333,7.33000000001,8.43753333333
770.07,5.10613333333,6.434,35.217,29.7331333333,29.9000666667,10.2575416667,35.8140866666,7.39766666667,8.67079999999
770.38,4.8734,6.0866,35.3604,29.5664,29.7325333333,9.86873750001,35.8607733333,7.13406666667,8.38686666666
770.69,4.5916,5.899,35.3448666667,29.443,29.7085333333,9.54465000001,35.901,6.87453333334,8.26259999999
771.00,4.54033333333,5.8356,35.4566666667,29.3802666667,29.95,9.4243875,35.9865866667,6.86046666666,8.17906666666
771.32,4.28426666667,5.61953333333,35.3435333333,29.1838,29.8201333333,9.12047083334,35.9727466667,6.65166666667,7.85786666667
771.63,4.23186666667,5.68113333334,35.5942666667,29.3943333333,29.8094,9.24670833333,36.1828133333,6.74586666667,8.03053333333
771.94,4.28166666667,5.94833333333,35.9980666667,29.6642,30.0776666667,9.51628333334,36.5276133333,6.81266666667,8.10626666668
772.25,4.7962,6.37839999999,36.1652666667,29.809,30.4010666667,9.75686666666,36.8920266667,7.29326666667,8.57140000001
772.56,5.04913333334,6.6318,36.4672,30.2722,30.8136666667,10.1714416666,37.2624733333,7.81586666666,8.74953333335
772.87,5.23713333333,6.84806666667,36.4818666667,30.4998666667,30.8117333333,10.4381666667,37.2235133334,8.12793333333,8.997
773.18,5.4154,7.16913333333,36.6715333333,30.5488666667,30.7792666666,10.7749125,37.3753933333,8.34366666667,9.29739999999
773.50,5.77326666667,7.46593333333,37.1217333333,30.9648666666,31.1435333333,10.9495,37.7800133333,8.75893333333,9.51273333333
773.81,6.0644,7.85140000001,37.2444666667,30.9968666667,31.3108,11.1875041667,37.8282066667,8.93139999999,9.80206666668
774.12,6.6404,8.45393333333,37.8282,31.4078,31.743,11.7731708333,38.29136,9.40033333334,10.2152666667
774.43,6.61033333333,8.53973333334,37.7954,31.4106666667,31.4107333333,11.7977125,38.0980666667,9.27566666665,10.0878666667
774.74,7.2444,9.17666666667,38.3398666667,31.8494,31.7960666667,12.2949125,38.5035666667,9.84399999999,10.704
775.05,7.2312,9.25066666666,38.3603333333,31.8448,31.9858666667,12.2541625,38.5255466667,9.71446666667,10.7258
775.36,6.8732,8.86633333333,37.9797333333,31.611,31.7495333333,11.8998791667,38.30012,9.32673333335,10.3722666667
775.67,6.4582,8.32046666667,37.6934,31.3787333333,31.4062666667,11.5741958333,38.0068266667,8.91166666667,9.83440000001
775.98,6.12166666667,7.9496,37.4822666667,30.9156666667,31.0570666667,11.1505666667,37.76542,8.38773333333,9.6224
776.30,6.06786666667,7.8782,37.7207333333,30.9559333333,31.397,11.0568625,38.2648066667,8.34033333333,9.61486666667
776.61,5.99506666667,7.79666666666,37.8606666667,31.2757333333,31.759,10.9967583333,38.61478,8.26226666667,9.4882
776.92,6.0136,7.8016,38.0406,31.4026666667,31.9807333333,11.0171458333,38.6135333333,8.15126666667,9.42546666668
777.23,5.66493333333,7.3046,37.9602666667,31.319,32.0251333333,10.7949666667,38.53196,8.12613333333,9.13866666667
777.54,5.5014,6.8434,37.8246,31.0390666667,31.8181333333,10.6597833333,38.2336733333,8.02666666666,8.97900000001
777.85,5.3094,6.67766666667,37.8247333333,30.9120666666,31.9327333333,10.4151625,38.2067,7.94066666667,9.00466666667
778.16,4.90773333333,6.31906666667,37.2638666667,30.608,31.5598666667,10.0499625,37.7025066667,7.60046666667,8.68613333333
778.47,4.70946666667,6.03846666667,37.2476666667,30.2796,31.3471333333,9.82745000001,37.5101933333,7.49453333334,8.40239999999
