wavelength,Back_ThrSayf,Belly_ThrSayf,Breast_ThrSayf,Crissum_ThrSayf,Crown_ThrSayf,DorTail_ThrSayf,Patch10_ThrSayf,Patch11_ThrSayf,Rump_ThrSayf,Throat_ThrSayf,WingTip_ThrSayf
188.67,-1.1111333334,-274.4444,107.777833333,286.666666667,-37.7778666666,-264.4444,-286.666599999,-245.5554,73.7777333332,112.222333333,-201.428590476
189.05,566.666666665,-346.666666667,821.666666667,1193.33333333,330.0,-376.666666667,-440.0,-303.333333333,721.333333332,780.0,-286.666666667
189.43,-1193.33333333,733.333333335,-1016.66666667,-1893.33333333,-593.333333333,866.666666666,1186.66666667,566.666666668,-1030.66666667,-913.333333333,949.523809524
189.81,117.7778,-14.9999333333,130.2778,192.2222,64.4445999999,-8.8887999998,-72.2222666668,-9.99999999994,104.888893333,116.6668,-40.0000857143
190.19,102.2224,-68.1480666667,121.1111,176.2962,19.9999333334,-61.4814000001,-161.4814,-59.9999999999,74.9629999998,113.333266667,-80.211542857
190.57,3.52939999986,109.411933333,8.62733333326,-9.80393333326,77.2550000001,108.6274,155.6862,130.980466667,41.0195733332,15.2941333334,106.498466667
190.95,13.6364000001,91.5150666665,15.4545666666,3.03033333333,87.5758666665,103.939466667,129.697,126.969666667,41.0304133335,16.6666666666,83.6363047619
191.33,1.86053333332,37.6744666666,1.1629,2.94580000001,41.3954,57.3643333333,55.1937333333,64.1861333335,12.9923466667,7.59686666666,32.4917904762
191.71,-1.15946666666,42.7536,9.49260000002,17.6811333333,39.2753333333,54.9276000001,53.6233333333,65.2172000001,19.3624266667,11.4492666667,29.4410095238
192.09,7.86886666664,41.0929999999,23.3879666667,22.7324,39.4535333333,47.1037999999,48.3058666667,61.5298666666,26.6011466667,20.4371333333,34.4574857143
192.47,12.6368,39.8010666667,31.1941,25.2736666667,39.5025333333,44.4775333333,50.2488666667,57.7112666667,30.4875066667,18.3084666667,33.3616095238
192.85,17.5587333333,45.6338666667,29.9531,28.263,43.5682,46.8545333333,48.3568666667,57.4648,30.6104,20.1878,36.6732952381
193.23,5.97706666667,34.1762666667,20.996,15.4789333333,28.506,30.6513333333,35.3256,45.0574,17.6552933333,12.7202,23.0760952381
193.61,3.99993333333,38.5186,20.9626333333,15.7777333333,23.8518666667,25.1110666667,33.8518,47.7778666667,18.2816133333,16.0740666667,21.7249142857
193.99,-2.00926666668,34.1552,13.6530333333,9.13253333335,14.1552666667,17.3514,31.4154666666,42.9223333333,13.29676,12.6028,11.5329142857
