wavelength,Back_CreDenm,Belly_CreDenm,Breast_CreDenm,Crissum_CreDenm,Crown_CreDenm,DorTail_CreDenm,Patch10_CreDenm,Rump_CreDenm,Throat_CreDenm,WingTip_CreDenm
756.93,10.3546666667,19.4348333333,14.7397916666,18.2641666667,34.7645,11.714375,5.63066666667,10.8732083333,14.192,13.5463333333
757.24,10.4646666667,19.4445,14.8765,18.0830833333,34.6101666667,11.5285,5.39308333333,10.7130833333,14.2170833334,13.4631666667
757.56,10.3540833333,19.37075,14.8444583333,17.94225,34.71625,11.58075,5.39833333333,10.7363333333,14.2325833333,13.4811666666
757.87,10.731,19.8343333333,15.2533333333,18.5605833333,34.9968333333,11.9622916666,5.74391666667,10.92425,14.5355,13.8401666667
758.18,10.6343333333,19.754,15.25725,18.5663333333,35.0453333334,11.946625,5.77975,10.8185833333,14.4303333333,13.6959166667
758.50,10.2919166667,19.4628333333,15.0664583333,18.5244166667,35.0085833334,11.5842083333,5.64141666667,10.5935833333,13.9486666667,13.3424166667
758.81,10.6914166667,19.9355833333,15.5314166667,18.9305,35.4541666667,11.8755,5.84841666667,11.0103333333,14.2889166666,13.736
759.13,10.4990833333,19.9999166667,15.4078333334,18.7375,35.5706666667,11.81025,5.59025,11.010875,14.2628333333,13.6074166666
759.44,10.2569166667,19.7191666667,14.913625,18.6065,35.2308333333,11.35475,5.38791666667,10.63475,13.838,13.3354166666
759.75,10.1113333333,19.892,14.875625,18.5134166667,35.2816666667,11.1002916667,5.00966666667,10.2652083333,13.6475833333,12.88475
760.07,10.13675,19.966,15.1055833333,18.722,35.559,11.1057083333,5.23025,10.342875,13.6684166667,12.9025
760.38,9.99800000002,19.73375,15.1087083333,18.6195833333,35.5971666667,10.989125,5.0945,10.2264583333,13.6675,12.9356666667
760.69,10.24175,19.9109166667,15.450125,18.8103333333,35.8079166667,11.3439166667,5.53108333334,10.556625,13.9630833333,13.2379166667
761.01,10.6639166667,20.2523333333,15.8411666667,19.0375833333,35.9853333333,11.6388333333,5.69975,10.7087916667,14.19075,13.5601666667
761.32,10.4704166667,20.1914166667,15.734,18.7528333333,35.90325,11.5030833333,5.73366666667,10.822375,14.0191666667,13.5566666667
761.63,10.8671666667,20.4106666667,15.996125,18.8900833333,35.86425,11.8507916667,6.13533333333,11.2202916667,14.2694166667,13.81675
761.94,11.26675,20.7199166667,16.2540416667,19.11125,36.1029166667,12.1475416667,6.36675,11.5304583333,14.6755833333,14.20025
