wavelength,Back_ThrPalm,Belly_ThrPalm,Breast_ThrPalm,Crissum_ThrPalm,Crown_ThrPalm,DorTail_ThrPalm,Patch10_ThrPalm,Patch11_ThrPalm,Rump_ThrPalm,Throat_ThrPalm,WingTip_ThrPalm
606.24,10.8272,20.2249666667,18.1254,21.1382373856,20.5645,10.5336,22.2778,20.7854,16.1,19.7646666667,9.52913333334
606.58,10.8102666667,20.231,18.0912666667,21.1394509804,20.5561,10.5316,22.2654,20.7686,16.1074,19.7442666667,9.52386666665
606.91,10.8034666667,20.2375666667,18.0595333333,21.1083735948,20.4907333333,10.5309666667,22.2297333334,20.7199333333,16.1002,19.7279333333,9.50906666667
607.25,10.7584,20.2093333333,18.0267333333,21.0987877124,20.4494333333,10.4551,22.1751333333,20.6983333333,16.0786,19.7378,9.45653333333
607.58,10.7620666667,20.2372333333,18.0502,21.1220742484,20.4498333333,10.4557666667,22.1506666667,20.7001333333,16.0765333333,19.7425333333,9.44286666667
607.92,10.7396,20.2114666667,18.0104,21.1138677124,20.3862666667,10.4495333333,22.1051333333,20.6841333333,16.0275333333,19.7172666667,9.42260000001
608.25,10.6916666667,20.1852333333,18.0247333333,21.0936363399,20.3288666667,10.4224,22.0828666666,20.6564,15.9968666667,19.7020666667,9.40853333332
608.59,10.5870666667,20.1481,17.9467333333,21.039540915,20.2385,10.3811666667,22.0046,20.5657333333,15.899,19.6409333333,9.31726666667
608.92,10.5546,20.1168,17.9231333333,21.0071613072,20.1759666667,10.3424333333,21.9753333333,20.5286666667,15.8438666667,19.5956666667,9.28640000001
609.26,10.5646,20.0968333333,17.9250666667,20.9917534641,20.1797,10.3496,21.9586666667,20.541,15.8254666667,19.5828666667,9.3144
609.59,10.6408666667,20.1286666667,17.9962,21.045252549,20.2192666667,10.4149333333,22.0286,20.5441333333,15.8558,19.6412,9.36993333333
609.93,10.6517333333,20.1518666667,18.0221333333,21.0392645752,20.2724,10.4252666667,22.0527333333,20.5717333333,15.8728,19.6686666667,9.42826666667
610.26,10.7122,20.1725666667,18.0725333333,21.0588227451,20.3161333333,10.4756333333,22.1126666667,20.5777333333,15.9201333334,19.6951333333,9.5088
610.60,10.6782,20.0678666667,18.0340666667,20.9890407843,20.2602,10.453,22.0404,20.5284666667,15.8543333333,19.6620666667,9.49153333334
610.93,10.6951333333,20.1017333333,18.0514666667,20.9937145098,20.2883666667,10.4602333333,22.0088,20.5186,15.8488666667,19.6830666667,9.52733333333
611.27,10.7580666667,20.1566666667,18.0616,21.0522833987,20.3372666667,10.5064333333,22.0352,20.5352,15.8816,19.7350666667,9.58440000001
611.60,10.8430666667,20.2097,18.1214666667,21.065349281,20.4002333333,10.5462666667,22.0332666667,20.5892,15.9562,19.7893333333,9.6432
611.93,10.8758,20.1848,18.1042666667,21.0531589542,20.4107,10.5835,22.0067333333,20.5576,15.9778666667,19.7885333333,9.67279999999
612.27,10.9189333333,20.2666,18.1158666667,21.0964807843,20.4402666667,10.6069,22.0005333333,20.6066666667,16.0079333333,19.8645333334,9.72013333333
612.60,10.8743333333,20.2414,18.0947333333,21.082343268,20.4340333333,10.5959333333,21.8835333333,20.6058,15.9621333333,19.8398,9.68966666667
612.94,10.9684666667,20.3329333333,18.1849333333,21.1758261438,20.5223333333,10.6781,21.9696,20.6992,16.0494,19.9408,9.74753333332
613.27,10.9023333333,20.2668666667,18.1285333333,21.1159777778,20.4371333333,10.6342666667,21.8878666667,20.6576666667,15.9996666667,19.8536666666,9.67473333333
613.61,10.9514,20.3125666667,18.1324,21.1138094118,20.4476333333,10.6663333333,21.8641333333,20.6544,16.0288,19.8412,9.68553333333
613.94,10.9273333333,20.2702333333,18.1017333333,21.062023268,20.3809,10.5662,21.842,20.5656,15.9966,19.7845333333,9.60166666666
614.28,10.7985333333,20.1674333333,18.0403333333,20.934340915,20.2655333334,10.4635,21.6681333333,20.4892,15.8987333333,19.6498666667,9.48139999999
614.61,10.7458666667,20.1214666667,17.9792666667,20.8989639216,20.2062,10.4788666667,21.6338666667,20.4442,15.843,19.5993333333,9.47193333335
614.94,10.7616,20.166,18.0203333333,20.93176,20.2281333333,10.4908,21.6169333333,20.5158666667,15.8607333334,19.6352,9.5012
615.28,10.7892,20.1429666667,18.0773333333,20.913604183,20.2395666667,10.5275333333,21.631,20.4585333333,15.8515333333,19.6078666667,9.49666666667
615.61,10.7704,20.0908,18.0104,20.8166264052,20.1318,10.4801666667,21.5878666667,20.3864666667,15.8064666667,19.5357333333,9.44706666667
615.95,10.6887333333,20.0078666667,17.9382666667,20.7090188235,19.9882666667,10.4248333333,21.4596666667,20.2422,15.7111333333,19.4254,9.36026666665
616.28,10.7642666667,20.0977333333,17.9628666667,20.7509482353,20.0509666667,10.4801666667,21.4443333333,20.3184,15.7639333333,19.4659333333,9.4318
616.61,10.8084666667,20.2073,18.0357333333,20.8735532026,20.0956,10.4728,21.5892666667,20.4406666667,15.8435333333,19.5144,9.45293333334
