wavelength,Back_LanAurf,Belly_LanAurf,Breast_LanAurf,Crissum_LanAurf,Crown_LanAurf,DorTail_LanAurf,Patch10_LanAurf,Patch11_LanAurf,Rump_LanAurf,Throat_LanAurf,WingTip_LanAurf
397.12,2.92946666667,9.88906666666,7.92043333333,5.0852,3.257,5.15,4.44673333333,6.95920000001,2.19266666667,8.04126666667,6.2268
397.48,2.89766666667,9.8266,7.86723333333,5.0272,3.23626666667,5.13553333333,4.4082,6.92320000001,2.1612,8.025,6.20713333333
397.84,2.9416,9.80866666667,7.87436666667,5.02733333333,3.2802,5.1574,4.46466666667,6.95733333334,2.1848,8.07886666667,6.23513333333
398.20,2.9464,9.75973333333,7.83586666667,5.00986666667,3.2886,5.17333333333,4.4676,6.964,2.18526666667,8.09053333333,6.2454
398.56,2.9554,9.68986666665,7.7669,4.97473333333,3.27166666667,5.18066666667,4.44673333333,6.93293333334,2.15593333333,8.07866666666,6.23333333333
398.92,2.8932,9.56886666667,7.67556666667,4.9044,3.1992,5.13913333333,4.3938,6.85306666666,2.08033333333,8.03126666666,6.16226666667
399.28,2.86266666667,9.48726666667,7.62276666667,4.8804,3.19573333333,5.12993333333,4.38246666667,6.83466666667,2.083,8.04766666667,6.14853333333
399.64,2.8182,9.37053333334,7.50013333334,4.8184,3.1344,5.06746666667,4.33193333333,6.76893333333,2.03046666667,7.99359999999,6.06686666667
400.00,2.763,9.27739999999,7.41343333333,4.76666666667,3.08546666667,5.00206666667,4.29293333333,6.72246666667,1.9902,7.95946666666,6.01733333333
400.36,2.7064,9.16846666667,7.32483333333,4.71086666666,3.0214,4.9384,4.24826666667,6.6652,1.943,7.935,5.95646666667
400.72,2.69053333333,9.10846666667,7.26483333333,4.67933333333,3.01226666667,4.92293333333,4.22613333333,6.64533333333,1.9122,7.91426666667,5.92953333333
401.08,2.66633333333,9.05186666666,7.19376666667,4.64606666667,2.9796,4.89446666667,4.186,6.609,1.88513333333,7.89606666666,5.9022
401.44,2.67713333333,9.00846666666,7.18356666667,4.64386666667,2.98706666667,4.89893333333,4.1946,6.6102,1.9096,7.92446666666,5.907
401.80,2.6398,8.90200000001,7.11053333333,4.613,2.94186666667,4.8498,4.13786666667,6.54133333333,1.86926666667,7.89613333333,5.86653333333
402.16,2.67593333333,8.92473333333,7.1486,4.64213333333,2.99086666666,4.89526666667,4.1904,6.5812,1.93613333334,7.97,5.9214
