wavelength,Back_SpoInaf,Belly_SpoInaf,Breast_SpoInaf,Crissum_SpoInaf,Crown_SpoInaf,DorTail_SpoInaf,Patch10_SpoInaf,Rump_SpoInaf,Throat_SpoInaf,WingTip_SpoInaf
810.49,35.032,54.08,44.72,58.5333333334,32.2704761905,26.7466666667,32.4933333334,28.9866666666,39.5466666666,33.8933333334
810.80,37.6966,56.958,47.745,61.5788333333,34.2761428572,29.6205,34.4335,31.6008333333,41.2265,35.3136666667
811.10,38.0622083333,56.4413333333,47.1281666667,60.4936666667,34.8095238096,30.7568333333,34.7556666667,31.8035,41.5191666667,36.4465
811.41,37.9263833333,56.2596666667,47.2615,59.7808333334,36.0272619047,32.4985,36.7111666667,33.2028333334,42.2538333334,36.411
811.71,35.7386333333,54.8525,45.2795,57.8586666666,34.1245714286,31.2765,34.9684166667,31.6191666667,41.5611666667,34.5463333334
812.02,35.01975,53.8888333334,45.7938333334,57.1956666666,33.7980952381,31.455,35.4099166667,31.0846666667,41.8256666667,35.1321666667
812.32,33.9409666666,52.8131666667,44.6656666666,57.5903333334,33.4621666667,31.6348333333,36.38525,30.8386666666,41.3216666667,34.3946666666
812.63,32.0741166666,50.495,42.422,55.3648333333,32.7640952381,30.5988333334,35.078,30.8071666666,40.2346666666,32.1093333334
812.93,32.2873333333,51.3106666667,43.9273333333,55.511,33.0047380953,29.8288333333,35.4331666666,31.4071666666,40.1818333333,31.3538333333
813.24,33.1889333334,52.7506666667,45.2886666667,56.2635,33.1622380953,29.6295,35.6209166667,31.4815,41.1218333333,30.9095
813.54,31.9022833333,51.8518333334,43.7708333333,55.0503333333,31.2330476191,28.1988333334,34.7925833333,30.752,40.6846666667,27.4411666666
813.85,32.0999666666,52.9936666667,45.3941666667,55.7283333333,31.9311190476,27.6051666667,35.3051666666,31.6061666667,41.7961666667,26.1655
814.15,30.709825,51.7161666666,44.7936666666,54.2468333333,30.2794523809,25.422,33.3189166666,29.5231666666,40.3435,24.9563333333
814.46,29.7050916666,52.178,44.7368333333,54.779,29.6387619047,23.1701666666,32.4259166666,29.3103333334,39.8668333334,23.3516666666
814.76,29.5848833333,51.8586666667,43.1656666667,54.1665,28.7085238095,22.1525,30.441,28.3573333333,38.8788333334,23.4711666666
815.07,30.6555583333,52.6455,43.5331666667,54.6736666666,30.2385,23.839,31.2024166667,29.13,39.2121666667,27.043
