wavelength,Back_TanDesf,Belly_TanDesf,Breast_TanDesf,Crissum_TanDesf,Crown_TanDesf,DorTail_TanDesf,Patch10_TanDesf,Patch11_TanDesf,Patch12_TanDesf,Patch13_TanDesf,Patch14_TanDesf,Patch15_TanDesf,Patch16_TanDesf,Rump_TanDesf,Throat_TanDesf,WingTip_TanDesf
214.81,445.138833333,599.3055,490.972416667,697.22225,493.749916667,531.59725,522.22225,578.472333334,284.722333333,490.27775,635.416583334,820.833416666,502.083416667,559.027666667,711.805750001,330.902875
215.19,367.261916666,496.428583333,429.166666667,585.41675,426.1905,441.07125,466.666833333,489.285666667,253.571583333,413.09525,557.142833333,680.357083333,419.0475,461.90475,610.118916667,276.190416667
215.57,444.166666667,583.333333333,580.0,757.916666667,523.333333334,500.416666667,590.0,646.666666666,326.666666667,522.5,711.666666668,893.333333333,536.666666667,603.333333333,779.166666667,350.416666667
215.95,241.666833333,304.166666667,326.38875,404.166583334,277.314833333,276.620375,343.0555,356.018583333,197.685166667,293.0555,381.4815,494.4445,309.722166667,308.33325,418.9815,192.592833333
216.32,211.742416667,259.469666667,282.9545,339.204458333,227.272666667,252.462,308.712,303.03025,187.121333334,245.075666667,323.484833333,419.697083334,279.166833333,245.4545,350.378916667,168.371083333
216.70,1018.33333333,1158.33333333,1286.66666667,1471.66666667,990.0,1171.66666667,1421.66666667,1353.33333333,885.0,1036.66666667,1415.0,1850.0,1361.66666667,1023.33333333,1498.33333334,790.833333334
217.08,-1513.88883334,-1788.88891667,-2147.22241666,-2294.44454167,-1536.11108333,-1879.16645834,-2330.55558333,-2108.33325,-1486.11116667,-1577.77775,-2274.99991667,-2983.33333334,-2199.99991667,-1577.77775,-2394.44441667,-1276.389
217.46,-4308.33333333,-4916.66666667,-5925.0,-6445.83333333,-4474.99999999,-5612.5,-6925.00000001,-5833.33333334,-4225.0,-4183.33333333,-6166.66666668,-8574.99999999,-6725.0,-4083.33333333,-7025.00000001,-2750.0
217.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218.21,276.25,303.75,323.75,342.708333333,298.75,322.916666667,384.583333333,325.0,257.5,238.75,381.25,463.333333334,408.333333333,247.916666666,388.333333333,174.583333333
218.59,594.791666667,693.749999999,655.208333333,750.0,713.541666668,761.458333333,879.166666668,756.25,585.416666667,519.791666666,887.500000002,1085.41666667,945.833333334,552.083333333,898.958333333,328.125
218.97,2016.66666667,2479.16666667,2337.5,2520.83333333,2558.33333333,2935.41666667,3075.0,2666.66666666,1962.5,1795.83333333,3237.5,3925.0,3395.83333333,1891.66666667,3262.5,1060.41666667
219.34,-1436.11116667,-1755.55541667,-1575.00016667,-1606.94441667,-1666.66658333,-2056.9445,-1977.77775,-1738.88883333,-1349.99983333,-1200.00016667,-2163.88875,-2622.22225,-2236.11116667,-1355.55541667,-2036.11108333,-787.500083334
219.72,-1231.25,-1570.83333333,-1343.75,-1285.41666667,-1462.5,-1833.33333333,-1606.25,-1410.41666667,-1166.66666667,-1008.33333333,-1756.25,-2191.66666667,-1806.25,-1183.33333333,-1670.83333333,-804.166666666
220.10,-212.681166666,-238.768083333,-219.202916667,-220.289791667,-245.652333333,-304.891125,-253.985416667,-230.072583333,-181.159416666,-155.797083333,-303.623166667,-367.391333333,-292.753666667,-205.797,-284.782666667,-134.420208333
220.47,-92.857,-109.523833333,-94.4444166666,-88.5913333333,-113.293583333,-139.980333333,-104.5635,-99.6030833334,-70.8333333332,-61.11125,-138.6905,-164.880916667,-121.626916667,-92.2620000001,-129.761916667,-48.4126666667
220.85,-100.219333333,-121.92975,-100.219416667,-94.7366666667,-126.315833333,-154.605166667,-112.938666667,-111.4035,-71.4911666668,-61.8420833334,-148.245666667,-178.728083333,-119.298166667,-97.3683333333,-138.815916666,-51.4255
221.23,-53.4014166666,-65.3061666667,-47.95925,-45.1530833333,-68.3673333332,-90.73125,-59.5236666668,-63.2652499999,-28.4013333333,-23.6394166668,-84.1837499998,-103.061083333,-57.1429166667,-47.9589999999,-83.33325,-11.1391666667
221.61,-34.7222500001,-44.2900000001,-28.7038333333,-29.62975,-48.6110833334,-63.4260833333,-37.8086666667,-45.5247500001,-12.3456666666,-16.8211666666,-66.0493333335,-75.6171666667,-29.0125,-31.7900833333,-60.4938333333,-10.8024583333
221.98,-17.08325,-30.9721666666,-15.1388333333,-20.555625,-35.27775,-47.5695,-22.0833333334,-34.3054166666,2.08341666668,-9.72216666668,-45.1388333333,-60.5555833333,-18.1945,-20.0000833333,-48.0554166667,2.08329166666
222.36,-16.358,-33.9505833334,-23.7653333333,-22.3765,-27.4690833332,-48.225375,-22.3764166667,-32.2531666667,5.86424999998,-8.17899999985,-43.9815000001,-64.8147500001,-16.0494166667,-13.4259166667,-50.463,-0.926041666675
222.74,-33.3334166666,-49.6855000001,-41.6666666667,-39.6224583333,-32.8616666668,-58.8050416667,-28.3019166667,-37.5786666667,-0.786083333342,-13.5219166666,-46.3836666666,-74.2138333332,-30.3459166667,-16.9811666667,-66.8240833333,-16.9024166667
223.11,-26.4366666667,-40.0863333332,-28.30475,-33.6924583333,-19.8275833334,-43.390875,-21.1205833333,-27.58625,7.61508333334,-7.90233333343,-33.7643333333,-65.8045833334,-20.9770833334,-9.48275,-57.7586666667,-15.0862916667
223.49,-17.6099166667,-33.019,-25.1571666667,-32.3899166667,-19.3396666667,-35.1415416666,-20.1256666667,-31.4465833333,13.8364166666,-2.67291666682,-33.3333333333,-71.6979999999,-14.7796666666,-2.83,-63.0503333333,-10.9277916666
223.87,-14.2856666666,-29.9318333334,-23.6395833333,-38.0103333333,-17.8570833333,-33.6734583333,-19.2175833333,-33.5034166666,17.17675,0.850333333175,-29.0814166666,-65.81625,-11.2245,5.61225000003,-66.8369166666,-10.9692083334
224.24,-0.74083333325,-34.0739999999,-20.5555833334,-30.0925,-11.2962499999,-37.222375,-12.77775,-30.1853333333,24.9999166667,6.66666666658,-14.6296666667,-61.1110000002,-3.88883333332,18.3331666667,-55.7407500001,-9.35191666667
224.62,-41.9047499999,-68.8095,-66.9049166667,-68.8094583333,-54.9999166667,-79.2857500001,-50.4763333332,-75.0000833333,-4.28566666668,-23.09525,-47.1428333333,-110.952416667,-46.90475,-8.80950000007,-98.8094166668,-55.4763333333
225.00,-43.2927499999,-61.5853333334,-73.3740000001,-65.2437916666,-57.3172500001,-73.2723333334,-44.9185833333,-70.3252500001,-21.3415,-29.0650833334,-45.7316666668,-97.3576666667,-53.0488333333,-22.9673333333,-96.5448333333,-60.3659166667
225.38,-104.0405,-132.070833333,-146.464583333,-134.469875,-132.828166667,-151.388875,-99.24225,-139.899,-72.4748333333,-88.1312499998,-118.434333333,-178.282833333,-135.353416667,-82.8281666667,-163.636416667,-129.1665
225.75,-95.1753333333,-127.850666667,-143.640416667,-119.078958333,-114.4735,-145.723875,-90.3507500001,-128.07025,-63.8158333333,-74.1226666668,-105.921083333,-162.938583333,-121.710416667,-80.4823333332,-138.815833333,-114.364166667
226.13,-102.291666667,-133.333333333,-148.333333333,-123.958333333,-108.75,-148.645833333,-102.083333333,-132.916666667,-81.4583333332,-81.0416666667,-116.458333333,-167.916666667,-118.75,-95.8333333334,-141.25,-125.520833333
226.51,-57.5136666667,-83.3333333333,-87.2951666668,-76.2979166667,-69.8089166667,-94.330625,-59.5628333333,-80.4644999999,-53.27875,-44.6720833333,-72.9509166666,-102.595583333,-72.6775,-56.9671666667,-90.3005833334,-77.1858333333
226.88,-31.3254166666,-50.1004166667,-53.012,-45.984,-45.5824166666,-58.1827083333,-37.4498333333,-50.7028333333,-31.4258333333,-28.9155833333,-49.2971666668,-64.2570833333,-42.0684166667,-32.731,-56.1245833334,-50.903625
227.26,-36.3370833333,-54.65125,-63.27525,-54.0696666667,-54.8449166667,-62.596875,-43.7016666666,-57.3643333334,-40.4069166667,-34.69,-54.4573333333,-67.3449166667,-45.9301666667,-40.21325,-56.3953333333,-56.8313333333
227.64,-43.5688333333,-65.2173333334,-73.279,-60.9148333334,-60.05425,-71.4221666666,-50.27175,-62.8623333334,-48.0071666667,-39.0398333334,-57.6086666667,-70.19925,-50.3623333334,-43.3878333333,-58.3334166668,-64.809875
228.01,-37.7778333333,-52.9166666667,-55.2779166667,-46.875,-46.4583333333,-55.3819583333,-38.8195,-49.7220833333,-38.1943333334,-31.3889166667,-47.2915833334,-54.9999166667,-39.5833333333,-32.08325,-43.7500833333,-51.493
228.39,-37.52925,-48.7179166667,-49.3006666667,-43.09425,-43.6480833333,-49.7959166667,-37.5293333334,-43.9393333333,-35.8390833333,-30.7691666666,-45.105,-50.17475,-37.5873333333,-29.0209166667,-39.97675,-46.9696666667
228.76,-30.4999166667,-43.4444166667,-44.8334166667,-39.5277083333,-38.2779166667,-43.8612083333,-33.9998333333,-38.72225,-30.66675,-27.8890833333,-41.83325,-45.611,-31.9445833333,-25.1666666667,-39.6665,-39.1945
229.14,-35.1111666667,-47.9444166667,-46.27775,-44.6665833333,-42.1666666667,-46.722125,-39.5000833333,-41.72225,-32.3333333333,-32.1665,-47.0554166667,-47.5555833334,-35.1666666667,-29.7221666667,-45.6110833333,-42.9166666667
229.52,-30.2630833333,-39.52225,-36.98825,-39.8879166667,-32.5535833333,-38.255375,-34.0155833333,-33.9668333333,-26.70575,-23.1969166667,-36.306,-38.3528333333,-27.729,-22.3684166667,-36.5495833333,-35.8189166666
229.89,-32.9435,-37.9144166667,-36.0623333333,-41.6423333333,-33.187,-37.2318333333,-35.3799166666,-33.5770833333,-27.04675,-22.7583333333,-36.1598333334,-39.6198333333,-29.6783333333,-21.1501666667,-37.7193333333,-34.5517083333
230.27,-30.926,-33.8889166667,-34.9999166667,-39.537,-30.9260833334,-32.476875,-32.22225,-32.7315,-24.1203333333,-20.5555,-32.8705,-35.0461666667,-28.4721666667,-15.463,-34.074,-30.2777083333
230.65,-26.8519166667,-27.2926666667,-30.9083333333,-33.2010833333,-25.9700833333,-24.9779166667,-27.2045833334,-29.9383333333,-19.1799166667,-16.0494166667,-26.411,-27.6895833333,-22.5306666667,-10.0089166667,-26.8518333333,-23.434625
231.02,-32.7909166666,-34.3195,-37.2780833333,-37.6480416667,-32.7909166667,-32.1744583334,-33.6786666667,-37.3273333333,-24.1124166667,-20.9073333333,-32.8895,-35.7495833333,-28.1065833333,-16.3214166667,-32.98825,-29.3638333333
231.40,-31.2379166667,-31.43275,-33.2359166666,-33.114,-28.60625,-29.4103333333,-32.2611666667,-33.1870833333,-20.8576666667,-18.2748333333,-30.3605833334,-32.0663333333,-26.803,-14.3274166667,-31.384,-25.5846666667
231.78,-23.0525,-22.8715,-23.8225833333,-24.09425,-19.2481666667,-20.1087083333,-23.3243333333,-24.5471666667,-13.1793333333,-12.9981666667,-22.4638333333,-25.2264166667,-20.4256666667,-9.14850000001,-23.8678333333,-17.4139583333
232.15,-16.21125,-17.4408333333,-20.30975,-17.349625,-13.889,-14.617625,-18.44275,-19.2623333333,-7.78683333335,-9.92725,-17.6685833333,-21.0838333333,-15.8925,-4.46275,-19.85425,-9.58566666667
232.53,-15.9440833333,-17.0520833333,-22.5914166666,-18.2082083333,-14.2099166667,-15.0289166666,-18.16,-22.158,-10.5490833333,-10.6935,-19.4123333333,-22.4470833333,-16.2813333333,-7.61066666666,-23.0730833333,-8.598125
232.90,-10.0588333333,-9.84841666667,-14.3519166667,-11.721375,-6.94441666666,-9.91170833335,-11.1531666667,-15.9933333333,-6.73400000001,-4.25091666667,-13.0893333333,-15.2776666667,-9.13316666667,-0.799666666659,-13.4260833333,-2.42004166667
233.28,-11.2670833333,-11.0119166667,-15.05125,-11.98975,-7.39791666666,-11.437125,-13.1803333333,-18.665,-9.35383333334,-4.80441666668,-15.1360833333,-19.34525,-9.52374999998,-1.95583333333,-12.585,-2.35966666667
233.66,-11.4746666667,-11.5619166667,-16.9720833333,-11.9327916667,-9.51133333333,-12.3036666667,-12.3908333333,-18.979,-11.6928333333,-6.50083333333,-17.8445,-20.20075,-10.1659166667,-2.26875000001,-14.5725,-3.73054166666
234.03,-5.96333333333,-7.53049999999,-11.4295833333,-7.95108333333,-6.91908333333,-7.53062499999,-8.37158333333,-13.7231666667,-8.25683333333,-3.63133333332,-13.30275,-13.6468333333,-4.58708333335,0.955750000017,-10.9329166667,-2.790375
234.41,-7.05716666666,-9.30916666666,-11.4488333333,-8.80258333333,-9.42191666667,-10.04125,-10.88575,-12.5751666667,-9.38433333334,-4.69216666667,-14.5645833333,-14.94,-4.65466666667,-2.13958333333,-13.8514166667,-4.504625
234.78,-7.82600000001,-10.1449166667,-11.0869166667,-9.402375,-9.16658333332,-10.7065416667,-11.7390833333,-10.7609166667,-8.94925000001,-5.90591666666,-15.1810833333,-14.81875,-5.68841666667,-4.34791666668,-13.6594166667,-5.362375
235.16,-4.03108333333,-6.50400000001,-7.75741666666,-7.14783333333,-4.50525000001,-5.60633333334,-7.41875000001,-6.43633333332,-5.92824999999,-2.10025000001,-11.1110833333,-9.51891666665,-3.18441666666,-0.440416666667,-9.6885,-1.202375
235.54,-4.53583333333,-8.33333333333,-10.8649166667,-10.4079166667,-6.04783333334,-7.17299999999,-9.49366666666,-9.14216666666,-8.5795,-3.97316666668,-15.04925,-11.1814166667,-4.81725000001,-1.65258333335,-12.5528333333,-3.358125
235.91,-3.37475,-5.75075000001,-10.2616666667,-9.46979166667,-4.78649999999,-4.97595833334,-7.64466666668,-6.40491666667,-6.99049999999,-1.79066666665,-14.18725,-8.74650000001,-1.54974999998,0.757583333332,-11.1915833333,-1.29145833333
236.29,-3.79708333334,-5.91408333334,-10.5175833333,-12.2312083333,-5.94741666666,-5.04020833333,-7.59400000001,-5.94758333334,-6.11558333333,-1.71391666667,-14.617,-7.76225000001,-1.54566666666,-0.604916666682,-12.60075,-2.45279166667
236.66,-8.33333325001e-05,-2.81966666667,-5.98366666667,-8.91274999999,-1.97358333333,-0.54825000001,-4.98116666667,-2.13033333334,-1.66025,1.94241666666,-9.71175000002,-2.19299999999,1.78566666666,3.22691666664,-6.82966666666,0.610791666675
