wavelength,Back_TanArgm,Belly_TanArgm,Breast_TanArgm,Crissum_TanArgm,Crown_TanArgm,DorTail_TanArgm,Patch10_TanArgm,Patch11_TanArgm,Rump_TanArgm,Throat_TanArgm,WingTip_TanArgm
762.57,61.834,6.9915,5.52183333333,8.26833333334,4.33633333334,7.88266666667,5.44016666667,46.5935,54.0956666667,23.3208333333,8.04666666667
762.88,61.8813333333,7.20833333334,5.63216666667,8.44333333334,4.52783333333,8.03166666667,5.7535,46.7816666666,54.0788333333,23.655,8.24683333333
763.20,61.6885,6.81425,5.32733333333,8.30116666667,4.22866666667,7.68983333333,5.51566666667,46.355,53.7001666667,23.5753333334,8.04850000002
763.51,61.7535,6.45458333334,5.12316666667,8.09116666667,3.90866666666,7.3655,5.37883333333,46.3241666667,53.9361666666,23.5388333333,7.82166666667
763.82,61.7128333333,6.07791666666,4.71633333334,7.609,3.50966666667,6.9875,5.10033333333,46.166,54.0673333333,23.4028333334,7.59966666666
764.14,61.7213333333,5.78883333333,4.37983333334,7.14683333333,3.20733333333,6.637,4.71366666667,46.3015,54.264,23.3315,7.374
764.45,61.3715,5.34266666667,3.9135,6.6725,2.754,6.18,4.39133333333,45.869,53.8143333333,22.9936666667,6.95633333334
764.76,61.3073333333,5.62691666667,4.22016666667,7.019,3.08583333333,6.42533333334,4.605,46.0086666667,53.972,23.0968333333,7.41316666666
765.07,61.5643333333,6.06175,4.654,7.42916666667,3.3645,6.92066666667,5.07716666667,46.0161666667,54.0496666666,23.3653333334,7.70133333333
765.39,61.2305,5.76266666666,4.33516666667,7.1165,3.19216666667,6.52133333333,4.64066666667,45.7698333333,53.7661666667,23.0351666667,7.4115
765.70,61.3511666667,5.64783333333,4.27883333334,7.211,3.22583333334,6.65683333333,4.63366666667,45.5991666666,53.7245,23.3345,7.56583333333
766.01,61.3523333333,6.36491666666,4.72966666667,7.69366666666,3.8265,7.27666666667,5.07133333333,45.5945,53.7281666666,23.625,7.98316666667
766.32,61.4286666667,6.16683333334,4.80983333333,7.85383333334,3.78333333334,7.32766666667,4.93233333334,45.673,53.7283333334,23.5425,8.01866666669
766.64,61.826,6.483,5.11583333333,8.2405,4.053,7.72833333333,5.19283333333,46.1585,54.2451666667,23.7416666667,8.42616666665
766.95,62.075,6.85091666667,5.42166666667,8.4805,4.4445,8.03866666666,5.3545,46.526,54.4846666666,24.1098333334,8.76833333334
767.26,61.8471666667,6.94166666667,5.70533333333,8.766,4.61833333333,8.09433333333,5.56016666667,46.4825,54.0786666667,24.0408333333,8.95983333335
767.57,62.0141666666,7.06141666667,5.78183333334,8.87633333334,4.581,8.26166666667,5.7675,46.298,53.7378333333,23.9565,9.19816666665
767.88,62.6598333333,7.29975,5.97683333333,9.21066666666,4.85416666666,8.63816666667,6.036,46.9225,54.4231666667,24.4126666667,9.56716666665
768.20,62.946,7.21191666667,5.83366666667,9.187,4.7695,8.51333333333,6.1475,47.106,54.3023333333,24.445,9.39383333333
768.51,63.3601666667,7.27608333334,5.627,8.91733333333,4.904,8.18633333333,5.91316666667,47.7188333333,54.6253333333,24.694,9.26716666669
768.82,63.093,7.13141666667,5.52833333333,8.775,4.7515,8.178,5.9535,47.7183333333,54.4651666667,24.6321666667,8.98766666668
769.13,63.1341666667,6.95858333333,5.09033333333,8.24816666667,4.2475,7.73783333333,5.54133333334,48.1103333333,54.6306666667,24.2766666667,8.59716666669
769.44,62.299,5.79591666667,4.12316666666,7.14533333333,3.33683333333,6.70866666667,4.76933333334,47.2746666666,54.2453333333,23.419,7.89649999999
769.76,62.8101666667,5.90633333334,4.207,6.913,3.36216666666,6.75116666667,4.7285,47.393,54.5486666666,23.6966666667,7.79400000002
770.07,62.5636666667,6.23175,4.1575,6.66133333333,3.326,6.25,4.94333333333,47.3683333334,54.386,23.5288333334,7.64783333333
770.38,62.3083333333,5.61183333333,3.37633333334,5.8735,2.516,5.35916666666,4.37716666667,46.5393333333,53.8251666667,22.849,6.94933333333
770.69,62.4498333333,5.75758333333,3.08166666667,5.56183333333,2.49966666667,5.333,4.28383333334,46.6036666666,53.9688333334,22.5911666667,6.96416666667
771.00,62.6586666667,6.3245,3.62366666667,5.93033333333,3.1625,5.93033333333,4.66183333333,47.0298333333,54.5846666667,23.4521666667,7.50666666666
771.32,63.1068333333,7.03716666667,4.19783333333,6.19083333334,3.6275,6.26816666666,4.94283333333,47.1658333334,54.6431666667,23.8246666667,7.632
771.63,63.549,7.36758333334,4.5195,6.31366666667,4.05866666667,6.55883333334,4.97066666667,47.3726666667,55.2355,24.1765,7.81366666669
771.94,63.132,6.95091666666,4.43333333333,6.1315,3.73233333334,6.57566666666,4.81833333333,46.6133333333,54.7296666667,23.6966666666,7.82983333331
772.25,62.7088333333,6.92658333333,4.58433333334,6.16566666667,3.6795,6.68283333333,4.68383333334,46.2411666667,54.5645,23.8268333334,8.06516666665
772.56,63.0738333333,7.41491666667,5.45916666667,6.47716666667,4.26133333333,7.29516666666,5.11966666667,46.2775,54.551,24.0918333333,8.29350000001
772.87,63.5538333333,7.7925,6.01383333334,6.7815,4.72,7.64083333333,5.377,46.6545,54.6695,24.5096666666,8.41916666665
773.18,63.2003333333,7.23416666666,5.317,6.40066666666,4.06933333333,7.096,5.143,46.1963333333,54.3658333333,23.9058333333,7.8425
773.50,62.9778333334,6.8665,4.91866666667,6.24116666667,4.061,7.25366666666,4.91866666667,45.8773333333,54.1848333333,23.507,7.481
773.81,63.1948333334,7.21241666666,5.47666666667,7.1295,4.87733333334,8.12166666666,5.5695,46.4146666666,54.5361666667,23.7035,7.92533333335
774.12,63.2155,7.34333333333,5.9495,7.815,5.46216666667,8.634,5.87666666666,46.6521666667,54.8506666666,24.2123333333,8.07416666669
774.43,62.9973333333,6.60483333333,5.05216666667,7.29616666667,4.5205,7.743,5.26466666667,46.2348333333,54.1586666667,23.378,7.3175
774.74,62.0346666666,5.85675,4.62133333334,6.9,4.18266666666,7.24216666667,4.89933333333,45.6245,53.498,22.4755,7.16716666667
775.05,61.9033333333,5.637,4.4055,6.85766666667,3.68933333333,7.129,4.88266666667,45.6381666667,53.4506666667,22.0593333334,7.1615
