wavelength,Back_DigGlsf,Belly_DigGlsf,Breast_DigGlsf,Crissum_DigGlsf,Crown_DigGlsf,DorTail_DigGlsf,Patch10_DigGlsf,Rump_DigGlsf,Throat_DigGlsf,WingTip_DigGlsf
762.57,8.01377777779,31.1993333333,36.173,28.3186666667,8.21266666667,10.441,15.679,8.11866666668,8.41877777778,13.3040833334
762.88,7.98252777779,31.4455,36.2108333333,28.426,8.54633333335,10.9065,15.9161666666,8.48400000001,8.50508333333,13.6244166666
763.20,7.79763888888,31.6623333333,36.4576666667,28.4428333334,8.64633333331,10.8818333334,15.912,8.44483333331,8.39375,13.777
763.51,7.77336111112,31.8515,36.2581666666,28.5523333333,8.55916666668,10.8505,16.0386666667,8.62533333331,8.43969444444,13.753
763.82,7.27013888889,31.5293333333,35.9188333333,28.0473333334,8.019,10.2436666667,15.6441666667,8.33066666665,8.00461111112,13.3376666666
764.14,6.87902777778,31.5883333334,35.6141666667,27.7448333334,7.6595,9.9625,15.1756666666,7.96316666666,7.86863888888,13.0964166667
764.45,6.73605555555,31.5206666667,35.4481666666,27.5873333334,7.59216666667,10.2945,15.1113333334,7.95016666666,7.79625,12.9488333333
764.76,6.934,31.8065,35.4683333334,27.7146666667,7.67333333333,10.3651666666,15.2318333333,8.13266666669,8.12283333333,13.0940833333
765.07,6.60075,31.6996666667,35.3801666667,27.5343333333,7.37283333334,10.1498333333,15.1343333333,7.75,7.89047222221,12.9741666666
765.39,6.22725,31.818,35.2443333333,27.2791666667,7.02883333333,9.864,14.8875,7.43733333333,7.64169444445,12.7748333333
765.70,5.71241666667,31.7475,35.2375,26.8313333333,6.76783333333,9.408,14.8686666667,7.15916666667,7.40213888888,12.3406666666
766.01,5.62980555555,31.661,35.4375,26.7001666666,6.61233333333,9.66416666665,14.8901666667,7.24633333334,7.45747222222,12.347
766.32,5.34377777779,31.4365,35.399,26.4005,6.10933333333,9.26316666665,14.608,7.00633333334,7.37491666667,12.0975833334
766.64,4.98197222222,31.1188333333,34.9461666667,26.358,5.84116666667,9.3285,14.5218333333,6.9675,7.16333333334,11.9676666667
766.95,4.84191666666,31.0165,34.9846666667,26.2065,5.9325,9.52383333335,14.398,6.88633333333,7.27236111111,11.9529166666
767.26,5.67758333333,31.6123333334,35.3096666667,26.589,6.744,10.071,14.8715,7.54249999998,8.17691666665,12.50425
767.57,5.63327777778,31.2533333333,35.3455,26.5155,6.56283333333,9.80666666665,14.9686666666,7.62433333335,7.80672222223,12.26875
767.88,5.56138888889,31.1625,35.4955,26.8031666667,6.53883333333,9.47116666665,15.021,7.70299999998,8.02411111113,12.15
768.20,5.21725,30.6276666667,35.3355,26.921,6.205,9.091,14.6646666667,7.16983333332,7.60419444445,11.7289166667
768.51,4.96491666666,30.5803333333,35.5655,27.1113333333,6.2315,9.15183333335,14.481,7.11500000001,7.24061111111,11.37475
768.82,4.69702777778,29.9791666667,35.3593333334,26.4621666666,6.03983333334,9.02133333335,14.0863333333,6.55583333334,6.57338888889,10.7224166667
769.13,5.50866666667,30.2236666667,35.5685,26.9873333334,6.80266666666,9.74733333335,14.5383333333,7.07483333333,6.96458333331,11.25375
769.44,5.53541666667,30.5055,35.2355,26.7611666667,6.44133333333,9.60133333335,14.0496666667,6.78333333334,6.53833333334,11.2418333333
769.76,5.77777777778,30.8015,35.209,26.886,6.837,9.7275,13.9503333333,6.9395,6.44230555555,11.3571666666
770.07,5.83261111112,30.081,35.1933333333,26.7353333333,7.0035,9.62183333335,13.9026666666,6.65,6.46622222222,11.08675
770.38,5.95897222221,29.7083333333,35.5526666667,26.7386666666,7.0705,9.279,13.8446666667,6.61616666667,6.33769444445,10.875
770.69,5.74427777778,29.385,35.4691666666,27.1305,7.044,9.65483333335,13.657,6.50483333334,5.96725,11.27325
771.00,5.77175,29.3738333333,35.5476666667,27.6503333333,7.2315,10.0346666667,13.907,6.47916666666,5.89361111111,11.6764166666
771.32,6.62972222221,29.5105,35.6135,27.561,7.38066666667,10.4428333334,13.8358333333,6.53233333333,5.99619444445,12.1059166666
771.63,6.11008333333,29.419,35.1631666666,26.4361666667,7.15233333334,10.113,13.3956666667,6.57566666666,5.83291666667,12.2259166667
771.94,6.88116666666,30.0826666666,35.5786666666,26.6196666667,7.90883333334,10.1873333334,14.0306666666,7.39483333334,6.53322222222,13.0195
772.25,7.57058333333,30.7458333333,36.1015,27.8416666666,8.48583333334,10.5196666667,14.7231666667,8.29383333331,7.38427777778,14.2203333334
772.56,6.82902777778,29.9631666667,35.7456666666,27.3546666667,7.67566666667,9.776,13.7351666667,7.66383333333,6.95391666667,13.7235
772.87,6.78972222221,29.2098333333,35.5795,27.1253333333,7.982,10.4468333333,13.7408333333,7.55583333334,6.95525,13.4819166667
773.18,7.1345,29.32,35.6581666667,27.2841666667,7.7955,11.1843333334,14.0873333333,7.69133333334,7.74722222222,13.7865833334
